954_130627_000000_000000	CHAPTER VI.	CHAPTER six.	true	25.92	27.01	16.794687
954_130627_000001_000000	Kingston.--Instructive remarks on early English history.--Instructive observations on carved oak and life in general.--Sad case of Stivvings, junior.--Musings on antiquity.--I forget that I am steering.--Interesting result.--Hampton Court Maze.--Harris as a guide.	Kingston.--Instructive remarks on early English history.--Instructive observations on carved oak and life in general.--Sad case of Stivvings, junior.--Musings on antiquity.--I forget that I am steering.--Interesting result.--Hampton Court Maze.--Harris as a guide.	true	28.43	48.37	22.40772
954_130627_000002_000000	It was a glorious morning, late spring or early summer, as you care to take it, when the dainty sheen of grass and leaf is blushing to a deeper green; and the year seems like a fair young maid, trembling with strange, wakening pulses on the brink of womanhood.	It was a glorious morning, late spring or early summer, as you care to take it, when the dainty sheen of grass and leaf is blushing to a deeper green; and the year seems like a fair young maid, trembling with strange, wakening pulses on the brink of womanhood.	false	49.85	65.65	17.7621
954_130627_000003_000000	The quaint back streets of Kingston, where they came down to the water's edge, looked quite picturesque in the flashing sunlight, the glinting river with its drifting barges, the wooded towpath, the trim-kept villas on the other side, Harris, in a red and orange blazer, grunting away at the sculls, the distant glimpses of the grey old palace of the Tudors, all made a sunny picture, so bright but calm, so full of life, and yet so peaceful, that, early in the day though it was, I felt myself being dreamily lulled off into a musing fit.	The quaint back streets of Kingston, where they came down to the water's edge, looked quite picturesque in the flashing sunlight, the glinting river with its drifting barges, the wooded towpath, the trim kept villas on the other side, Harris, in a red and orange blazer, grunting away at the sculls, the distant glimpses of the grey old palace of the Tudors, all made a sunny picture, so bright but calm, so full of life, and yet so peaceful, that, early in the day though it was, I felt myself being dreamily lulled off into a musing fit.	true	66.08	99.67	19.152737
954_130627_000004_000000	I mused on Kingston, or "Kyningestun," as it was once called in the days when Saxon "kinges" were crowned there.	I mused on Kingston, or "Kyningestun," as it was once called in the days when Saxon "kinges" were crowned there.	false	100.25	108.49	20.716805
954_130627_000004_000001	Great Caesar crossed the river there, and the Roman legions camped upon its sloping uplands.	Great Caesar crossed the river there, and the Roman legions camped upon its sloping uplands.	false	108.62	114.13	18.27059
954_130627_000004_000002	Caesar, like, in later years, Elizabeth, seems to have stopped everywhere: only he was more respectable than good Queen Bess; he didn't put up at the public-houses.	Caesar, like, in later years, Elizabeth, seems to have stopped everywhere: only he was more respectable than good Queen Bess; he didn't put up at the public houses.	true	114.29	123.7	19.995499
954_130627_000005_000000	She was nuts on public-houses, was England's Virgin Queen.	She was nuts on public houses, was England's Virgin Queen.	false	124.13	129.15	18.856464
954_130627_000005_000001	There's scarcely a pub. of any attractions within ten miles of London that she does not seem to have looked in at, or stopped at, or slept at, some time or other.	There's scarcely a pub. of any attractions within ten miles of London that she does not seem to have looked in at, or stopped at, or slept at, some time or other.	false	129.15	138.64	18.981705
954_130627_000005_000002	I wonder now, supposing Harris, say, turned over a new leaf, and became a great and good man, and got to be Prime Minister, and died, if they would put up signs over the public-houses that he had patronised: "Harris had a glass of bitter in this house;" "Harris had two of Scotch cold here in the summer of '88;" "Harris was chucked from here in December, 1886."	I wonder now, supposing Harris, say, turned over a new leaf, and became a great and good man, and got to be Prime Minister, and died, if they would put up signs over the public houses that he had patronised: "Harris had a glass of bitter in this house;" "Harris had two of Scotch cold here in the summer of 'eighty eight;" "Harris was chucked from here in December, eighteen eighty six."	false	138.77	161.29	20.388773
954_130627_000006_000000	No, there would be too many of them!	No, there would be too many of them!	true	162.26	164.35	18.521399
954_130627_000006_000001	It would be the houses that he had never entered that would become famous.	It would be the houses that he had never entered that would become famous.	true	164.54	168.61	16.788609
954_130627_000006_000002	"Only house in South London that Harris never had a drink in!"	"Only house in South London that Harris never had a drink in!"	true	168.71	173.62	18.765959
954_130627_000006_000003	The people would flock to it to see what could have been the matter with it.	The people would flock to it to see what could have been the matter with it.	false	173.69	177.64	21.386896
954_130627_000007_000000	How poor weak-minded King Edwy must have hated Kyningestun!	How poor weak minded King Edwy must have hated Kyningestun!	false	178.16	183.18	20.53981
954_130627_000007_000001	The coronation feast had been too much for him.	The coronation feast had been too much for him.	false	183.18	185.28	19.117584
954_130627_000007_000002	Maybe boar's head stuffed with sugar-plums did not agree with him (it wouldn't with me, I know), and he had had enough of sack and mead; so he slipped from the noisy revel to steal a quiet moonlight hour with his beloved Elgiva.	Maybe boar's head stuffed with sugar plums did not agree with him (it wouldn't with me, I know), and he had had enough of sack and mead; so he slipped from the noisy revel to steal a quiet moonlight hour with his beloved Elgiva.	false	185.28	199.09	20.098955
954_130627_000008_000000	Perhaps, from the casement, standing hand-in-hand, they were watching the calm moonlight on the river, while from the distant halls the boisterous revelry floated in broken bursts of faint-heard din and tumult.	Perhaps, from the casement, standing hand in hand, they were watching the calm moonlight on the river, while from the distant halls the boisterous revelry floated in broken bursts of faint heard din and tumult.	true	199.61	212.41	20.394253
954_130627_000009_000000	Then brutal Odo and St. Dunstan force their rude way into the quiet room, and hurl coarse insults at the sweet-faced Queen, and drag poor Edwy back to the loud clamour of the drunken brawl.	Then brutal Odo and saint Dunstan force their rude way into the quiet room, and hurl coarse insults at the sweet faced Queen, and drag poor Edwy back to the loud clamour of the drunken brawl.	true	212.54	224.8	19.219833
954_130627_000010_000000	Years later, to the crash of battle-music, Saxon kings and Saxon revelry were buried side by side, and Kingston's greatness passed away for a time, to rise once more when Hampton Court became the palace of the Tudors and the Stuarts, and the royal barges strained at their moorings on the river's bank, and bright-cloaked gallants swaggered down the water-steps to cry: "What Ferry, ho!	Years later, to the crash of battle music, Saxon kings and Saxon revelry were buried side by side, and Kingston's greatness passed away for a time, to rise once more when Hampton Court became the palace of the Tudors and the Stuarts, and the royal barges strained at their moorings on the river's bank, and bright cloaked gallants swaggered down the water steps to cry: "What Ferry, ho!	true	225.17	247.725	20.484846
954_130627_000010_000001	Gadzooks, gramercy."	Gadzooks, gramercy."	true	247.725	249.4	21.70765
954_130627_000011_000000	Many of the old houses, round about, speak very plainly of those days when Kingston was a royal borough, and nobles and courtiers lived there, near their King, and the long road to the palace gates was gay all day with clanking steel and prancing palfreys, and rustling silks and velvets, and fair faces.	Many of the old houses, round about, speak very plainly of those days when Kingston was a royal borough, and nobles and courtiers lived there, near their King, and the long road to the palace gates was gay all day with clanking steel and prancing palfreys, and rustling silks and velvets, and fair faces.	false	250.55	268.6	17.459988
954_130627_000011_000001	The large and spacious houses, with their oriel, latticed windows, their huge fireplaces, and their gabled roofs, breathe of the days of hose and doublet, of pearl-embroidered stomachers, and complicated oaths.	The large and spacious houses, with their oriel, latticed windows, their huge fireplaces, and their gabled roofs, breathe of the days of hose and doublet, of pearl embroidered stomachers, and complicated oaths.	false	268.64	281.17	18.828648
954_130627_000011_000002	They were upraised in the days "when men knew how to build." The hard red bricks have only grown more firmly set with time, and their oak stairs do not creak and grunt when you try to go down them quietly.	They were upraised in the days "when men knew how to build." The hard red bricks have only grown more firmly set with time, and their oak stairs do not creak and grunt when you try to go down them quietly.	true	281.39	294.49	19.539673
954_130627_000012_000000	Speaking of oak staircases reminds me that there is a magnificent carved oak staircase in one of the houses in Kingston.	Speaking of oak staircases reminds me that there is a magnificent carved oak staircase in one of the houses in Kingston.	true	294.89	301.78	20
954_130627_000012_000001	It is a shop now, in the market-place, but it was evidently once the mansion of some great personage.	It is a shop now, in the market place, but it was evidently once the mansion of some great personage.	true	302.12	307.74	22.432034
954_130627_000012_000002	A friend of mine, who lives at Kingston, went in there to buy a hat one day, and, in a thoughtless moment, put his hand in his pocket and paid for it then and there.	A friend of mine, who lives at Kingston, went in there to buy a hat one day, and, in a thoughtless moment, put his hand in his pocket and paid for it then and there.	false	307.74	316.35	18.98481
954_130627_000013_000000	The shopman (he knows my friend) was naturally a little staggered at first; but, quickly recovering himself, and feeling that something ought to be done to encourage this sort of thing, asked our hero if he would like to see some fine old carved oak.	The shopman (he knows my friend) was naturally a little staggered at first; but, quickly recovering himself, and feeling that something ought to be done to encourage this sort of thing, asked our hero if he would like to see some fine old carved oak.	false	316.35	330.24	19.232584
954_130627_000013_000001	My friend said he would, and the shopman, thereupon, took him through the shop, and up the staircase of the house.	My friend said he would, and the shopman, thereupon, took him through the shop, and up the staircase of the house.	true	330.24	336.285	21.216763
954_130627_000013_000002	The balusters were a superb piece of workmanship, and the wall all the way up was oak-panelled, with carving that would have done credit to a palace.	The balusters were a superb piece of workmanship, and the wall all the way up was oak panelled, with carving that would have done credit to a palace.	false	336.285	344.98	20.635305
954_130627_000014_000000	From the stairs, they went into the drawing-room, which was a large, bright room, decorated with a somewhat startling though cheerful paper of a blue ground.	From the stairs, they went into the drawing room, which was a large, bright room, decorated with a somewhat startling though cheerful paper of a blue ground.	true	345.29	354.34	21.081167
954_130627_000014_000001	There was nothing, however, remarkable about the apartment, and my friend wondered why he had been brought there.	There was nothing, however, remarkable about the apartment, and my friend wondered why he had been brought there.	true	354.89	360.49	19.80507
954_130627_000014_000002	The proprietor went up to the paper, and tapped it.	The proprietor went up to the paper, and tapped it.	true	360.8	364.51	25.045174
954_130627_000014_000003	It gave forth a wooden sound.	It gave forth a wooden sound.	true	365.06	367.06	21.42731
954_130627_000015_000000	"Oak," he explained.	"Oak," he explained.	true	367.94	369.82	23.03031
954_130627_000015_000001	"All carved oak, right up to the ceiling, just the same as you saw on the staircase."	"All carved oak, right up to the ceiling, just the same as you saw on the staircase."	false	370.22	374.86	22.004524
954_130627_000016_000000	"But, great Caesar! man," expostulated my friend; "you don't mean to say you have covered over carved oak with blue wall-paper?"	"But, great Caesar! man," expostulated my friend; "you don't mean to say you have covered over carved oak with blue wall paper?"	false	375.32	382.57	22.082676
954_130627_000017_000000	"Yes," was the reply: "it was expensive work.	"Yes," was the reply: "it was expensive work.	true	382.91	385.98	18.760744
954_130627_000017_000001	Had to match-board it all over first, of course.	Had to match board it all over first, of course.	false	385.98	388.51	21
954_130627_000017_000002	But the room looks cheerful now.	But the room looks cheerful now.	true	388.61	390.31	22.315351
954_130627_000017_000003	It was awful gloomy before."	It was awful gloomy before."	true	390.35	392.08	19.096529
954_130627_000018_000000	I can't say I altogether blame the man (which is doubtless a great relief to his mind).	I can't say I altogether blame the man (which is doubtless a great relief to his mind).	false	393.2	397.3	24.4852
954_130627_000018_000001	From his point of view, which would be that of the average householder, desiring to take life as lightly as possible, and not that of the old-curiosity-shop maniac, there is reason on his side.	From his point of view, which would be that of the average householder, desiring to take life as lightly as possible, and not that of the old curiosity shop maniac, there is reason on his side.	true	397.64	408.94	18.380196
954_130627_000018_000002	Carved oak is very pleasant to look at, and to have a little of, but it is no doubt somewhat depressing to live in, for those whose fancy does not lie that way.	Carved oak is very pleasant to look at, and to have a little of, but it is no doubt somewhat depressing to live in, for those whose fancy does not lie that way.	true	409.13	417.49	18.952188
954_130627_000018_000003	It would be like living in a church.	It would be like living in a church.	true	417.56	419.92	24.067028
954_130627_000019_000000	No, what was sad in his case was that he, who didn't care for carved oak, should have his drawing-room panelled with it, while people who do care for it have to pay enormous prices to get it.	No, what was sad in his case was that he, who didn't care for carved oak, should have his drawing room panelled with it, while people who do care for it have to pay enormous prices to get it.	false	420.35	431.86	17.97252
954_130627_000019_000001	It seems to be the rule of this world.	It seems to be the rule of this world.	true	431.93	434.07	19.049585
954_130627_000019_000002	Each person has what he doesn't want, and other people have what he does want.	Each person has what he doesn't want, and other people have what he does want.	true	434.07	438.31	19.84268
954_130627_000020_000000	Married men have wives, and don't seem to want them; and young single fellows cry out that they can't get them.	Married men have wives, and don't seem to want them; and young single fellows cry out that they can't get them.	true	438.53	444.42	20.068604
954_130627_000020_000001	Poor people who can hardly keep themselves have eight hearty children.	Poor people who can hardly keep themselves have eight hearty children.	false	444.42	449.02	21.204657
954_130627_000020_000002	Rich old couples, with no one to leave their money to, die childless.	Rich old couples, with no one to leave their money to, die childless.	true	449.09	452.98	20.884867
954_130627_000021_000000	Then there are girls with lovers.	Then there are girls with lovers.	true	453.2	454.96	19.863235
954_130627_000021_000001	The girls that have lovers never want them.	The girls that have lovers never want them.	true	455.27	457.39	16.86319
954_130627_000021_000002	They say they would rather be without them, that they bother them, and why don't they go and make love to Miss Smith and Miss Brown, who are plain and elderly, and haven't got any lovers?	They say they would rather be without them, that they bother them, and why don't they go and make love to Miss Smith and Miss Brown, who are plain and elderly, and haven't got any lovers?	false	457.55	467.26	20
954_130627_000021_000003	They themselves don't want lovers.	They themselves don't want lovers.	true	467.42	469.54	19.447876
954_130627_000021_000004	They never mean to marry.	They never mean to marry.	true	469.58	471.01	18.758963
954_130627_000022_000000	It does not do to dwell on these things; it makes one so sad.	It does not do to dwell on these things; it makes one so sad.	true	472.19	476.29	20.151022
954_130627_000023_000000	There was a boy at our school, we used to call him Sandford and Merton. His real name was Stivvings.	There was a boy at our school, we used to call him Sandford and Merton. His real name was Stivvings.	false	477.14	482.43	18.204603
954_130627_000023_000001	He was the most extraordinary lad I ever came across.	He was the most extraordinary lad I ever came across.	false	482.43	486.7	21.99173
954_130627_000023_000002	I believe he really liked study.	I believe he really liked study.	true	486.8	489.31	22.420681
954_130627_000023_000003	He used to get into awful rows for sitting up in bed and reading Greek; and as for French irregular verbs there was simply no keeping him away from them.	He used to get into awful rows for sitting up in bed and reading Greek; and as for French irregular verbs there was simply no keeping him away from them.	true	489.68	497.83	17.980135
