8459_292347_000000_000000	HANRAHAN SPEAKS TO THE LOVERS OF HIS SONGS IN COMING DAYS	HANRAHAN SPEAKS TO THE LOVERS OF HIS SONGS IN COMING DAYS	false	0	0.03	-20
8459_292347_000001_000000	O, colleens, kneeling by your altar rails long hence, When songs I wove for my beloved hide the prayer, And smoke from this dead heart drifts through the violet air And covers away the smoke of myrrh and frankincense; Bend down and pray for the great sin I wove in song, Till Maurya of the wounded heart cry a sweet cry, And call to my beloved and me: 'No longer fly 'Amid the hovering, piteous, penitential throng.'	O, colleens, kneeling by your altar rails long hence, When songs I wove for my beloved hide the prayer, And smoke from this dead heart drifts through the violet air And covers away the smoke of myrrh and frankincense; Bend down and pray for the great sin I wove in song, Till Maurya of the wounded heart cry a sweet cry, And call to my beloved and me: 'No longer fly 'Amid the hovering, piteous, penitential throng.'	false	0.03	0.42	6
8459_292347_000002_000000	AEDH PLEADS WITH THE ELEMENTAL POWERS	a e d h PLEADS WITH THE ELEMENTAL POWERS	false	0.42	0.48	-20
8459_292347_000003_000000	The Powers whose name and shape no living creature knows Have pulled the Immortal Rose; And though the Seven Lights bowed in their dance and wept, The Polar Dragon slept, His heavy rings uncoiled from glimmering deep to deep: When will he wake from sleep?	The Powers whose name and shape no living creature knows Have pulled the Immortal Rose; And though the Seven Lights bowed in their dance and wept, The Polar Dragon slept, His heavy rings uncoiled from glimmering deep to deep: When will he wake from sleep?	false	0.48	1.14	22.313347
8459_292347_000004_000000	Great Powers of falling wave and wind and windy fire, With your harmonious choir Encircle her I love and sing her into peace, That my old care may cease; Unfold your flaming wings and cover out of sight The nets of day and night.	Great Powers of falling wave and wind and windy fire, With your harmonious choir Encircle her I love and sing her into peace, That my old care may cease; Unfold your flaming wings and cover out of sight The nets of day and night.	false	1.14	1.38	20
8459_292347_000005_000000	Dim Powers of drowsy thought, let her no longer be Like the pale cup of the sea, When winds have gathered and sun and moon burned dim Above its cloudy rim; But let a gentle silence wrought with music flow Whither her footsteps go.	Dim Powers of drowsy thought, let her no longer be Like the pale cup of the sea, When winds have gathered and sun and moon burned dim Above its cloudy rim; But let a gentle silence wrought with music flow Whither her footsteps go.	false	1.38	1.68	-2
8459_292347_000006_000000	AEDH WISHES HIS BELOVED WERE DEAD	a e d h WISHES HIS BELOVED WERE DEAD	false	1.68	1.71	4
8459_292347_000007_000000	Were you but lying cold and dead, And lights were paling out of the West, You would come hither, and bend your head, And I would lay my head on your breast; And you would murmur tender words, Forgiving me, because you were dead: Nor would you rise and hasten away, Though you have the will of the wild birds, But know your hair was bound and wound About the stars and moon and sun: O would beloved that you lay Under the dock-leaves in the ground, While lights were paling one by one.	Were you but lying cold and dead, And lights were paling out of the West, You would come hither, and bend your head, And I would lay my head on your breast; And you would murmur tender words, Forgiving me, because you were dead: Nor would you rise and hasten away, Though you have the will of the wild birds, But know your hair was bound and wound About the stars and moon and sun: O would beloved that you lay Under the dock leaves in the ground, While lights were paling one by one.	false	1.71	5.85	19.098112
8459_292347_000008_000000	AEDH WISHES FOR THE CLOTHS OF HEAVEN	a e d h WISHES FOR THE CLOTHS OF HEAVEN	false	5.85	6.21	10
8459_292347_000009_000000	Had I the heavens' embroidered cloths, Enwrought with golden and silver light, The blue and the dim and the dark cloths Of night and light and the half light, I would spread the cloths under your feet: But I, being poor, have only my dreams; I have spread my dreams under your feet; Tread softly because you tread on my dreams.	Had I the heavens' embroidered cloths, Enwrought with golden and silver light, The blue and the dim and the dark cloths Of night and light and the half light, I would spread the cloths under your feet: But I, being poor, have only my dreams; I have spread my dreams under your feet; Tread softly because you tread on my dreams.	false	6.21	6.54	5
8459_292347_000010_000000	MONGAN THINKS OF HIS PAST GREATNESS	MONGAN THINKS OF HIS PAST GREATNESS	false	6.54	6.57	0
