5731_50776_000000_000000	Carol's joy knew no bounds.	Carol's joy knew no bounds.	false	0	1.44	27.520943
5731_50776_000000_000001	Mr. and Mrs. Bird laughed like children and kissed each other for sheer delight, and when the boys heard it they simply whooped like wild Indians, until the Ruggles family, whose back yard joined their garden, gathered at the door and wondered what was "up" in the big house.	mr and mrs Bird laughed like children and kissed each other for sheer delight, and when the boys heard it they simply whooped like wild Indians, until the Ruggles family, whose back yard joined their garden, gathered at the door and wondered what was "up" in the big house.	false	1.44	11.1	28.043068
5731_50776_000001_000000	IV.	i v.	false	11.1	11.685	-20
5731_50776_000002_000000	"BIRDS OF A FEATHER FLOCK TOGETHER."	"BIRDS OF A FEATHER FLOCK TOGETHER."	true	11.685	13.81	24.909103
5731_50776_000003_000000	Uncle Jack did really come on the twentieth.	Uncle Jack did really come on the twentieth.	false	14.54	17.31	29.623302
5731_50776_000003_000001	He was not detained by business, nor did he get left behind nor snowed up, as frequently happens in stories, and in real life too, I am afraid.	He was not detained by business, nor did he get left behind nor snowed up, as frequently happens in stories, and in real life too, I am afraid.	true	17.31	26.05	24.25374
5731_50776_000003_000002	The snow-storm came also; and the turkey nearly died a natural and premature death from over-eating.	The snow storm came also; and the turkey nearly died a natural and premature death from over eating.	true	26.18	31.99	23.978144
5731_50776_000003_000003	Donald came, too; Donald, with a line of down upon his upper lip, and Greek and Latin on his tongue, and stores of knowledge in his handsome head, and stories--bless me, you couldn't turn over a chip without reminding Donald of something that happened "at College."	Donald came, too; Donald, with a line of down upon his upper lip, and Greek and Latin on his tongue, and stores of knowledge in his handsome head, and stories-bless me, you couldn't turn over a chip without reminding Donald of something that happened "at College."	true	32.27	49.3	26.4001
5731_50776_000004_000000	One or the other was always at Carol's bedside, for they fancied her paler than she used to be, and they could not bear her out of sight. It was Uncle lack, though, who sat beside her in the winter twilights. The room was quiet, and almost dark, save for the snow-light outside, and the flickering flame of the fire, that danced over the "Sleeping Beauty's" face, and touched the Fair One's golden locks with ruddier glory.	One or the other was always at Carol's bedside, for they fancied her paler than she used to be, and they could not bear her out of sight. It was Uncle lack, though, who sat beside her in the winter twilights. The room was quiet, and almost dark, save for the snow light outside, and the flickering flame of the fire, that danced over the "Sleeping Beauty's" face, and touched the Fair One's golden locks with ruddier glory.	false	49.88	74.41	25.83347
5731_50776_000004_000001	Carol's hand (all too thin and white these latter days) lay close clasped in Uncle Jack's, and they talked together quietly of many, many things.	Carol's hand (all too thin and white these latter days) lay close clasped in Uncle Jack's, and they talked together quietly of many, many things.	true	74.69	84.49	25.907345
5731_50776_000004_000002	"I want to tell you all about my plans for Christmas this year, Uncle Jack," said Carol, on the first evening of his visit, "because it will be the loveliest one I ever had.	"I want to tell you all about my plans for Christmas this year, Uncle Jack," said Carol, on the first evening of his visit, "because it will be the loveliest one I ever had.	false	84.83	93.82	26
5731_50776_000004_000003	The boys laugh at me for caring so much about it; but it isn't altogether because it is Christmas nor because it is my birthday; but long, long ago, when I first began to be ill, I used to think, the first thing when I waked on Christmas morning, 'To-day is Christ's birthday--AND MINE!' I did not put the words close together, because that made it seem too bold but I first thought, 'Christ's birthday,' and then, in a minute, softly to myself--AND MINE!' 'Christ's birthday--AND MINE!' And so I do not quite feel about Christmas as other girls do.	The boys laugh at me for caring so much about it; but it isn't altogether because it is Christmas nor because it is my birthday; but long, long ago, when I first began to be ill, I used to think, the first thing when I waked on Christmas morning, 'To day is Christ's birthday-AND MINE!' I did not put the words close together, because that made it seem too bold but I first thought, 'Christ's birthday,' and then, in a minute, softly to myself-AND MINE!' 'Christ's birthday-AND MINE!' And so I do not quite feel about Christmas as other girls do.	false	94.01	131.68	25.285236
5731_50776_000004_000004	Mama says she supposes that ever so many other children have been born on that day.	Mama says she supposes that ever so many other children have been born on that day.	true	131.78	136.57	24.68354
5731_50776_000004_000005	I often wonder where they are, Uncle Jack, and whether it is a dear thought to them, too, or whether I am so much in bed, and so often alone, that it means more to me.	I often wonder where they are, Uncle Jack, and whether it is a dear thought to them, too, or whether I am so much in bed, and so often alone, that it means more to me.	true	136.73	146.95	24.24898
5731_50776_000004_000006	Oh, I do hope that none of them are poor, or cold, or hungry; and I wish, I wish they were all as happy as I, because they are my little brothers and sisters.	Oh, I do hope that none of them are poor, or cold, or hungry; and I wish, I wish they were all as happy as I, because they are my little brothers and sisters.	true	147.32	158.83	27.053633
5731_50776_000004_000007	Now, Uncle Jack, dear, I am going to try and make somebody happy every single Christmas that I live, and this year it is to be the 'Ruggleses in the rear.'"	Now, Uncle Jack, dear, I am going to try and make somebody happy every single Christmas that I live, and this year it is to be the 'Ruggleses in the rear.'"	false	159.11	168.82	24.58057
5731_50776_000005_000000	"That large and interesting brood of children in the little house at the end of the back garden?"	"That large and interesting brood of children in the little house at the end of the back garden?"	true	169.58	174.37	28.421038
5731_50776_000006_000000	"Yes; isn't it nice to see so many together?	"Yes; isn't it nice to see so many together?	true	174.74	177.73	25.124363
5731_50776_000006_000001	We ought to call them the Ruggles children, of course; but Donald began talking of them as the 'Ruggleses in the rear,' and Papa and Mama took it up, and now we cannot seem to help it.	We ought to call them the Ruggles children, of course; but Donald began talking of them as the 'Ruggleses in the rear,' and Papa and Mama took it up, and now we cannot seem to help it.	true	177.8	187.6	26.270699
5731_50776_000006_000002	The house was built for Mr. Carter's coachman, but Mr. Carter lives in Europe, and the gentleman who rents his place doesn't care what happens to it, and so this poor Irish family came to live there.	The house was built for mr Carter's coachman, but mr Carter lives in Europe, and the gentleman who rents his place doesn't care what happens to it, and so this poor Irish family came to live there.	true	188.3	198.52	25.517406
5731_50776_000006_000003	When they first moved in, I used to sit in my window and watch them play in their backyard; they are so strong, and jolly, and good-natured; and then, one day, I had a terrible headache, and Donald asked them if they would please not scream quite so loud, and they explained that they were having a game of circus, but that they would change and play 'Deaf and Dumb School' all the afternoon."	When they first moved in, I used to sit in my window and watch them play in their backyard; they are so strong, and jolly, and good-natured; and then, one day, I had a terrible headache, and Donald asked them if they would please not scream quite so loud, and they explained that they were having a game of circus, but that they would change and play 'Deaf and Dumb School' all the afternoon."	true	198.74	220.425	24.829758
5731_50776_000007_000000	"Ha, ha, ha!" laughed Uncle Jack, "what an obliging family, to be sure."	"Ha, ha, ha!" laughed Uncle Jack, "what an obliging family, to be sure."	false	220.425	225.49	25.845291
