5731_50776_000002_000000	"BIRDS OF A FEATHER FLOCK TOGETHER."	"BIRDS OF A FEATHER FLOCK TOGETHER."
5731_50776_000003_000001	He was not detained by business, nor did he get left behind nor snowed up, as frequently happens in stories, and in real life too, I am afraid.	He was not detained by business, nor did he get left behind nor snowed up, as frequently happens in stories, and in real life too, I am afraid.
5731_50776_000003_000002	The snow-storm came also; and the turkey nearly died a natural and premature death from over-eating.	The snow storm came also; and the turkey nearly died a natural and premature death from over eating.
5731_50776_000003_000003	Donald came, too; Donald, with a line of down upon his upper lip, and Greek and Latin on his tongue, and stores of knowledge in his handsome head, and stories--bless me, you couldn't turn over a chip without reminding Donald of something that happened "at College."	Donald came, too; Donald, with a line of down upon his upper lip, and Greek and Latin on his tongue, and stores of knowledge in his handsome head, and stories-bless me, you couldn't turn over a chip without reminding Donald of something that happened "at College."
5731_50776_000004_000001	Carol's hand (all too thin and white these latter days) lay close clasped in Uncle Jack's, and they talked together quietly of many, many things.	Carol's hand (all too thin and white these latter days) lay close clasped in Uncle Jack's, and they talked together quietly of many, many things.
5731_50776_000004_000004	Mama says she supposes that ever so many other children have been born on that day.	Mama says she supposes that ever so many other children have been born on that day.
5731_50776_000004_000005	I often wonder where they are, Uncle Jack, and whether it is a dear thought to them, too, or whether I am so much in bed, and so often alone, that it means more to me.	I often wonder where they are, Uncle Jack, and whether it is a dear thought to them, too, or whether I am so much in bed, and so often alone, that it means more to me.
5731_50776_000004_000006	Oh, I do hope that none of them are poor, or cold, or hungry; and I wish, I wish they were all as happy as I, because they are my little brothers and sisters.	Oh, I do hope that none of them are poor, or cold, or hungry; and I wish, I wish they were all as happy as I, because they are my little brothers and sisters.
5731_50776_000005_000000	"That large and interesting brood of children in the little house at the end of the back garden?"	"That large and interesting brood of children in the little house at the end of the back garden?"
5731_50776_000006_000000	"Yes; isn't it nice to see so many together?	"Yes; isn't it nice to see so many together?
5731_50776_000006_000001	We ought to call them the Ruggles children, of course; but Donald began talking of them as the 'Ruggleses in the rear,' and Papa and Mama took it up, and now we cannot seem to help it.	We ought to call them the Ruggles children, of course; but Donald began talking of them as the 'Ruggleses in the rear,' and Papa and Mama took it up, and now we cannot seem to help it.
5731_50776_000006_000002	The house was built for Mr. Carter's coachman, but Mr. Carter lives in Europe, and the gentleman who rents his place doesn't care what happens to it, and so this poor Irish family came to live there.	The house was built for mr Carter's coachman, but mr Carter lives in Europe, and the gentleman who rents his place doesn't care what happens to it, and so this poor Irish family came to live there.
5731_50776_000008_000000	"Yes, we all thought it very funny, and I smiled at them from the window when I was well enough to be up again.	"Yes, we all thought it very funny, and I smiled at them from the window when I was well enough to be up again.
5731_50776_000008_000002	Then, one day, 'Cary,' my pet canary, flew out of her cage, and Peter Ruggles caught her and brought her back, and I had him up here in my room to thank him."	Then, one day, 'Cary,' my pet canary, flew out of her cage, and peter Ruggles caught her and brought her back, and I had him up here in my room to thank him."
5731_50776_000009_000000	"Is Peter the oldest?"	"Is peter the oldest?"
5731_50776_000010_000000	"No; Sarah Maud is the oldest--she helps do the washing; and Peter is the next.	"No; Sarah Maud is the oldest-she helps do the washing; and peter is the next.
5731_50776_000010_000001	He is a dressmaker's boy."	He is a dressmaker's boy."
5731_50776_000011_000000	"And which is the pretty little red-haired girl?"	"And which is the pretty little red haired girl?"
5731_50776_000012_000000	"That's Kitty."	"That's Kitty."
5731_50776_000013_000000	"And the fat youngster?"	"And the fat youngster?"
5731_50776_000014_000000	"Baby Larry."	"Baby Larry."
5731_50776_000015_000000	"And that freckled one?"	"And that freckled one?"
5731_50776_000016_000000	"Now, don't laugh--that's Peoria!"	"Now, don't laugh-that's Peoria!"
5731_50776_000017_000000	"Carol, you are joking."	"Carol, you are joking."
5731_50776_000018_000000	"No, really, Uncle dear.	"No, really, Uncle dear.
5731_50776_000018_000001	She was born in Peoria; that's all."	She was born in Peoria; that's all."
5731_50776_000019_000000	"And is the next boy Oshkosh?"	"And is the next boy Oshkosh?"
5731_50776_000020_000000	"No," laughed Carol, "the others are Susan, and Clement, and Eily, and Cornelius."	"No," laughed Carol, "the others are Susan, and Clement, and Eily, and Cornelius."
5731_50776_000021_000000	"How did you ever learn all their names?"	"How did you ever learn all their names?"
5731_50776_000022_000000	"Well, I have what I call a 'window-school.' It is too cold now; but in warm weather I am wheeled out on my little balcony, and the Ruggleses climb up and walk along our garden fence, and sit down on the roof of our carriage-house.	"Well, I have what I call a 'window school.' It is too cold now; but in warm weather I am wheeled out on my little balcony, and the Ruggleses climb up and walk along our garden fence, and sit down on the roof of our carriage house.
5731_50776_000022_000001	That brings them quite near, and I read to them and tell them stories; On Thanksgiving Day they came up for a few minutes, it was quite warm at eleven o'clock, and we told each other what we had to be thankful for; but they gave such queer answers that Papa had to run away for fear of laughing; and I couldn't understand them very well.	That brings them quite near, and I read to them and tell them stories; On Thanksgiving Day they came up for a few minutes, it was quite warm at eleven o'clock, and we told each other what we had to be thankful for; but they gave such queer answers that Papa had to run away for fear of laughing; and I couldn't understand them very well.
