3686_171133_000000_000000	CHAPTER 18.	CHAPTER eighteen.	false	1.59	24.16	19.532454
3686_171133_000001_000000	The Calamities And Slaughters That Came Upon The Jews.	The Calamities And Slaughters That Came Upon The Jews.	true	24.53	27.67	15
3686_171133_000002_000000	1.	one.	true	28.58	29.32	17.614466
3686_171133_000002_000001	Now the people of Cesarea had slain the Jews that were among them on the very same day and hour [when the soldiers were slain], which one would think must have come to pass by the direction of Providence; insomuch that in one hour's time above twenty thousand Jews were killed, and all Cesarea was emptied of its Jewish inhabitants; for Florus caught such as ran away, and sent them in bonds to the galleys.	Now the people of Cesarea had slain the Jews that were among them on the very same day and hour [when the soldiers were slain], which one would think must have come to pass by the direction of Providence; insomuch that in one hour's time above twenty thousand Jews were killed, and all Cesarea was emptied of its Jewish inhabitants; for Florus caught such as ran away, and sent them in bonds to the galleys.	false	29.66	55.27	19.403765
3686_171133_000002_000002	Upon which stroke that the Jews received at Cesarea, the whole nation was greatly enraged; so they divided themselves into several parties, and laid waste the villages of the Syrians, and their neighboring cities, Philadelphia, and Sebonitis, and Gerasa, and Pella, and Scythopolis, and after them Gadara, and Hippos; and falling upon Gaulonitis, some cities they destroyed there, and some they set on fire, and then went to Kedasa, belonging to the Tyrians, and to Ptolemais, and to Gaba, and to Cesarea; nor was either Sebaste [Samaria] or Askelon able to oppose the violence with which they were attacked; and when they had burnt these to the ground; they entirely demolished Anthedon and Gaza; many also of the villages that were about every one of those cities were plundered, and an immense slaughter was made of the men who were caught in them.	Upon which stroke that the Jews received at Cesarea, the whole nation was greatly enraged; so they divided themselves into several parties, and laid waste the villages of the Syrians, and their neighboring cities, Philadelphia, and Sebonitis, and Gerasa, and Pella, and Scythopolis, and after them Gadara, and Hippos; and falling upon Gaulonitis, some cities they destroyed there, and some they set on fire, and then went to Kedasa, belonging to the Tyrians, and to Ptolemais, and to Gaba, and to Cesarea; nor was either Sebaste [Samaria] or Askelon able to oppose the violence with which they were attacked; and when they had burnt these to the ground; they entirely demolished Anthedon and Gaza; many also of the villages that were about every one of those cities were plundered, and an immense slaughter was made of the men who were caught in them.	false	55.67	110.37	19.245106
3686_171133_000003_000000	2.	two.	false	110.37	112.95	16.298862
3686_171133_000003_000001	However, the Syrians were even with the Jews in the multitude of the men whom they slew; for they killed those whom they caught in their cities, and that not only out of the hatred they bare them, as formerly, but to prevent the danger under which they were from them; so that the disorders in all Syria were terrible, and every city was divided into two armies, encamped one against another, and the preservation of the one party was in the destruction of the other; so the day time was spent in shedding of blood, and the night in fear, which was of the two the more terrible; for when the Syrians thought they had ruined the Jews, they had the Judaizers in suspicion also; and as each side did not care to slay those whom they only suspected on the other, so did they greatly fear them when they were mingled with the other, as if they were certainly foreigners.	However, the Syrians were even with the Jews in the multitude of the men whom they slew; for they killed those whom they caught in their cities, and that not only out of the hatred they bare them, as formerly, but to prevent the danger under which they were from them; so that the disorders in all Syria were terrible, and every city was divided into two armies, encamped one against another, and the preservation of the one party was in the destruction of the other; so the day time was spent in shedding of blood, and the night in fear, which was of the two the more terrible; for when the Syrians thought they had ruined the Jews, they had the Judaizers in suspicion also; and as each side did not care to slay those whom they only suspected on the other, so did they greatly fear them when they were mingled with the other, as if they were certainly foreigners.	false	112.95	164.26	18.998795
3686_171133_000003_000002	Moreover, greediness of gain was a provocation to kill the opposite party, even to such as had of old appeared very mild and gentle towards them; for they without fear plundered the effects of the slain, and carried off the spoils of those whom they slew to their own houses, as if they had been gained in a set battle; and he was esteemed a man of honor who got the greatest share, as having prevailed over the greatest number of his enemies.	Moreover, greediness of gain was a provocation to kill the opposite party, even to such as had of old appeared very mild and gentle towards them; for they without fear plundered the effects of the slain, and carried off the spoils of those whom they slew to their own houses, as if they had been gained in a set battle; and he was esteemed a man of honor who got the greatest share, as having prevailed over the greatest number of his enemies.	true	164.87	191.92	19.435701
3686_171133_000003_000003	It was then common to see cities filled with dead bodies, still lying unburied, and those of old men, mixed with infants, all dead, and scattered about together; women also lay amongst them, without any covering for their nakedness: you might then see the whole province full of inexpressible calamities, while the dread of still more barbarous practices which were threatened was every where greater than what had been already perpetrated.	It was then common to see cities filled with dead bodies, still lying unburied, and those of old men, mixed with infants, all dead, and scattered about together; women also lay amongst them, without any covering for their nakedness: you might then see the whole province full of inexpressible calamities, while the dread of still more barbarous practices which were threatened was every where greater than what had been already perpetrated.	false	192.44	218.26	18.884197
3686_171133_000004_000000	3.	three.	true	218.87	219.61	20.580109
3686_171133_000004_000001	And thus far the conflict had been between Jews and foreigners; but when they made excursions to Scythopolis, they found Jew that acted as enemies; for as they stood in battle-array with those of Scythopolis, and preferred their own safety before their relation to us, they fought against their own countrymen; nay, their alacrity was so very great, that those of Scythopolis suspected them.	And thus far the conflict had been between Jews and foreigners; but when they made excursions to Scythopolis, they found Jew that acted as enemies; for as they stood in battle array with those of Scythopolis, and preferred their own safety before their relation to us, they fought against their own countrymen; nay, their alacrity was so very great, that those of Scythopolis suspected them.	true	220.1	243.34	19.225998
