4098_11547_000005_000000	But during the final act she found that he was not looking at the stage at all; but was sitting in the shadow of the box-curtain watching herself.	But during the final act she found that he was not looking at the stage at all; but was sitting in the shadow of the box curtain watching herself.
4098_11547_000005_000001	She had been deeply interested in Marguerite a minute before, and, in her heart-touched pleasure, had leant upon the edge of the box, her whole face thrilled with excitement.	She had been deeply interested in Marguerite a minute before, and, in her heart touched pleasure, had leant upon the edge of the box, her whole face thrilled with excitement.
4098_11547_000007_000000	"What is it, Theodora?" he asked, in a low, clear voice.	"What is it, Theodora?" he asked, in a low, clear voice.
4098_11547_000007_000001	"Is it Marguerite?"	"Is it Marguerite?"
4098_11547_000008_000000	She looked at him in a little fright at herself.	She looked at him in a little fright at herself.
4098_11547_000008_000001	She did not know why she had exclaimed--she scarcely knew how; but when she met his unembarrassed eyes, she began to think that possibly it might be Marguerite.	She did not know why she had exclaimed-she scarcely knew how; but when she met his unembarrassed eyes, she began to think that possibly it might be Marguerite.
4098_11547_000008_000002	Indeed, a second later, she was quite sure it had been Marguerite.	Indeed, a second later, she was quite sure it had been Marguerite.
4098_11547_000009_000000	"Yes--I think so," she faltered.	"Yes-I think so," she faltered.
4098_11547_000009_000001	"Poor Marguerite!	"Poor Marguerite!
4098_11547_000009_000002	If she could only have saved him?"	If she could only have saved him?"
4098_11547_000010_000000	"How?" he asked.	"How?" he asked.
4098_11547_000011_000000	"I don't--at least I scarcely know; but I think the author ought to have made her save him, someway.	"I don't-at least I scarcely know; but I think the author ought to have made her save him, someway.
4098_11547_000011_000001	If--if she could have suffered something, or sacrificed something--"	If-if she could have suffered something, or sacrificed something-"
4098_11547_000012_000000	"Would she have done it if she could?" commented Denis, languidly.	"Would she have done it if she could?" commented Denis, languidly.
4098_11547_000012_000001	He had quite recovered himself by this time.	He had quite recovered himself by this time.
4098_11547_000013_000000	"I would have done it if I had been Marguerite," Theo half whispered.	"I would have done it if I had been Marguerite," Theo half whispered.
4098_11547_000014_000000	In his surprise he forgot his self-possession.	In his surprise he forgot his self possession.
4098_11547_000014_000001	He turned upon her suddenly, and meeting her sweet, world-ignorant eyes, felt the faint, pained shock once more, and strangely enough his first thought was a disconnected one of Priscilla Gower.	He turned upon her suddenly, and meeting her sweet, world ignorant eyes, felt the faint, pained shock once more, and strangely enough his first thought was a disconnected one of Priscilla Gower.
4098_11547_000015_000000	"You?" he said, the next moment.	"You?" he said, the next moment.
4098_11547_000015_000001	"Yes, I believe you would, Theodora."	"Yes, I believe you would, Theodora."
4098_11547_000016_000000	He was sure she would, after that swift glance of his, and--Well, what a happy man he would be for whom this tender young Marguerite would suffer or be sacrificed.	He was sure she would, after that swift glance of his, and-Well, what a happy man he would be for whom this tender young Marguerite would suffer or be sacrificed.
4098_11547_000017_000000	He sat by her side until the curtain fell; but his silent mood seemed to have come upon him again.	He sat by her side until the curtain fell; but his silent mood seemed to have come upon him again.
4098_11547_000018_000000	Bright as the future was, it left a sense of discomfort, he could not explain why.	Bright as the future was, it left a sense of discomfort, he could not explain why.
4098_11547_000018_000001	He dismissed the carriage, and walked down the street, feeling fairly depressed in spirits.	He dismissed the carriage, and walked down the street, feeling fairly depressed in spirits.
4098_11547_000019_000000	He had, perhaps, never given the girl a thought before, unless when chance had thrown them together, and even then his thoughts had been common admiring ones.	He had, perhaps, never given the girl a thought before, unless when chance had thrown them together, and even then his thoughts had been common admiring ones.
4098_11547_000019_000001	She had pleased him, and he had tried to amuse her in a careless, well-meant fashion, though he had never made fine speeches to her, as nine men out of ten would have done.	She had pleased him, and he had tried to amuse her in a careless, well meant fashion, though he had never made fine speeches to her, as nine men out of ten would have done.
4098_11547_000019_000002	He had been so used to Priscilla, that it never occurred to him that a girl so young as this one could be a woman.	He had been so used to Priscilla, that it never occurred to him that a girl so young as this one could be a woman.
4098_11547_000019_000003	And, after all, his blindness had not been the result of any frivolous lack of thought.	And, after all, his blindness had not been the result of any frivolous lack of thought.
4098_11547_000019_000004	A sharp experience had made him as thoroughly a man of the world as a man may be; but it had not made him callous or indifferent to the beauties of life.	A sharp experience had made him as thoroughly a man of the world as a man may be; but it had not made him callous or indifferent to the beauties of life.
4098_11547_000019_000005	No one would ever have called him emotional, or prone to enthusiasms of a weak kind, and yet he was by no means hard of heart.	No one would ever have called him emotional, or prone to enthusiasms of a weak kind, and yet he was by no means hard of heart.
4098_11547_000019_000006	He had quiet fancies of his own about people and things, and many of these reticent, rarely-expressed ideas were reverent, chivalrous ones of women.	He had quiet fancies of his own about people and things, and many of these reticent, rarely expressed ideas were reverent, chivalrous ones of women.
4098_11547_000019_000007	The opposing force of a whole world could never have shaken his faith in Priscilla Gower, or touched his respect for her; but though, perhaps, he had never understood it so, he had never felt very enthusiastically concerning her.	The opposing force of a whole world could never have shaken his faith in Priscilla Gower, or touched his respect for her; but though, perhaps, he had never understood it so, he had never felt very enthusiastically concerning her.
