3185_163505_000000_000000	THE BLUE BELT	THE BLUE BELT	true	25.38	26.47	21.47324
3185_163505_000001_000000	Once on a time there was an old beggar-woman, who had gone out to beg.	Once on a time there was an old beggar woman, who had gone out to beg.	true	28.22	32.565	21.44876
3185_163505_000001_000001	She had a little lad with her, and when she had got her bag full, she struck across the hills towards her own home.	She had a little lad with her, and when she had got her bag full, she struck across the hills towards her own home.	true	32.565	38.385	22.01733
3185_163505_000001_000002	So when they had gone a bit up the hill-side, they came upon a little blue belt, which lay where two paths met, and the lad asked his mother's leave to pick it up.	So when they had gone a bit up the hill side, they came upon a little blue belt, which lay where two paths met, and the lad asked his mother's leave to pick it up.	true	38.385	47.025	24.074764
3185_163505_000002_000000	'No', said she, 'maybe there's witchcraft in it'; and so with threats she forced him to follow her.	'No', said she, 'maybe there's witchcraft in it'; and so with threats she forced him to follow her.	true	47.025	53.32	26.486195
3185_163505_000002_000001	But when they had gone a bit further, the lad said he must turn aside a moment out of the road, and meanwhile his mother sat down on a tree-stump.	But when they had gone a bit further, the lad said he must turn aside a moment out of the road, and meanwhile his mother sat down on a tree stump.	true	53.42	60.81	20.290457
3185_163505_000002_000002	But the lad was a long time gone, for as soon as he got so far into the wood, that the old dame could not see him, he ran off to where the belt lay, took it up, tied it round his waist, and lo! he felt as strong as if he could lift the whole hill.	But the lad was a long time gone, for as soon as he got so far into the wood, that the old dame could not see him, he ran off to where the belt lay, took it up, tied it round his waist, and lo! he felt as strong as if he could lift the whole hill.	true	60.81	74.47	22.634079
3185_163505_000002_000003	When he got back, the old dame was in a great rage, and wanted to know what he had been doing all that while.	When he got back, the old dame was in a great rage, and wanted to know what he had been doing all that while.	true	74.87	80.59	19.176874
3185_163505_000002_000004	You don't care how much time you waste, and yet you know the night is drawing on, and we must cross the hill before it is dark!' So on they tramped; but when they had got about half-way, the old dame grew weary, and said she must rest under a bush.	You don't care how much time you waste, and yet you know the night is drawing on, and we must cross the hill before it is dark!' So on they tramped; but when they had got about half-way, the old dame grew weary, and said she must rest under a bush.	false	80.66	94.35	23.268602
3185_163505_000003_000000	'Dear mother', said the lad, 'mayn't I just go up to the top of this high crag while you rest, and try if I can't see some sign of folk hereabouts?'	'Dear mother', said the lad, 'mayn't I just go up to the top of this high crag while you rest, and try if I can't see some sign of folk hereabouts?'	true	94.35	102.64	22.68857
3185_163505_000004_000000	Yes! he might do that; so when he had got to the top, he saw a light shining from the north.	Yes! he might do that; so when he had got to the top, he saw a light shining from the north.	true	103.04	109.12	23.421993
3185_163505_000004_000001	So he ran down and told his mother.	So he ran down and told his mother.	true	109.16	110.98	21.380016
