3185_163505_000000_000000	THE BLUE BELT	THE BLUE BELT
3185_163505_000001_000000	Once on a time there was an old beggar-woman, who had gone out to beg.	Once on a time there was an old beggar woman, who had gone out to beg.
3185_163505_000001_000001	She had a little lad with her, and when she had got her bag full, she struck across the hills towards her own home.	She had a little lad with her, and when she had got her bag full, she struck across the hills towards her own home.
3185_163505_000001_000002	So when they had gone a bit up the hill-side, they came upon a little blue belt, which lay where two paths met, and the lad asked his mother's leave to pick it up.	So when they had gone a bit up the hill side, they came upon a little blue belt, which lay where two paths met, and the lad asked his mother's leave to pick it up.
3185_163505_000002_000000	'No', said she, 'maybe there's witchcraft in it'; and so with threats she forced him to follow her.	'No', said she, 'maybe there's witchcraft in it'; and so with threats she forced him to follow her.
3185_163505_000002_000001	But when they had gone a bit further, the lad said he must turn aside a moment out of the road, and meanwhile his mother sat down on a tree-stump.	But when they had gone a bit further, the lad said he must turn aside a moment out of the road, and meanwhile his mother sat down on a tree stump.
3185_163505_000002_000002	But the lad was a long time gone, for as soon as he got so far into the wood, that the old dame could not see him, he ran off to where the belt lay, took it up, tied it round his waist, and lo! he felt as strong as if he could lift the whole hill.	But the lad was a long time gone, for as soon as he got so far into the wood, that the old dame could not see him, he ran off to where the belt lay, took it up, tied it round his waist, and lo! he felt as strong as if he could lift the whole hill.
3185_163505_000003_000000	'Dear mother', said the lad, 'mayn't I just go up to the top of this high crag while you rest, and try if I can't see some sign of folk hereabouts?'	'Dear mother', said the lad, 'mayn't I just go up to the top of this high crag while you rest, and try if I can't see some sign of folk hereabouts?'
3185_163505_000004_000000	Yes! he might do that; so when he had got to the top, he saw a light shining from the north.	Yes! he might do that; so when he had got to the top, he saw a light shining from the north.
3185_163505_000004_000001	So he ran down and told his mother.	So he ran down and told his mother.
3185_163505_000005_000000	'We must get on, mother; we are near a house, for I see a bright light shining quite close to us in the north.' Then she rose and shouldered her bag, and set off to see; but they hadn't gone far, before there stood a steep spur of the hill, right across their path.	'We must get on, mother; we are near a house, for I see a bright light shining quite close to us in the north.' Then she rose and shouldered her bag, and set off to see; but they hadn't gone far, before there stood a steep spur of the hill, right across their path.
3185_163505_000006_000000	'Just as I thought!' said the old dame; 'now we can't go a step farther; a pretty bed we shall have here!'	'Just as I thought!' said the old dame; 'now we can't go a step farther; a pretty bed we shall have here!'
3185_163505_000007_000000	But the lad took the bag under one arm, and his mother under the other, and ran straight up the steep crag with them.	But the lad took the bag under one arm, and his mother under the other, and ran straight up the steep crag with them.
3185_163505_000008_000000	'Now, don't you see!	'Now, don't you see!
3185_163505_000008_000001	don't you see that we are close to a house! don't you see the bright light?'	don't you see that we are close to a house! don't you see the bright light?'
3185_163505_000009_000000	But the old dame said those were no Christian folk, but Trolls, for she was at home in all that forest far and near, and knew there was not a living soul in it, until you were well over the ridge, and had come down on the other side.	But the old dame said those were no Christian folk, but Trolls, for she was at home in all that forest far and near, and knew there was not a living soul in it, until you were well over the ridge, and had come down on the other side.
3185_163505_000009_000001	But they went on, and in a little while they came to a great house which was all painted red.	But they went on, and in a little while they came to a great house which was all painted red.
3185_163505_000010_000000	'What's the good?' said the old dame, 'we daren't go in, for here the Trolls live.'	'What's the good?' said the old dame, 'we daren't go in, for here the Trolls live.'
3185_163505_000011_000000	'Don't say so; we must go in.	'Don't say so; we must go in.
3185_163505_000011_000001	There must be men where the lights shine so', said the lad.	There must be men where the lights shine so', said the lad.
3185_163505_000012_000000	'Good evening, grandfather!' said the lad.	'Good evening, grandfather!' said the lad.
3185_163505_000014_000000	'But what's come over your mother?' said the man, after they had chattered a while.	'But what's come over your mother?' said the man, after they had chattered a while.
3185_163505_000014_000001	'I think she swooned away; you had better look after her.'	'I think she swooned away; you had better look after her.'
3185_163505_000015_000000	So the lad went and took hold of the old dame; and dragged her up the hall along the floor.	So the lad went and took hold of the old dame; and dragged her up the hall along the floor.
3185_163505_000015_000001	That brought her to herself, and she kicked, and scratched, and flung herself about, and at last sat down upon a heap of firewood in the corner; but she was so frightened that she scarce dared to look one in the face.	That brought her to herself, and she kicked, and scratched, and flung herself about, and at last sat down upon a heap of firewood in the corner; but she was so frightened that she scarce dared to look one in the face.
3185_163505_000016_000000	After a while, the lad asked if they could spend the night there.	After a while, the lad asked if they could spend the night there.
3185_163505_000017_000000	'Yes, to be sure', said the man.	'Yes, to be sure', said the man.
3185_163505_000019_000000	'Of course', said the man, 'that might be got too.' And after he had sat a while longer, he rose up and threw six loads of dry pitch-pine on the fire.	'Of course', said the man, 'that might be got too.' And after he had sat a while longer, he rose up and threw six loads of dry pitch pine on the fire.
3185_163505_000019_000001	This made the old hag still more afraid.	This made the old hag still more afraid.
3185_163505_000020_000000	'Oh! now he's going to roast us alive', she said, in the corner where she sat.	'Oh! now he's going to roast us alive', she said, in the corner where she sat
3185_163505_000021_000000	And when the wood had burned down to glowing embers, up got the man and strode out of his house.	And when the wood had burned down to glowing embers, up got the man and strode out of his house.
3185_163505_000022_000000	'Heaven bless and help us! what a stout heart you have got', said the old dame; 'don't you see we have got amongst Trolls?'	'Heaven bless and help us! what a stout heart you have got', said the old dame; 'don't you see we have got amongst Trolls?'
3185_163505_000023_000000	'Stuff and nonsense!' said the lad; 'no harm if we have.'	'Stuff and nonsense!' said the lad; 'no harm if we have.'
3185_163505_000024_000000	In a little while back came the man with an ox so fat and big, the lad had never seen its like, and he gave it one blow with his fist under the ear, and down it fell dead on the floor.	In a little while back came the man with an ox so fat and big, the lad had never seen its like, and he gave it one blow with his fist under the ear, and down it fell dead on the floor.
3185_163505_000024_000001	When that was done, he took it up by all the four legs, and laid it on the glowing embers, and turned it and twisted it about till it was burnt brown outside.	When that was done, he took it up by all the four legs, and laid it on the glowing embers, and turned it and twisted it about till it was burnt brown outside.
3185_163505_000024_000002	After that, he went to a cupboard and took out a great silver dish, and laid the ox on it; and the dish was so big that none of the ox hung over on any side.	After that, he went to a cupboard and took out a great silver dish, and laid the ox on it; and the dish was so big that none of the ox hung over on any side.
3185_163505_000024_000003	This he put on the table, and then he went down into the cellar, and fetched a cask of wine, knocked out the head, and put the cask on the table, together with two knives, which were each six feet long.	This he put on the table, and then he went down into the cellar, and fetched a cask of wine, knocked out the head, and put the cask on the table, together with two knives, which were each six feet long.
3185_163505_000024_000004	When this was done, he bade them go and sit down to supper and eat.	When this was done, he bade them go and sit down to supper and eat.
3185_163505_000024_000005	So they went, the lad first and the old dame after, but she began to whimper and wail, and to wonder how she should ever use such knives.	So they went, the lad first and the old dame after, but she began to whimper and wail, and to wonder how she should ever use such knives.
3185_163505_000024_000006	But her son seized one, and began to cut slices out of the thigh of the ox, which he placed before his mother.	But her son seized one, and began to cut slices out of the thigh of the ox, which he placed before his mother.
3185_163505_000025_000000	'Well!	'Well!
3185_163505_000026_000000	As for beds', he said, 'I don't know what's to be done.	As for beds', he said, 'I don't know what's to be done.
3185_163505_000027_000000	'Thank you kindly, that'll do nicely', said the lad; and with that he pulled off his clothes and lay down in the cradle; but, to tell you the truth; it was quite as big as a four-poster.	'Thank you kindly, that'll do nicely', said the lad; and with that he pulled off his clothes and lay down in the cradle; but, to tell you the truth; it was quite as big as a four poster.
3185_163505_000028_000000	'Well!' thought the lad to himself, ''twill never do to go to sleep yet.	'Well!' thought the lad to himself, ''twill never do to go to sleep yet.
3185_163505_000028_000001	I'd best lie awake and listen how things go as the night wears on.'	I'd best lie awake and listen how things go as the night wears on.'
3185_163505_000029_000000	So after a while the man began to talk to the old dame, and at last he said:	So after a while the man began to talk to the old dame, and at last he said:
