6075_57156_000000_000000	CHAPTER XIII.	CHAPTER thirteen.	false	0.18	3.03	11
6075_57156_000001_000000	AT BRAGTON.	AT b r a g t o n.	false	3.03	23.73	18.065786
6075_57156_000002_000000	When the ladies went up-stairs the afternoon was not half over and they did not dine till past seven.	When the ladies went up stairs the afternoon was not half over and they did not dine till past seven.	true	23.73	29.62	13
6075_57156_000002_000001	As Morton returned to the house in the dusk he thought that perhaps Arabella might make some attempt to throw herself in his way.	As Morton returned to the house in the dusk he thought that perhaps Arabella might make some attempt to throw herself in his way.	true	29.99	38.23	18
6075_57156_000002_000002	She had often done so when they were not engaged, and surely she might do so now.	She had often done so when they were not engaged, and surely she might do so now.	true	38.6	43.6	14
6075_57156_000002_000003	There was nothing to prevent her coming down to the library when she had got rid of her travelling clothes, and in this hope he looked into the room.	There was nothing to prevent her coming down to the library when she had got rid of her travelling clothes, and in this hope he looked into the room.	true	44.27	52.06	17.933153
6075_57156_000002_000004	As soon as the door was open the Senator, who was preparing his lecture in his mind, at once asked whether no one in England had an apparatus for warming rooms such as was to be found in every well-built house in the States.	As soon as the door was open the Senator, who was preparing his lecture in his mind, at once asked whether no one in England had an apparatus for warming rooms such as was to be found in every well built house in the States.	true	52.31	66.07	15
6075_57156_000002_000005	The Paragon hardly vouchsafed him a word of reply, but escaped up-stairs, trusting that he might meet Miss Trefoil on the way.	The Paragon hardly vouchsafed him a word of reply, but escaped up stairs, trusting that he might meet Miss Trefoil on the way.	true	67.04	75.22	17
6075_57156_000002_000006	He was a bold man and even ventured to knock at her door;--but there was no reply, and, fearing the Senator, he had to betake himself to his own privacy.	He was a bold man and even ventured to knock at her door;--but there was no reply, and, fearing the Senator, he had to betake himself to his own privacy.	true	75.89	85.87	18.547747
6075_57156_000002_000007	Miss Trefoil had migrated to her mother's room, and there, over the fire, was holding a little domestic conversation.	Miss Trefoil had migrated to her mother's room, and there, over the fire, was holding a little domestic conversation.	true	86.42	93.4	16
6075_57156_000002_000008	"I never saw such a barrack in my life," said Lady Augustus.	"I never saw such a barrack in my life," said Lady Augustus.	true	93.83	97.47	14
6075_57156_000003_000000	"Of course, mamma, we knew that we should find the house such as it was left a hundred years ago.	"Of course, mamma, we knew that we should find the house such as it was left a hundred years ago.	false	97.47	103.32	17.611694
6075_57156_000003_000001	He told us that himself."	He told us that himself."	true	103.32	105.1	17.483952
6075_57156_000004_000000	"He should have put something in it to make it at any rate decent before we came in."	"He should have put something in it to make it at any rate decent before we came in."	true	106.04	111.07	20.44929
6075_57156_000005_000000	"What's the use if he's to live always at foreign courts?"	"What's the use if he's to live always at foreign courts?"	true	111.53	114.64	15
6075_57156_000006_000000	"He intends to come home sometimes, I suppose, and, if he didn't, you would." Lady Augustus was not going to let her daughter marry a man who could not give her a home for at any rate a part of the year.	"He intends to come home sometimes, I suppose, and, if he didn't, you would." Lady Augustus was not going to let her daughter marry a man who could not give her a home for at any rate a part of the year.	true	115.28	127.42	17
6075_57156_000006_000001	"Of course he must furnish the place and have an immense deal done before he can marry.	"Of course he must furnish the place and have an immense deal done before he can marry.	true	128.3	132.91	16
6075_57156_000006_000002	I think it is a piece of impudence to bring one to such a place as this."	I think it is a piece of impudence to bring one to such a place as this."	true	133.16	137.2	16
6075_57156_000007_000000	"That's nonsense, mamma, because he told us all about it."	"That's nonsense, mamma, because he told us all about it."	true	138.17	141.61	19
6075_57156_000008_000000	"The more I see of it all, Arabella, the more sure I am that it won't do."	"The more I see of it all, Arabella, the more sure I am that it won't do."	false	142.16	146.98	18
6075_57156_000009_000000	"It must do, mamma."	"It must do, mamma."	true	147.11	148.66	17.725708
6075_57156_000010_000000	"Twelve hundred a year is all that he offers, and his lawyer says that he will make no stipulation whatever as to an allowance."	"Twelve hundred a year is all that he offers, and his lawyer says that he will make no stipulation whatever as to an allowance."	true	148.94	156.31	15
6075_57156_000011_000000	"Really, mamma, you might leave that to me."	"Really, mamma, you might leave that to me."	false	156.56	159.01	17
6075_57156_000012_000000	"I like to have everything fixed, my dear,--and certain."	"I like to have everything fixed, my dear,--and certain."	true	159.5	162.91	18.763945
6075_57156_000013_000000	"Nothing really ever is certain.	"Nothing really ever is certain.	true	163.28	165.22	16.11928
6075_57156_000013_000001	While there is anything to get you may be sure that I shall have my share.	While there is anything to get you may be sure that I shall have my share.	true	165.47	169.6	15
6075_57156_000013_000002	As far as money goes I'm not a bit afraid of having the worst of it,--only there will be so very little between us."	As far as money goes I'm not a bit afraid of having the worst of it,--only there will be so very little between us."	true	169.79	176.23	15
6075_57156_000014_000000	"That's just it."	"That's just it."	true	176.78	178	20.080282
6075_57156_000015_000000	"There's no doubt about the property, mamma."	"There's no doubt about the property, mamma."	true	178.28	180.61	18.51763
6075_57156_000016_000000	"A nasty beggarly place!"	"A nasty beggarly place!"	true	180.83	182.74	16
6075_57156_000017_000000	"And from what everybody says he's sure to be a minister or ambassador or something of that sort."	"And from what everybody says he's sure to be a minister or ambassador or something of that sort."	true	183.2	189.06	15
6075_57156_000018_000000	"I've no doubt he will.	"I've no doubt he will.	false	189.06	191.5	15.021592
6075_57156_000018_000001	And where'll he have to go to?	And where'll he have to go to?	false	191.57	193.66	18
