2294_169656_000000_000000	THE LAST OF THE SEA-ROVERS	THE LAST OF THE SEA ROVERS	true	22.77	24.67	21.26752
2294_169656_000001_000000	The Riff Coast Pirates[28]	The Riff Coast Pirates[twenty eight]	false	26.48	33.54	20.88953
2294_169656_000002_000000	W. B. LORD	w b LORD	true	33.54	34.99	21.577145
2294_169656_000003_000000	O nay, O nay, then said our King, O nay, this must not be, To yield to such a rover Myself will not agree; He hath deceived the Frenchman, Likewise the King of Spain, And how can he be true to me, That hath been false to twain?	O nay, O nay, then said our King, O nay, this must not be, To yield to such a rover Myself will not agree; He hath deceived the Frenchman, Likewise the King of Spain, And how can he be true to me, That hath been false to twain?	true	35.45	52.39	19.75057
2294_169656_000004_000000	OLD SEA SONG OF THE YEAR 1620.	OLD SEA SONG OF THE YEAR sixteen twenty.	true	53.24	55.78	19.22549
2294_169656_000005_000000	Probably by this time the greater part of the piratical craft along the Riff coast has been destroyed, and the long-promised Moorish gunboat stationed there to protect foreign shipping.[29] These steps have doubtless been hastened by the fact that the pirates, unfortunately for themselves, attacked a vessel some little time ago belonging to the Sultan of Morocco.	Probably by this time the greater part of the piratical craft along the Riff coast has been destroyed, and the long promised Moorish gunboat stationed there to protect foreign shipping.[twenty nine] These steps have doubtless been hastened by the fact that the pirates, unfortunately for themselves, attacked a vessel some little time ago belonging to the Sultan of Morocco.	false	56.57	75.43	22.997587
2294_169656_000005_000001	For years past the Governments of several European Powers have sought to put friendly pressure upon the Sultan of Morocco to effectually stop the depredations of the Riffian coast pirates.	For years past the Governments of several European Powers have sought to put friendly pressure upon the Sultan of Morocco to effectually stop the depredations of the Riffian coast pirates.	true	76.04	85.87	23
2294_169656_000005_000002	No strong measures, however, were really taken until the above episode occurred.	No strong measures, however, were really taken until the above episode occurred.	true	86.6	90.79	22.638063
2294_169656_000005_000003	It is said that in early days the Moors were some time in accustoming themselves to the perils of the deep.	It is said that in early days the Moors were some time in accustoming themselves to the perils of the deep.	true	91.07	96.4	20.564484
2294_169656_000005_000004	At first they marvelled greatly at "those that go down to the sea in ships, and have their business in great waters," but they did not hasten to follow their example.	At first they marvelled greatly at "those that go down to the sea in ships, and have their business in great waters," but they did not hasten to follow their example.	true	96.83	105.61	19.977598
2294_169656_000005_000005	One eminent ruler of ancient times, in that region, when asked what the sea was like, replied, "The sea is a huge beast which silly folk ride like worms on logs." But it afterwards became clear that the Moors had a strong fancy for the "worms" and "logs" too.	One eminent ruler of ancient times, in that region, when asked what the sea was like, replied, "The sea is a huge beast which silly folk ride like worms on logs." But it afterwards became clear that the Moors had a strong fancy for the "worms" and "logs" too.	true	106.31	122.23	21.994102
2294_169656_000005_000006	They gave up marvelling at those who went to sea, and went on it themselves in search of plunder.	They gave up marvelling at those who went to sea, and went on it themselves in search of plunder.	true	122.6	127.54	24.091654
2294_169656_000005_000007	The risk, the uncertainty, the danger, the sense of superior skill and ingenuity, that attract the adventurous spirit, and the passion for sport, are stated by some writers to have brought such a state of things into existence.	The risk, the uncertainty, the danger, the sense of superior skill and ingenuity, that attract the adventurous spirit, and the passion for sport, are stated by some writers to have brought such a state of things into existence.	true	128.24	140.62	21.746258
2294_169656_000005_000008	One fact seems to be pretty certain, that when these depredations were first made, they took the form of reprisals upon the Spaniards.	One fact seems to be pretty certain, that when these depredations were first made, they took the form of reprisals upon the Spaniards.	true	141.26	147.94	22.83057
2294_169656_000005_000009	No sooner was Granada fallen, than thousands of desperate Moors left the land, disdaining to live under a Spanish yoke.	No sooner was Granada fallen, than thousands of desperate Moors left the land, disdaining to live under a Spanish yoke.	true	148.67	155.53	20.119007
2294_169656_000005_000010	Settling along a portion of the northern coast of Africa, they immediately proceeded to first attack all Spanish vessels that could be found.	Settling along a portion of the northern coast of Africa, they immediately proceeded to first attack all Spanish vessels that could be found.	true	156.08	163	23.611582
2294_169656_000005_000011	Their quickness and knowledge of the coasts gave them the opportunity of reprisals for which they longed.	Their quickness and knowledge of the coasts gave them the opportunity of reprisals for which they longed.	false	163.79	168.19	22.682236
2294_169656_000005_000012	Probably this got monotonous in course of time, for in their wild sea courses they took to harrying the vessels belonging to other nations, and so laid the foundation for a race of pirates, which has continued down to quite recently.	Probably this got monotonous in course of time, for in their wild sea courses they took to harrying the vessels belonging to other nations, and so laid the foundation for a race of pirates, which has continued down to quite recently.	true	168.41	181.03	20.83416
2294_169656_000005_000013	As nowadays, the Moors cruised in boats from the commencement of their marauding expeditions.	As nowadays, the Moors cruised in boats from the commencement of their marauding expeditions.	true	181.7	186.46	22.519413
2294_169656_000005_000014	Each man pulled an oar, and knew how to fight as well as row.	Each man pulled an oar, and knew how to fight as well as row.	true	186.68	190.45	22.113634
2294_169656_000005_000015	Drawing little water, a small squadron of these craft could be pushed up almost any creek, or lie hidden behind a rock, till the enemy came in sight.	Drawing little water, a small squadron of these craft could be pushed up almost any creek, or lie hidden behind a rock, till the enemy came in sight.	true	190.88	199.12	20.278227
2294_169656_000005_000016	Then oars out, and a quick stroke for a few minutes.	Then oars out, and a quick stroke for a few minutes.	true	199.97	202.93	23.732561
2294_169656_000005_000017	Next they were alongside their unsuspecting prey, and pouring in a first volley.	Next they were alongside their unsuspecting prey, and pouring in a first volley.	true	203.3	207.73	22.102907
2294_169656_000005_000018	Ultimately the prize was usually taken, the crew put in irons, and the pirates returned home with their capture, no doubt being received with acclamation upon their arrival.	Ultimately the prize was usually taken, the crew put in irons, and the pirates returned home with their capture, no doubt being received with acclamation upon their arrival.	true	208.34	217.51	22.972132
2294_169656_000006_000000	As far back as the sixteenth century the Spanish forts at Alhucemas--not to mention other places--were established for the purpose of repressing piracy in its vicinity.	As far back as the sixteenth century the Spanish forts at Alhucemas-not to mention other places-were established for the purpose of repressing piracy in its vicinity.	true	218.54	227.68	23.769497
2294_169656_000006_000001	Considerable interest is attached to several of the piracies committed during the past few years, as they culminated in strong representations being made to the Sultan of Morocco by the various Governments under whose flag the respective vessels sailed.	Considerable interest is attached to several of the piracies committed during the past few years, as they culminated in strong representations being made to the Sultan of Morocco by the various Governments under whose flag the respective vessels sailed.	false	228.38	240.49	20
2294_169656_000006_000002	Some of them went so far as to send warships to cruise along the Riffian coast.	Some of them went so far as to send warships to cruise along the Riffian coast.	true	241.04	245.17	20.86424
2294_169656_000006_000003	This step apparently had some moral effect upon the pirates, for from that time onwards attacks upon foreign vessels practically ceased. Something more than this, however, was needed, for no one could say how soon the marauding expeditions might be renewed upon a larger scale than ever, so as to make up for lost opportunities.	This step apparently had some moral effect upon the pirates, for from that time onwards attacks upon foreign vessels practically ceased. Something more than this, however, was needed, for no one could say how soon the marauding expeditions might be renewed upon a larger scale than ever, so as to make up for lost opportunities.	true	245.54	262.96	22.405245
