2294_169656_000000_000000	THE LAST OF THE SEA-ROVERS	THE LAST OF THE SEA ROVERS
2294_169656_000002_000000	W. B. LORD	w b LORD
2294_169656_000005_000001	For years past the Governments of several European Powers have sought to put friendly pressure upon the Sultan of Morocco to effectually stop the depredations of the Riffian coast pirates.	For years past the Governments of several European Powers have sought to put friendly pressure upon the Sultan of Morocco to effectually stop the depredations of the Riffian coast pirates.
2294_169656_000005_000002	No strong measures, however, were really taken until the above episode occurred.	No strong measures, however, were really taken until the above episode occurred.
2294_169656_000005_000003	It is said that in early days the Moors were some time in accustoming themselves to the perils of the deep.	It is said that in early days the Moors were some time in accustoming themselves to the perils of the deep.
2294_169656_000005_000005	One eminent ruler of ancient times, in that region, when asked what the sea was like, replied, "The sea is a huge beast which silly folk ride like worms on logs." But it afterwards became clear that the Moors had a strong fancy for the "worms" and "logs" too.	One eminent ruler of ancient times, in that region, when asked what the sea was like, replied, "The sea is a huge beast which silly folk ride like worms on logs." But it afterwards became clear that the Moors had a strong fancy for the "worms" and "logs" too.
2294_169656_000005_000006	They gave up marvelling at those who went to sea, and went on it themselves in search of plunder.	They gave up marvelling at those who went to sea, and went on it themselves in search of plunder.
2294_169656_000005_000007	The risk, the uncertainty, the danger, the sense of superior skill and ingenuity, that attract the adventurous spirit, and the passion for sport, are stated by some writers to have brought such a state of things into existence.	The risk, the uncertainty, the danger, the sense of superior skill and ingenuity, that attract the adventurous spirit, and the passion for sport, are stated by some writers to have brought such a state of things into existence.
2294_169656_000005_000008	One fact seems to be pretty certain, that when these depredations were first made, they took the form of reprisals upon the Spaniards.	One fact seems to be pretty certain, that when these depredations were first made, they took the form of reprisals upon the Spaniards.
2294_169656_000005_000009	No sooner was Granada fallen, than thousands of desperate Moors left the land, disdaining to live under a Spanish yoke.	No sooner was Granada fallen, than thousands of desperate Moors left the land, disdaining to live under a Spanish yoke.
2294_169656_000005_000010	Settling along a portion of the northern coast of Africa, they immediately proceeded to first attack all Spanish vessels that could be found.	Settling along a portion of the northern coast of Africa, they immediately proceeded to first attack all Spanish vessels that could be found.
2294_169656_000005_000012	Probably this got monotonous in course of time, for in their wild sea courses they took to harrying the vessels belonging to other nations, and so laid the foundation for a race of pirates, which has continued down to quite recently.	Probably this got monotonous in course of time, for in their wild sea courses they took to harrying the vessels belonging to other nations, and so laid the foundation for a race of pirates, which has continued down to quite recently.
2294_169656_000005_000013	As nowadays, the Moors cruised in boats from the commencement of their marauding expeditions.	As nowadays, the Moors cruised in boats from the commencement of their marauding expeditions.
2294_169656_000005_000014	Each man pulled an oar, and knew how to fight as well as row.	Each man pulled an oar, and knew how to fight as well as row.
2294_169656_000005_000015	Drawing little water, a small squadron of these craft could be pushed up almost any creek, or lie hidden behind a rock, till the enemy came in sight.	Drawing little water, a small squadron of these craft could be pushed up almost any creek, or lie hidden behind a rock, till the enemy came in sight.
2294_169656_000005_000016	Then oars out, and a quick stroke for a few minutes.	Then oars out, and a quick stroke for a few minutes.
2294_169656_000005_000017	Next they were alongside their unsuspecting prey, and pouring in a first volley.	Next they were alongside their unsuspecting prey, and pouring in a first volley.
2294_169656_000005_000018	Ultimately the prize was usually taken, the crew put in irons, and the pirates returned home with their capture, no doubt being received with acclamation upon their arrival.	Ultimately the prize was usually taken, the crew put in irons, and the pirates returned home with their capture, no doubt being received with acclamation upon their arrival.
2294_169656_000006_000000	As far back as the sixteenth century the Spanish forts at Alhucemas--not to mention other places--were established for the purpose of repressing piracy in its vicinity.	As far back as the sixteenth century the Spanish forts at Alhucemas-not to mention other places-were established for the purpose of repressing piracy in its vicinity.
2294_169656_000006_000002	Some of them went so far as to send warships to cruise along the Riffian coast.	Some of them went so far as to send warships to cruise along the Riffian coast.
2294_169656_000006_000003	This step apparently had some moral effect upon the pirates, for from that time onwards attacks upon foreign vessels practically ceased. Something more than this, however, was needed, for no one could say how soon the marauding expeditions might be renewed upon a larger scale than ever, so as to make up for lost opportunities.	This step apparently had some moral effect upon the pirates, for from that time onwards attacks upon foreign vessels practically ceased. Something more than this, however, was needed, for no one could say how soon the marauding expeditions might be renewed upon a larger scale than ever, so as to make up for lost opportunities.
2294_169656_000006_000005	Here she got becalmed, and while in that condition two boats approached her from the shore.	Here she got becalmed, and while in that condition two boats approached her from the shore.
2294_169656_000006_000007	When, however, the latter got within a hundred yards or so of the helpless vessel, the suspicions of the crew were aroused.	When, however, the latter got within a hundred yards or so of the helpless vessel, the suspicions of the crew were aroused.
2294_169656_000006_000009	There were only three revolvers on board the schooner, and with these the crew prepared to defend themselves.	There were only three revolvers on board the schooner, and with these the crew prepared to defend themselves.
2294_169656_000006_000010	Soon, however, their supply of ammunition became exhausted, and the pirates boarded the schooner without further opposition.	Soon, however, their supply of ammunition became exhausted, and the pirates boarded the schooner without further opposition.
2294_169656_000006_000012	The ship's own boat was lowered, and into this the marauders put their booty, and took it ashore, also carrying the captain and one of the crew with them.	The ship's own boat was lowered, and into this the marauders put their booty, and took it ashore, also carrying the captain and one of the crew with them.
2294_169656_000006_000013	About an hour later another boat, containing about twenty pirates, came off and fired on the ship.	About an hour later another boat, containing about twenty pirates, came off and fired on the ship.
2294_169656_000006_000014	The crew, seeing that they could offer no effective resistance, hid themselves away in the hold.	The crew, seeing that they could offer no effective resistance, hid themselves away in the hold.
