2010_147045_000003_000000	CHAPTER XXXIII	CHAPTER thirty three
2010_147045_000005_000001	He had read of the murder, and had been shocked, and, in his way, grieved.	He had read of the murder, and had been shocked, and, in his way, grieved.
2010_147045_000006_000000	It was not to save Odette Rider that he sent his note to Scotland Yard, but rather to avenge himself upon the man who had killed the only woman in the world who had touched his warped nature.	It was not to save Odette Rider that he sent his note to Scotland Yard, but rather to avenge himself upon the man who had killed the only woman in the world who had touched his warped nature.
2010_147045_000006_000002	He had the passports which he had secured a year before in readiness for such a step (he had kept that clerical uniform of his by him all that time) and was ready at a moment's notice to leave the country.	He had the passports which he had secured a year before in readiness for such a step (he had kept that clerical uniform of his by him all that time) and was ready at a moment's notice to leave the country.
2010_147045_000007_000000	His tickets were in his pocket, and when he despatched the district messenger to Scotland Yard he was on his way to Waterloo station to catch the Havre boat train.	His tickets were in his pocket, and when he despatched the district messenger to Scotland Yard he was on his way to Waterloo station to catch the Havre boat train.
2010_147045_000008_000001	He turned to look into a brown mask of a face he had seen before.	He turned to look into a brown mask of a face he had seen before.
2010_147045_000010_000000	He had asked the question in identical terms of Sam Stay--his brain told him that much, mechanically.	He had asked the question in identical terms of Sam Stay-his brain told him that much, mechanically.
2010_147045_000011_000001	"It will be better for you if you do not make any trouble."	"It will be better for you if you do not make any trouble."
2010_147045_000012_000000	"You are making a mistake."	"You are making a mistake."
2010_147045_000013_000000	"If I am making a mistake," said Ling Chu calmly, "you have only to tell that policeman that I have mistaken you for Milburgh, who is wanted by the police on a charge of murder, and I shall get into very serious trouble."	"If I am making a mistake," said Ling Chu calmly, "you have only to tell that policeman that I have mistaken you for Milburgh, who is wanted by the police on a charge of murder, and I shall get into very serious trouble."
2010_147045_000014_000000	Milburgh's lips were quivering with fear and his face was a pasty grey.	Milburgh's lips were quivering with fear and his face was a pasty grey.
2010_147045_000015_000000	"I will come," he said.	"I will come," he said.
2010_147045_000016_000002	He was not used to travelling on omnibuses, being something of a sybarite who spared nothing to ensure his own comfort.	He was not used to travelling on omnibuses, being something of a sybarite who spared nothing to ensure his own comfort.
2010_147045_000016_000003	Ling Chu on the contrary had a penchant for buses and seemed to enjoy them.	Ling Chu on the contrary had a penchant for buses and seemed to enjoy them.
2010_147045_000017_000000	No word was spoken until they reached the sitting-room of Tarling's flat. Milburgh expected to see the detective.	No word was spoken until they reached the sitting room of Tarling's flat. Milburgh expected to see the detective.
2010_147045_000017_000002	But there was no sign of Tarling.	But there was no sign of Tarling.
2010_147045_000018_000000	"Now, my friend, what do you want?" he asked.	"Now, my friend, what do you want?" he asked.
2010_147045_000018_000001	"It is true I am Mr. Milburgh, but when you say that I have committed murder you are telling a wicked lie."	"It is true I am mr Milburgh, but when you say that I have committed murder you are telling a wicked lie."
2010_147045_000019_000000	He had gained some courage, because he had expected in the first place to be taken immediately to Scotland Yard and placed in custody.	He had gained some courage, because he had expected in the first place to be taken immediately to Scotland Yard and placed in custody.
2010_147045_000020_000002	He felt something like a wire loop slipped about his wrists, and suffered an excruciating pain as the Chinaman tightened the connecting link of the native handcuff.	He felt something like a wire loop slipped about his wrists, and suffered an excruciating pain as the Chinaman tightened the connecting link of the native handcuff.
2010_147045_000021_000000	"Get up," said Ling Chu sternly, and, exerting a surprising strength, lifted the man to his feet.	"Get up," said Ling Chu sternly, and, exerting a surprising strength, lifted the man to his feet.
2010_147045_000023_000000	There was no answer.	There was no answer.
2010_147045_000023_000001	Ling Chu gripped the man by one hand and opening the door with the other, pushed him into a room which was barely furnished. Against the wall there was an iron bed, and on to this the man was pushed, collapsing in a heap.	Ling Chu gripped the man by one hand and opening the door with the other, pushed him into a room which was barely furnished. Against the wall there was an iron bed, and on to this the man was pushed, collapsing in a heap.
2010_147045_000024_000000	The Chinese thief-catcher went about his work in a scientific fashion. First he fastened and threaded a length of silk rope through one of the rails of the bed and into the slack of this he lifted Milburgh's head, so that he could not struggle except at the risk of being strangled.	The Chinese thief catcher went about his work in a scientific fashion. First he fastened and threaded a length of silk rope through one of the rails of the bed and into the slack of this he lifted Milburgh's head, so that he could not struggle except at the risk of being strangled.
2010_147045_000025_000000	Ling Chu turned him over, unfastened the handcuffs, and methodically bound first one wrist and then the other to the side of the bed.	Ling Chu turned him over, unfastened the handcuffs, and methodically bound first one wrist and then the other to the side of the bed.
2010_147045_000026_000000	"What are you going to do?" repeated Milburgh, but the Chinaman made no reply.	"What are you going to do?" repeated Milburgh, but the Chinaman made no reply.
2010_147045_000027_000000	He produced from a belt beneath his blouse a wicked-looking knife, and the manager opened his mouth to shout.	He produced from a belt beneath his blouse a wicked looking knife, and the manager opened his mouth to shout.
2010_147045_000027_000001	He was beside himself with terror, but any cause for fear had yet to come.	He was beside himself with terror, but any cause for fear had yet to come.
2010_147045_000028_000000	"If you cry out," he said calmly, "the people will think it is I who am singing!	"If you cry out," he said calmly, "the people will think it is I who am singing!
2010_147045_000029_000000	"You are acting illegally," breathed Milburgh, in a last attempt to save the situation.	"You are acting illegally," breathed Milburgh, in a last attempt to save the situation.
2010_147045_000030_000000	"I shall be fortunate," said Ling Chu; "for prison is life.	"I shall be fortunate," said Ling Chu; "for prison is life.
2010_147045_000032_000000	He went to a cupboard in the wall, and took out a small brown bottle, which he placed on a table by the side of the bed.	He went to a cupboard in the wall, and took out a small brown bottle, which he placed on a table by the side of the bed.
2010_147045_000032_000001	Then he himself sat upon the edge of the bed and spoke.	Then he himself sat upon the edge of the bed and spoke.
2010_147045_000032_000002	His English was almost perfect, though now and again he hesitated in the choice of a word, and there were moments when he was a little stilted in his speech, and more than a little pedantic.	His English was almost perfect, though now and again he hesitated in the choice of a word, and there were moments when he was a little stilted in his speech, and more than a little pedantic.
2010_147045_000032_000003	He spoke slowly and with great deliberation.	He spoke slowly and with great deliberation.
2010_147045_000033_000000	"You do not know the Chinese people?	"You do not know the Chinese people?
2010_147045_000033_000001	You have not been or lived in China? When I say lived I do not mean staying for a week at a good hotel in one of the coast towns.	You have not been or lived in China? When I say lived I do not mean staying for a week at a good hotel in one of the coast towns.
2010_147045_000033_000002	Your Mr. Lyne lived in China in that way.	Your mr Lyne lived in China in that way.
2010_147045_000033_000003	It was not a successful residence."	It was not a successful residence."
2010_147045_000034_000000	"I know nothing about Mr. Lyne," interrupted Milburgh, sensing that Ling Chu in some way associated him with Thornton Lyne's misadventures.	"I know nothing about mr Lyne," interrupted Milburgh, sensing that Ling Chu in some way associated him with Thornton Lyne's misadventures.
