2010_147045_000000_000000	He looked around for the "torture bottle," but it was not in sight.	He looked around for the "torture bottle," but it was not in sight.	false	0	9	24.560757
2010_147045_000001_000000	"Who is this?" he asked, and lifted the cloth from the man's face.	"Who is this?" he asked, and lifted the cloth from the man's face.	false	9	19.89	23.421583
2010_147045_000002_000000	It was Milburgh.	It was Milburgh.	false	19.89	22.26	22.110706
2010_147045_000003_000000	CHAPTER XXXIII	CHAPTER thirty three	true	22.26	23.74	24.787064
2010_147045_000004_000000	LING CHU--TORTURER	LING CHU-TORTURER	true	24.05	26.41	18.86171
2010_147045_000005_000000	Much had happened to Mr. Milburgh between the time of his discovery lying bound and helpless and showing evidence that he had been in the hands of a Chinese torturer and the moment he left Sam Stay.	Much had happened to mr Milburgh between the time of his discovery lying bound and helpless and showing evidence that he had been in the hands of a Chinese torturer and the moment he left Sam Stay.	true	27.68	37.51	16
2010_147045_000005_000001	He had read of the murder, and had been shocked, and, in his way, grieved.	He had read of the murder, and had been shocked, and, in his way, grieved.	true	37.97	42.4	20.101019
2010_147045_000006_000000	It was not to save Odette Rider that he sent his note to Scotland Yard, but rather to avenge himself upon the man who had killed the only woman in the world who had touched his warped nature.	It was not to save Odette Rider that he sent his note to Scotland Yard, but rather to avenge himself upon the man who had killed the only woman in the world who had touched his warped nature.	true	42.68	53.68	23
2010_147045_000006_000001	Nor had he any intention of committing suicide.	Nor had he any intention of committing suicide.	true	54.47	57.61	18.09879
2010_147045_000006_000002	He had the passports which he had secured a year before in readiness for such a step (he had kept that clerical uniform of his by him all that time) and was ready at a moment's notice to leave the country.	He had the passports which he had secured a year before in readiness for such a step (he had kept that clerical uniform of his by him all that time) and was ready at a moment's notice to leave the country.	true	57.74	69.82	22.205564
2010_147045_000007_000000	His tickets were in his pocket, and when he despatched the district messenger to Scotland Yard he was on his way to Waterloo station to catch the Havre boat train.	His tickets were in his pocket, and when he despatched the district messenger to Scotland Yard he was on his way to Waterloo station to catch the Havre boat train.	true	71.15	80.14	22
2010_147045_000007_000001	The police, he knew, would be watching the station, but he had no fear that they would discover beneath the benign exterior of a country clergyman, the wanted manager of Lyne's Store, even supposing that there was a warrant out for his arrest.	The police, he knew, would be watching the station, but he had no fear that they would discover beneath the benign exterior of a country clergyman, the wanted manager of Lyne's Store, even supposing that there was a warrant out for his arrest.	true	80.54	92.77	19
2010_147045_000008_000000	He was standing at a bookstall, purchasing literature to while away the hours of the journey, when he felt a hand laid on his arm and experienced a curious sinking sensation.	He was standing at a bookstall, purchasing literature to while away the hours of the journey, when he felt a hand laid on his arm and experienced a curious sinking sensation.	true	93.11	101.86	15
2010_147045_000008_000001	He turned to look into a brown mask of a face he had seen before.	He turned to look into a brown mask of a face he had seen before.	true	102.41	106.18	20
2010_147045_000009_000000	"Well, my man," he asked with a smile, "what can I do for you?"	"Well, my man," he asked with a smile, "what can I do for you?"	true	106.7	110.11	17.005308
2010_147045_000010_000000	He had asked the question in identical terms of Sam Stay--his brain told him that much, mechanically.	He had asked the question in identical terms of Sam Stay-his brain told him that much, mechanically.	true	110.63	116.56	23
2010_147045_000011_000000	"You will come with me, Mr. Milburgh," said Ling Chu.	"You will come with me, mr Milburgh," said Ling Chu.	false	117.02	120.24	21
