7229_80656_000001_000000	Chapter XVII.	Chapter seventeen.
7229_80656_000001_000001	SPRING IN THE BIG WOODS	SPRING IN THE BIG WOODS
7229_80656_000002_000000	That visit to the lumber camp was memorable for Nan Sherwood in more ways than one.	That visit to the lumber camp was memorable for Nan Sherwood in more ways than one.
7229_80656_000002_000001	Her adventure with the lynx she kept secret from her relatives, because of the reason given in the previous chapter.	Her adventure with the lynx she kept secret from her relatives, because of the reason given in the previous chapter.
7229_80656_000002_000002	But there was another incident that marked the occasion to the girl's mind, and that was the threat of Gedney Raffer, reported to her Uncle Henry.	But there was another incident that marked the occasion to the girl's mind, and that was the threat of Gedney Raffer, reported to her Uncle Henry.
7229_80656_000003_000000	Nan thought that such a bad man as Raffer appeared to be would undoubtedly carry out his threat.	Nan thought that such a bad man as Raffer appeared to be would undoubtedly carry out his threat.
7229_80656_000003_000001	He had offered money to have Mr. Sherwood beaten up, and the ruffians he had bribed would doubtless be only too eager to earn the reward.	He had offered money to have mr Sherwood beaten up, and the ruffians he had bribed would doubtless be only too eager to earn the reward.
7229_80656_000004_000000	To tell the truth, for weeks thereafter, Nan never saw a rough-looking man approach the house on the outskirts of Pine Camp, without fearing that here was coming a ruffian bent on her uncle's injury.	To tell the truth, for weeks thereafter, Nan never saw a rough looking man approach the house on the outskirts of Pine Camp, without fearing that here was coming a ruffian bent on her uncle's injury.
7229_80656_000005_000000	That Uncle Henry seemed quite to have forgotten the threat only made Nan more keenly alive to his danger.	That Uncle Henry seemed quite to have forgotten the threat only made Nan more keenly alive to his danger.
7229_80656_000005_000001	She dared not discuss the matter with Aunt Kate, for Nan feared to worry that good woman unnecessarily. Besides, having been used to hiding from her own mother all unpleasant things, the girl naturally displayed the same thoughtfulness for Aunt Kate.	She dared not discuss the matter with Aunt Kate, for Nan feared to worry that good woman unnecessarily. Besides, having been used to hiding from her own mother all unpleasant things, the girl naturally displayed the same thoughtfulness for Aunt Kate.
7229_80656_000006_000000	For, despite Mrs. Henry Sherwood's bruskness and masculine appearance, Nan learned that there were certain matters over which her aunt showed extreme nervousness.	For, despite mrs Henry Sherwood's bruskness and masculine appearance, Nan learned that there were certain matters over which her aunt showed extreme nervousness.
7229_80656_000007_000000	For instance, she was very careful of the lamps used in the house--she insisted upon cleaning and caring for them herself; she would not allow a candle to be used, because it might be overturned; and she saw to it herself that every fire, even the one in Nan's bedroom, was properly banked before the family retired at night.	For instance, she was very careful of the lamps used in the house-she insisted upon cleaning and caring for them herself; she would not allow a candle to be used, because it might be overturned; and she saw to it herself that every fire, even the one in Nan's bedroom, was properly banked before the family retired at night.
7229_80656_000008_000000	Nan had always in mind what Uncle Henry said about mentioning fire to Aunt Kate; so the curious young girl kept her lips closed upon the subject.	Nan had always in mind what Uncle Henry said about mentioning fire to Aunt Kate; so the curious young girl kept her lips closed upon the subject.
7229_80656_000008_000001	But she certainly was desirous of knowing about that fire, so long ago, at Pale Lick, how it came about; if Aunt Kate had really got her great scar there; and if it was really true that two members of her uncle's family had met their death in the conflagration.	But she certainly was desirous of knowing about that fire, so long ago, at Pale Lick, how it came about; if Aunt Kate had really got her great scar there; and if it was really true that two members of her uncle's family had met their death in the conflagration.
7229_80656_000009_000000	She tried not to think at all of Injun Pete.	She tried not to think at all of Injun Pete.
7229_80656_000009_000001	That was too terrible!	That was too terrible!
7229_80656_000010_000000	With all her heart, Nan wished she might do something that would really help Uncle Henry solve his problem regarding the timber rights on the Perkins Tract.	With all her heart, Nan wished she might do something that would really help Uncle Henry solve his problem regarding the timber rights on the Perkins Tract.
7229_80656_000010_000001	The very judge who had granted the injunction forbidding Mr. Sherwood to cut timber on the tract was related to the present owners of the piece of timberland; and the tract had been the basis of a feud in the Perkins family for two generations.	The very judge who had granted the injunction forbidding mr Sherwood to cut timber on the tract was related to the present owners of the piece of timberland; and the tract had been the basis of a feud in the Perkins family for two generations.
