7229_80656_000000_000000	The disfigured face of the half-breed HAD been a shock to her.	The disfigured face of the half breed HAD been a shock to her.	false	0	9.03	23.721586
7229_80656_000000_000001	She could never speak of it afterward.	She could never speak of it afterward.	false	9.03	12.45	28.323193
7229_80656_000000_000002	Indeed, she could not tell Uncle Henry about her meeting with the lynx, and her rescue--she shrank so from recalling Injun Pete's disfigured face.	Indeed, she could not tell Uncle Henry about her meeting with the lynx, and her rescue-she shrank so from recalling Injun Pete's disfigured face.	false	12.45	28.695	26.516876
7229_80656_000001_000000	Chapter XVII.	Chapter seventeen.	true	28.695	30.25	27.027042
7229_80656_000001_000001	SPRING IN THE BIG WOODS	SPRING IN THE BIG WOODS	true	30.41	32.56	27.230833
7229_80656_000002_000000	That visit to the lumber camp was memorable for Nan Sherwood in more ways than one.	That visit to the lumber camp was memorable for Nan Sherwood in more ways than one.	true	35.12	39.97	23.299324
7229_80656_000002_000001	Her adventure with the lynx she kept secret from her relatives, because of the reason given in the previous chapter.	Her adventure with the lynx she kept secret from her relatives, because of the reason given in the previous chapter.	true	40.46	46.84	27.994492
7229_80656_000002_000002	But there was another incident that marked the occasion to the girl's mind, and that was the threat of Gedney Raffer, reported to her Uncle Henry.	But there was another incident that marked the occasion to the girl's mind, and that was the threat of Gedney Raffer, reported to her Uncle Henry.	true	47.27	55.81	27.394352
7229_80656_000003_000000	Nan thought that such a bad man as Raffer appeared to be would undoubtedly carry out his threat.	Nan thought that such a bad man as Raffer appeared to be would undoubtedly carry out his threat.	true	56.78	62.77	28.309908
7229_80656_000003_000001	He had offered money to have Mr. Sherwood beaten up, and the ruffians he had bribed would doubtless be only too eager to earn the reward.	He had offered money to have mr Sherwood beaten up, and the ruffians he had bribed would doubtless be only too eager to earn the reward.	true	63.23	71.98	25.716108
7229_80656_000004_000000	To tell the truth, for weeks thereafter, Nan never saw a rough-looking man approach the house on the outskirts of Pine Camp, without fearing that here was coming a ruffian bent on her uncle's injury.	To tell the truth, for weeks thereafter, Nan never saw a rough looking man approach the house on the outskirts of Pine Camp, without fearing that here was coming a ruffian bent on her uncle's injury.	true	72.8	86.38	24.955141
7229_80656_000005_000000	That Uncle Henry seemed quite to have forgotten the threat only made Nan more keenly alive to his danger.	That Uncle Henry seemed quite to have forgotten the threat only made Nan more keenly alive to his danger.	true	87.83	94.66	24.99334
7229_80656_000005_000001	She dared not discuss the matter with Aunt Kate, for Nan feared to worry that good woman unnecessarily. Besides, having been used to hiding from her own mother all unpleasant things, the girl naturally displayed the same thoughtfulness for Aunt Kate.	She dared not discuss the matter with Aunt Kate, for Nan feared to worry that good woman unnecessarily. Besides, having been used to hiding from her own mother all unpleasant things, the girl naturally displayed the same thoughtfulness for Aunt Kate.	true	95.15	111.88	26.764631
7229_80656_000006_000000	For, despite Mrs. Henry Sherwood's bruskness and masculine appearance, Nan learned that there were certain matters over which her aunt showed extreme nervousness.	For, despite mrs Henry Sherwood's bruskness and masculine appearance, Nan learned that there were certain matters over which her aunt showed extreme nervousness.	true	112.88	124.42	24.812626
7229_80656_000007_000000	For instance, she was very careful of the lamps used in the house--she insisted upon cleaning and caring for them herself; she would not allow a candle to be used, because it might be overturned; and she saw to it herself that every fire, even the one in Nan's bedroom, was properly banked before the family retired at night.	For instance, she was very careful of the lamps used in the house-she insisted upon cleaning and caring for them herself; she would not allow a candle to be used, because it might be overturned; and she saw to it herself that every fire, even the one in Nan's bedroom, was properly banked before the family retired at night.	true	125.93	148.3	23.866829
7229_80656_000008_000000	Nan had always in mind what Uncle Henry said about mentioning fire to Aunt Kate; so the curious young girl kept her lips closed upon the subject.	Nan had always in mind what Uncle Henry said about mentioning fire to Aunt Kate; so the curious young girl kept her lips closed upon the subject.	true	149.9	159.22	22.610226
7229_80656_000008_000001	But she certainly was desirous of knowing about that fire, so long ago, at Pale Lick, how it came about; if Aunt Kate had really got her great scar there; and if it was really true that two members of her uncle's family had met their death in the conflagration.	But she certainly was desirous of knowing about that fire, so long ago, at Pale Lick, how it came about; if Aunt Kate had really got her great scar there; and if it was really true that two members of her uncle's family had met their death in the conflagration.	true	159.74	179.02	25.212788
7229_80656_000009_000000	She tried not to think at all of Injun Pete.	She tried not to think at all of Injun Pete.	true	180.29	183.13	24.56506
7229_80656_000009_000001	That was too terrible!	That was too terrible!	true	183.26	185.47	27.18048
7229_80656_000010_000000	With all her heart, Nan wished she might do something that would really help Uncle Henry solve his problem regarding the timber rights on the Perkins Tract.	With all her heart, Nan wished she might do something that would really help Uncle Henry solve his problem regarding the timber rights on the Perkins Tract.	true	186.98	196.24	24.429972
7229_80656_000010_000001	The very judge who had granted the injunction forbidding Mr. Sherwood to cut timber on the tract was related to the present owners of the piece of timberland; and the tract had been the basis of a feud in the Perkins family for two generations.	The very judge who had granted the injunction forbidding mr Sherwood to cut timber on the tract was related to the present owners of the piece of timberland; and the tract had been the basis of a feud in the Perkins family for two generations.	true	197	212.56	25.679155
7229_80656_000011_000000	Many people were more or less interested in the case and they came to the Sherwood home and talked excitedly about it in the big kitchen.	Many people were more or less interested in the case and they came to the Sherwood home and talked excitedly about it in the big kitchen.	true	214.04	221.62	23.845705
7229_80656_000011_000001	Some advised an utter disregard of the law.	Some advised an utter disregard of the law.	true	222.17	225.58	24.73519
7229_80656_000011_000002	Others were evidently minded to increase the trouble between Raffer and Uncle Henry by malicious tale-bearing.	Others were evidently minded to increase the trouble between Raffer and Uncle Henry by malicious tale bearing.	true	225.89	232.78	24.326822
7229_80656_000012_000000	Often Nan thought of what Uncle Henry had said to old Toby Vanderwiller. She learned that Toby was one of the oldest settlers in this part of the Michigan Peninsula, and in his youth had been a timber runner, that is, a man who by following the surveyors' lines on a piece of timber, and weaving back and forth across it, can judge its market value so nearly right that his employer, the prospective timber merchant, is able to bid intelligently for the so-called "stumpage" on the tract.	Often Nan thought of what Uncle Henry had said to old Toby Vanderwiller. She learned that Toby was one of the oldest settlers in this part of the Michigan Peninsula, and in his youth had been a timber runner, that is, a man who by following the surveyors' lines on a piece of timber, and weaving back and forth across it, can judge its market value so nearly right that his employer, the prospective timber merchant, is able to bid intelligently for the so-called "stumpage" on the tract.	false	234.02	267.25	23.843914
7229_80656_000013_000000	Toby was still a vigorous man save when that bane of the woodsman, rheumatism, laid him by the heels.	Toby was still a vigorous man save when that bane of the woodsman, rheumatism, laid him by the heels.	true	268.55	275.35	23.236946
7229_80656_000013_000001	He had a bit of a farm in the tamarack swamp.	He had a bit of a farm in the tamarack swamp.	true	275.99	278.8	22.786682
7229_80656_000013_000002	Once, being laid up by his arch enemy, with his joints stiffened and muscles throbbing with pain, Toby had seen the gaunt wolf of starvation, more terrible than any timber wolf, waiting at his doorstone.	Once, being laid up by his arch enemy, with his joints stiffened and muscles throbbing with pain, Toby had seen the gaunt wolf of starvation, more terrible than any timber wolf, waiting at his doorstone.	true	279.23	294.49	25.90762
7229_80656_000013_000003	His old wife and a crippled grandson were dependent on Toby, too.	His old wife and a crippled grandson were dependent on Toby, too.	true	295.01	299.56	26.07508
7229_80656_000014_000000	Thus in desperate straits Toby Vanderwiller had accepted help from Gedney Raffer.	Thus in desperate straits Toby Vanderwiller had accepted help from Gedney Raffer.	false	301.28	308.4	26.283916
7229_80656_000014_000001	It was a pitifully small sum Raffer would advance upon the little farm; but it was sufficient to put Toby in the usurer's power.	It was a pitifully small sum Raffer would advance upon the little farm; but it was sufficient to put Toby in the usurer's power.	true	308.4	317.56	26.698189
7229_80656_000014_000002	This was the story Nan learned regarding Toby.	This was the story Nan learned regarding Toby.	true	318.53	321.88	24.593304
7229_80656_000014_000003	And Uncle Henry believed that Toby, with his old-time knowledge of land-boundaries, could tell, if he would, which was right in the present contention between Mr. Sherwood and Gedney Raffer.	And Uncle Henry believed that Toby, with his old time knowledge of land boundaries, could tell, if he would, which was right in the present contention between mr Sherwood and Gedney Raffer.	true	322.31	335.23	25.597755
