205_159056_000000_000001	All LibriVox recordings are in the public domain.	All LibriVox recordings are in the public domain.
205_159056_000000_000002	For more information, or to volunteer, please visit librivox.org.	For more information, or to volunteer, please visit librivox dot org.
205_159056_000005_000000	A Chronicle of Wolfe	A Chronicle of Wolfe
205_159056_000011_000000	AUTHOR'S NOTE	AUTHOR'S NOTE
205_159056_000012_000001	But, since such treatment gives a totally false idea of his achievement, this little sketch, drawn straight from original sources, tries to show him as he really was, a co-worker with the British fleet in a war based entirely on naval strategy and inseparably connected with international affairs of world-wide significance. The only simplification attempted here is that of arrangement and expression.	But, since such treatment gives a totally false idea of his achievement, this little sketch, drawn straight from original sources, tries to show him as he really was, a co-worker with the British fleet in a war based entirely on naval strategy and inseparably connected with international affairs of world-wide significance. The only simplification attempted here is that of arrangement and expression.
205_159056_000013_000000	W.W.	w w
205_159056_000014_000000	Quebec, April 1914.	Quebec, april nineteen fourteen.
205_159056_000018_000000	CHAPTER I -- THE BOY, 1727-1741	CHAPTER one -- THE BOY, seventeen twenty seven to seventeen forty one
205_159056_000019_000000	Wolfe was a soldier born.	Wolfe was a soldier born.
205_159056_000019_000002	His father fought under the great Duke of Marlborough in the war against France at the beginning of the eighteenth century.	His father fought under the great Duke of Marlborough in the war against France at the beginning of the eighteenth century.
205_159056_000019_000004	Nor has the martial spirit deserted the descendants of the Wolfes in the generation now alive.	Nor has the martial spirit deserted the descendants of the Wolfes in the generation now alive.
205_159056_000020_000001	Many hundreds of years ago their forefathers lived in England and later on in Wales.	Many hundreds of years ago their forefathers lived in England and later on in Wales.
205_159056_000020_000002	Later still, in the fifteenth century, before America was discovered, they were living in Ireland.	Later still, in the fifteenth century, before America was discovered, they were living in Ireland.
205_159056_000020_000003	Wolfe's father, however, was born in England; and, as there is no evidence that any of his ancestors in Ireland had married other than English Protestants, and as Wolfe's mother was also English, we may say that the victor of Quebec was a pure-bred Englishman.	Wolfe's father, however, was born in England; and, as there is no evidence that any of his ancestors in Ireland had married other than English Protestants, and as Wolfe's mother was also English, we may say that the victor of Quebec was a pure bred Englishman.
205_159056_000020_000004	Among his Anglo-Irish kinsmen were the Goldsmiths and the Seymours.	Among his Anglo Irish kinsmen were the Goldsmiths and the Seymours.
205_159056_000020_000005	Oliver Goldsmith himself was always very proud of being a cousin of the man who took Quebec.	Oliver Goldsmith himself was always very proud of being a cousin of the man who took Quebec.
