4434_73957_000002_000001	Any of them may be planted in company, for all their colours harmonise.	Any of them may be planted in company, for all their colours harmonise.
4434_73957_000002_000003	The plantation is long in shape, straggling over a space of about half an acre, the largest and strongest-coloured group being in an open clearing about midway in the length.	The plantation is long in shape, straggling over a space of about half an acre, the largest and strongest coloured group being in an open clearing about midway in the length.
4434_73957_000003_000001	Though both enjoy a moist peat soil, and have a near botanical relationship, they are incongruous in appearance, and impossible to group together for colour.	Though both enjoy a moist peat soil, and have a near botanical relationship, they are incongruous in appearance, and impossible to group together for colour.
4434_73957_000003_000002	This must be understood to apply to the two classes of plants of the hardy kinds, as commonly grown in gardens.	This must be understood to apply to the two classes of plants of the hardy kinds, as commonly grown in gardens.
4434_73957_000003_000003	There are tender kinds of the East Indian families that are quite harmonious, but those now in question are the ordinary varieties of so-called Ghent Azaleas, and the hardy hybrid Rhododendrons.	There are tender kinds of the East Indian families that are quite harmonious, but those now in question are the ordinary varieties of so-called Ghent Azaleas, and the hardy hybrid Rhododendrons.
4434_73957_000003_000004	In the case of small gardens, where there is only room for one bed or clump of peat plants, it would be better to have a group of either one or the other of these plants, rather than spoil the effect by the inharmonious mixture of both.	In the case of small gardens, where there is only room for one bed or clump of peat plants, it would be better to have a group of either one or the other of these plants, rather than spoil the effect by the inharmonious mixture of both.
4434_73957_000004_000000	I always think it desirable to group together flowers that bloom at the same time.	I always think it desirable to group together flowers that bloom at the same time.
4434_73957_000004_000001	It is impossible, and even undesirable, to have a garden in blossom all over, and groups of flower-beauty are all the more enjoyable for being more or less isolated by stretches of intervening greenery.	It is impossible, and even undesirable, to have a garden in blossom all over, and groups of flower beauty are all the more enjoyable for being more or less isolated by stretches of intervening greenery.
4434_73957_000004_000003	The old Guelder Rose or Snowball-tree is beautiful anywhere, but I think it best of all on the cold side of a wall.	The old Guelder Rose or Snowball tree is beautiful anywhere, but I think it best of all on the cold side of a wall.
4434_73957_000004_000005	Moreover, as there is necessarily less wood in a flat wall tree than in a round bush, and as the front shoots must be pruned close back, it follows that much more strength is thrown into the remaining wood, and the blooms are much larger.	Moreover, as there is necessarily less wood in a flat wall tree than in a round bush, and as the front shoots must be pruned close back, it follows that much more strength is thrown into the remaining wood, and the blooms are much larger.
4434_73957_000005_000001	The two flower at the same time, their growths mingling in friendly fashion, while their unlikeness of habit makes the companionship all the more interesting.	The two flower at the same time, their growths mingling in friendly fashion, while their unlikeness of habit makes the companionship all the more interesting.
4434_73957_000005_000002	The Guelder Rose is a stiff-wooded thing, the character of its main stems being a kind of stark uprightness, though the great white balls hang out with a certain freedom from the newly-grown shoots.	The Guelder Rose is a stiff wooded thing, the character of its main stems being a kind of stark uprightness, though the great white balls hang out with a certain freedom from the newly grown shoots.
4434_73957_000005_000003	The Clematis meets it with an exactly opposite way of growth, swinging down its great swags of many-flowered garland masses into the head of its companion, with here and there a single flowering streamer making a tiny wreath on its own account.	The Clematis meets it with an exactly opposite way of growth, swinging down its great swags of many flowered garland masses into the head of its companion, with here and there a single flowering streamer making a tiny wreath on its own account.
4434_73957_000006_000001	Buttresses flank the doorway on this side, dying away into the general thickness of the wall above the arch by a kind of roofing of broad flat stones that lay back at an easy pitch.	Buttresses flank the doorway on this side, dying away into the general thickness of the wall above the arch by a kind of roofing of broad flat stones that lay back at an easy pitch.
4434_73957_000006_000003	Above all is the same white Clematis, some of its abundant growth having been trained over the south side, so that this one plant plays a somewhat important part in two garden-scenes.	Above all is the same white Clematis, some of its abundant growth having been trained over the south side, so that this one plant plays a somewhat important part in two garden scenes.
4434_73957_000007_000002	Thus the Paeonies are protected all round, for they like a sheltered place, and the Moutans do best with even a little passing shade at some time of the day.	Thus the Paeonies are protected all round, for they like a sheltered place, and the Moutans do best with even a little passing shade at some time of the day.
4434_73957_000007_000004	For an immense hardy flower of beautiful colouring what can equal the salmon-rose Moutan Reine Elizabeth?	For an immense hardy flower of beautiful colouring what can equal the salmon rose Moutan Reine Elizabeth?
4434_73957_000007_000006	The Tree Paeonies are also beautiful in leaf; the individual leaves are large and important, and so carried that they are well displayed.	The Tree Paeonies are also beautiful in leaf; the individual leaves are large and important, and so carried that they are well displayed.
4434_73957_000010_000001	This is probably the reason why they are so difficult to establish, and so slow to grow, especially on light soils, even when their beds have been made deep and liberally enriched with what one judges to be the most gratifying comfort.	This is probably the reason why they are so difficult to establish, and so slow to grow, especially on light soils, even when their beds have been made deep and liberally enriched with what one judges to be the most gratifying comfort.
4434_73957_000010_000002	Every now and then, just before blooming time, a plant goes off all at once, smitten with sudden death.	Every now and then, just before blooming time, a plant goes off all at once, smitten with sudden death.
4434_73957_000010_000003	At the time of making my collection I was unable to visit the French nurseries where these plants are so admirably grown, and whence most of the best kinds have come.	At the time of making my collection I was unable to visit the French nurseries where these plants are so admirably grown, and whence most of the best kinds have come.
4434_73957_000010_000005	Many of the plants therefore had to be shifted into better groups for colour after their first blooming, a matter the more to be regretted as Paeonies dislike being moved.	Many of the plants therefore had to be shifted into better groups for colour after their first blooming, a matter the more to be regretted as Paeonies dislike being moved.
4434_73957_000011_000001	Though among these, as is the case with all the kinds, there is a preponderance of pink or rose-crimson colouring of a decidedly rank quality, yet the number of varieties is so great, that among the minority of really good colouring there are plenty to choose from, including a good number of beautiful whites and whites tinged with yellow.	Though among these, as is the case with all the kinds, there is a preponderance of pink or rose crimson colouring of a decidedly rank quality, yet the number of varieties is so great, that among the minority of really good colouring there are plenty to choose from, including a good number of beautiful whites and whites tinged with yellow.
4434_73957_000011_000002	Of those I have, the kinds I like best are--	Of those I have, the kinds I like best are-
4434_73957_000013_000000	Many of the lovely flowers in this class have a rather strong, sweet smell, something like a mixture of the scents of Rose and Tulip.	Many of the lovely flowers in this class have a rather strong, sweet smell, something like a mixture of the scents of Rose and Tulip.
4434_73957_000014_000001	They are in three distinct colourings--full rich crimson, crimson-rose, and pale pink changing to dull white.	They are in three distinct colourings-full rich crimson, crimson rose, and pale pink changing to dull white.
4434_73957_000014_000002	These are the earliest to flower, and with them it is convenient, from the garden point of view, to class some of the desirable species.	These are the earliest to flower, and with them it is convenient, from the garden point of view, to class some of the desirable species.
4434_73957_000015_000000	Some years ago my friend Mr. Barr kindly gave me a set of the Paeony species as grown by him.	Some years ago my friend mr Barr kindly gave me a set of the Paeony species as grown by him.
4434_73957_000015_000001	I wished to have them, not for the sake of making a collection, but in order to see which were the ones I should like best to grow as garden flowers.	I wished to have them, not for the sake of making a collection, but in order to see which were the ones I should like best to grow as garden flowers.
4434_73957_000015_000002	In due time they grew into strong plants and flowered.	In due time they grew into strong plants and flowered.
4434_73957_000016_000000	All Paeonies are strong feeders.	All Paeonies are strong feeders.
4434_73957_000017_000000	Friends often ask me vaguely about Paeonies, and when I say, "What kind of Paeonies?" they have not the least idea.	Friends often ask me vaguely about Paeonies, and when I say, "What kind of Paeonies?" they have not the least idea.
4434_73957_000018_000000	Broadly, and for garden purposes, one may put them into three classes--	Broadly, and for garden purposes, one may put them into three classes-
4434_73957_000019_000000	1.	one.
4434_73957_000021_000000	3.	three.
4434_73957_000022_000001	They are in a wide border on the north side of the high wall and partly shaded by it.	They are in a wide border on the north side of the high wall and partly shaded by it.
