596_139612_000000_000000	This is the congratulatory ending of the Happy Hunter and the Skillful Fisher.	This is the congratulatory ending of the Happy Hunter and the Skillful Fisher.	false	3.93	24.21	21.82671
596_139612_000001_000000	THE STORY OF THE OLD MAN WHO MADE WITHERED TREES TO FLOWER.	THE STORY OF THE OLD MAN w h o MADE WITHERED TREES TO FLOWER.	false	24.21	28.45	16
596_139612_000002_000000	Long, long ago there lived an old man and his wife who supported themselves by cultivating a small plot of land.	Long, long ago there lived an old man and his wife who supported themselves by cultivating a small plot of land.	true	29.24	37.24	14
596_139612_000002_000001	Their life had been a very happy and peaceful one save for one great sorrow, and this was they had no child.	Their life had been a very happy and peaceful one save for one great sorrow, and this was they had no child.	true	37.43	46.03	16
596_139612_000002_000002	Their only pet was a dog named Shiro, and on him they lavished all the affection of their old age.	Their only pet was a dog named Shiro, and on him they lavished all the affection of their old age.	true	46.16	53.89	20
596_139612_000002_000003	Indeed, they loved him so much that whenever they had anything nice to eat they denied themselves to give it to Shiro.	Indeed, they loved him so much that whenever they had anything nice to eat they denied themselves to give it to Shiro.	true	54.14	62.8	20.450674
596_139612_000002_000004	Now Shiro means "white," and he was so called because of his color.	Now Shiro means "white," and he was so called because of his color.	true	62.87	67.93	22
596_139612_000002_000005	He was a real Japanese dog, and very like a small wolf in appearance.	He was a real Japanese dog, and very like a small wolf in appearance.	true	68.27	74.11	18
596_139612_000003_000000	The happiest hour of the day both for the old man and his dog was when the man returned from his work in the field, and having finished his frugal supper of rice and vegetables, would take what he had saved from the meal out to the little veranda that ran round the cottage.	The happiest hour of the day both for the old man and his dog was when the man returned from his work in the field, and having finished his frugal supper of rice and vegetables, would take what he had saved from the meal out to the little veranda that ran round the cottage.	true	74.54	90.73	12
596_139612_000003_000001	Sure enough, Shiro was waiting for his master and the evening tit-bit.	Sure enough, Shiro was waiting for his master and the evening tit bit.	true	91.04	96.01	20
596_139612_000003_000002	Then the old man said "Chin, chin!" and Shiro sat up and begged, and his master gave him the food.	Then the old man said "Chin, chin!" and Shiro sat up and begged, and his master gave him the food.	true	96.29	103.78	18.233545
596_139612_000003_000003	Next door to this good old couple there lived another old man and his wife who were both wicked and cruel, and who hated their good neighbors and the dog Shiro with all their might. Whenever Shiro happened to look into their kitchen they at once kicked him or threw something at him, sometimes even wounding him.	Next door to this good old couple there lived another old man and his wife who were both wicked and cruel, and who hated their good neighbors and the dog Shiro with all their might. Whenever Shiro happened to look into their kitchen they at once kicked him or threw something at him, sometimes even wounding him.	false	104	124.12	20
596_139612_000004_000000	One day Shiro was heard barking for a long time in the field at the back of his master's house.	One day Shiro was heard barking for a long time in the field at the back of his master's house.	false	124.37	130.72	11
596_139612_000004_000001	The old man, thinking that perhaps some birds were attacking the corn, hurried out to see what was the matter. As soon as Shiro saw his master he ran to meet him, wagging his tail, and, seizing the end of his kimono, dragged him under a large yenoki tree.	The old man, thinking that perhaps some birds were attacking the corn, hurried out to see what was the matter. As soon as Shiro saw his master he ran to meet him, wagging his tail, and, seizing the end of his kimono, dragged him under a large yenoki tree.	false	130.82	147.22	13
596_139612_000004_000002	Here he began to dig very industriously with his paws, yelping with joy all the time.	Here he began to dig very industriously with his paws, yelping with joy all the time.	true	147.47	154.06	16
596_139612_000004_000003	The old man, unable to understand what it all meant, stood looking on in bewilderment.	The old man, unable to understand what it all meant, stood looking on in bewilderment.	true	154.34	160.87	16
596_139612_000004_000004	But Shiro went on barking and digging with all his might.	But Shiro went on barking and digging with all his might.	true	161.03	164.83	14
596_139612_000005_000000	The thought that something might be hidden beneath the tree, and that the dog had scented it, at last struck the old man.	The thought that something might be hidden beneath the tree, and that the dog had scented it, at last struck the old man.	true	165.05	172.51	19
596_139612_000005_000001	He ran back to the house, fetched his spade and began to dig the ground at that spot.	He ran back to the house, fetched his spade and began to dig the ground at that spot.	true	172.79	178.48	20
596_139612_000005_000002	What was his astonishment when, after digging for some time, he came upon a heap of old and valuable coins, and the deeper he dug the more gold coins did he find.	What was his astonishment when, after digging for some time, he came upon a heap of old and valuable coins, and the deeper he dug the more gold coins did he find.	true	178.67	190.96	16
596_139612_000005_000003	So intent was the old man on his work that he never saw the cross face of his neighbor peering at him through the bamboo hedge.	So intent was the old man on his work that he never saw the cross face of his neighbor peering at him through the bamboo hedge.	true	191.27	199.72	11
596_139612_000005_000004	At last all the gold coins lay shining on the ground.	At last all the gold coins lay shining on the ground.	true	199.91	204.04	18
596_139612_000005_000005	Shiro sat by erect with pride and looking fondly at his master as if to say, "You see, though only a dog, I can make some return for all the kindness you show me."	Shiro sat by erect with pride and looking fondly at his master as if to say, "You see, though only a dog, I can make some return for all the kindness you show me."	true	204.23	215.62	15
596_139612_000006_000000	The old man ran in to call his wife, and together they carried home the treasure.	The old man ran in to call his wife, and together they carried home the treasure.	true	215.99	221.44	13
596_139612_000006_000001	Thus in one day the poor old man became rich.	Thus in one day the poor old man became rich.	true	221.72	226.15	16
596_139612_000006_000002	His gratitude to the faithful dog knew no bounds, and he loved and petted him more than ever, if that were possible.	His gratitude to the faithful dog knew no bounds, and he loved and petted him more than ever, if that were possible.	true	226.4	234.94	16
596_139612_000007_000000	The cross old neighbor, attracted by Shiro's barking, had been an unseen and envious witness of the finding of the treasure.	The cross old neighbor, attracted by Shiro's barking, had been an unseen and envious witness of the finding of the treasure.	true	235.19	243.46	12
596_139612_000007_000001	He began to think that he, too, would like to find a fortune.	He began to think that he, too, would like to find a fortune.	true	243.74	248.08	15
596_139612_000007_000002	So a few days later he called at the old man's house and very ceremoniously asked permission to borrow Shiro for a short time.	So a few days later he called at the old man's house and very ceremoniously asked permission to borrow Shiro for a short time.	true	248.33	258.31	14
