64_73712_000005_000000	CHAPTER III.	CHAPTER three.
64_73712_000007_000000	IT WAS about three weeks after Ferdinand Armine had quitted Ducie that Mr. Temple entered the breakfast-room one morning, with an open note in his hand, and told Henrietta to prepare for visitors, as her old friend, Lady Bellair, had written to apprise him of her intention to rest the night at Ducie, on her way to the North.	IT WAS about three weeks after Ferdinand Armine had quitted Ducie that mr Temple entered the breakfast room one morning, with an open note in his hand, and told Henrietta to prepare for visitors, as her old friend, Lady Bellair, had written to apprise him of her intention to rest the night at Ducie, on her way to the North.
64_73712_000008_000000	'She brings with her also the most charming woman in the world,' added Mr. Temple, with a smile.	'She brings with her also the most charming woman in the world,' added mr Temple, with a smile.
64_73712_000009_000000	'I have little doubt Lady Bellair deems her companion so at present,' said Miss Temple, 'whoever she may be; but, at any rate, I shall be glad to see her ladyship, who is certainly one of the most amusing women in the world.'	'I have little doubt Lady Bellair deems her companion so at present,' said Miss Temple, 'whoever she may be; but, at any rate, I shall be glad to see her ladyship, who is certainly one of the most amusing women in the world.'
64_73712_000011_000001	We shall all be well cross-examined as to the state of the establishment; and so I advise you to be prepared.	We shall all be well cross examined as to the state of the establishment; and so I advise you to be prepared.
64_73712_000011_000002	Her ladyship is a rum one, and that's the truth.'	Her ladyship is a rum one, and that's the truth.'
64_73712_000012_000000	In due course of time, a handsome travelling chariot, emblazoned with a viscount's coronet, and carrying on the seat behind a portly man-servant and a lady's maid, arrived at Ducie.	In due course of time, a handsome travelling chariot, emblazoned with a viscount's coronet, and carrying on the seat behind a portly man servant and a lady's maid, arrived at Ducie.
64_73712_000013_000000	The green parrot, in its sparkling cage, followed next, and then came forth the prettiest, liveliest, smallest, best-dressed, and, stranger than all, oldest little lady in the world.	The green parrot, in its sparkling cage, followed next, and then came forth the prettiest, liveliest, smallest, best dressed, and, stranger than all, oldest little lady in the world.
64_73712_000013_000001	Lady Bellair was of childlike stature, and quite erect, though ninety years of age; the tasteful simplicity of her costume, her little plain white silk bonnet, her grey silk dress, her apron, her grey mittens, and her Cinderella shoes, all admirably contrasted with the vast and flaunting splendour of her companion, not less than her ladyship's small yet exquisitely proportioned form, her highly-finished extremities, and her keen sarcastic grey eye.	Lady Bellair was of childlike stature, and quite erect, though ninety years of age; the tasteful simplicity of her costume, her little plain white silk bonnet, her grey silk dress, her apron, her grey mittens, and her Cinderella shoes, all admirably contrasted with the vast and flaunting splendour of her companion, not less than her ladyship's small yet exquisitely proportioned form, her highly finished extremities, and her keen sarcastic grey eye.
64_73712_000013_000003	An arrival was an important moment that required all her practised circumspection; there was so much to arrange, so much to remember, and so much to observe.	An arrival was an important moment that required all her practised circumspection; there was so much to arrange, so much to remember, and so much to observe.
64_73712_000014_000000	The portly serving-man had advanced, and, taking his little mistress in his arms, as he would a child, had planted her on the steps.	The portly serving man had advanced, and, taking his little mistress in his arms, as he would a child, had planted her on the steps.
64_73712_000015_000000	'Here! where's the butler?	'Here! where's the butler?
64_73712_000015_000001	I don't want you, stupid [addressing her own servant], but the butler of the house, Mister's butler; what is his name, Mr. Twoshoes' butler?	I don't want you, stupid [addressing her own servant], but the butler of the house, Mister's butler; what is his name, mr Twoshoes' butler?
64_73712_000015_000003	Oh! you are there, are you?	Oh! you are there, are you?
64_73712_000015_000005	How is your master?	How is your master?
64_73712_000015_000008	I don't want it.	I don't want it.
64_73712_000015_000009	Where's the lady?	Where's the lady?
64_73712_000015_000010	Why don't you answer?	Why don't you answer?
64_73712_000015_000011	Why do you stare so?	Why do you stare so?
64_73712_000015_000012	Miss Temple!	Miss Temple!
64_73712_000015_000013	no! not Miss Temple!	no! not Miss Temple!
64_73712_000015_000016	But she has got two names.	But she has got two names.
64_73712_000015_000018	My dear,' continued Lady Bellair, addressing her travelling companion, 'I don't know your name.	My dear,' continued Lady Bellair, addressing her travelling companion, 'I don't know your name.
