6509_76574_000000_000000	CHAPTER XVI.	CHAPTER sixteen.	true	11.34	12.91	21.879726
6509_76574_000001_000000	THROUGH THE SIVAS VILAYET INTO ARMENIA.	THROUGH THE SIVAS v i l a y e t INTO ARMENIA.	false	12.92	43.6	20.349258
6509_76574_000002_000000	It is six hours distant from Yuzgat to the large village of Koelme, as distance is measured here, or about twenty-three English miles; but the road is mostly ridable, and I roll into the village in about three hours and a half.	It is six hours distant from Yuzgat to the large village of Koelme, as distance is measured here, or about twenty three English miles; but the road is mostly ridable, and I roll into the village in about three hours and a half.	false	43.88	57.61	20.67965
6509_76574_000002_000001	Just beyond Koehne, the roads fork, and the mudir kindly sends a mounted zaptieh to guide me aright, for fear I shouldn't quite understand by his pantomimic explanations.	Just beyond Koehne, the roads fork, and the mudir kindly sends a mounted zaptieh to guide me aright, for fear I shouldn't quite understand by his pantomimic explanations.	false	57.92	69.915	20.849115
6509_76574_000002_000002	I understand well enough, though, and the road just here happening to be excellent wheeling, to the delight of the whole village, I spurt ahead, outdistancing the zaptieh's not over sprightly animal, and bowling briskly along the right road within their range of vision, for over a mile.	I understand well enough, though, and the road just here happening to be excellent wheeling, to the delight of the whole village, I spurt ahead, outdistancing the zaptieh's not over sprightly animal, and bowling briskly along the right road within their range of vision, for over a mile.	true	69.915	85.84	16
6509_76574_000002_000003	Soon after leaving Koehne my attention is attracted by a small cluster of civilized-looking tents, pitched on the bank of a running stream near the road, and from whence issues the joyous sounds of mirth and music.	Soon after leaving Koehne my attention is attracted by a small cluster of civilized looking tents, pitched on the bank of a running stream near the road, and from whence issues the joyous sounds of mirth and music.	false	86.33	98.53	16
6509_76574_000002_000004	The road continues ridable, and I am wheeling leisurely along, hesitating about whether to go and investigate or not, when a number of persons, in holiday attire, present themselves outside the tents, and by shouting and gesturing, invite me to pay them a visit.	The road continues ridable, and I am wheeling leisurely along, hesitating about whether to go and investigate or not, when a number of persons, in holiday attire, present themselves outside the tents, and by shouting and gesturing, invite me to pay them a visit.	false	99.29	113.71	18
6509_76574_000002_000005	It turns out to be a reunion of the Yuzgat branch of the Pampasian-Pamparsan family - an Armenian name whose representatives in Armenia and Anatolia, it appears, correspond in comparative numerical importance to the great and illustrious family of Smiths in the United States.	It turns out to be a reunion of the Yuzgat branch of the Pampasian Pamparsan family — an Armenian name whose representatives in Armenia and Anatolia, it appears, correspond in comparative numerical importance to the great and illustrious family of Smiths in the United States.	false	114.17	131.92	17
6509_76574_000002_000006	Following - or doubtless, more properly, setting - a worthy example, they likewise have their periodical reunions, where they eat, drink, spin yarns, sing, and twang the tuneful lyre in frolicsome consciousness of always having a howling majority over their less prolific neighbors.	Following — or doubtless, more properly, setting — a worthy example, they likewise have their periodical reunions, where they eat, drink, spin yarns, sing, and twang the tuneful lyre in frolicsome consciousness of always having a howling majority over their less prolific neighbors.	true	132.47	149.89	17
6509_76574_000003_000000	Refreshments in abundance are tendered, and the usual pantomimic explanations exchanged between us; some of the men have been honoring the joyful occasion by a liberal patronage of the flowing bowl, and are already mildly hilarious; stringed instruments are twanged by the musical members of the great family, while several others, misinterpreting the inspiration of raki punch for terpsichorean talent are prancing wildly about the tent.	Refreshments in abundance are tendered, and the usual pantomimic explanations exchanged between us; some of the men have been honoring the joyful occasion by a liberal patronage of the flowing bowl, and are already mildly hilarious; stringed instruments are twanged by the musical members of the great family, while several others, misinterpreting the inspiration of raki punch for terpsichorean talent are prancing wildly about the tent.	false	151.46	178.51	19.107973
6509_76574_000003_000001	Middle-aged matrons are here in plenty, housewifely persons, finding their chief enjoyment in catering to the gastronomic pleasures of the others; while a score or two of blooming maidens stand coyly aloof, watching the festive merry-makings of the men; their heads and necks are resplendent with bands and necklaces of gold coins, it still being a custom of the East to let the female members of a family wear the surplus wealth about them in the shape of gold ornaments and jewels, a custom resulting from the absence of safe investments and the unstability of national affairs.	Middle aged matrons are here in plenty, housewifely persons, finding their chief enjoyment in catering to the gastronomic pleasures of the others; while a score or two of blooming maidens stand coyly aloof, watching the festive merry makings of the men; their heads and necks are resplendent with bands and necklaces of gold coins, it still being a custom of the East to let the female members of a family wear the surplus wealth about them in the shape of gold ornaments and jewels, a custom resulting from the absence of safe investments and the unstability of national affairs.	false	178.64	212.53	16
6509_76574_000003_000002	Yuzgat enjoys among neighboring cities a reputation for beautiful women, and this auspicious occasion gives me an excellent opportunity for drawing my own conclusions.	Yuzgat enjoys among neighboring cities a reputation for beautiful women, and this auspicious occasion gives me an excellent opportunity for drawing my own conclusions.	true	213.26	223.12	18
6509_76574_000003_000003	It is not fair perhaps to pass judgment on Yuzgat's pretensions, by the damsels of one family connection, not even the great and numerous Pampasian-Pamparsan family, but still they ought to be at least a fair average.	It is not fair perhaps to pass judgment on Yuzgat's pretensions, by the damsels of one family connection, not even the great and numerous Pampasian Pamparsan family, but still they ought to be at least a fair average.	true	224	237.88	19
6509_76574_000003_000004	They have beautiful large black eyes, and usually a luxuriant head of hair; but their faces arc, on the whole, babyish and expressionless.	They have beautiful large black eyes, and usually a luxuriant head of hair; but their faces arc, on the whole, babyish and expressionless.	false	238.79	248.05	19.754131
6509_76574_000003_000005	The Yuzgat maiden of "sweet sixteen" is a coy, babyish creature, possessed of a certain doll-like prettiness, but at twenty-three is a rapidly fading flower, and at thirty is already beginning to get wrinkled and old.	The Yuzgat maiden of "sweet sixteen" is a coy, babyish creature, possessed of a certain doll like prettiness, but at twenty three is a rapidly fading flower, and at thirty is already beginning to get wrinkled and old.	true	248.45	262.03	20.332134
6509_76574_000003_000006	Happening to fall in with this festive gathering this morning is quite a gratifying and enlivening surprise; besides the music and dancing and a substantial breakfast of chicken, boiled mutton, and rice pillau, it gives me an opportunity of witnessing an Armenian family reunion under primitive conditions.	Happening to fall in with this festive gathering this morning is quite a gratifying and enlivening surprise; besides the music and dancing and a substantial breakfast of chicken, boiled mutton, and rice pillau, it gives me an opportunity of witnessing an Armenian family reunion under primitive conditions.	false	262.34	280.3	18
6509_76574_000003_000007	Watching over this peaceful and gambolling flock of Armenian lambkins is a lone Circassian watchdog; he is of a stalwart, warlike appearance; and although wearing no arms - except a cavalry sword, a shorter broad-sword, a dragoon revolver, a two-foot horse-pistol, and a double-barrelled shot-gun slung at his back - the Armenians seem to feel perfectly safe under his protection.	Watching over this peaceful and gambolling flock of Armenian lambkins is a lone Circassian watchdog; he is of a stalwart, warlike appearance; and although wearing no arms — except a cavalry sword, a shorter broad sword, a dragoon revolver, a two foot horse pistol, and a double barrelled shot gun slung at his back — the Armenians seem to feel perfectly safe under his protection.	true	281.27	305.41	20.190357
6509_76574_000003_000008	They probably don't require any such protection really; they are nevertheless wise in employing a Circassian to guard them, if for nothing else for the sake of freeing their own unwarlike minds of all disquieting apprehensions, and enjoying their family reunion in the calm atmosphere of perfect security; some lawless party passing along the road might peradventure drop in and abuse their hospitality, or partaking too freely of raki, make themselves obnoxious, were they unprotected; but with one Circassian patrolling the camp, they are doubly sure against anything of the kind.	They probably don't require any such protection really; they are nevertheless wise in employing a Circassian to guard them, if for nothing else for the sake of freeing their own unwarlike minds of all disquieting apprehensions, and enjoying their family reunion in the calm atmosphere of perfect security; some lawless party passing along the road might peradventure drop in and abuse their hospitality, or partaking too freely of raki, make themselves obnoxious, were they unprotected; but with one Circassian patrolling the camp, they are doubly sure against anything of the kind.	false	305.87	342.19	19.993828
6509_76574_000004_000000	These people invite me to remain with them until to-morrow; but of course I excuse myself from this, and, after spending a very agreeable hour in their company, take my departure.	These people invite me to remain with them until to morrow; but of course I excuse myself from this, and, after spending a very agreeable hour in their company, take my departure.	true	342.95	353.53	21
6509_76574_000004_000001	The country develops into an undulating plateau, which is under general cultivation, as cultivation goes in Asiatic Turkey.	The country develops into an undulating plateau, which is under general cultivation, as cultivation goes in Asiatic Turkey.	true	354.29	361.98	20
6509_76574_000004_000002	A number of Circassian villages are scattered over this upland plain; most of them are distant from my road, but many horsemen are encountered; they ride the finest animals in the country, and one naturally falls to wondering how they manage to keep so well-dressed and well-mounted, while rags and poverty and diminutive donkeys seem to be the well-nigh universal rule among their neighbors.	A number of Circassian villages are scattered over this upland plain; most of them are distant from my road, but many horsemen are encountered; they ride the finest animals in the country, and one naturally falls to wondering how they manage to keep so well dressed and well mounted, while rags and poverty and diminutive donkeys seem to be the well nigh universal rule among their neighbors.	false	361.98	383.8	17
6509_76574_000004_000003	The Circassians betray more interest in my purely personal affairs - whether I am Russian or English, whither I am bound, etc.- and less interest in the bicycle, than either Turks or Armenians, and seem altogether of a more reserved disposition; I generally have as little conversation with them as possible, confining myself to letting them know I am English and not Russian, and replying "Turkchi binmus" (I don't understand) to other questions; they have a look about them that makes one apprehensive as to the disinterestedness of their wanting to know whither I am bound - apprehensive that their object is to find out where three or four of them could "see me later." I see but few Circassian women; what few I approach sufficiently near to observe are all more or less pleasant-faced, prepossessing females; many have blue eyes, which is very rare among their neighbors; the men average quite as handsome as the women, and they have a peculiar dare-devil expression of countenance that makes them distinguishable immediately from either Turk or Armenian; they look like men who wouldn't hesitate about undertaking any devilment they felt themselves equal to for the sake of plunder.	The Circassians betray more interest in my purely personal affairs — whether I am Russian or English, whither I am bound, etc- and less interest in the bicycle, than either Turks or Armenians, and seem altogether of a more reserved disposition; I generally have as little conversation with them as possible, confining myself to letting them know I am English and not Russian, and replying "Turkchi binmus" (I don't understand) to other questions; they have a look about them that makes one apprehensive as to the disinterestedness of their wanting to know whither I am bound — apprehensive that their object is to find out where three or four of them could "see me later." I see but few Circassian women; what few I approach sufficiently near to observe are all more or less pleasant faced, prepossessing females; many have blue eyes, which is very rare among their neighbors; the men average quite as handsome as the women, and they have a peculiar dare devil expression of countenance that makes them distinguishable immediately from either Turk or Armenian; they look like men who wouldn't hesitate about undertaking any devilment they felt themselves equal to for the sake of plunder.	false	384.2	458.71	19.033285
6509_76574_000004_000004	They are very like their neighbors, however, in one respect; such among them as take any great interest in my extraordinary outfit find it entirely beyond their comprehension; the bicycle is a Gordian knot too intricate for their semi-civilized minds to unravel, and there are no Alexanders among them to think of cutting it.	They are very like their neighbors, however, in one respect; such among them as take any great interest in my extraordinary outfit find it entirely beyond their comprehension; the bicycle is a Gordian knot too intricate for their semi civilized minds to unravel, and there are no Alexanders among them to think of cutting it.	true	459.41	478.48	16
6509_76574_000004_000005	Before they recover from their first astonishment I have disappeared.	Before they recover from their first astonishment I have disappeared.	true	479	483.04	19.146862
6509_76574_000005_000000	The road continues for the most part ridable until about 2 P.M., when I arrive at a mountainous region of rocky ridges, covered chiefly with a growth of scrub-oak.	The road continues for the most part ridable until about two p m, when I arrive at a mountainous region of rocky ridges, covered chiefly with a growth of scrub oak.	true	485.15	494.98	19
6509_76574_000005_000001	Upon reaching the summit of one of these ridges, I observe some distance ahead what appears to be a tremendous field of large cabbages, stretching away in a northeasterly direction almost to the horizon of one's vision; the view presents the striking appearance of large compact cabbage-heads, thickly dotting a well-cultivated area of clean black loam, surrounded on all sides by rocky, uncultivatable wilds.	Upon reaching the summit of one of these ridges, I observe some distance ahead what appears to be a tremendous field of large cabbages, stretching away in a northeasterly direction almost to the horizon of one's vision; the view presents the striking appearance of large compact cabbage heads, thickly dotting a well cultivated area of clean black loam, surrounded on all sides by rocky, uncultivatable wilds.	false	495.08	520.54	20
6509_76574_000005_000002	Fifteen minutes later I am picking my way through this "cultivated field," which, upon closer acquaintance, proves to be a smooth lava-bed, and the "cabbages" are nothing more or less than boulders of singular uniformity; and what is equally curious, they are all covered with a growth of moss, while the volcanic bed they repose on is perfectly naked. Beyond this singular area, the country continues wild and mountainous, with no habitations near the road; and thus it continues until some time after night-fall, when I emerge upon a few scattering wheat-fields.	Fifteen minutes later I am picking my way through this "cultivated field," which, upon closer acquaintance, proves to be a smooth lava bed, and the "cabbages" are nothing more or less than boulders of singular uniformity; and what is equally curious, they are all covered with a growth of moss, while the volcanic bed they repose on is perfectly naked. Beyond this singular area, the country continues wild and mountainous, with no habitations near the road; and thus it continues until some time after night fall, when I emerge upon a few scattering wheat fields.	true	521.15	556.36	20.097815
6509_76574_000005_000003	The baying of dogs in the distance indicates the presence of a village somewhere around; but having plenty of bread on which to sup I once again determine upon studying astronomy behind a wheat-shock.	The baying of dogs in the distance indicates the presence of a village somewhere around; but having plenty of bread on which to sup I once again determine upon studying astronomy behind a wheat shock.	true	557.33	568.39	19
6509_76574_000005_000004	It is a glorious moonlight night, but the altitude of the country hereabouts is not less than six thousand feet, and the chilliness of the atmosphere, already apparent, bodes ill for anything like a comfortable night; but I scarcely anticipate being disturbed by anything save atmospheric conditions.	It is a glorious moonlight night, but the altitude of the country hereabouts is not less than six thousand feet, and the chilliness of the atmosphere, already apparent, bodes ill for anything like a comfortable night; but I scarcely anticipate being disturbed by anything save atmospheric conditions.	true	568.94	586.72	17.95767
6509_76574_000005_000005	I am rolled up in my tent instead of under it, slumbering as lightly as men are wont to slumber under these unfavorable conditions, when, about eleven o'clock, the unearthly creaking of native arabas approaching arouses me from my lethargical condition.	I am rolled up in my tent instead of under it, slumbering as lightly as men are wont to slumber under these unfavorable conditions, when, about eleven o'clock, the unearthly creaking of native arabas approaching arouses me from my lethargical condition.	false	587.63	602.62	14
6509_76574_000005_000006	Judging from the sounds, they appear to be making a bee-line for my position; but not caring to voluntarily reveal my presence, I simply remain quiet and listen.	Judging from the sounds, they appear to be making a bee line for my position; but not caring to voluntarily reveal my presence, I simply remain quiet and listen.	true	603.26	612.46	15
6509_76574_000005_000007	It soon becomes evident that they are a party of villagers, coming to load up their buffalo arabas by moonlight with these very shocks of wheat. One of the arabas now approaches the shock which conceals my recumbent form, and where the pale moonbeams are coquettishly ogling the nickel-plated portions of my wheel, making it conspicuously sciutillant by their attentions.	It soon becomes evident that they are a party of villagers, coming to load up their buffalo arabas by moonlight with these very shocks of wheat. One of the arabas now approaches the shock which conceals my recumbent form, and where the pale moonbeams are coquettishly ogling the nickel plated portions of my wheel, making it conspicuously sciutillant by their attentions.	false	613.22	635.17	20
6509_76574_000005_000008	Hoping the araba may be going to pass by, and that my presence may escape the driver's notice, I hesitate even yet to reveal myself; but the araba stops, and I can observe the driver's frightened expression as he suddenly becomes aware of the presence of strange, supernatural objects.	Hoping the araba may be going to pass by, and that my presence may escape the driver's notice, I hesitate even yet to reveal myself; but the araba stops, and I can observe the driver's frightened expression as he suddenly becomes aware of the presence of strange, supernatural objects.	false	635.87	653.2	17
6509_76574_000005_000009	At the same moment I rise up in my winding-sheet-like covering; the man utters a wild yell, and abandoning the araba, vanishes like a deer in the direction of his companions.	At the same moment I rise up in my winding sheet like covering; the man utters a wild yell, and abandoning the araba, vanishes like a deer in the direction of his companions.	false	653.81	664.24	17
6509_76574_000005_000010	It is an unenviable situation to find one's self in; if I boldly approach them, these people, not being able to ascertain my character in the moonlight, would be quite likely to discharge their fire-arms at me in their fright; if, on the contrary, I remain under cover, they might also try the experiment of a shot before venturing to approach the deserted buffaloes, who are complacently chewing the cud on the spot where their chicken-hearted driver took to his heels.	It is an unenviable situation to find one's self in; if I boldly approach them, these people, not being able to ascertain my character in the moonlight, would be quite likely to discharge their fire arms at me in their fright; if, on the contrary, I remain under cover, they might also try the experiment of a shot before venturing to approach the deserted buffaloes, who are complacently chewing the cud on the spot where their chicken hearted driver took to his heels.	true	665.03	692.29	20
6509_76574_000006_000000	Under the circumstances I think it best to strike off toward the road, leaving them to draw their own conclusions as to whether I am Sheitan himself, or merely a plain, inoffensive hobgoblin.	Under the circumstances I think it best to strike off toward the road, leaving them to draw their own conclusions as to whether I am Sheitan himself, or merely a plain, inoffensive hobgoblin.	true	693.17	705.31	18
6509_76574_000006_000001	But while gathering up my effects, one heroic individual ventures to approach part way and open up a shouting inquiry; my answers, though unintelligible to him in the main, satisfy him that I am at all events a human being; there are six of them, and in a few minutes after the ignominious flight of the driver, they are all gathered around me, as much interested and nonplussed at the appearance of myself and bicycle as a party of Nebraska homesteaders might be had they, under similar circumstances, discovered a turbaned old Turk complacently enjoying a nargileh.	But while gathering up my effects, one heroic individual ventures to approach part way and open up a shouting inquiry; my answers, though unintelligible to him in the main, satisfy him that I am at all events a human being; there are six of them, and in a few minutes after the ignominious flight of the driver, they are all gathered around me, as much interested and nonplussed at the appearance of myself and bicycle as a party of Nebraska homesteaders might be had they, under similar circumstances, discovered a turbaned old Turk complacently enjoying a nargileh.	false	706.04	742.74	18.823135
6509_76574_000006_000002	No sooner do their apprehensions concerning my probable warlike character and capacity become allayed, than they get altogether too familiar and inquisitive about my packages; and I detect one venturesome kleptomaniac surreptitiously unfastening a strap when he fancies I am not noticing.	No sooner do their apprehensions concerning my probable warlike character and capacity become allayed, than they get altogether too familiar and inquisitive about my packages; and I detect one venturesome kleptomaniac surreptitiously unfastening a strap when he fancies I am not noticing.	true	742.74	760.75	17
