7949_39970_000003_000000	Chapter Ten: Interest and Discipline	Chapter Ten: Interest and Discipline
7949_39970_000004_000000	1.	one.
7949_39970_000004_000001	The Meaning of the Terms.	The Meaning of the Terms.
7949_39970_000004_000002	We have already noticed the difference in the attitude of a spectator and of an agent or participant.	We have already noticed the difference in the attitude of a spectator and of an agent or participant.
7949_39970_000004_000003	The former is indifferent to what is going on; one result is just as good as another, since each is just something to look at.	The former is indifferent to what is going on; one result is just as good as another, since each is just something to look at.
7949_39970_000004_000004	The latter is bound up with what is going on; its outcome makes a difference to him.	The latter is bound up with what is going on; its outcome makes a difference to him.
7949_39970_000004_000005	His fortunes are more or less at stake in the issue of events.	His fortunes are more or less at stake in the issue of events.
7949_39970_000004_000006	Consequently he does whatever he can to influence the direction present occurrences take.	Consequently he does whatever he can to influence the direction present occurrences take.
7949_39970_000004_000008	The other is like a man who has planned an outing for the next day which continuing rain will frustrate. He cannot, to be sure, by his present reactions affect to-morrow's weather, but he may take some steps which will influence future happenings, if only to postpone the proposed picnic.	The other is like a man who has planned an outing for the next day which continuing rain will frustrate. He cannot, to be sure, by his present reactions affect to morrow's weather, but he may take some steps which will influence future happenings, if only to postpone the proposed picnic.
7949_39970_000004_000010	In many instances, he can intervene even more directly.	In many instances, he can intervene even more directly.
7949_39970_000004_000011	The attitude of a participant in the course of affairs is thus a double one: there is solicitude, anxiety concerning future consequences, and a tendency to act to assure better, and avert worse, consequences.	The attitude of a participant in the course of affairs is thus a double one: there is solicitude, anxiety concerning future consequences, and a tendency to act to assure better, and avert worse, consequences.
7949_39970_000004_000013	These words suggest that a person is bound up with the possibilities inhering in objects; that he is accordingly on the lookout for what they are likely to do to him; and that, on the basis of his expectation or foresight, he is eager to act so as to give things one turn rather than another. Interest and aims, concern and purpose, are necessarily connected.	These words suggest that a person is bound up with the possibilities inhering in objects; that he is accordingly on the lookout for what they are likely to do to him; and that, on the basis of his expectation or foresight, he is eager to act so as to give things one turn rather than another. Interest and aims, concern and purpose, are necessarily connected.
7949_39970_000004_000015	Such words as interest, affection, concern, motivation, emphasize the bearing of what is foreseen upon the individual's fortunes, and his active desire to act to secure a possible result.	Such words as interest, affection, concern, motivation, emphasize the bearing of what is foreseen upon the individual's fortunes, and his active desire to act to secure a possible result.
7949_39970_000004_000016	They take for granted the objective changes.	They take for granted the objective changes.
7949_39970_000004_000017	But the difference is but one of emphasis; the meaning that is shaded in one set of words is illuminated in the other.	But the difference is but one of emphasis; the meaning that is shaded in one set of words is illuminated in the other.
7949_39970_000004_000019	But for an active being, a being who partakes of the consequences instead of standing aloof from them, there is at the same time a personal response. The difference imaginatively foreseen makes a present difference, which finds expression in solicitude and effort.	But for an active being, a being who partakes of the consequences instead of standing aloof from them, there is at the same time a personal response. The difference imaginatively foreseen makes a present difference, which finds expression in solicitude and effort.
