7949_39970_000000_000000	Summary.	Summary.	false	0	0.24	-20
7949_39970_000000_000001	General or comprehensive aims are points of view for surveying the specific problems of education.	General or comprehensive aims are points of view for surveying the specific problems of education.	false	0.24	3.9	24.503365
7949_39970_000000_000002	Consequently it is a test of the value of the manner in which any large end is stated to see if it will translate readily and consistently into the procedures which are suggested by another.	Consequently it is a test of the value of the manner in which any large end is stated to see if it will translate readily and consistently into the procedures which are suggested by another.	false	3.9	5.13	18
7949_39970_000000_000003	We have applied this test to three general aims: Development according to nature, social efficiency, and culture or personal mental enrichment.	We have applied this test to three general aims: Development according to nature, social efficiency, and culture or personal mental enrichment.	false	5.13	5.43	13
7949_39970_000000_000004	In each case we have seen that the aims when partially stated come into conflict with each other.	In each case we have seen that the aims when partially stated come into conflict with each other.	false	5.43	5.7	10
7949_39970_000000_000005	The partial statement of natural development takes the primitive powers in an alleged spontaneous development as the end-all.	The partial statement of natural development takes the primitive powers in an alleged spontaneous development as the end all.	false	5.7	7.35	14.375132
7949_39970_000000_000006	From this point of view training which renders them useful to others is an abnormal constraint; one which profoundly modifies them through deliberate nurture is corrupting.	From this point of view training which renders them useful to others is an abnormal constraint; one which profoundly modifies them through deliberate nurture is corrupting.	false	7.35	9	20
7949_39970_000000_000007	But when we recognize that natural activities mean native activities which develop only through the uses in which they are nurtured, the conflict disappears.	But when we recognize that natural activities mean native activities which develop only through the uses in which they are nurtured, the conflict disappears.	false	9	10.92	23.261137
7949_39970_000000_000008	Similarly a social efficiency which is defined in terms of rendering external service to others is of necessity opposed to the aim of enriching the meaning of experience, while a culture which is taken to consist in an internal refinement of a mind is opposed to a socialized disposition.	Similarly a social efficiency which is defined in terms of rendering external service to others is of necessity opposed to the aim of enriching the meaning of experience, while a culture which is taken to consist in an internal refinement of a mind is opposed to a socialized disposition.	false	10.92	11.55	16
7949_39970_000000_000009	But social efficiency as an educational purpose should mean cultivation of power to join freely and fully in shared or common activities.	But social efficiency as an educational purpose should mean cultivation of power to join freely and fully in shared or common activities.	false	11.55	14.16	21.154686
7949_39970_000000_000010	This is impossible without culture, while it brings a reward in culture, because one cannot share in intercourse with others without learning--without getting a broader point of view and perceiving things of which one would otherwise be ignorant.	This is impossible without culture, while it brings a reward in culture, because one cannot share in intercourse with others without learning-without getting a broader point of view and perceiving things of which one would otherwise be ignorant.	false	14.16	15.48	23
7949_39970_000000_000011	And there is perhaps no better definition of culture than that it is the capacity for constantly expanding the range and accuracy of one's perception of meanings.	And there is perhaps no better definition of culture than that it is the capacity for constantly expanding the range and accuracy of one's perception of meanings.	false	15.48	16.38	24
7949_39970_000001_000000	1 Donaldson, Growth of Brain, p. 356.	one Donaldson ,Growth of Brain, p. three hundred fifty six.	false	16.38	16.68	19
7949_39970_000002_000000	2 We must not forget that Rousseau had the idea of a radically different sort of society, a fraternal society whose end should be identical with the good of all its members, which he thought to be as much better than existing states as these are worse than the state of nature.	two We must not forget that Rousseau had the idea of a radically different sort of society, a fraternal society whose end should be identical with the good of all its members, which he thought to be as much better than existing states as these are worse than the state of nature.	false	16.68	24.51	20.76253
7949_39970_000003_000000	Chapter Ten: Interest and Discipline	Chapter Ten: Interest and Discipline	true	24.51	28.72	24.660097
7949_39970_000004_000000	1.	one.	true	30.2	31.12	20.491121
7949_39970_000004_000001	The Meaning of the Terms.	The Meaning of the Terms.	true	31.46	33.52	21.834475
7949_39970_000004_000002	We have already noticed the difference in the attitude of a spectator and of an agent or participant.	We have already noticed the difference in the attitude of a spectator and of an agent or participant.	true	34.07	41.86	22.80725
7949_39970_000004_000003	The former is indifferent to what is going on; one result is just as good as another, since each is just something to look at.	The former is indifferent to what is going on; one result is just as good as another, since each is just something to look at.	true	42.77	50.95	21.10014
7949_39970_000004_000004	The latter is bound up with what is going on; its outcome makes a difference to him.	The latter is bound up with what is going on; its outcome makes a difference to him.	true	51.5	57.49	23.60239
7949_39970_000004_000005	His fortunes are more or less at stake in the issue of events.	His fortunes are more or less at stake in the issue of events.	true	57.92	62.14	20.889797
7949_39970_000004_000006	Consequently he does whatever he can to influence the direction present occurrences take.	Consequently he does whatever he can to influence the direction present occurrences take.	true	63.53	69.07	21
7949_39970_000004_000007	One is like a man in a prison cell watching the rain out of the window; it is all the same to him.	One is like a man in a prison cell watching the rain out of the window; it is all the same to him.	true	69.65	75.82	15
7949_39970_000004_000008	The other is like a man who has planned an outing for the next day which continuing rain will frustrate. He cannot, to be sure, by his present reactions affect to-morrow's weather, but he may take some steps which will influence future happenings, if only to postpone the proposed picnic.	The other is like a man who has planned an outing for the next day which continuing rain will frustrate. He cannot, to be sure, by his present reactions affect to morrow's weather, but he may take some steps which will influence future happenings, if only to postpone the proposed picnic.	true	76.91	98.52	23.226133
7949_39970_000004_000009	If a man sees a carriage coming which may run over him, if he cannot stop its movement, he can at least get out of the way if he foresees the consequence in time.	If a man sees a carriage coming which may run over him, if he cannot stop its movement, he can at least get out of the way if he foresees the consequence in time.	false	98.52	110.26	21.987936
7949_39970_000004_000010	In many instances, he can intervene even more directly.	In many instances, he can intervene even more directly.	true	111.47	114.85	20
7949_39970_000004_000011	The attitude of a participant in the course of affairs is thus a double one: there is solicitude, anxiety concerning future consequences, and a tendency to act to assure better, and avert worse, consequences.	The attitude of a participant in the course of affairs is thus a double one: there is solicitude, anxiety concerning future consequences, and a tendency to act to assure better, and avert worse, consequences.	true	115.28	130.3	23.013123
7949_39970_000004_000012	There are words which denote this attitude: concern, interest.	There are words which denote this attitude: concern, interest.	false	131.3	136.48	20.106913
7949_39970_000004_000013	These words suggest that a person is bound up with the possibilities inhering in objects; that he is accordingly on the lookout for what they are likely to do to him; and that, on the basis of his expectation or foresight, he is eager to act so as to give things one turn rather than another. Interest and aims, concern and purpose, are necessarily connected.	These words suggest that a person is bound up with the possibilities inhering in objects; that he is accordingly on the lookout for what they are likely to do to him; and that, on the basis of his expectation or foresight, he is eager to act so as to give things one turn rather than another. Interest and aims, concern and purpose, are necessarily connected.	true	137.9	164.83	22.676851
7949_39970_000004_000014	Such words as aim, intent, end, emphasize the results which are wanted and striven for; they take for granted the personal attitude of solicitude and attentive eagerness.	Such words as aim, intent, end, emphasize the results which are wanted and striven for; they take for granted the personal attitude of solicitude and attentive eagerness.	false	165.47	179.65	21.83184
7949_39970_000004_000015	Such words as interest, affection, concern, motivation, emphasize the bearing of what is foreseen upon the individual's fortunes, and his active desire to act to secure a possible result.	Such words as interest, affection, concern, motivation, emphasize the bearing of what is foreseen upon the individual's fortunes, and his active desire to act to secure a possible result.	true	180.89	195.22	23.031504
7949_39970_000004_000016	They take for granted the objective changes.	They take for granted the objective changes.	true	196.07	198.85	25.040936
