5740_97610_000005_000000	ANNE HOLLINGSWORTH WHARTON	ANNE HOLLINGSWORTH WHARTON
5740_97610_000006_000000	"On Christmas day in Seventy-six, Our gallant troops with bayonets fixed, To Trenton marched away."	"On Christmas day in Seventy six, Our gallant troops with bayonets fixed, To Trenton marched away."
5740_97610_000007_000000	Children, have any of you ever thought of what little people like you were doing in this country more than a hundred years ago, when the cruel tide of war swept over its bosom?	Children, have any of you ever thought of what little people like you were doing in this country more than a hundred years ago, when the cruel tide of war swept over its bosom?
5740_97610_000007_000001	From many homes the fathers were absent, fighting bravely for the liberty which we now enjoy, while the mothers no less valiantly struggled against hardships and discomforts in order to keep a home for their children, whom you only know as your great-grandfathers and great-grandmothers, dignified gentlemen and beautiful ladies, whose painted portraits hang upon the walls in some of your homes.	From many homes the fathers were absent, fighting bravely for the liberty which we now enjoy, while the mothers no less valiantly struggled against hardships and discomforts in order to keep a home for their children, whom you only know as your great grandfathers and great grandmothers, dignified gentlemen and beautiful ladies, whose painted portraits hang upon the walls in some of your homes.
5740_97610_000007_000002	Merry, romping children they were in those far-off times, yet their bright faces must have looked grave sometimes, when they heard the grown people talk of the great things that were happening around them.	Merry, romping children they were in those far off times, yet their bright faces must have looked grave sometimes, when they heard the grown people talk of the great things that were happening around them.
5740_97610_000007_000003	Some of these little people never forgot the wonderful events of which they heard, and afterward related them to their children and grandchildren, which accounts for some of the interesting stories which you may still hear, if you are good children.	Some of these little people never forgot the wonderful events of which they heard, and afterward related them to their children and grandchildren, which accounts for some of the interesting stories which you may still hear, if you are good children.
5740_97610_000008_000002	Thus you see that the British, in force, were between Washington's army and Bordentown, besides which there were some British and Hessian troops in the very town.	Thus you see that the British, in force, were between Washington's army and Bordentown, besides which there were some British and Hessian troops in the very town.
5740_97610_000008_000005	Kitty, who loved to play quite as much as any frolicsome Kitty of to-day, had spent all her spare time in knitting a pair of thick woollen stockings, which seems a wonderful feat for a little girl only eight years old to perform!	Kitty, who loved to play quite as much as any frolicsome Kitty of to day, had spent all her spare time in knitting a pair of thick woollen stockings, which seems a wonderful feat for a little girl only eight years old to perform!
5740_97610_000008_000006	Can you not see her sitting by the great chimney-place, filled with its roaring, crackling logs, in her quaint, short-waisted dress, knitting away steadily, and puckering up her rosy, dimpled face over the strange twists and turns of that old stocking?	Can you not see her sitting by the great chimney place, filled with its roaring, crackling logs, in her quaint, short waisted dress, knitting away steadily, and puckering up her rosy, dimpled face over the strange twists and turns of that old stocking?
5740_97610_000010_000000	"Oh, he'll come!	"Oh, he'll come!
5740_97610_000010_000001	Papa never stays away on Christmas," says Kitty, looking up into her mother's face for an echo to her words.	Papa never stays away on Christmas," says Kitty, looking up into her mother's face for an echo to her words.
5740_97610_000010_000002	Instead she sees something very like tears in her mother's eyes.	Instead she sees something very like tears in her mother's eyes.
5740_97610_000011_000000	"Oh, mamma, don't you think he'll come?"	"Oh, mamma, don't you think he'll come?"
5740_97610_000014_000000	"We'll let him come just the same, and if he brings anything for papa we can put it away for him."	"We'll let him come just the same, and if he brings anything for papa we can put it away for him."
