1283_136983_000001_000000	Chapter 2.	Chapter two.
1283_136983_000001_000001	The Lair of the Wolf	The Lair of the Wolf
1283_136983_000002_000001	The words came in a cold snarl that curdled the hearer's blood.	The words came in a cold snarl that curdled the hearer's blood.
1283_136983_000004_000001	The speaker leaned forward, his fist pounding emphasis on the rude table between them.	The speaker leaned forward, his fist pounding emphasis on the rude table between them.
1283_136983_000004_000002	He was a tall, rangy-built man, supple as a leopard and with a lean, cruel, predatory face.	He was a tall, rangy built man, supple as a leopard and with a lean, cruel, predatory face.
1283_136983_000004_000003	His eyes danced and glittered with a kind of reckless mockery.	His eyes danced and glittered with a kind of reckless mockery.
1283_136983_000005_000000	The fellow spoken to replied sullenly, "This Solomon Kane is a demon from Hell, I tell you."	The fellow spoken to replied sullenly, "This Solomon Kane is a demon from Hell, I tell you."
1283_136983_000006_000001	Dolt!	Dolt!
1283_136983_000007_000001	Ask the mountain wolves that tore the flesh from their dead bones.	Ask the mountain wolves that tore the flesh from their dead bones.
1283_136983_000007_000002	Where does this Kane hide?	Where does this Kane hide?
1283_136983_000007_000003	We have searched the mountains and the valleys for leagues, and we have found no trace.	We have searched the mountains and the valleys for leagues, and we have found no trace.
1283_136983_000008_000000	The Wolf strummed impatiently upon the table.	The Wolf strummed impatiently upon the table.
1283_136983_000008_000001	His keen face, despite lines of wild living and dissipation, was the face of a thinker.	His keen face, despite lines of wild living and dissipation, was the face of a thinker.
1283_136983_000008_000002	The superstitions of his followers affected him not at all.	The superstitions of his followers affected him not at all.
1283_136983_000009_000000	"Faugh!	"Faugh!
1283_136983_000009_000001	I say again.	I say again.
1283_136983_000009_000002	The fellow has found some cavern or secret vale of which we do not know where he hides in the day."	The fellow has found some cavern or secret vale of which we do not know where he hides in the day."
1283_136983_000010_000000	"And at night he sallies forth and slays us," gloomily commented the other.	"And at night he sallies forth and slays us," gloomily commented the other.
1283_136983_000010_000002	The first we know of this man is when we find Jean, the most desperate bandit unhung, nailed to a tree with his own dagger through his breast, and the letters S.L.K. carved upon his dead cheeks.	The first we know of this man is when we find Jean, the most desperate bandit unhung, nailed to a tree with his own dagger through his breast, and the letters s l k carved upon his dead cheeks.
1283_136983_000010_000005	By the demons of perdition, it seems he met him!	By the demons of perdition, it seems he met him!
1283_136983_000010_000006	For we found his sword-pierced corpse upon a cliff.	For we found his sword pierced corpse upon a cliff.
1283_136983_000010_000007	What now? Are we all to fall before this English fiend?"	What now? Are we all to fall before this English fiend?"
1283_136983_000011_000000	"True, our best men have been done to death by him," mused the bandit chief.	"True, our best men have been done to death by him," mused the bandit chief.
1283_136983_000011_000001	"Soon the rest return from that little trip to the hermit's; then we shall see.	"Soon the rest return from that little trip to the hermit's; then we shall see.
1283_136983_000011_000002	Kane can not hide forever.	Kane can not hide forever.
1283_136983_000011_000003	Then--ha, what was that?"	Then-ha, what was that?"
1283_136983_000012_000000	The two turned swiftly as a shadow fell across the table.	The two turned swiftly as a shadow fell across the table.
1283_136983_000012_000001	Into the entrance of the cave that formed the bandit lair, a man staggered.	Into the entrance of the cave that formed the bandit lair, a man staggered.
1283_136983_000012_000002	His eyes were wide and staring; he reeled on buckling legs, and a dark red stain dyed his tunic.	His eyes were wide and staring; he reeled on buckling legs, and a dark red stain dyed his tunic.
1283_136983_000012_000003	He came a few tottering steps forward, then pitched across the table, sliding off onto the floor.	He came a few tottering steps forward, then pitched across the table, sliding off onto the floor.
1283_136983_000013_000000	"Hell's devils!" cursed the Wolf, hauling him upright and propping him in a chair.	"Hell's devils!" cursed the Wolf, hauling him upright and propping him in a chair.
1283_136983_000014_000001	All dead!"	All dead!"
1283_136983_000015_000000	"How?	"How?
1283_136983_000015_000001	Satan's curses on you, speak!"	Satan's curses on you, speak!"
1283_136983_000015_000002	The Wolf shook the man savagely, the other bandit gazing on in wide-eyed horror.	The Wolf shook the man savagely, the other bandit gazing on in wide eyed horror.
1283_136983_000016_000001	"I stayed outside--to watch--the others went in--to torture the hermit--to make him reveal--the hiding-place--of his gold."	"I stayed outside-to watch-the others went in-to torture the hermit-to make him reveal-the hiding place-of his gold."
1283_136983_000017_000000	"Yes, yes!	"Yes, yes!
1283_136983_000017_000001	Then what?"	Then what?"
1283_136983_000017_000002	The Wolf was raging with impatience.	The Wolf was raging with impatience.
1283_136983_000018_000000	"Then the world turned red--the hut went up in a roar and a red rain flooded the valley--through it I saw--the hermit and a tall man clad all in black--coming from the trees--"	"Then the world turned red-the hut went up in a roar and a red rain flooded the valley-through it I saw-the hermit and a tall man clad all in black-coming from the trees-"
1283_136983_000019_000000	"Solomon Kane!" gasped the bandit.	"Solomon Kane!" gasped the bandit.
1283_136983_000019_000001	"I knew it!	"I knew it!
1283_136983_000019_000002	I--"	I-"
1283_136983_000020_000000	"Silence, fool!" snarled the chief.	"Silence, fool!" snarled the chief.
1283_136983_000020_000001	"Go on!"	"Go on!"
1283_136983_000021_000000	"I fled--Kane pursued--wounded me--but I outran--him--got--here-- first--"	"I fled-Kane pursued-wounded me-but I outran-him-got-here- first-"
1283_136983_000022_000000	The man slumped forward on the table.	The man slumped forward on the table.
1283_136983_000023_000000	"Saints and devils!" raged the Wolf.	"Saints and devils!" raged the Wolf.
1283_136983_000023_000001	"What does he look like, this Kane?"	"What does he look like, this Kane?"
1283_136983_000024_000000	"Like--Satan--"	"Like-Satan-"
1283_136983_000025_000000	The voice trailed off in silence.	The voice trailed off in silence.
1283_136983_000026_000000	"Like Satan!" babbled the other bandit.	"Like Satan!" babbled the other bandit.
1283_136983_000026_000001	"I told you!	"I told you!
1283_136983_000026_000002	'Tis the Horned One himself!	'tis the Horned One himself!
1283_136983_000026_000003	I tell you--"	I tell you-"
1283_136983_000027_000000	He ceased as a frightened face peered in at the cave entrance.	He ceased as a frightened face peered in at the cave entrance.
1283_136983_000028_000000	"Kane?"	"Kane?"
1283_136983_000029_000001	"Keep close watch, La Mon; in a moment the Rat and I will join you."	"Keep close watch, La Mon; in a moment the Rat and I will join you."
1283_136983_000030_000000	The face withdrew and Le Loup turned to the other.	The face withdrew and Le Loup turned to the other.
1283_136983_000031_000001	"You, I, and that thief La Mon are all that are left.	"You, I, and that thief La Mon are all that are left.
1283_136983_000031_000002	What would you suggest?"	What would you suggest?"
1283_136983_000033_000000	"You are right.	"You are right.
1283_136983_000033_000001	Let us take the gems and gold from the chests and flee, using the secret passageway."	Let us take the gems and gold from the chests and flee, using the secret passageway."
1283_136983_000034_000000	"And La Mon?"	"And La Mon?"
1283_136983_000035_000000	"He can watch until we are ready to flee.	"He can watch until we are ready to flee.
1283_136983_000035_000001	Then--why divide the treasure three ways?"	Then-why divide the treasure three ways?"
1283_136983_000036_000000	A faint smile touched the Rat's malevolent features.	A faint smile touched the Rat's malevolent features.
1283_136983_000036_000001	Then a sudden thought smote him.	Then a sudden thought smote him.
