240_160592_000003_000000	LIFE.	LIFE.
240_160592_000008_000000	Not one of all the purple host Who took the flag to-day Can tell the definition, So clear, of victory,	Not one of all the purple host Who took the flag to day Can tell the definition, So clear, of victory,
240_160592_000009_000000	As he, defeated, dying, On whose forbidden ear The distant strains of triumph Break, agonized and clear!	As he, defeated, dying, On whose forbidden ear The distant strains of triumph Break, agonized and clear!
240_160592_000019_000002	Yes!	Yes!
240_160592_000020_000000	Life is but life, and death but death! Bliss is but bliss, and breath but breath! And if, indeed, I fail, At least to know the worst is sweet. Defeat means nothing but defeat, No drearier can prevail!	Life is but life, and death but death! Bliss is but bliss, and breath but breath! And if, indeed, I fail, At least to know the worst is sweet. Defeat means nothing but defeat, No drearier can prevail!
240_160592_000023_000000	Glee!	Glee!
240_160592_000025_000000	How they will tell the shipwreck When winter shakes the door, Till the children ask, "But the forty? Did they come back no more?"	How they will tell the shipwreck When winter shakes the door, Till the children ask, "But the forty? Did they come back no more?"
240_160592_000029_000000	VII.	seven.
240_160592_000031_000000	Within my reach! I could have touched! I might have chanced that way! Soft sauntered through the village, Sauntered as soft away! So unsuspected violets Within the fields lie low, Too late for striving fingers That passed, an hour ago.	Within my reach! I could have touched! I might have chanced that way! Soft sauntered through the village, Sauntered as soft away! So unsuspected violets Within the fields lie low, Too late for striving fingers That passed, an hour ago.
240_160592_000032_000000	VIII.	eight.
240_160592_000035_000000	Mirth is the mail of anguish, In which it cautions arm, Lest anybody spy the blood And "You're hurt" exclaim!	Mirth is the mail of anguish, In which it cautions arm, Lest anybody spy the blood And "You're hurt" exclaim!
240_160592_000040_000000	IN A LIBRARY.	IN A LIBRARY.
240_160592_000050_000000	XII.	twelve.
240_160592_000051_000000	I asked no other thing, No other was denied. I offered Being for it; The mighty merchant smiled.	I asked no other thing, No other was denied. I offered Being for it; The mighty merchant smiled.
240_160592_000053_000000	XIII.	thirteen.
240_160592_000059_000000	THE SECRET.	THE SECRET.
240_160592_000061_000000	Some things that stay there be, -- Grief, hills, eternity: Nor this behooveth me.	Some things that stay there be, -- Grief, hills, eternity: Nor this behooveth me.
240_160592_000063_000000	XV.	fifteen.
240_160592_000073_000000	We trust, in plumed procession, For such the angels go, Rank after rank, with even feet And uniforms of snow.	We trust, in plumed procession, For such the angels go, Rank after rank, with even feet And uniforms of snow.
240_160592_000075_000000	DAWN.	DAWN.
240_160592_000077_000000	And get the dimples ready, And wonder we could care For that old faded midnight That frightened but an hour.	And get the dimples ready, And wonder we could care For that old faded midnight That frightened but an hour.
240_160592_000078_000000	XVIII.	eighteen.
240_160592_000079_000000	THE BOOK OF MARTYRS.	THE BOOK OF MARTYRS.
240_160592_000080_000000	Read, sweet, how others strove, Till we are stouter; What they renounced, Till we are less afraid; How many times they bore The faithful witness, Till we are helped, As if a kingdom cared!	Read, sweet, how others strove, Till we are stouter; What they renounced, Till we are less afraid; How many times they bore The faithful witness, Till we are helped, As if a kingdom cared!
240_160592_000082_000000	XIX.	nineteen.
240_160592_000083_000000	THE MYSTERY OF PAIN.	THE MYSTERY OF PAIN.
240_160592_000097_000000	XXIII.	twenty three.
240_160592_000104_000000	XXV.	twenty five.
240_160592_000106_000000	XXVI.	twenty six.
