3368_170950_000003_000000	Where, then, is justice, and where is injustice, and in what part of the State did they spring up?	Where, then, is justice, and where is injustice, and in what part of the State did they spring up?
3368_170950_000004_000000	Probably in the dealings of these citizens with one another.	Probably in the dealings of these citizens with one another.
3368_170950_000004_000001	I cannot imagine that they are more likely to be found any where else.	I cannot imagine that they are more likely to be found any where else.
3368_170950_000005_000000	I dare say that you are right in your suggestion, I said; we had better think the matter out, and not shrink from the enquiry.	I dare say that you are right in your suggestion, I said; we had better think the matter out, and not shrink from the enquiry.
3368_170950_000006_000005	And they will take care that their families do not exceed their means; having an eye to poverty or war.	And they will take care that their families do not exceed their means; having an eye to poverty or war.
3368_170950_000007_000000	But, said Glaucon, interposing, you have not given them a relish to their meal.	But, said Glaucon, interposing, you have not given them a relish to their meal.
3368_170950_000008_000001	And with such a diet they may be expected to live in peace and health to a good old age, and bequeath a similar life to their children after them.	And with such a diet they may be expected to live in peace and health to a good old age, and bequeath a similar life to their children after them.
3368_170950_000009_000000	Yes, Socrates, he said, and if you were providing for a city of pigs, how else would you feed the beasts?	Yes, Socrates, he said, and if you were providing for a city of pigs, how else would you feed the beasts?
3368_170950_000010_000001	I replied.	I replied.
3368_170950_000011_000000	Why, he said, you should give them the ordinary conveniences of life. People who are to be comfortable are accustomed to lie on sofas, and dine off tables, and they should have sauces and sweets in the modern style.	Why, he said, you should give them the ordinary conveniences of life. People who are to be comfortable are accustomed to lie on sofas, and dine off tables, and they should have sauces and sweets in the modern style.
3368_170950_000012_000000	Yes, I said, now I understand: the question which you would have me consider is, not only how a State, but how a luxurious State is created; and possibly there is no harm in this, for in such a State we shall be more likely to see how justice and injustice originate.	Yes, I said, now I understand: the question which you would have me consider is, not only how a State, but how a luxurious State is created; and possibly there is no harm in this, for in such a State we shall be more likely to see how justice and injustice originate.
3368_170950_000012_000001	In my opinion the true and healthy constitution of the State is the one which I have described.	In my opinion the true and healthy constitution of the State is the one which I have described.
3368_170950_000013_000000	True, he said.	True, he said.
3368_170950_000014_000001	Now will the city have to fill and swell with a multitude of callings which are not required by any natural want; such as the whole tribe of hunters and actors, of whom one large class have to do with forms and colours; another will be the votaries of music--poets and their attendant train of rhapsodists, players, dancers, contractors; also makers of divers kinds of articles, including women's dresses.	Now will the city have to fill and swell with a multitude of callings which are not required by any natural want; such as the whole tribe of hunters and actors, of whom one large class have to do with forms and colours; another will be the votaries of music-poets and their attendant train of rhapsodists, players, dancers, contractors; also makers of divers kinds of articles, including women's dresses.
3368_170950_000014_000004	They must not be forgotten: and there will be animals of many other kinds, if people eat them.	They must not be forgotten: and there will be animals of many other kinds, if people eat them.
3368_170950_000015_000000	Certainly.	Certainly.
3368_170950_000016_000000	And living in this way we shall have much greater need of physicians than before?	And living in this way we shall have much greater need of physicians than before?
3368_170950_000017_000000	Much greater.	Much greater.
3368_170950_000018_000000	And the country which was enough to support the original inhabitants will be too small now, and not enough?	And the country which was enough to support the original inhabitants will be too small now, and not enough?
3368_170950_000019_000000	Quite true.	Quite true.
3368_170950_000020_000000	Then a slice of our neighbours' land will be wanted by us for pasture and tillage, and they will want a slice of ours, if, like ourselves, they exceed the limit of necessity, and give themselves up to the unlimited accumulation of wealth?	Then a slice of our neighbours' land will be wanted by us for pasture and tillage, and they will want a slice of ours, if, like ourselves, they exceed the limit of necessity, and give themselves up to the unlimited accumulation of wealth?
3368_170950_000021_000000	That, Socrates, will be inevitable.	That, Socrates, will be inevitable.
3368_170950_000022_000001	Shall we not?	Shall we not?
3368_170950_000023_000000	Most certainly, he replied.	Most certainly, he replied.
3368_170950_000025_000000	Undoubtedly.	Undoubtedly.
3368_170950_000027_000000	Why? he said; are they not capable of defending themselves?	Why? he said; are they not capable of defending themselves?
3368_170950_000029_000000	Very true, he said.	Very true, he said.
3368_170950_000030_000000	But is not war an art?	But is not war an art?
3368_170950_000031_000000	Certainly.	Certainly.
3368_170950_000032_000000	And an art requiring as much attention as shoemaking?	And an art requiring as much attention as shoemaking?
3368_170950_000033_000000	Quite true.	Quite true.
3368_170950_000034_000001	Now nothing can be more important than that the work of a soldier should be well done.	Now nothing can be more important than that the work of a soldier should be well done.
3368_170950_000034_000002	But is war an art so easily acquired that a man may be a warrior who is also a husbandman, or shoemaker, or other artisan; although no one in the world would be a good dice or draught player who merely took up the game as a recreation, and had not from his earliest years devoted himself to this and nothing else?	But is war an art so easily acquired that a man may be a warrior who is also a husbandman, or shoemaker, or other artisan; although no one in the world would be a good dice or draught player who merely took up the game as a recreation, and had not from his earliest years devoted himself to this and nothing else?
3368_170950_000034_000003	No tools will make a man a skilled workman, or master of defence, nor be of any use to him who has not learned how to handle them, and has never bestowed any attention upon them.	No tools will make a man a skilled workman, or master of defence, nor be of any use to him who has not learned how to handle them, and has never bestowed any attention upon them.
3368_170950_000034_000004	How then will he who takes up a shield or other implement of war become a good fighter all in a day, whether with heavy-armed or any other kind of troops?	How then will he who takes up a shield or other implement of war become a good fighter all in a day, whether with heavy armed or any other kind of troops?
3368_170950_000035_000000	Yes, he said, the tools which would teach men their own use would be beyond price.	Yes, he said, the tools which would teach men their own use would be beyond price.
