815_130569_000000_000000	XIV.	fourteen.	true	21.57	22.45	20.703775
815_130569_000000_000001	The Prince Who Acquired Wisdom.	The Prince Who Acquired Wisdom.	true	22.67	25.03	20.16204
815_130569_000001_000000	There was once a Raja who had an only son and the Raja was always urging his son to learn to read and write in order that when he came to his kingdom he might manage well and be able to decide disputes that were brought to him for judgment; but the boy paid no heed to his father's advice and continued to neglect his lessons.	There was once a Raja who had an only son and the Raja was always urging his son to learn to read and write in order that when he came to his kingdom he might manage well and be able to decide disputes that were brought to him for judgment; but the boy paid no heed to his father's advice and continued to neglect his lessons.	false	26.57	47.86	18.883095
815_130569_000001_000001	At last when he was grown up, the Prince saw that his father was right and he resolved to go away to foreign countries to acquire wisdom; so he set off without telling anyone but his wife, and he took with him a purse of money and three pieces of gold.	At last when he was grown up, the Prince saw that his father was right and he resolved to go away to foreign countries to acquire wisdom; so he set off without telling anyone but his wife, and he took with him a purse of money and three pieces of gold.	true	48.32	67.725	18.481361
815_130569_000001_000002	After travelling a long time, he one day saw a man ploughing in a field and he went and got some tobacco from him and asked him whether there were any wise men living in that neighbourhood.	After travelling a long time, he one day saw a man ploughing in a field and he went and got some tobacco from him and asked him whether there were any wise men living in that neighbourhood.	false	67.725	78.97	18
815_130569_000001_000003	"What do you want with wise men?", asked the ploughman.	"What do you want with wise men?", asked the ploughman.	true	80.12	83.29	18
815_130569_000001_000004	The Prince said that he was travelling to get wisdom.	The Prince said that he was travelling to get wisdom.	true	83.96	86.62	18
815_130569_000001_000005	The ploughman said that he would give him instruction if he were paid.	The ploughman said that he would give him instruction if he were paid.	true	86.84	90.91	18.036419
815_130569_000001_000006	Then the Prince promised to give him one gold piece for each piece of wisdom.	Then the Prince promised to give him one gold piece for each piece of wisdom.	true	91.49	95.65	18
815_130569_000001_000007	The ploughman agreed and said.	The ploughman agreed and said.	true	96.5	98.385	20.258478
815_130569_000001_000008	"Listen attentively!	"Listen attentively!	true	98.385	99.96	22.58649
815_130569_000001_000009	My first maxim is this: You are the son of a Raja; whenever you go to visit a friend or one of your subjects and they offer you a bedstead, or stool, or mat to sit on, do not sit down at once but move the stool or mat a little to one side; this is one maxim: give me my gold coin." So the Prince paid him.	My first maxim is this: You are the son of a Raja; whenever you go to visit a friend or one of your subjects and they offer you a bedstead, or stool, or mat to sit on, do not sit down at once but move the stool or mat a little to one side; this is one maxim: give me my gold coin." So the Prince paid him.	false	99.96	126.28	19.737862
815_130569_000001_000010	Then the ploughman said.	Then the ploughman said.	true	126.89	128.175	18.79716
815_130569_000001_000011	"The second maxim is this: You are the son of a Raja; whenever you go to bathe, do not bathe at the common bathing place, but at a place by yourself; give me my coin," and the Prince did so.	"The second maxim is this: You are the son of a Raja; whenever you go to bathe, do not bathe at the common bathing place, but at a place by yourself; give me my coin," and the Prince did so.	true	128.175	144.34	21.144932
815_130569_000001_000012	Then he continued, "My third maxim is this: You are the son of a Raja; when men come to you for advice or to have a dispute decided, listen to what the majority of those present say and do not follow your own fancy, now pay me;" and the Prince gave him his last gold coin, and said that he had no more.	Then he continued, "My third maxim is this: You are the son of a Raja; when men come to you for advice or to have a dispute decided, listen to what the majority of those present say and do not follow your own fancy, now pay me;" and the Prince gave him his last gold coin, and said that he had no more.	true	144.35	167.35	19.814463
815_130569_000001_000013	"Well," said the ploughman, "your lesson is finished but still I will give you one more piece of advice free and it is this: You are the son of a Raja; Restrain your anger, if anything you see or hear makes you angry, still do not at once take action; hear the explanation and weigh it well, then if you find cause you can give rein to your anger and if not, let the offender off."	"Well," said the ploughman, "your lesson is finished but still I will give you one more piece of advice free and it is this: You are the son of a Raja; Restrain your anger, if anything you see or hear makes you angry, still do not at once take action; hear the explanation and weigh it well, then if you find cause you can give rein to your anger and if not, let the offender off."	false	168.14	198.94	19.762627
815_130569_000002_000000	After this the prince set his face homewards as he had spent all his money; and he began to repent of having spent his gold pieces on advice that seemed worthless.	After this the prince set his face homewards as he had spent all his money; and he began to repent of having spent his gold pieces on advice that seemed worthless.	true	199.88	209.68	20.101395
815_130569_000002_000001	However on his way he turned into a bazar to buy some food and the shopkeepers on all sides called out "Buy, buy," so he went to a shop and the shopkeeper invited him to sit on a rug; he was just about to do so when he remembered the maxim of his instructor and pulled the rug to one side; and when he did so he saw that it had been spread over the mouth of a well and that if he had sat on it he would have been killed[1]; so he began to believe in the wisdom of his teacher.	However on his way he turned into a bazar to buy some food and the shopkeepers on all sides called out "Buy, buy," so he went to a shop and the shopkeeper invited him to sit on a rug; he was just about to do so when he remembered the maxim of his instructor and pulled the rug to one side; and when he did so he saw that it had been spread over the mouth of a well and that if he had sat on it he would have been killed[one]; so he began to believe in the wisdom of his teacher.	false	210.14	243.69	19.841341
815_130569_000002_000002	Then he went on his way and on the road he turned aside to a tank to bathe, and remembering the maxim of his teacher he did not bathe at the common place but went to a place apart; then having eaten his lunch he continued his journey, but he had not gone far when he found that he had left his purse behind, so he turned back and found it lying at the place where he had put down his things when he bathed; thereupon he applauded the wisdom of his teacher, for if he had bathed at the common bathing place someone would have seen the purse and have taken it away.	Then he went on his way and on the road he turned aside to a tank to bathe, and remembering the maxim of his teacher he did not bathe at the common place but went to a place apart; then having eaten his lunch he continued his journey, but he had not gone far when he found that he had left his purse behind, so he turned back and found it lying at the place where he had put down his things when he bathed; thereupon he applauded the wisdom of his teacher, for if he had bathed at the common bathing place someone would have seen the purse and have taken it away.	false	243.69	279.07	20.726446
815_130569_000002_000003	When evening came on he turned into a village and asked the headman to let him sleep in his verandah, and there was already one other traveller sleeping there and in the morning it was found that the traveller had died in his sleep.	When evening came on he turned into a village and asked the headman to let him sleep in his verandah, and there was already one other traveller sleeping there and in the morning it was found that the traveller had died in his sleep.	true	279.95	294.04	18
815_130569_000002_000004	Then the headman consulted the villagers and they decided that there was nothing to be done but to throw away the body, and that as the Prince was also a traveller he should do it.	Then the headman consulted the villagers and they decided that there was nothing to be done but to throw away the body, and that as the Prince was also a traveller he should do it.	true	294.41	307.45	19.880505
815_130569_000002_000005	At first he refused to touch the corpse as he was the son of a Raja, but the villagers insisted and then he bethought himself of the maxim that he should not act contrary to the general opinion; so he yielded and dragged away the body, and threw it into a ravine.	At first he refused to touch the corpse as he was the son of a Raja, but the villagers insisted and then he bethought himself of the maxim that he should not act contrary to the general opinion; so he yielded and dragged away the body, and threw it into a ravine.	true	307.97	326.2	19.251936
815_130569_000003_000000	Before leaving it he remembered that it was proper to remove the clothes, and when he began to do so he found round the waist of the body a roll of coin; so he took this and was glad that he had followed the advice of his teacher.	Before leaving it he remembered that it was proper to remove the clothes, and when he began to do so he found round the waist of the body a roll of coin; so he took this and was glad that he had followed the advice of his teacher.	false	327.41	341.62	19.233566
815_130569_000004_000000	That evening he reached the boundary of his own territory and decided to press on home although it was dark; at midnight he reached the palace and without arousing anyone went to the door of his wife's room.	That evening he reached the boundary of his own territory and decided to press on home although it was dark; at midnight he reached the palace and without arousing anyone went to the door of his wife's room.	true	342.44	355.93	19.243328
815_130569_000004_000001	Outside the door he saw a pair of shoes and a sword; at the sight he became wild with rage and drawing the sword he called out: "Who is in my room?"	Outside the door he saw a pair of shoes and a sword; at the sight he became wild with rage and drawing the sword he called out: "Who is in my room?"	true	356.66	368.44	18.401308
815_130569_000005_000000	As a matter of fact the Prince's wife had got the Prince's little sister to sleep with her, and when the girl heard the Prince's voice she got up to leave; but when she opened the door and saw the Prince standing with the drawn sword she drew back in fear; she told him who she was and explained that they had put the shoes and sword at the door to prevent anyone else from entering; but in his wrath the Prince would not listen and called to her to come out and be killed.	As a matter of fact the Prince's wife had got the Prince's little sister to sleep with her, and when the girl heard the Prince's voice she got up to leave; but when she opened the door and saw the Prince standing with the drawn sword she drew back in fear; she told him who she was and explained that they had put the shoes and sword at the door to prevent anyone else from entering; but in his wrath the Prince would not listen and called to her to come out and be killed.	true	369.53	398.95	19
815_130569_000006_000000	Then she took off her cloth and showed it to him through the crack of the door and at the sight of this he was convinced; then he reflected on the advice of his teacher and repented, because he had nearly killed his sister through not restraining his wrath.	Then she took off her cloth and showed it to him through the crack of the door and at the sight of this he was convinced; then he reflected on the advice of his teacher and repented, because he had nearly killed his sister through not restraining his wrath.	true	399.71	417.63	18
815_130569_000007_000000	XV.	fifteen.	false	417.63	417.63	
815_130569_000007_000001	The Monkey Boy.	The Monkey Boy.	false	417.63	417.66	-20
815_130569_000008_000000	There was once a man who had six sons and two daughters and he died leaving his wife pregnant of a ninth child.	There was once a man who had six sons and two daughters and he died leaving his wife pregnant of a ninth child.	false	417.66	418.71	19.923159
815_130569_000009_000000	And when the child was born it proved to be a monkey.	And when the child was born it proved to be a monkey.	false	418.71	419.79	20.47824
815_130569_000010_000000	The villagers and relations advised the mother to make away with it, but she refused saying "Chando knows why he has given me such a child, but as he has done so I will rear it."	The villagers and relations advised the mother to make away with it, but she refused saying "Chando knows why he has given me such a child, but as he has done so I will rear it."	false	419.79	423.6	9
