4945_29090_000001_000000	CHAPTER IX.	CHAPTER nine.
4945_29090_000002_000000	Washington dreamed his way along the street, his fancy flitting from grain to hogs, from hogs to banks, from banks to eye-water, from eye-water to Tennessee Land, and lingering but a feverish moment upon each of these fascinations.	Washington dreamed his way along the street, his fancy flitting from grain to hogs, from hogs to banks, from banks to eye water, from eye water to Tennessee Land, and lingering but a feverish moment upon each of these fascinations.
4945_29090_000003_000000	Arrived at the finest dwelling in the town, they entered it and were at home.	Arrived at the finest dwelling in the town, they entered it and were at home.
4945_29090_000003_000001	Washington was introduced to Mrs. Boswell, and his imagination was on the point of flitting into the vapory realms of speculation again, when a lovely girl of sixteen or seventeen came in.	Washington was introduced to mrs Boswell, and his imagination was on the point of flitting into the vapory realms of speculation again, when a lovely girl of sixteen or seventeen came in.
4945_29090_000003_000002	This vision swept Washington's mind clear of its chaos of glittering rubbish in an instant.	This vision swept Washington's mind clear of its chaos of glittering rubbish in an instant.
4945_29090_000003_000003	Beauty had fascinated him before; many times he had been in love even for weeks at a time with the same object but his heart had never suffered so sudden and so fierce an assault as this, within his recollection.	Beauty had fascinated him before; many times he had been in love even for weeks at a time with the same object but his heart had never suffered so sudden and so fierce an assault as this, within his recollection.
4945_29090_000004_000000	Louise Boswell occupied his mind and drifted among his multiplication tables all the afternoon.	Louise Boswell occupied his mind and drifted among his multiplication tables all the afternoon.
4945_29090_000004_000001	He was constantly catching himself in a reverie--reveries made up of recalling how she looked when she first burst upon him; how her voice thrilled him when she first spoke; how charmed the very air seemed by her presence.	He was constantly catching himself in a reverie-reveries made up of recalling how she looked when she first burst upon him; how her voice thrilled him when she first spoke; how charmed the very air seemed by her presence.
4945_29090_000004_000002	Blissful as the afternoon was, delivered up to such a revel as this, it seemed an eternity, so impatient was he to see the girl again.	Blissful as the afternoon was, delivered up to such a revel as this, it seemed an eternity, so impatient was he to see the girl again.
4945_29090_000004_000003	Other afternoons like it followed.	Other afternoons like it followed.
4945_29090_000004_000004	Washington plunged into this love affair as he plunged into everything else--upon impulse and without reflection.	Washington plunged into this love affair as he plunged into everything else-upon impulse and without reflection.
4945_29090_000004_000005	As the days went by it seemed plain that he was growing in favor with Louise,--not sweepingly so, but yet perceptibly, he fancied.	As the days went by it seemed plain that he was growing in favor with Louise,--not sweepingly so, but yet perceptibly, he fancied.
4945_29090_000004_000006	His attentions to her troubled her father and mother a little, and they warned Louise, without stating particulars or making allusions to any special person, that a girl was sure to make a mistake who allowed herself to marry anybody but a man who could support her well.	His attentions to her troubled her father and mother a little, and they warned Louise, without stating particulars or making allusions to any special person, that a girl was sure to make a mistake who allowed herself to marry anybody but a man who could support her well.
4945_29090_000005_000001	He longed for riches now as he had never longed for them before.	He longed for riches now as he had never longed for them before.
