7140_72212_000001_000000	CHAPTER TWENTY-SEVENTH.	CHAPTER TWENTY SEVENTH.
7140_72212_000002_000000	"In peace, love tunes the shepherd's reed; In war, he mounts the warrior's steed; In halls, in gay attire is seen; In hamlets, dances on the green; Love rules the court, the camp, the grove, And men below and saints above; For love is heaven, and heaven is love." --SCOTT.	"In peace, love tunes the shepherd's reed; In war, he mounts the warrior's steed; In halls, in gay attire is seen; In hamlets, dances on the green; Love rules the court, the camp, the grove, And men below and saints above; For love is heaven, and heaven is love." --SCOTT.
7140_72212_000003_000000	"Escaped prisoners from Andersonville, eh?" queried the guard gathering about them.	"Escaped prisoners from Andersonville, eh?" queried the guard gathering about them.
7140_72212_000004_000000	"Yes; and more than half-starved; especially my friend here, Captain Allison of the----"	"Yes; and more than half starved; especially my friend here, Captain Allison of the----"
7140_72212_000005_000000	But the sentence was left unfinished; for at that instant Harold reeled, and would have fallen but for the strong arm of another officer quickly outstretched to save him.	But the sentence was left unfinished; for at that instant Harold reeled, and would have fallen but for the strong arm of another officer quickly outstretched to save him.
7140_72212_000006_000000	They made a litter and carried him into camp, where restoratives were immediately applied.	They made a litter and carried him into camp, where restoratives were immediately applied.
7140_72212_000007_000000	He soon recovered from his faintness, but was found to be totally unfit for duty, and sent to the hospital at Washington, where he was placed in a bed adjoining that of his brother Richard, and allowed to share with him in the attentions of Dr. King, Miss Lottie, and his own sister May.	He soon recovered from his faintness, but was found to be totally unfit for duty, and sent to the hospital at Washington, where he was placed in a bed adjoining that of his brother Richard, and allowed to share with him in the attentions of dr King, Miss Lottie, and his own sister May.
7140_72212_000008_000000	How they all wept over him--reduced almost to a skeleton, so wan, so weak, so aged, in those few short months.	How they all wept over him-reduced almost to a skeleton, so wan, so weak, so aged, in those few short months.
7140_72212_000009_000000	He recognized his brother and sister with a faint smile, a murmured word or two, then sank into a state of semi-stupor, from which he roused only when spoken to, relapsing into it again immediately.	He recognized his brother and sister with a faint smile, a murmured word or two, then sank into a state of semi stupor, from which he roused only when spoken to, relapsing into it again immediately.
7140_72212_000010_000000	Slowly, very slowly, medical skill and tender, careful nursing told upon his exhausted frame till at length he seemed to awake to new life, began to notice what was going on about him, was able to take part in a cheerful chat now and then, and became eager for news from home and of the progress of the war.	Slowly, very slowly, medical skill and tender, careful nursing told upon his exhausted frame till at length he seemed to awake to new life, began to notice what was going on about him, was able to take part in a cheerful chat now and then, and became eager for news from home and of the progress of the war.
7140_72212_000011_000000	Months had passed away.	Months had passed away.
7140_72212_000011_000001	In the meantime Richard had returned to camp, and Harry Duncan, wounded in a late battle, now occupied his deserted bed in the hospital.	In the meantime Richard had returned to camp, and Harry Duncan, wounded in a late battle, now occupied his deserted bed in the hospital.
7140_72212_000012_000000	Harry was suffering, but in excellent spirits.	Harry was suffering, but in excellent spirits.
7140_72212_000013_000002	"Miss Lottie, I'm almost tempted to say it pays to be ill or wounded, that one may be tended by fair ladies' hands."	"Miss Lottie, I'm almost tempted to say it pays to be ill or wounded, that one may be tended by fair ladies' hands."
7140_72212_000015_000000	"None the less beautiful, Miss King," returned Duncan gallantly.	"None the less beautiful, Miss King," returned Duncan gallantly.
7140_72212_000015_000001	"Many a whiter hand is not half so shapely or so useful.	"Many a whiter hand is not half so shapely or so useful.
7140_72212_000015_000002	Now reward me for that pretty compliment by coaxing your father to get me well as fast as possible, that I may have a share in the taking of Richmond."	Now reward me for that pretty compliment by coaxing your father to get me well as fast as possible, that I may have a share in the taking of Richmond."
7140_72212_000017_000001	I presume it would not be necessary for me even to be at the trouble of dictating them?"	I presume it would not be necessary for me even to be at the trouble of dictating them?"
7140_72212_000018_000000	"Oh, no, certainly not!"	"Oh, no, certainly not!"
7140_72212_000019_000000	"Joking aside, I shall be greatly obliged if you will write to Aunt Wealthy to-day for me."	"Joking aside, I shall be greatly obliged if you will write to Aunt Wealthy to day for me."
7140_72212_000020_000000	"With pleasure; especially as I can tell her your wound is not a dangerous one, and you will not lose a limb.	"With pleasure; especially as I can tell her your wound is not a dangerous one, and you will not lose a limb.
7140_72212_000020_000001	But do tell me.	But do tell me.
7140_72212_000020_000002	What did you poor fellows get to eat at Andersonville?"	What did you poor fellows get to eat at Andersonville?"
7140_72212_000022_000000	"Hunger?"	"Hunger?"
7140_72212_000023_000000	"Yes; we'd plenty of that always.	"Yes; we'd plenty of that always.
7140_72212_000023_000001	In addition to the corn-meal and meat, we had a half pint of peas full of bugs."	In addition to the corn meal and meat, we had a half pint of peas full of bugs."
7140_72212_000024_000000	"Oh! you poor creatures!	"Oh! you poor creatures!
7140_72212_000024_000001	I hope it was a little better the alternate week."	I hope it was a little better the alternate week."
7140_72212_000025_000000	"Just the same, except, in lieu of the corn-meal, we had three square inches of corn bread."	"Just the same, except, in lieu of the corn meal, we had three square inches of corn bread."
7140_72212_000026_000000	"Is it jest; or earnest?" asked Lottie, appealing to Harold.	"Is it jest; or earnest?" asked Lottie, appealing to Harold.
7140_72212_000027_000000	"Dead earnest, Miss King; and for medicine we had sumac and white-oak bark."	"Dead earnest, Miss King; and for medicine we had sumac and white oak bark."
7140_72212_000028_000000	"No matter what ailed you?"	"No matter what ailed you?"
7140_72212_000029_000000	"Oh, yes; that made no difference."	"Oh, yes; that made no difference."
7140_72212_000030_000000	To Harry's impatience the winter wore slowly away while he was confined within the hospital walls; yet the daily, almost hourly sight of May Allison's sweet face, and the sound of her musical voice, went far to reconcile him to this life of inactivity and "inglorious ease," as he termed it in his moments of restless longing to be again in the field.	To Harry's impatience the winter wore slowly away while he was confined within the hospital walls; yet the daily, almost hourly sight of May Allison's sweet face, and the sound of her musical voice, went far to reconcile him to this life of inactivity and "inglorious ease," as he termed it in his moments of restless longing to be again in the field.
7140_72212_000031_000000	By the last of March this ardent desire was granted, and he hurried away in fine spirits, leaving May pale and tearful, but with a ring on her finger that had not been there before.	By the last of March this ardent desire was granted, and he hurried away in fine spirits, leaving May pale and tearful, but with a ring on her finger that had not been there before.
7140_72212_000033_000000	"It is good of you," whispered May, laying her wet cheek on her friend's shoulder; "and I'm ever so glad you're to be my sister."	"It is good of you," whispered May, laying her wet cheek on her friend's shoulder; "and I'm ever so glad you're to be my sister."
7140_72212_000034_000000	"And won't Aunt Wealthy rejoice over you as over a mine of gold!"	"And won't Aunt Wealthy rejoice over you as over a mine of gold!"
7140_72212_000036_000000	A familiar step drew near, and Dr. King laid his hand on the young man's shoulder.	A familiar step drew near, and dr King laid his hand on the young man's shoulder.
