7398_98876_000000_000000	I effected all this without any other medicinal aid, or without resorting to an operation.	I effected all this without any other medicinal aid, or without resorting to an operation.	false	0	0.78	100
7398_98876_000000_000001	Keeping quiet and dry, and in a uniform temperature, is all that is required, in order to secure the full curative action of Apis.	Keeping quiet and dry, and in a uniform temperature, is all that is required, in order to secure the full curative action of Apis.	false	0.78	2.07	12
7398_98876_000000_000002	In this disease it is used in the same manner as we have indicated before.	In this disease it is used in the same manner as we have indicated before.	false	2.07	2.34	9
7398_98876_000000_000003	If the liver should be very much involved in this disease, we effect a cure still more rapidly, by alternating Aconite with Apis, in case inflammation is present; Carduus mariae, in case of simple inflammatory irritation, and Hepatin, if disorganizations have already set in.	If the liver should be very much involved in this disease, we effect a cure still more rapidly, by alternating Aconite with Apis, in case inflammation is present; Carduus mariae, in case of simple inflammatory irritation, and Hepatin, if disorganizations have already set in.	false	2.34	5.43	25.148636
7398_98876_000000_000004	In phlegmonous and suppurative habitual erysipelas, a cure is generally facilitated, if a dose of Sulphur 30 is interpolated, in the manner which we have explained before, in order to neutralize the psoric taint which is here generally present.	In phlegmonous and suppurative habitual erysipelas, a cure is generally facilitated, if a dose of Sulphur thirty is interpolated, in the manner which we have explained before, in order to neutralize the psoric taint which is here generally present.	false	5.43	10.2	21.350441
7398_98876_000001_000000	According to this experience, in conjunction with the symptoms 706, 707, I believe that Apis will prove a successful prophylactic and curative agent in a disease of children, which terminates fatally in almost every case.	According to this experience, in conjunction with the symptoms seven hundred six, seven hundred seven, I believe that Apis will prove a successful prophylactic and curative agent in a disease of children, which terminates fatally in almost every case.	false	10.2	24.28	22.06796
7398_98876_000001_000001	I mean erysipelas of new-born infants, which commences at the genital organs, thence spreads over the skin, and terminates in the induration and destruction of this organ.	I mean erysipelas of new born infants, which commences at the genital organs, thence spreads over the skin, and terminates in the induration and destruction of this organ.	true	24.65	34.6	22.341696
7398_98876_000001_000002	Until now, I have not had an opportunity of verifying the truth of this theoretical conclusion by actual experiments.	Until now, I have not had an opportunity of verifying the truth of this theoretical conclusion by actual experiments.	true	34.64	41.05	17
7398_98876_000001_000003	Hence I content myself with offering this suggestion for further practical trials.	Hence I content myself with offering this suggestion for further practical trials.	true	41.57	46.485	21.53007
7398_98876_000002_000000	The American Provings likewise show that Apis may be of great use in scarlatina.	The American Provings likewise show that Apis may be of great use in scarlatina.	true	46.485	51.33	20.58404
7398_98876_000003_000000	"No. 349: redness of the face, as in scarlatina.	"no three hundred forty nine: redness of the face, as in scarlatina.	false	51.33	55.98	22.276836
7398_98876_000003_000001	408 to 413: tongue very painful, the burning and raw feeling increases; vesicles spring up along the margin of the tongue, the pains are accompanied by stitches; at the tip of the tongue, toward the left side, a row of small vesicles spring up, some six or eight, which are very painful and sore; dryness of the tongue, red and fiery appearance of the inside of the cheeks, with painful sensitiveness.	four hundred eight to four hundred thirteen: tongue very painful, the burning and raw feeling increases; vesicles spring up along the margin of the tongue, the pains are accompanied by stitches; at the tip of the tongue, toward the left side, a row of small vesicles spring up, some six or eight, which are very painful and sore; dryness of the tongue, red and fiery appearance of the inside of the cheeks, with painful sensitiveness.	false	55.98	79.99	22.967133
7398_98876_000003_000002	311: pains in the interior of the right ear.	three hundred eleven: pains in the interior of the right ear.	false	80.15	83.59	21.675194
7398_98876_000003_000003	413 to 417: burning at the upper portion of the left ear; stitches under the left ear, tension under and behind the ears; red swelling of both ears, with a stinging and burning pain in the swelling.	four hundred thirteen to four hundred seventeen: burning at the upper portion of the left ear; stitches under the left ear, tension under and behind the ears; red swelling of both ears, with a stinging and burning pain in the swelling.	false	83.75	96.49	21.63405
7398_98876_000003_000004	462 to 463: difficulty of swallowing, staging pains when swallowing.	four hundred sixty two to four hundred sixty three: difficulty of swallowing, staging pains when swallowing.	false	96.77	102.85	19.745932
7398_98876_000003_000005	466: burning in the fauces down to the stomach.	four hundred sixty six: burning in the fauces down to the stomach.	false	103.04	106.86	24.899574
7398_98876_000003_000006	470: difficulty of swallowing in consequence of redness and swelling of the tonsils.	four hundred seventy: difficulty of swallowing in consequence of redness and swelling of the tonsils.	false	106.86	112.48	20.599663
7398_98876_000003_000007	473: ulcers in the throat during scarlet fever.	four hundred seventy three: ulcers in the throat during scarlet fever.	false	112.55	116.59	22.626942
7398_98876_000003_000008	1236: scarlatina does not come out, in the place of which the throat becomes ulcerated. 1237: retrocession of scarlatina, violent fever, excessive heat, congestion of the head, reddened eyes, violent delirium.	twelve thirty six: scarlatina does not come out, in the place of which the throat becomes ulcerated. twelve thirty seven: retrocession of scarlatina, violent fever, excessive heat, congestion of the head, reddened eyes, violent delirium.	true	116.6	131.29	23.02313
