2229_152842_000000_000000	"Where are the sunrays gone?" I cried.	"Where are the sunrays gone?" I cried.	false	0	0.15	11
2229_152842_000001_000000	"That I cannot tell," returned Mr. Raven; "--back, perhaps, to where they came from first.	"That I cannot tell," returned mr Raven; "--back, perhaps, to where they came from first.	false	0.15	0.51	19.308586
2229_152842_000001_000001	They now belong, I fancy, to a sense not yet developed in us."	They now belong, I fancy, to a sense not yet developed in us."	false	0.51	0.84	-20
2229_152842_000002_000000	He then talked of the relations of mind to matter, and of senses to qualities, in a way I could only a little understand, whence he went on to yet stranger things which I could not at all comprehend.	He then talked of the relations of mind to matter, and of senses to qualities, in a way I could only a little understand, whence he went on to yet stranger things which I could not at all comprehend.	false	0.84	4.74	17.572023
2229_152842_000002_000001	He spoke much about dimensions, telling me that there were many more than three, some of them concerned with powers which were indeed in us, but of which as yet we knew absolutely nothing.	He spoke much about dimensions, telling me that there were many more than three, some of them concerned with powers which were indeed in us, but of which as yet we knew absolutely nothing.	false	4.74	5.46	4
2229_152842_000002_000002	His words, however, I confess, took little more hold of me than the light did of the mirror, for I thought he hardly knew what he was saying.	His words, however, I confess, took little more hold of me than the light did of the mirror, for I thought he hardly knew what he was saying.	false	5.46	7.89	18.29463
2229_152842_000003_000000	Suddenly I was aware that our forms had gone from the mirror, which seemed full of a white mist.	Suddenly I was aware that our forms had gone from the mirror, which seemed full of a white mist.	false	7.89	8.91	-2
2229_152842_000003_000001	As I gazed I saw, growing gradually visible beyond the mist, the tops of a range of mountains, which became clearer and clearer.	As I gazed I saw, growing gradually visible beyond the mist, the tops of a range of mountains, which became clearer and clearer.	false	8.91	10.38	20
2229_152842_000003_000002	Soon the mist vanished entirely, uncovering the face of a wide heath, on which, at some distance, was the figure of a man moving swiftly away.	Soon the mist vanished entirely, uncovering the face of a wide heath, on which, at some distance, was the figure of a man moving swiftly away.	false	10.38	11.94	19.619553
2229_152842_000003_000003	I turned to address my companion; he was no longer by my side.	I turned to address my companion; he was no longer by my side.	false	11.94	13.02	18
2229_152842_000003_000004	I looked again at the form in the mirror, and recognised the wide coat flying, the black hair lifting in a wind that did not touch me.	I looked again at the form in the mirror, and recognised the wide coat flying, the black hair lifting in a wind that did not touch me.	false	13.02	17.76	18.021397
2229_152842_000003_000005	I rushed in terror from the place.	I rushed in terror from the place.	false	17.76	19.005	-20
2229_152842_000004_000000	CHAPTER IX.	CHAPTER nine.	true	19.005	20.11	18.439877
2229_152842_000004_000001	I REPENT	I REPENT	true	20.3	21.43	22.82849
2229_152842_000005_000000	I laid the manuscript down, consoled to find that my father had had a peep into that mysterious world, and that he knew Mr. Raven.	I laid the manuscript down, consoled to find that my father had had a peep into that mysterious world, and that he knew mr Raven.	true	23.9	31.63	17
2229_152842_000006_000000	Then I remembered that I had never heard the cause or any circumstance of my father's death, and began to believe that he must at last have followed Mr. Raven, and not come back; whereupon I speedily grew ashamed of my flight.	Then I remembered that I had never heard the cause or any circumstance of my father's death, and began to believe that he must at last have followed mr Raven, and not come back; whereupon I speedily grew ashamed of my flight.	true	32.87	47.05	15
2229_152842_000006_000001	What wondrous facts might I not by this time have gathered concerning life and death, and wide regions beyond ordinary perception! Assuredly the Ravens were good people, and a night in their house would nowise have hurt me!	What wondrous facts might I not by this time have gathered concerning life and death, and wide regions beyond ordinary perception! Assuredly the Ravens were good people, and a night in their house would nowise have hurt me!	false	48.29	62.23	18.271479
2229_152842_000006_000002	They were doubtless strange, but it was faculty in which the one was peculiar, and beauty in which the other was marvellous!	They were doubtless strange, but it was faculty in which the one was peculiar, and beauty in which the other was marvellous!	true	62.75	69.88	14
2229_152842_000006_000003	And I had not believed in them! had treated them as unworthy of my confidence, as harbouring a design against me!	And I had not believed in them! had treated them as unworthy of my confidence, as harbouring a design against me!	true	70.82	77.47	18.697489
2229_152842_000006_000004	The more I thought of my behaviour to them, the more disgusted I became with myself.	The more I thought of my behaviour to them, the more disgusted I became with myself.	true	78.23	83.23	21.13308
2229_152842_000006_000005	Why should I have feared such dead?	Why should I have feared such dead?	true	83.96	86.35	19.403954
2229_152842_000006_000006	To share their holy rest was an honour of which I had proved myself unworthy!	To share their holy rest was an honour of which I had proved myself unworthy!	true	86.6	91.3	12
2229_152842_000006_000007	What harm could that sleeping king, that lady with the wound in her palm, have done me?	What harm could that sleeping king, that lady with the wound in her palm, have done me?	true	92.72	97.99	18.588139
2229_152842_000006_000008	I fell a longing after the sweet and stately stillness of their two countenances, and wept.	I fell a longing after the sweet and stately stillness of their two countenances, and wept.	true	99.62	105.7	19.188625
2229_152842_000006_000009	Weeping I threw myself on a couch, and suddenly fell asleep.	Weeping I threw myself on a couch, and suddenly fell asleep.	true	106.73	111.22	18.648684
2229_152842_000007_000000	As suddenly I woke, feeling as if some one had called me.	As suddenly I woke, feeling as if some one had called me.	true	114.23	118.72	19.778885
2229_152842_000007_000001	The house was still as an empty church.	The house was still as an empty church.	true	119.33	121.65	19
2229_152842_000007_000002	A blackbird was singing on the lawn.	A blackbird was singing on the lawn.	true	121.65	123.97	17
2229_152842_000007_000003	I said to myself, "I will go and tell them I am ashamed, and will do whatever they would have me do!" I rose, and went straight up the stairs to the garret.	I said to myself, "I will go and tell them I am ashamed, and will do whatever they would have me do!" I rose, and went straight up the stairs to the garret.	false	124.85	134.92	18.451532
