8138_287657_000000_000000	SUNDRY ARRIVALS IN 1859.	SUNDRY ARRIVALS IN eighteen fifty nine.
8138_287657_000002_000001	She stated that she had been very cruelly treated, that she was owned by a man named Joseph O'Neil, "a tax collector and a very bad man." Under said O'Neil she had been required to chop wood, curry horses, work in the field like a man, and all one winter she had been compelled to go barefooted.	She stated that she had been very cruelly treated, that she was owned by a man named Joseph O'Neil, "a tax collector and a very bad man." Under said O'Neil she had been required to chop wood, curry horses, work in the field like a man, and all one winter she had been compelled to go barefooted.
8138_287657_000002_000002	Three weeks before Sarah fled, her mistress was called away by death; nevertheless Sarah could not forget how badly she had been treated by her while living.	Three weeks before Sarah fled, her mistress was called away by death; nevertheless Sarah could not forget how badly she had been treated by her while living.
8138_287657_000002_000003	According to Sarah's testimony the mistress was no better than her husband.	According to Sarah's testimony the mistress was no better than her husband.
8138_287657_000004_000001	She was of a dark chestnut color, well-formed, with a large and high forehead, indicative of intellect.	She was of a dark chestnut color, well formed, with a large and high forehead, indicative of intellect.
8138_287657_000004_000005	Fortunately, Caroline was a single woman.	Fortunately, Caroline was a single woman.
8138_287657_000005_000001	Previous to being sold he was under a master by the name of Jonathan Bailey, who followed farming in the neighborhood of Laurel, Delaware, and, as a master, was considered a moderate man--was also well to do in the world; but the new master he could not endure, as he had already let the secret out that Levin was to be sent South.	Previous to being sold he was under a master by the name of Jonathan Bailey, who followed farming in the neighborhood of Laurel, Delaware, and, as a master, was considered a moderate man-was also well to do in the world; but the new master he could not endure, as he had already let the secret out that Levin was to be sent South.
8138_287657_000006_000000	William James Conner, his wife, child, and four brothers came next.	William james Conner, his wife, child, and four brothers came next.
8138_287657_000007_000000	No very serious charges were made against Lewis, but on the contrary they said, that he had been looked upon as a "moderate slave-holder;" they also said, that "he had been a member of the Methodist Episcopal Church for fifty years, and stood high in that body." Furthermore they stated, that he sold slaves occasionally.	No very serious charges were made against Lewis, but on the contrary they said, that he had been looked upon as a "moderate slave holder;" they also said, that "he had been a member of the Methodist Episcopal Church for fifty years, and stood high in that body." Furthermore they stated, that he sold slaves occasionally.
8138_287657_000007_000001	Eight had been sold by him some time before this party escaped (two of them to Georgia); besides William James had been sold and barely found opportunity to escape.	Eight had been sold by him some time before this party escaped (two of them to Georgia); besides William james had been sold and barely found opportunity to escape.
8138_287657_000008_000000	Richard Williams gave a full account of himself, but only a meagre report was recorded.	Richard Williams gave a full account of himself, but only a meagre report was recorded.
8138_287657_000008_000001	He said that he came from Richmond, and left because he was on the point of being sold by John A. Smith, who owned him.	He said that he came from Richmond, and left because he was on the point of being sold by john a Smith, who owned him.
8138_287657_000008_000002	He gave Smith credit for being a tolerable fair kind of a slave-holder, but added, that "his wife was a notoriously hard woman;" she had made a very deep impression on Richard's mind by her treatment of him.	He gave Smith credit for being a tolerable fair kind of a slave holder, but added, that "his wife was a notoriously hard woman;" she had made a very deep impression on Richard's mind by her treatment of him.
8138_287657_000008_000003	In finding himself on free ground, however, with cheering prospects ahead, he did not stop to brood over the ills that he had suffered, but rejoiced heartily.	In finding himself on free ground, however, with cheering prospects ahead, he did not stop to brood over the ills that he had suffered, but rejoiced heartily.
8138_287657_000008_000004	He left his wife, Julia, who was free.	He left his wife, Julia, who was free.
8138_287657_000010_000002	Henry could find no justification for such treatment.	Henry could find no justification for such treatment.
