8138_287657_000000_000000	SUNDRY ARRIVALS IN 1859.	SUNDRY ARRIVALS IN eighteen fifty nine.	true	20.88	23.58	20.943998
8138_287657_000001_000000	SARAH ANN MILLS, Boonsborough; CAROLINE GASSWAY, Mt. Airy; LEVIN HOLDEN, Laurel; WILLIAM JAMES CONNER, with his wife, child, and four brothers; JAMES LAZARUS, Delaware; RICHARD WILLIAMS, Richmond, Virginia; SYDNEY HOPKINS and HENRY WHEELER, Havre de Grace.	SARAH ANN MILLS, Boonsborough; CAROLINE g a s s w a y, mount Airy; LEVIN HOLDEN, Laurel; WILLIAM james CONNER, with his wife, child, and four brothers; james LAZARUS, Delaware; RICHARD WILLIAMS, richmond virginia; SYDNEY HOPKINS and HENRY WHEELER, Havre de Grace.	false	23.58	44.92	20.747475
8138_287657_000002_000000	Sarah Mills set out for freedom long before she reached womanhood; being about sixteen years of age.	Sarah Mills set out for freedom long before she reached womanhood; being about sixteen years of age.	true	45.98	52.54	19.871355
8138_287657_000002_000001	She stated that she had been very cruelly treated, that she was owned by a man named Joseph O'Neil, "a tax collector and a very bad man." Under said O'Neil she had been required to chop wood, curry horses, work in the field like a man, and all one winter she had been compelled to go barefooted.	She stated that she had been very cruelly treated, that she was owned by a man named Joseph O'Neil, "a tax collector and a very bad man." Under said O'Neil she had been required to chop wood, curry horses, work in the field like a man, and all one winter she had been compelled to go barefooted.	true	52.61	71.62	21.39992
8138_287657_000002_000002	Three weeks before Sarah fled, her mistress was called away by death; nevertheless Sarah could not forget how badly she had been treated by her while living.	Three weeks before Sarah fled, her mistress was called away by death; nevertheless Sarah could not forget how badly she had been treated by her while living.	true	71.9	81.79	20.588434
8138_287657_000002_000003	According to Sarah's testimony the mistress was no better than her husband.	According to Sarah's testimony the mistress was no better than her husband.	true	82.13	86.68	21.012953
8138_287657_000002_000004	Sarah came from Boonsborough, near Hagerstown, Md., leaving her mother and other relatives in that neighborhood.	Sarah came from Boonsborough, near Hagerstown, m d., leaving her mother and other relatives in that neighborhood.	false	86.72	93.58	19.532356
8138_287657_000003_000000	It was gratifying to know that such bond-women so early got beyond the control of slave-holders; yet girls of her age from having had no pains taken for their improvement, appealed loudly for more than common sympathy and humanity, but rarely ever found it; on the contrary, their paths were beset with great danger.	It was gratifying to know that such bond women so early got beyond the control of slave holders; yet girls of her age from having had no pains taken for their improvement, appealed loudly for more than common sympathy and humanity, but rarely ever found it; on the contrary, their paths were beset with great danger.	false	94.07	113.95	20.032087
8138_287657_000004_000000	Caroline Gassway, after being held to service by Summersett Walters, until she had reached her twenty-seventh year, was forced, by hard treatment and the love of freedom, to make an effort for deliverance. Her appearance at once indicated, although she was just out of the prison-house, that she possessed more than an ordinary share of courage, and that she had had a keen insight into the system under which she had been oppressed.	Caroline Gassway, after being held to service by Summersett Walters, until she had reached her twenty seventh year, was forced, by hard treatment and the love of freedom, to make an effort for deliverance. Her appearance at once indicated, although she was just out of the prison house, that she possessed more than an ordinary share of courage, and that she had had a keen insight into the system under which she had been oppressed.	true	114.44	140.23	20.19296
8138_287657_000004_000001	She was of a dark chestnut color, well-formed, with a large and high forehead, indicative of intellect.	She was of a dark chestnut color, well formed, with a large and high forehead, indicative of intellect.	true	140.45	146.98	21.95937
8138_287657_000004_000002	She had much to say of the ways and practices of slave-holders; of the wrongs of the system. She dwelt especially upon her own situation as a slave, and the character of her master; she told not only of his ill treatment of her, but described his physical appearance as well.	She had much to say of the ways and practices of slave holders; of the wrongs of the system. She dwelt especially upon her own situation as a slave, and the character of her master; she told not only of his ill treatment of her, but described his physical appearance as well.	true	147.11	163.96	19.541687
