3977_87547_000000_000000	SECTION VI.	SECTION VI.	false	2.82	11.13	20.598999
3977_87547_000001_000000	_Of FIXED AIR._	underscore Of FIXED AIR.underscore	false	11.13	17.88	20.83071
3977_87547_000002_000000	The additions I have made to my observations on _fixed air_ are neither numerous nor considerable.	The additions I have made to my observations on underscore fixed air underscore are neither numerous nor considerable.	false	17.88	23.95	19.586824
3977_87547_000003_000000	The most important of them is a confirmation of my conjecture, that fixed air is capable of forming an union with phlogiston, and thereby becoming a kind of air that is not miscible with water.	The most important of them is a confirmation of my conjecture, that fixed air is capable of forming an union with phlogiston, and thereby becoming a kind of air that is not miscible with water.	false	24.02	35.26	22.941149
3977_87547_000003_000001	I had produced this effect before by means of iron filings and brimstone, fermenting in this kind of air; but I have since had a much more decisive and elegant proof of it by _electricity_.	I had produced this effect before by means of iron filings and brimstone, fermenting in this kind of air; but I have since had a much more decisive and elegant proof of it by underscore electricity underscore.	false	35.42	47.76	23.387287
3977_87547_000003_000002	For after taking a small electric explosion, for about an hour, in the space of an inch of fixed air, confined in a glass tube one tenth of an inch in diameter, fig.	For after taking a small electric explosion, for about an hour, in the space of an inch of fixed air, confined in a glass tube one tenth of an inch in diameter, fig.	false	47.76	59.85	21.812696
3977_87547_000003_000003	16, I found that when water was admitted to it, only one fourth of the air was imbibed.	sixteen, I found that when water was admitted to it, only one fourth of the air was imbibed.	true	59.85	66.07	24.119568
3977_87547_000003_000004	Probably the whole of it would have been rendered immiscible in water, if the electrical operation had been continued a sufficient time. This air continued several days in water, and was even agitated in water without any farther diminution.	Probably the whole of it would have been rendered immiscible in water, if the electrical operation had been continued a sufficient time. This air continued several days in water, and was even agitated in water without any farther diminution.	true	66.17	81.33	22.65423
3977_87547_000003_000005	It was not, however, common air, for it was not diminished by nitrous air.	It was not, however, common air, for it was not diminished by nitrous air.	true	81.33	86.23	24.337149
3977_87547_000004_000000	By means of iron filings and brimstone I have, since my former experiments, procured a considerable quantity of this kind of air in a method something different from that which I used before.	By means of iron filings and brimstone I have, since my former experiments, procured a considerable quantity of this kind of air in a method something different from that which I used before.	true	86.36	99.43	22.811436
3977_87547_000004_000001	For having placed a pot of this mixture under a receiver, and exhausted it with a pump of Mr. Smeaton's construction, I filled it with fixed air, and then left it plunged under water; so that no common air could have access to it.	For having placed a pot of this mixture under a receiver, and exhausted it with a pump of mr Smeaton's construction, I filled it with fixed air, and then left it plunged under water; so that no common air could have access to it.	true	99.68	115.33	22.622242
