1552_140651_000000_000000	DHAMMAPADA	DHAMMAPADA	true	4.89	5.92	17.05925
1552_140651_000001_000000	Chapter I. The Twin-Verses	Chapter one The Twin Verses	false	6.71	31.11	17.631243
1552_140651_000002_000000	1.	one.	false	31.11	46.47	18.784204
1552_140651_000002_000001	All that we are is the result of what we have thought: it is founded on our thoughts, it is made up of our thoughts.	All that we are is the result of what we have thought: it is founded on our thoughts, it is made up of our thoughts.	true	46.47	54.37	18.31697
1552_140651_000002_000002	If a man speaks or acts with an evil thought, pain follows him, as the wheel follows the foot of the ox that draws the carriage.	If a man speaks or acts with an evil thought, pain follows him, as the wheel follows the foot of the ox that draws the carriage.	true	55.43	64.83	16
1552_140651_000003_000000	2.	two.	false	64.83	67.56	-3
1552_140651_000003_000001	All that we are is the result of what we have thought: it is founded on our thoughts, it is made up of our thoughts.	All that we are is the result of what we have thought: it is founded on our thoughts, it is made up of our thoughts.	true	67.56	74.62	17
1552_140651_000003_000002	If a man speaks or acts with a pure thought, happiness follows him, like a shadow that never leaves him.	If a man speaks or acts with a pure thought, happiness follows him, like a shadow that never leaves him.	false	74.96	82.23	15
1552_140651_000004_000000	3.	three.	false	82.23	84.42	-3
1552_140651_000004_000001	"He abused me, he beat me, he defeated me, he robbed me,"--in those who harbour such thoughts hatred will never cease.	"He abused me, he beat me, he defeated me, he robbed me,"--in those who harbour such thoughts hatred will never cease.	true	84.42	92.28	12
1552_140651_000005_000000	4.	four.	false	92.28	93.9	4
1552_140651_000005_000001	"He abused me, he beat me, he defeated me, he robbed me,"--in those who do not harbour such thoughts hatred will cease.	"He abused me, he beat me, he defeated me, he robbed me,"--in those who do not harbour such thoughts hatred will cease.	true	93.9	104.73	16.943361
1552_140651_000006_000000	5.	five.	false	104.73	104.88	-20
1552_140651_000006_000001	For hatred does not cease by hatred at any time: hatred ceases by love, this is an old rule.	For hatred does not cease by hatred at any time: hatred ceases by love, this is an old rule.	true	104.88	113.46	17
1552_140651_000007_000000	6.	six.	false	113.46	116.07	-5
1552_140651_000007_000001	The world does not know that we must all come to an end here;--but those who know it, their quarrels cease at once.	The world does not know that we must all come to an end here;--but those who know it, their quarrels cease at once.	true	116.07	124.47	17
1552_140651_000008_000000	7.	seven.	false	124.47	126.96	-20
1552_140651_000008_000001	He who lives looking for pleasures only, his senses uncontrolled, immoderate in his food, idle, and weak, Mara (the tempter) will certainly overthrow him, as the wind throws down a weak tree.	He who lives looking for pleasures only, his senses uncontrolled, immoderate in his food, idle, and weak, Mara (the tempter) will certainly overthrow him, as the wind throws down a weak tree.	true	126.96	139.83	15
1552_140651_000009_000000	8.	eight.	false	139.83	142.53	-10
1552_140651_000009_000001	He who lives without looking for pleasures, his senses well controlled, moderate in his food, faithful and strong, him Mara will certainly not overthrow, any more than the wind throws down a rocky mountain.	He who lives without looking for pleasures, his senses well controlled, moderate in his food, faithful and strong, him Mara will certainly not overthrow, any more than the wind throws down a rocky mountain.	true	142.53	155.55	15
1552_140651_000010_000000	9.	nine.	false	155.55	158.7	2
1552_140651_000010_000001	He who wishes to put on the yellow dress without having cleansed himself from sin, who disregards temperance and truth, is unworthy of the yellow dress.	He who wishes to put on the yellow dress without having cleansed himself from sin, who disregards temperance and truth, is unworthy of the yellow dress.	true	158.7	166.77	11
1552_140651_000011_000000	10.	ten.	false	166.77	168.84	8
1552_140651_000011_000001	But he who has cleansed himself from sin, is well grounded in all virtues, and regards also temperance and truth, he is indeed worthy of the yellow dress.	But he who has cleansed himself from sin, is well grounded in all virtues, and regards also temperance and truth, he is indeed worthy of the yellow dress.	true	168.84	177.6	13
1552_140651_000012_000000	11.	eleven.	false	177.6	180.72	-20
1552_140651_000012_000001	They who imagine truth in untruth, and see untruth in truth, never arrive at truth, but follow vain desires.	They who imagine truth in untruth, and see untruth in truth, never arrive at truth, but follow vain desires.	true	180.72	188.88	13
1552_140651_000013_000000	12.	twelve.	false	188.88	191.19	-10
1552_140651_000013_000001	They who know truth in truth, and untruth in untruth, arrive at truth, and follow true desires.	They who know truth in truth, and untruth in untruth, arrive at truth, and follow true desires.	true	191.19	198.48	17
1552_140651_000014_000000	13.	thirteen.	false	198.48	200.46	-20
1552_140651_000014_000001	As rain breaks through an ill-thatched house, passion will break through an unreflecting mind.	As rain breaks through an ill thatched house, passion will break through an unreflecting mind.	true	200.46	206.25	10
1552_140651_000015_000000	14.	fourteen.	false	206.25	208.17	-6
1552_140651_000015_000001	As rain does not break through a well-thatched house, passion will not break through a well-reflecting mind.	As rain does not break through a well thatched house, passion will not break through a well reflecting mind.	true	208.17	218.37	17.401175
1552_140651_000016_000000	15.	fifteen.	false	218.37	219.18	-20
