3914_10089_000000_000000	CHAPTER IV	CHAPTER four	false	16.905	23.28	20.54309
3914_10089_000001_000000	Then it was that, one afternoon, while the spring of the year was young and new she met all in her own way his frankest betrayal of these alarms. He had gone in late to see her, but evening hadn't settled and she was presented to him in that long fresh light of waning April days which affects us often with a sadness sharper than the greyest hours of autumn. The week had been warm, the spring was supposed to have begun early, and May Bartram sat, for the first time in the year, without a fire; a fact that, to Marcher's sense, gave the scene of which she formed part a smooth and ultimate look, an air of knowing, in its immaculate order and cold meaningless cheer, that it would never see a fire again.	Then it was that, one afternoon, while the spring of the year was young and new she met all in her own way his frankest betrayal of these alarms. He had gone in late to see her, but evening hadn't settled and she was presented to him in that long fresh light of waning April days which affects us often with a sadness sharper than the greyest hours of autumn. The week had been warm, the spring was supposed to have begun early, and May Bartram sat, for the first time in the year, without a fire; a fact that, to Marcher's sense, gave the scene of which she formed part a smooth and ultimate look, an air of knowing, in its immaculate order and cold meaningless cheer, that it would never see a fire again.	true	23.28	68.32	21.656975
3914_10089_000001_000001	Her own aspect--he could scarce have said why--intensified this note.	Her own aspect-he could scarce have said why-intensified this note.	true	69.02	74.29	18.329813
3914_10089_000001_000002	Almost as white as wax, with the marks and signs in her face as numerous and as fine as if they had been etched by a needle, with soft white draperies relieved by a faded green scarf on the delicate tone of which the years had further refined, she was the picture of a serene and exquisite but impenetrable sphinx, whose head, or indeed all whose person, might have been powdered with silver.	Almost as white as wax, with the marks and signs in her face as numerous and as fine as if they had been etched by a needle, with soft white draperies relieved by a faded green scarf on the delicate tone of which the years had further refined, she was the picture of a serene and exquisite but impenetrable sphinx, whose head, or indeed all whose person, might have been powdered with silver.	true	74.78	103.33	20.857674
3914_10089_000001_000003	She was a sphinx, yet with her white petals and green fronds she might have been a lily too--only an artificial lily, wonderfully imitated and constantly kept, without dust or stain, though not exempt from a slight droop and a complexity of faint creases, under some clear glass bell.	She was a sphinx, yet with her white petals and green fronds she might have been a lily too-only an artificial lily, wonderfully imitated and constantly kept, without dust or stain, though not exempt from a slight droop and a complexity of faint creases, under some clear glass bell.	true	103.76	126.03	20.693144
3914_10089_000001_000004	The perfection of household care, of high polish and finish, always reigned in her rooms, but they now looked most as if everything had been wound up, tucked in, put away, so that she might sit with folded hands and with nothing more to do.	The perfection of household care, of high polish and finish, always reigned in her rooms, but they now looked most as if everything had been wound up, tucked in, put away, so that she might sit with folded hands and with nothing more to do.	true	126.03	142	22.274996
3914_10089_000001_000005	She was "out of it," to Marcher's vision; her work was over; she communicated with him as across some gulf or from some island of rest that she had already reached, and it made him feel strangely abandoned.	She was "out of it," to Marcher's vision; her work was over; she communicated with him as across some gulf or from some island of rest that she had already reached, and it made him feel strangely abandoned.	true	142.58	157.24	22.311863
3914_10089_000001_000006	Was it--or rather wasn't it--that if for so long she had been watching with him the answer to their question must have swum into her ken and taken on its name, so that her occupation was verily gone?	Was it-or rather wasn't it-that if for so long she had been watching with him the answer to their question must have swum into her ken and taken on its name, so that her occupation was verily gone?	true	158.03	171.28	20.978561
3914_10089_000001_000007	He had as much as charged her with this in saying to her, many months before, that she even then knew something she was keeping from him.	He had as much as charged her with this in saying to her, many months before, that she even then knew something she was keeping from him.	false	172.22	181.3	21
3914_10089_000001_000008	It was a point he had never since ventured to press, vaguely fearing as he did that it might become a difference, perhaps a disagreement, between them.	It was a point he had never since ventured to press, vaguely fearing as he did that it might become a difference, perhaps a disagreement, between them.	true	181.82	190.72	22.43972
3914_10089_000001_000009	He had in this later time turned nervous, which was what he in all the other years had never been; and the oddity was that his nervousness should have waited till he had begun to doubt, should have held off so long as he was sure.	He had in this later time turned nervous, which was what he in all the other years had never been; and the oddity was that his nervousness should have waited till he had begun to doubt, should have held off so long as he was sure.	false	191.39	205.39	20.689795
3914_10089_000001_000010	There was something, it seemed to him, that the wrong word would bring down on his head, something that would so at least ease off his tension.	There was something, it seemed to him, that the wrong word would bring down on his head, something that would so at least ease off his tension.	true	206.21	214.18	22
3914_10089_000001_000011	But he wanted not to speak the wrong word; that would make everything ugly.	But he wanted not to speak the wrong word; that would make everything ugly.	true	214.94	219.43	22.104492
3914_10089_000001_000012	He wanted the knowledge he lacked to drop on him, if drop it could, by its own august weight.	He wanted the knowledge he lacked to drop on him, if drop it could, by its own august weight.	true	220.07	226.6	23.150623
3914_10089_000001_000013	If she was to forsake him it was surely for her to take leave. This was why he didn't directly ask her again what she knew; but it was also why, approaching the matter from another side, he said to her in the course of his visit: "What do you regard as the very worst that at this time of day _can_ happen to me?"	If she was to forsake him it was surely for her to take leave. This was why he didn't directly ask her again what she knew; but it was also why, approaching the matter from another side, he said to her in the course of his visit: "What do you regard as the very worst that at this time of day underscore can underscore happen to me?"	false	227.66	249.85	20.362597
3914_10089_000002_000000	He had asked her that in the past often enough; they had, with the odd irregular rhythm of their intensities and avoidances, exchanged ideas about it and then had seen the ideas washed away by cool intervals, washed like figures traced in sea-sand.	He had asked her that in the past often enough; they had, with the odd irregular rhythm of their intensities and avoidances, exchanged ideas about it and then had seen the ideas washed away by cool intervals, washed like figures traced in sea sand.	false	249.98	265.99	20.20658
3914_10089_000002_000001	It had ever been the mark of their talk that the oldest allusions in it required but a little dismissal and reaction to come out again, sounding for the hour as new. She could thus at present meet his enquiry quite freshly and patiently. "Oh yes, I've repeatedly thought, only it always seemed to me of old that I couldn't quite make up my mind.	It had ever been the mark of their talk that the oldest allusions in it required but a little dismissal and reaction to come out again, sounding for the hour as new. She could thus at present meet his enquiry quite freshly and patiently. "Oh yes, I've repeatedly thought, only it always seemed to me of old that I couldn't quite make up my mind.	true	266.33	289.78	22.39552
3914_10089_000002_000002	I thought of dreadful things, between which it was difficult to choose; and so must you have done."	I thought of dreadful things, between which it was difficult to choose; and so must you have done."	true	290.42	296.65	25.151367
3914_10089_000003_000000	"Rather!	"Rather!	true	297.8	298.69	25.241522
3914_10089_000003_000001	I feel now as if I had scarce done anything else.	I feel now as if I had scarce done anything else.	true	298.76	301.87	21.077309
3914_10089_000003_000002	I appear to myself to have spent my life in thinking of nothing but dreadful things. A great many of them I've at different times named to you, but there were others I couldn't name."	I appear to myself to have spent my life in thinking of nothing but dreadful things. A great many of them I've at different times named to you, but there were others I couldn't name."	true	301.91	312.82	22.28642
3914_10089_000004_000000	"They were too, too dreadful?"	"They were too, too dreadful?"	true	313.76	315.67	22.64208
