6918_47541_000000_000000	"Non uxor salvum te vult, non filius, omnes Vicini oderunt,"------	"Non u x o r salvum te vult, non filius, omnes Vicini oderunt,"------	false	0	1.23	21.248796
6918_47541_000001_000000	"wife and children, friends, neighbours, all the world forsakes them, would feign be rid of them," and are compelled many times to lay violent hands on them, or else God's judgments overtake them: instead of graces, come furies.	"wife and children, friends, neighbours, all the world forsakes them, would feign be rid of them," and are compelled many times to lay violent hands on them, or else God's judgments overtake them: instead of graces, come furies.	false	1.23	3.9	15
6918_47541_000001_000001	So when fair [4583]Abigail, a woman of singular wisdom, was acceptable to David, Nabal was churlish and evil-conditioned; and therefore [4584]Mordecai was received, when Haman was executed, Haman the favourite, "that had his seat above the other princes, to whom all the king's servants that stood in the gates, bowed their knees and reverenced." Though they flourished many times, such hypocrites, such temporising foxes, and blear the world's eyes by flattery, bribery, dissembling their natures, or other men's weakness, that cannot so apprehend their tricks, yet in the end they will be discerned, and precipitated in a moment: "surely," saith David, "thou hast set them in slippery places," Psal. xxxvii.	So when fair [four thousand five hundred eighty three]Abigail, a woman of singular wisdom, was acceptable to David, Nabal was churlish and evil conditioned; and therefore [four thousand five hundred eighty four]Mordecai was received, when Haman was executed, Haman the favourite, "that had his seat above the other princes, to whom all the king's servants that stood in the gates, bowed their knees and reverenced." Though they flourished many times, such hypocrites, such temporising foxes, and blear the world's eyes by flattery, bribery, dissembling their natures, or other men's weakness, that cannot so apprehend their tricks, yet in the end they will be discerned, and precipitated in a moment: "surely," saith David, "thou hast set them in slippery places," p s a l. x x x v i i.	false	3.9	21.12	19.422504
6918_47541_000001_000002	5.	five.	false	21.12	21.24	-5
6918_47541_000001_000003	as so many Sejani, they will come down to the Gemonian scales; and as Eusebius in [4585] Ammianus, that was in such authority, _ad jubendum Imperatorem_, be cast down headlong on a sudden.	as so many Sejani, they will come down to the Gemonian scales; and as Eusebius in [four thousand five hundred eighty five] Ammianus, that was in such authority, underscore ad jubendum Imperatorem underscore, be cast down headlong on a sudden.	false	21.24	26.76	25.094648
6918_47541_000001_000004	Or put case they escape, and rest unmasked to their lives' end, yet after their death their memory stinks as a snuff of a candle put out, and those that durst not so much as mutter against them in their lives, will prosecute their name with satires, libels, and bitter imprecations, they shall _male audire_ in all succeeding ages, and be odious to the world's end.	Or put case they escape, and rest unmasked to their lives' end, yet after their death their memory stinks as a snuff of a candle put out, and those that durst not so much as mutter against them in their lives, will prosecute their name with satires, libels, and bitter imprecations, they shall underscore male audire underscore in all succeeding ages, and be odious to the world's end.	false	26.76	28.65	33.968506
6918_47541_000002_000000	MEMB.	m e m b.	false	28.65	28.65	
6918_47541_000002_000001	III. _Charity composed of all three Kinds, Pleasant, Profitable, Honest_.	three. underscore Charity composed of all three Kinds, Pleasant, Profitable, Honest underscore.	false	28.65	37.14	23.048311
6918_47541_000003_000000	Besides this love that comes from profit, pleasant, honest (for one good turn asks another in equity), that which proceeds from the law of nature, or from discipline and philosophy, there is yet another love compounded of all these three, which is charity, and includes piety, dilection, benevolence, friendship, even all those virtuous habits; for love is the circle equant of all other affections, of which Aristotle dilates at large in his Ethics, and is commanded by God, which no man can well perform, but he that is a Christian, and a true regenerate man; this is, [4586]"To love God above all, and our neighbour as ourself;" for this love is _lychnus accendens et accensus_, a communicating light, apt to illuminate itself as well as others.	Besides this love that comes from profit, pleasant, honest (for one good turn asks another in equity), that which proceeds from the law of nature, or from discipline and philosophy, there is yet another love compounded of all these three, which is charity, and includes piety, dilection, benevolence, friendship, even all those virtuous habits; for love is the circle equant of all other affections, of which Aristotle dilates at large in his Ethics, and is commanded by God, which no man can well perform, but he that is a Christian, and a true regenerate man; this is, [four thousand five hundred eighty six]"To love God above all, and our neighbour as ourself;" for this love is underscore lychnus accendens et accensus underscore, a communicating light, apt to illuminate itself as well as others.	false	37.14	101.53	22.410828
6918_47541_000003_000001	All other objects are fair, and very beautiful, I confess; kindred, alliance, friendship, the love that we owe to our country, nature, wealth, pleasure, honour, and such moral respects, &c., of which read [4587]copious Aristotle in his morals; a man is beloved of a man, in that he is a man; but all these are far more eminent and great, when they shall proceed from a sanctified spirit, that hath a true touch of religion, and a reference to God.	All other objects are fair, and very beautiful, I confess; kindred, alliance, friendship, the love that we owe to our country, nature, wealth, pleasure, honour, and such moral respects, and c., of which read [four thousand five hundred eighty seven]copious Aristotle in his morals; a man is beloved of a man, in that he is a man; but all these are far more eminent and great, when they shall proceed from a sanctified spirit, that hath a true touch of religion, and a reference to God.	false	102.86	142.18	22.598148
6918_47541_000003_000002	Nature binds all creatures to love their young ones; a hen to preserve her brood will run upon a lion, a hind will fight with a bull, a sow with a bear, a silly sheep with a fox.	Nature binds all creatures to love their young ones; a hen to preserve her brood will run upon a lion, a hind will fight with a bull, a sow with a bear, a silly sheep with a fox.	true	143.3	157.06	22.473341
