5712_48842_000000_000000	CHAPTER XLIV.	CHAPTER forty four.
5712_48842_000001_000000	VALENTINE'S DAY AT ALLINGTON.	VALENTINE'S DAY AT ALLINGTON.
5712_48842_000002_000001	Lily was to be told the day on which Crosbie was to be married. It had come to the knowledge of them all that the marriage was to take place in February.	Lily was to be told the day on which Crosbie was to be married. It had come to the knowledge of them all that the marriage was to take place in February.
5712_48842_000002_000002	But this was not sufficient for Lily.	But this was not sufficient for Lily.
5712_48842_000002_000003	She must know the day.	She must know the day.
5712_48842_000003_000000	And as the time drew nearer,--Lily becoming stronger the while, and less subject to medical authority,--the marriage of Crosbie and Alexandrina was spoken of much more frequently at the Small House. It was not a subject which Mrs. Dale or Bell would have chosen for conversation; but Lily would refer to it.	And as the time drew nearer,--Lily becoming stronger the while, and less subject to medical authority,--the marriage of Crosbie and Alexandrina was spoken of much more frequently at the Small House. It was not a subject which mrs Dale or Bell would have chosen for conversation; but Lily would refer to it.
5712_48842_000003_000001	She would begin by doing so almost in a drolling strain, alluding to herself as a forlorn damsel in a play-book; and then she would go on to speak of his interests as a matter which was still of great moment to her.	She would begin by doing so almost in a drolling strain, alluding to herself as a forlorn damsel in a play book; and then she would go on to speak of his interests as a matter which was still of great moment to her.
5712_48842_000003_000002	But in the course of such talking she would too often break down, showing by some sad word or melancholy tone how great was the burden on her heart.	But in the course of such talking she would too often break down, showing by some sad word or melancholy tone how great was the burden on her heart.
5712_48842_000003_000003	Mrs. Dale and Bell would willingly have avoided the subject, but Lily would not have it avoided.	mrs Dale and Bell would willingly have avoided the subject, but Lily would not have it avoided.
5712_48842_000003_000004	For them it was a very difficult matter on which to speak in her hearing.	For them it was a very difficult matter on which to speak in her hearing.
5712_48842_000004_000002	The day was named soon enough, and the tidings came down to Allington.	The day was named soon enough, and the tidings came down to Allington.
5712_48842_000004_000003	On the fourteenth of February, Crosbie was to be made a happy man.	On the fourteenth of February, Crosbie was to be made a happy man.
5712_48842_000004_000004	This was not known to the Dales till the twelfth, and they would willingly have spared the knowledge then, had it been possible to spare it.	This was not known to the Dales till the twelfth, and they would willingly have spared the knowledge then, had it been possible to spare it.
5712_48842_000004_000005	But it was not so, and on that evening Lily was told.	But it was not so, and on that evening Lily was told.
5712_48842_000005_000000	During these days, Bell used to see her uncle daily.	During these days, Bell used to see her uncle daily.
5712_48842_000005_000001	Her visits were made with the pretence of taking to him information as to Lily's health; but there was perhaps at the bottom of them a feeling that, as the family intended to leave the Small House at the end of March, it would be well to let the squire know that there was no enmity in their hearts against him.	Her visits were made with the pretence of taking to him information as to Lily's health; but there was perhaps at the bottom of them a feeling that, as the family intended to leave the Small House at the end of March, it would be well to let the squire know that there was no enmity in their hearts against him.
5712_48842_000005_000002	Nothing more had been said about their moving,--nothing, that is, from them to him.	Nothing more had been said about their moving,--nothing, that is, from them to him.
5712_48842_000005_000003	But the matter was going on, and he knew it.	But the matter was going on, and he knew it.
5712_48842_000005_000004	Dr. Crofts was already in treaty on their behalf for a small furnished house at Guestwick.	dr Crofts was already in treaty on their behalf for a small furnished house at Guestwick.
5712_48842_000005_000005	The squire was very sad about it,--very sad indeed.	The squire was very sad about it,--very sad indeed.
5712_48842_000005_000006	When Hopkins spoke to him on the subject, he sharply desired that faithful gardener to hold his tongue, giving it to be understood that such things were not to be made matter of talk by the Allington dependants till they had been officially announced.	When Hopkins spoke to him on the subject, he sharply desired that faithful gardener to hold his tongue, giving it to be understood that such things were not to be made matter of talk by the Allington dependants till they had been officially announced.
5712_48842_000005_000007	With Bell during these visits he never alluded to the matter.	With Bell during these visits he never alluded to the matter.
5712_48842_000005_000008	She was the chief sinner, in that she had refused to marry her cousin, and had declined even to listen to rational counsel upon the matter.	She was the chief sinner, in that she had refused to marry her cousin, and had declined even to listen to rational counsel upon the matter.
5712_48842_000005_000009	But the squire felt that he could not discuss the subject with her, seeing that he had been specially informed by Mrs. Dale that his interference would not be permitted; and then he was perhaps aware that if he did discuss the subject with Bell, he would not gain much by such discussion.	But the squire felt that he could not discuss the subject with her, seeing that he had been specially informed by mrs Dale that his interference would not be permitted; and then he was perhaps aware that if he did discuss the subject with Bell, he would not gain much by such discussion.
5712_48842_000005_000010	Their conversation, therefore, generally fell upon Crosbie, and the tone in which he was mentioned in the Great House was very different from that assumed in Lily's presence.	Their conversation, therefore, generally fell upon Crosbie, and the tone in which he was mentioned in the Great House was very different from that assumed in Lily's presence.
5712_48842_000007_000000	"I don't want him to be wretched," said Bell.	"I don't want him to be wretched," said Bell.
5712_48842_000007_000001	"But I can hardly think that he can act as he has done without being punished."	"But I can hardly think that he can act as he has done without being punished."
5712_48842_000008_000000	"He will be a wretched man.	"He will be a wretched man.
5712_48842_000008_000001	He gets no fortune with her, and she will expect everything that fortune can give.	He gets no fortune with her, and she will expect everything that fortune can give.
5712_48842_000008_000002	I believe, too, that she is older than he is.	I believe, too, that she is older than he is.
5712_48842_000008_000003	I cannot understand it.	I cannot understand it.
5712_48842_000008_000005	Give my love to Lily.	Give my love to Lily.
5712_48842_000008_000006	I'll see her to-morrow or the next day.	I'll see her to morrow or the next day.
5712_48842_000008_000007	She's well rid of him; I'm sure of that;--though I suppose it would not do to tell her so."	She's well rid of him; I'm sure of that;--though I suppose it would not do to tell her so."
5712_48842_000009_000000	The morning of the fourteenth came upon them at the Small House, as comes the morning of those special days which have been long considered, and which are to be long remembered.	The morning of the fourteenth came upon them at the Small House, as comes the morning of those special days which have been long considered, and which are to be long remembered.
5712_48842_000009_000001	It brought with it a hard, bitter frost,--a black, biting frost,--such a frost as breaks the water-pipes, and binds the ground to the hardness of granite. Lily, queen as she was, had not yet been allowed to go back to her own chamber, but occupied the larger bed in her mother's room, her mother sleeping on a smaller one.	It brought with it a hard, bitter frost,--a black, biting frost,--such a frost as breaks the water pipes, and binds the ground to the hardness of granite. Lily, queen as she was, had not yet been allowed to go back to her own chamber, but occupied the larger bed in her mother's room, her mother sleeping on a smaller one.
5712_48842_000010_000000	"Mamma," she said, "how cold they'll be!" Her mother had announced to her the fact of the black frost, and these were the first words she spoke.	"Mamma," she said, "how cold they'll be!" Her mother had announced to her the fact of the black frost, and these were the first words she spoke.
5712_48842_000011_000000	"I fear their hearts will be cold also," said Mrs. Dale.	"I fear their hearts will be cold also," said mrs Dale.
5712_48842_000011_000001	She ought not to have said so.	She ought not to have said so.
5712_48842_000011_000002	She was transgressing the acknowledged rule of the house in saying any word that could be construed as being inimical to Crosbie or his bride.	She was transgressing the acknowledged rule of the house in saying any word that could be construed as being inimical to Crosbie or his bride.
5712_48842_000011_000003	But her feeling on the matter was too strong, and she could not restrain herself.	But her feeling on the matter was too strong, and she could not restrain herself.
5712_48842_000012_000000	"Why should their hearts be cold?	"Why should their hearts be cold?
5712_48842_000012_000001	Oh, mamma, that is a terrible thing to say.	Oh, mamma, that is a terrible thing to say.
5712_48842_000012_000002	Why should their hearts be cold?"	Why should their hearts be cold?"
5712_48842_000014_000000	"Of course you do; of course we all hope it.	"Of course you do; of course we all hope it.
5712_48842_000014_000001	He was not cold-hearted, at any rate.	He was not cold hearted, at any rate.
5712_48842_000014_000002	A man is not cold-hearted, because he does not know himself.	A man is not cold hearted, because he does not know himself.
5712_48842_000014_000003	Mamma, I want you to wish for their happiness."	Mamma, I want you to wish for their happiness."
