7982_245691_000002_000000	QUESTION 79	QUESTION seventy nine
7982_245691_000004_000000	The next question concerns the intellectual powers, under which head there are thirteen points of inquiry:	The next question concerns the intellectual powers, under which head there are thirteen points of inquiry:
7982_245691_000005_000000	(1) Whether the intellect is a power of the soul, or its essence?	(one) Whether the intellect is a power of the soul, or its essence?
7982_245691_000006_000000	(2) If it be a power, whether it is a passive power?	(two) If it be a power, whether it is a passive power?
7982_245691_000007_000000	(3) If it is a passive power, whether there is an active intellect?	(three) If it is a passive power, whether there is an active intellect?
7982_245691_000008_000000	(4) Whether it is something in the soul?	(four) Whether it is something in the soul?
7982_245691_000011_000000	(7) Whether the memory be distinct from the intellect?	(seven) Whether the memory be distinct from the intellect?
7982_245691_000012_000000	(8) Whether the reason is a distinct power from the intellect?	(eight) Whether the reason is a distinct power from the intellect?
7982_245691_000013_000000	(9) Whether the superior and inferior reason are distinct powers?	(nine) Whether the superior and inferior reason are distinct powers?
7982_245691_000014_000000	(10) Whether the intelligence is distinct from the intellect?	(ten) Whether the intelligence is distinct from the intellect?
7982_245691_000015_000000	(11) Whether the speculative and practical intellect are distinct powers?	(eleven) Whether the speculative and practical intellect are distinct powers?
7982_245691_000016_000000	(12) Whether "synderesis" is a power of the intellectual part?	(twelve) Whether "synderesis" is a power of the intellectual part?
7982_245691_000019_000000	Whether the Intellect Is a Power of the Soul?	Whether the Intellect Is a Power of the Soul?
7982_245691_000020_000000	Objection 1: It would seem that the intellect is not a power of the soul, but the essence of the soul.	Objection one: It would seem that the intellect is not a power of the soul, but the essence of the soul.
7982_245691_000020_000001	For the intellect seems to be the same as the mind.	For the intellect seems to be the same as the mind.
7982_245691_000021_000002	Therefore the mind and intellect of man is of the very essence of the soul and not a power thereof.	Therefore the mind and intellect of man is of the very essence of the soul and not a power thereof.
7982_245691_000023_000001	But the soul is immaterial through its essence.	But the soul is immaterial through its essence.
7982_245691_000023_000002	Therefore it seems that the soul must be intellectual through its essence.	Therefore it seems that the soul must be intellectual through its essence.
7982_245691_000025_000003	Wherefore in God alone is His intellect His essence: while in other intellectual creatures, the intellect is a power.	Wherefore in God alone is His intellect His essence: while in other intellectual creatures, the intellect is a power.
7982_245691_000028_000001	And for this reason an angel is called a "mind" or an "intellect"; because his whole power consists in this.	And for this reason an angel is called a "mind" or an "intellect"; because his whole power consists in this.
7982_245691_000028_000002	But the soul has many other powers, such as the sensitive and nutritive powers, and therefore the comparison fails.	But the soul has many other powers, such as the sensitive and nutritive powers, and therefore the comparison fails.
7982_245691_000031_000000	Whether the Intellect Is a Passive Power?	Whether the Intellect Is a Passive Power?
7982_245691_000032_000001	But the intellectual power results from the immateriality of the intelligent substance.	But the intellectual power results from the immateriality of the intelligent substance.
7982_245691_000032_000002	Therefore it seems that the intellect is not a passive power.	Therefore it seems that the intellect is not a passive power.
7982_245691_000033_000002	Therefore the intellectual power is not passive.	Therefore the intellectual power is not passive.
7982_245691_000034_000002	But all the powers of the vegetative part are active; yet they are the lowest among the powers of the soul.	But all the powers of the vegetative part are active; yet they are the lowest among the powers of the soul.
7982_245691_000034_000003	Much more, therefore, all the intellectual powers, which are the highest, are active.	Much more, therefore, all the intellectual powers, which are the highest, are active.
7982_245691_000036_000001	Firstly, in its most strict sense, when from a thing is taken something which belongs to it by virtue either of its nature, or of its proper inclination: as when water loses coolness by heating, and as when a man becomes ill or sad.	Firstly, in its most strict sense, when from a thing is taken something which belongs to it by virtue either of its nature, or of its proper inclination: as when water loses coolness by heating, and as when a man becomes ill or sad.
7982_245691_000036_000002	Secondly, less strictly, a thing is said to be passive, when something, whether suitable or unsuitable, is taken away from it.	Secondly, less strictly, a thing is said to be passive, when something, whether suitable or unsuitable, is taken away from it.
