8347_258283_000000_000000	When it was the Seven Hundred and Thirty-sixth Night,	When it was the Seven Hundred and Thirty sixth Night,	true	27.765	30.55	19
8347_258283_000001_000000	She said, It hath reached me, O auspicious King, that the Wazir returned from the court of the Great King, pale with fear and with side-muscles quivering for dread exceeding; and acquainted his lord with that had befallen him.	She said, It hath reached me, O auspicious King, that the Wazir returned from the court of the Great King, pale with fear and with side muscles quivering for dread exceeding; and acquainted his lord with that had befallen him.	false	30.8	45.12	21.593142
8347_258283_000001_000001	Hereat disquietude and terror for himself and for his people laid hold upon him and he said to the Minister, "O Wazir, and who is this King's son?" Replied the other, "'Tis even he whom thou badest put to death, but praised be Allah who hastened not his slaughter!	Hereat disquietude and terror for himself and for his people laid hold upon him and he said to the Minister, "O Wazir, and who is this King's son?" Replied the other, "'tis even he whom thou badest put to death, but praised be Allah who hastened not his slaughter!	false	45.12	67.48	21.052513
8347_258283_000001_000002	Else had his father wasted our lands and spoiled our good." Quoth the King "See now thy corrupt judgment, in that thou didst counsel us to slay him!	Else had his father wasted our lands and spoiled our good." Quoth the King "See now thy corrupt judgment, in that thou didst counsel us to slay him!	false	67.94	79.06	23.034124
8347_258283_000001_000003	Where is the young man, the son of yonder magnanimous King?" And quoth the Wazir, "O mighty King, thou didst command him be put to death." When the King heard this, he was clean distraught and cried out from his heart's core and in-most of head, saying, "Woe to you!	Where is the young man, the son of yonder magnanimous King?" And quoth the Wazir, "O mighty King, thou didst command him be put to death." When the King heard this, he was clean distraught and cried out from his heart's core and in most of head, saying, "Woe to you!	true	79.67	98.89	22.578283
8347_258283_000001_000004	Fetch me the Heads- man forthright, lest death fall on him!" So they fetched the Sworder and he said, "0 King of the Age, I have smitten off his head even as thou badest me." Cried Abd al-Kadir "O dog, an this be true, I will assuredly send thee after him." The Heads- man replied, "O King, thou didst command me to slay him without consulting thee a second time." Said the King, "I was in my wrath; but speak the truth, ere thou lose thy life;" and said the Sworder, "O King, he is yet in the chains of life." At this Abd al-Kadir rejoiced and his heart was set at rest; then he called for Ardashir, and when he came, he stood up to receive him and kissed his mouth, saying, "O my son, I ask pardon of Allah Almighty for the wrong I have done thee, and say thou not aught that may lower my credit with thy sire, the Great King." The Prince asked "O King of the Age, and where is my father?" and the other answered, "He is come hither on thine account." Thereupon quoth Ardashir, "By thy worship, I will not stir from before thee till I have cleared my honour and the honour of thy daughter from that which thou laidest to our charge; for she is a pure virgin.	Fetch me the Heads man forthright, lest death fall on him!" So they fetched the Sworder and he said, "zero King of the Age, I have smitten off his head even as thou badest me." Cried Abd al Kadir "O dog, an this be true, I will assuredly send thee after him." The Heads man replied, "O King, thou didst command me to slay him without consulting thee a second time." Said the King, "I was in my wrath; but speak the truth, ere thou lose thy life;" and said the Sworder, "O King, he is yet in the chains of life." At this Abd al Kadir rejoiced and his heart was set at rest; then he called for Ardashir, and when he came, he stood up to receive him and kissed his mouth, saying, "O my son, I ask pardon of Allah Almighty for the wrong I have done thee, and say thou not aught that may lower my credit with thy sire, the Great King." The Prince asked "O King of the Age, and where is my father?" and the other answered, "He is come hither on thine account." Thereupon quoth Ardashir, "By thy worship, I will not stir from before thee till I have cleared my honour and the honour of thy daughter from that which thou laidest to our charge; for she is a pure virgin.	false	99.41	189.34	22.409662
8347_258283_000001_000005	Send for the midwives and let them examine her before thee.	Send for the midwives and let them examine her before thee.	true	189.8	192.6	20
8347_258283_000001_000006	An they find her maidenhead gone, I give thee leave to shed my blood; and if they find her a clean maid, her innocence of dishonour and mine also will be made manifest." So he summoned the midwives, who examined the Princess and found her a pure virgin and so told the King, seeking largesse of him.	An they find her maidenhead gone, I give thee leave to shed my blood; and if they find her a clean maid, her innocence of dishonour and mine also will be made manifest." So he summoned the midwives, who examined the Princess and found her a pure virgin and so told the King, seeking largesse of him.	false	192.6	214.6	19.186962
8347_258283_000001_000007	He gave them what they sought, putting off his royal robes to bestow on them, and in like manner he was bountiful to all who were in the Harim.	He gave them what they sought, putting off his royal robes to bestow on them, and in like manner he was bountiful to all who were in the Harim.	false	215.42	224.85	17.683958
8347_258283_000001_000008	And they brought forth the scent-cups and perfumed all the Lords of estate and Grandees; and not one but rejoiced with exceeding joy.	And they brought forth the scent cups and perfumed all the Lords of estate and Grandees; and not one but rejoiced with exceeding joy.	true	224.85	233.05	18
8347_258283_000001_000009	Then the King threw his arms about Ardashir's neck and entreated him with all worship and honour, bidding his chief eunuchs bear him to the bath.	Then the King threw his arms about Ardashir's neck and entreated him with all worship and honour, bidding his chief eunuchs bear him to the bath.	true	233.75	242.56	21.658989
8347_258283_000001_000010	When he came out, he cast over his shoulders a costly robe and crowned him with a coronet of jewels; he also girt him with a girdle of silk, purfled with red gold and set with pearls and gems, and mounted him on one of his noblest mares, with selle and trappings of gold inlaid with pearls and jewels.	When he came out, he cast over his shoulders a costly robe and crowned him with a coronet of jewels; he also girt him with a girdle of silk, purfled with red gold and set with pearls and gems, and mounted him on one of his noblest mares, with selle and trappings of gold inlaid with pearls and jewels.	true	243.29	263.71	21.636232
8347_258283_000001_000011	Then he bade his Grandees and Captains mount on his service and escort him to his father's presence; and charged him tell his sire that King Abd al-Kadir was at his disposal, hearkening to and obeying him in whatso he should bid or forbid.	Then he bade his Grandees and Captains mount on his service and escort him to his father's presence; and charged him tell his sire that King Abd al Kadir was at his disposal, hearkening to and obeying him in whatso he should bid or forbid.	false	265.28	281.08	22.543182
8347_258283_000001_000012	"I will not fail of this," answered Ardashir and farewelling him, repaired to his father who, at sight of him, was transported for delight and springing up, advanced to meet him and embraced him, whilst joy and gladness spread among all the host of the Great King.	"I will not fail of this," answered Ardashir and farewelling him, repaired to his father who, at sight of him, was transported for delight and springing up, advanced to meet him and embraced him, whilst joy and gladness spread among all the host of the Great King.	false	281.93	299.5	23.13115
8347_258283_000001_000013	Then came the Wazirs and Chamberlains and Captains and guards and kissed the ground before the Prince and rejoiced in his coming: and it was a great day with them for enjoyment, for the King's son gave leave to those of King Abd al-Kadir's officers who had accompanied him and others of the townsfolk, to view the ordinance of his father's host, without let or stay, so they might know the multitude of the Great King's troops and the might of his empire.	Then came the Wazirs and Chamberlains and Captains and guards and kissed the ground before the Prince and rejoiced in his coming: and it was a great day with them for enjoyment, for the King's son gave leave to those of King Abd al Kadir's officers who had accompanied him and others of the townsfolk, to view the ordinance of his father's host, without let or stay, so they might know the multitude of the Great King's troops and the might of his empire.	false	300.59	328.06	21.841688
8347_258283_000001_000014	And all who had seen him selling stuffs in the linendrapers' bazar marvelled how his soul could have consented thereto, considering the nobility of his spirit and the loftiness of his dignity; but it was his love and inclination to the King's daughter that to this had constrained him.	And all who had seen him selling stuffs in the linendrapers' bazar marvelled how his soul could have consented thereto, considering the nobility of his spirit and the loftiness of his dignity; but it was his love and inclination to the King's daughter that to this had constrained him.	true	328.31	345.7	22.335234
8347_258283_000001_000015	Meanwhile, news of the multitude of her lover's troops came to Hayat al-Nufus, who was still jailed by her sire's commandment, till they knew what he should order respecting her, whether pardon and release or death and burning; and she looked down from the terrace-roof of the palace and, turning towards the mountains, saw even these covered with armed men.	Meanwhile, news of the multitude of her lover's troops came to Hayat al Nufus, who was still jailed by her sire's commandment, till they knew what he should order respecting her, whether pardon and release or death and burning; and she looked down from the terrace roof of the palace and, turning towards the mountains, saw even these covered with armed men.	true	346.37	368.77	20.506306
8347_258283_000001_000016	When she beheld all those warriors and knew that they were the army of Ardashir's father, she feared lest he should be diverted from her by his sire and forget her and depart from her, whereupon her father would slay her.	When she beheld all those warriors and knew that they were the army of Ardashir's father, she feared lest he should be diverted from her by his sire and forget her and depart from her, whereupon her father would slay her.	true	369.71	385.095	20.961147
8347_258283_000001_000017	So she called a handmaid that was with her in her apartment by way of service, and said to her, "Go to Ardashir, son of the Great King, and fear not.	So she called a handmaid that was with her in her apartment by way of service, and said to her, "Go to Ardashir, son of the Great King, and fear not.	true	385.095	394.87	20.408678
8347_258283_000001_000018	When thou comest into his presence, kiss the ground before him and tell him what thou art and say to him, 'My lady saluteth thee and would have thee to know that she is a prisoner in her father's palace, awaiting his sentence, whether he be minded to pardon her or put her to death, and she beseecheth thee not to forget her or forsake her; for to-day thou art all-powerful; and, in whatso thou commandest, no man dare cross thee.	When thou comest into his presence, kiss the ground before him and tell him what thou art and say to him, 'My lady saluteth thee and would have thee to know that she is a prisoner in her father's palace, awaiting his sentence, whether he be minded to pardon her or put her to death, and she beseecheth thee not to forget her or forsake her; for to day thou art all powerful; and, in whatso thou commandest, no man dare cross thee.	true	395.33	425.14	23.41539
8347_258283_000001_000019	Wherefore, an it seem good to thee to rescue her from her sire and take her with thee, it were of thy bounty, for indeed she endureth all these trials for thy sake.	Wherefore, an it seem good to thee to rescue her from her sire and take her with thee, it were of thy bounty, for indeed she endureth all these trials for thy sake.	false	425.78	436.75	22.496828
8347_258283_000001_000020	But, an this seem not good to thee, for that thy desire of her is at an end, still speak to thy sire, so haply he may intercede for her with her father and he depart not, till he have made him set her free and taken surety from and made covenant with him, that he will not go about to put her to death nor work her aught of harm.	But, an this seem not good to thee, for that thy desire of her is at an end, still speak to thy sire, so haply he may intercede for her with her father and he depart not, till he have made him set her free and taken surety from and made covenant with him, that he will not go about to put her to death nor work her aught of harm.	false	437.36	458.47	23.898375
8347_258283_000001_000021	This is her last word to thee, may Allah not desolate her of thee, and so The Peace!'"[FN#300]--And Shahrazad perceived the dawn of day and ceased saying her permitted say.	This is her last word to thee, may Allah not desolate her of thee, and so The Peace!'"[f n # three hundred]--And Shahrazad perceived the dawn of day and ceased saying her permitted say.	false	459.44	478.21	19.85235
8347_258283_000002_000000	When it was the Seven Hundred and Thirty-seventh Night,	When it was the Seven Hundred and Thirty seventh Night,	true	478.52	481.96	21.484964
8347_258283_000003_000000	She continued, It hath reached me, O auspicious King, that the bondmaid sent by Hayat al-Nufus made her way to Ardashir and delivered him her lady's message, which when he heard, he wept with sore weeping and said to her, "Know that Hayat al-Nufus is my mistress and that I am her slave and the captive of her love.	She continued, It hath reached me, O auspicious King, that the bondmaid sent by Hayat al Nufus made her way to Ardashir and delivered him her lady's message, which when he heard, he wept with sore weeping and said to her, "Know that Hayat al Nufus is my mistress and that I am her slave and the captive of her love.	true	482.09	506.29	20.89577
8347_258283_000003_000001	I have not forgotten what was between us nor the bitterness of the parting day; so do thou say to her, after thou hast kissed her feet, that I will speak with my father of her, and he shall send his Wazir, who sought her aforetime in marriage for me, to demand her hand once more of her sire, for he dare not refuse.	I have not forgotten what was between us nor the bitterness of the parting day; so do thou say to her, after thou hast kissed her feet, that I will speak with my father of her, and he shall send his Wazir, who sought her aforetime in marriage for me, to demand her hand once more of her sire, for he dare not refuse.	false	506.63	527.5	22.318424
