7437_99249_000001_000000	LINKS WITH THE PAST	LINKS WITH THE PAST
7437_99249_000003_000000	Although the people were then well established in the land and possessed a high degree of civilisation, their history, as we now know it, dates only from the reign of Menes, somewhere over five thousand years before the birth of Christ.	Although the people were then well established in the land and possessed a high degree of civilisation, their history, as we now know it, dates only from the reign of Menes, somewhere over five thousand years before the birth of Christ.
7437_99249_000003_000001	From that date down to the present time we have a continuous record, the whole course of which may be divided into three clearly distinguished periods.	From that date down to the present time we have a continuous record, the whole course of which may be divided into three clearly distinguished periods.
7437_99249_000004_000000	The second period began in 529 B.C. with the conquest of the country by Cambyses.	The second period began in five twenty nine b c with the conquest of the country by Cambyses.
7437_99249_000004_000001	In it after nearly two hundred years of Persian rule, interrupted by a brief restoration of the native power, Egypt was for a little more than three and half centuries in the hands of the Greeks, from whom in the thirtieth year of the Christian Era it passed to the Roman Empire.	In it after nearly two hundred years of Persian rule, interrupted by a brief restoration of the native power, Egypt was for a little more than three and half centuries in the hands of the Greeks, from whom in the thirtieth year of the Christian Era it passed to the Roman Empire.
7437_99249_000004_000003	It was, indeed, during this time that the world-famous cities of Alexandria and Cairo were built as well as the magnificent mosques that are the pride of all Islam, but these were all the work, not of the people themselves, but of the foreigners by whom they were held in thraldom, and are therefore monuments not of the country's glory but of its shame.	It was, indeed, during this time that the world famous cities of Alexandria and Cairo were built as well as the magnificent mosques that are the pride of all Islam, but these were all the work, not of the people themselves, but of the foreigners by whom they were held in thraldom, and are therefore monuments not of the country's glory but of its shame.
7437_99249_000005_000000	The third and present period began in 1798 when the landing of Bonaparte was the first of the series of events that by the introduction and gradual development of European influence have brought about the now existing social and political condition of the country.	The third and present period began in seventeen ninety eight when the landing of Bonaparte was the first of the series of events that by the introduction and gradual development of European influence have brought about the now existing social and political condition of the country.
7437_99249_000008_000001	Not a single ruler, patriot, statesman, demagogue, artist or author, in short, no man or woman that lived before the dawn of the modern period, has been instrumental in the making of Egypt or the Egyptians what they now are.	Not a single ruler, patriot, statesman, demagogue, artist or author, in short, no man or woman that lived before the dawn of the modern period, has been instrumental in the making of Egypt or the Egyptians what they now are.
7437_99249_000008_000004	These two events, with four that belong to the modern period, are indeed all that the whole history of the country presents to us as still clearly and prominently exerting an important and permanent influence upon both the character of the people and the existing circumstances and condition of their country.	These two events, with four that belong to the modern period, are indeed all that the whole history of the country presents to us as still clearly and prominently exerting an important and permanent influence upon both the character of the people and the existing circumstances and condition of their country.
7437_99249_000008_000005	Of these six events the two that belong to the second period are, the conquest of the land by the Arabs and its subsequent seizure by the Turks.	Of these six events the two that belong to the second period are, the conquest of the land by the Arabs and its subsequent seizure by the Turks.
7437_99249_000009_000000	Each and all of these six events have played important parts in moulding the present-day aspect of Egypt and its people, and the more closely do we study the existing conditions, the more strikingly do these six events stand out from all others as the great and dominating landmarks in the history of modern Egypt.	Each and all of these six events have played important parts in moulding the present day aspect of Egypt and its people, and the more closely do we study the existing conditions, the more strikingly do these six events stand out from all others as the great and dominating landmarks in the history of modern Egypt.
7437_99249_000011_000001	Now and again under some ruler of more humanity or of greater laxity than others their condition may be said to have for the time improved, but such changes were far too slight and their possible duration always far too uncertain for these benefits to be more to the people than as the grateful but passing pleasure a fleeting morning cloud brings to the traveller in a sunburnt desert.	Now and again under some ruler of more humanity or of greater laxity than others their condition may be said to have for the time improved, but such changes were far too slight and their possible duration always far too uncertain for these benefits to be more to the people than as the grateful but passing pleasure a fleeting morning cloud brings to the traveller in a sunburnt desert.
7437_99249_000011_000002	Hence, such as the fellaheen or peasantry were when Cheops was building his pyramid, such they remained in almost all respects down to the arrival of the French.	Hence, such as the fellaheen or peasantry were when Cheops was building his pyramid, such they remained in almost all respects down to the arrival of the French.
7437_99249_000011_000003	The history of the country has, therefore, in the first two periods little to say of the people.	The history of the country has, therefore, in the first two periods little to say of the people.
7437_99249_000011_000004	In the modern period the two stories touch each other more closely, for in it the people have begun to have a political existence.	In the modern period the two stories touch each other more closely, for in it the people have begun to have a political existence.
