7437_99249_000000_000000	CHAPTER II	CHAPTER two	false	0.33	19.2	20.301046
7437_99249_000001_000000	LINKS WITH THE PAST	LINKS WITH THE PAST	true	19.2	20.35	22.263586
7437_99249_000002_000000	To understand the Egyptian as he is, we must go back to that memorable 23rd of June in 1798, and learn not only what he then was, but how he had become that which he was.	To understand the Egyptian as he is, we must go back to that memorable twenty third of June in seventeen ninety eight, and learn not only what he then was, but how he had become that which he was.	true	21.65	31.51	19.86635
7437_99249_000002_000001	Happily, it needs no long historical details, or wearisome discussion of remote or doubtful causes to gain this necessary knowledge.	Happily, it needs no long historical details, or wearisome discussion of remote or doubtful causes to gain this necessary knowledge.	true	32.36	39.7	19.465824
7437_99249_000002_000002	A few words to show how the Egyptian of to-day is linked with his ancestors of far distant ages, and a short sketch of the social and political conditions existing in the country at the close of the eighteenth century will tell the reader all he need know to enable him to comprehend the story of the years that have since elapsed.	A few words to show how the Egyptian of to day is linked with his ancestors of far distant ages, and a short sketch of the social and political conditions existing in the country at the close of the eighteenth century will tell the reader all he need know to enable him to comprehend the story of the years that have since elapsed.	true	39.98	55.09	18
7437_99249_000003_000000	Although the people were then well established in the land and possessed a high degree of civilisation, their history, as we now know it, dates only from the reign of Menes, somewhere over five thousand years before the birth of Christ.	Although the people were then well established in the land and possessed a high degree of civilisation, their history, as we now know it, dates only from the reign of Menes, somewhere over five thousand years before the birth of Christ.	true	55.61	66.94	21.519222
7437_99249_000003_000001	From that date down to the present time we have a continuous record, the whole course of which may be divided into three clearly distinguished periods.	From that date down to the present time we have a continuous record, the whole course of which may be divided into three clearly distinguished periods.	true	67.19	74.59	21.899473
7437_99249_000003_000002	Of these the first was not only by far the longest, but in every way the most brilliant. In it Egypt was an independent country with a social system of an advanced type, the spontaneous product of the genius of the people, and it was the one in which, under native rulers, the land was filled with the marvellous pyramids, temples, and sculptures that, though now in ruins, still excite the admiration and wonder of the world.	Of these the first was not only by far the longest, but in every way the most brilliant. In it Egypt was an independent country with a social system of an advanced type, the spontaneous product of the genius of the people, and it was the one in which, under native rulers, the land was filled with the marvellous pyramids, temples, and sculptures that, though now in ruins, still excite the admiration and wonder of the world.	false	74.99	98.5	21.117815
7437_99249_000004_000000	The second period began in 529 B.C. with the conquest of the country by Cambyses.	The second period began in five twenty nine b c with the conquest of the country by Cambyses.	true	99.02	104.44	22
7437_99249_000004_000001	In it after nearly two hundred years of Persian rule, interrupted by a brief restoration of the native power, Egypt was for a little more than three and half centuries in the hands of the Greeks, from whom in the thirtieth year of the Christian Era it passed to the Roman Empire.	In it after nearly two hundred years of Persian rule, interrupted by a brief restoration of the native power, Egypt was for a little more than three and half centuries in the hands of the Greeks, from whom in the thirtieth year of the Christian Era it passed to the Roman Empire.	true	104.66	118.63	22
7437_99249_000004_000002	Six centuries later, in 638, when the flood tide of Islamic conquest first swept westward from Arabia, the country became a prey to the Arabs who, in 1171, were in their turn succeeded by their revolting slaves, under whom as the Mameluk Sultans it remained, until, in 1517, it became a province of the Turkish Empire. In this period, under the sway of foreigners, the country suffered from all the ills we are accustomed to associate with the idea of the dark ages of Europe, and everything that was great or noble in the people or their civilisation perished.	Six centuries later, in six hundred thirty eight, when the flood tide of Islamic conquest first swept westward from Arabia, the country became a prey to the Arabs who, in eleven seventy one, were in their turn succeeded by their revolting slaves, under whom as the Mameluk Sultans it remained, until, in fifteen seventeen, it became a province of the Turkish Empire. In this period, under the sway of foreigners, the country suffered from all the ills we are accustomed to associate with the idea of the dark ages of Europe, and everything that was great or noble in the people or their civilisation perished.	false	119.27	152.26	21.585089
