806_123715_000000_000000	VIII	eight	true	17.505	18.1	34.30621
806_123715_000001_000000	"Ha! ha!	"Ha! ha!	true	19.64	20.88	21.650322
806_123715_000001_000001	ha!	ha!	false	20.88	21.18	7
806_123715_000001_000002	But you know there is no such thing as choice in reality, say what you like," you will interpose with a chuckle.	But you know there is no such thing as choice in reality, say what you like," you will interpose with a chuckle.	true	21.18	27.4	20.984987
806_123715_000001_000003	"Science has succeeded in so far analysing man that we know already that choice and what is called freedom of will is nothing else than--"	"Science has succeeded in so far analysing man that we know already that choice and what is called freedom of will is nothing else than-"	true	27.86	35.11	14
806_123715_000002_000000	Stay, gentlemen, I meant to begin with that myself I confess, I was rather frightened.	Stay, gentlemen, I meant to begin with that myself I confess, I was rather frightened.	true	35.27	41.56	22.922636
806_123715_000002_000001	I was just going to say that the devil only knows what choice depends on, and that perhaps that was a very good thing, but I remembered the teaching of science ... and pulled myself up.	I was just going to say that the devil only knows what choice depends on, and that perhaps that was a very good thing, but I remembered the teaching of science ... and pulled myself up.	true	42.38	52.75	22.757793
806_123715_000002_000002	And here you have begun upon it.	And here you have begun upon it.	true	53.51	55.3	23.89025
806_123715_000002_000003	Indeed, if there really is some day discovered a formula for all our desires and caprices--that is, an explanation of what they depend upon, by what laws they arise, how they develop, what they are aiming at in one case and in another and so on, that is a real mathematical formula--then, most likely, man will at once cease to feel desire, indeed, he will be certain to.	Indeed, if there really is some day discovered a formula for all our desires and caprices-that is, an explanation of what they depend upon, by what laws they arise, how they develop, what they are aiming at in one case and in another and so on, that is a real mathematical formula-then, most likely, man will at once cease to feel desire, indeed, he will be certain to.	true	55.88	79.78	20.518894
806_123715_000002_000004	For who would want to choose by rule?	For who would want to choose by rule?	true	80.39	82.75	23.224585
806_123715_000002_000005	Besides, he will at once be transformed from a human being into an organ-stop or something of the sort; for what is a man without desires, without free will and without choice, if not a stop in an organ?	Besides, he will at once be transformed from a human being into an organ stop or something of the sort; for what is a man without desires, without free will and without choice, if not a stop in an organ?	true	83.54	95.92	21.614885
806_123715_000002_000006	What do you think?	What do you think?	true	97.37	98.53	26.323471
806_123715_000002_000007	Let us reckon the chances--can such a thing happen or not?	Let us reckon the chances-can such a thing happen or not?	true	99.05	102.54	26.025772
806_123715_000003_000000	"H'm!" you decide.	"H'm!" you decide.	false	102.54	105.43	16.789427
806_123715_000003_000001	"Our choice is usually mistaken from a false view of our advantage.	"Our choice is usually mistaken from a false view of our advantage.	true	105.59	109.66	17
806_123715_000003_000002	We sometimes choose absolute nonsense because in our foolishness we see in that nonsense the easiest means for attaining a supposed advantage.	We sometimes choose absolute nonsense because in our foolishness we see in that nonsense the easiest means for attaining a supposed advantage.	true	109.79	118.78	22.260365
806_123715_000003_000003	But when all that is explained and worked out on paper (which is perfectly possible, for it is contemptible and senseless to suppose that some laws of nature man will never understand), then certainly so-called desires will no longer exist. For if a desire should come into conflict with reason we shall then reason and not desire, because it will be impossible retaining our reason to be SENSELESS in our desires, and in that way knowingly act against reason and desire to injure ourselves.	But when all that is explained and worked out on paper (which is perfectly possible, for it is contemptible and senseless to suppose that some laws of nature man will never understand), then certainly so-called desires will no longer exist. For if a desire should come into conflict with reason we shall then reason and not desire, because it will be impossible retaining our reason to be SENSELESS in our desires, and in that way knowingly act against reason and desire to injure ourselves.	true	119.33	146.44	20
806_123715_000003_000004	And as all choice and reasoning can be really calculated--because there will some day be discovered the laws of our so-called free will--so, joking apart, there may one day be something like a table constructed of them, so that we really shall choose in accordance with it.	And as all choice and reasoning can be really calculated-because there will some day be discovered the laws of our so-called free will-so, joking apart, there may one day be something like a table constructed of them, so that we really shall choose in accordance with it.	true	146.96	162.61	21.618155
