7117_86710_000000_000000	"So far, then," said Danglars, mentally, "all has gone as I would have it.	"So far, then," said Danglars, mentally, "all has gone as I would have it.	false	0	1.44	25.004662
7117_86710_000000_000001	I am, temporarily, commander of the Pharaon, with the certainty of being permanently so, if that fool of a Caderousse can be persuaded to hold his tongue.	I am, temporarily, commander of the Pharaon, with the certainty of being permanently so, if that fool of a Caderousse can be persuaded to hold his tongue.	false	1.44	5.67	22.263832
7117_86710_000000_000002	My only fear is the chance of Dantes being released. But, there, he is in the hands of Justice; and," added he with a smile, "she will take her own." So saying, he leaped into a boat, desiring to be rowed on board the Pharaon, where M. Morrel had agreed to meet him.	My only fear is the chance of Dantes being released. But, there, he is in the hands of Justice; and," added he with a smile, "she will take her own." So saying, he leaped into a boat, desiring to be rowed on board the Pharaon, where m Morrel had agreed to meet him.	false	5.67	20.715	22.150288
7117_86710_000001_000000	Chapter 6.	Chapter six.	true	20.715	21.82	26.200615
7117_86710_000001_000001	The Deputy Procureur du Roi.	The Deputy Procureur du Roi.	false	22.25	26.85	20.461712
7117_86710_000002_000000	In one of the aristocratic mansions built by Puget in the Rue du Grand Cours opposite the Medusa fountain, a second marriage feast was being celebrated, almost at the same hour with the nuptial repast given by Dantes.	In one of the aristocratic mansions built by Puget in the Rue du Grand Cours opposite the Medusa fountain, a second marriage feast was being celebrated, almost at the same hour with the nuptial repast given by Dantes.	false	26.85	40.27	22
7117_86710_000002_000001	In this case, however, although the occasion of the entertainment was similar, the company was strikingly dissimilar. Instead of a rude mixture of sailors, soldiers, and those belonging to the humblest grade of life, the present assembly was composed of the very flower of Marseilles society,--magistrates who had resigned their office during the usurper's reign; officers who had deserted from the imperial army and joined forces with Conde; and younger members of families, brought up to hate and execrate the man whom five years of exile would convert into a martyr, and fifteen of restoration elevate to the rank of a god.	In this case, however, although the occasion of the entertainment was similar, the company was strikingly dissimilar. Instead of a rude mixture of sailors, soldiers, and those belonging to the humblest grade of life, the present assembly was composed of the very flower of Marseilles society,--magistrates who had resigned their office during the usurper's reign; officers who had deserted from the imperial army and joined forces with Conde; and younger members of families, brought up to hate and execrate the man whom five years of exile would convert into a martyr, and fifteen of restoration elevate to the rank of a god.	true	40.97	78.19	21.026491
7117_86710_000003_000000	The guests were still at table, and the heated and energetic conversation that prevailed betrayed the violent and vindictive passions that then agitated each dweller of the South, where unhappily, for five centuries religious strife had long given increased bitterness to the violence of party feeling.	The guests were still at table, and the heated and energetic conversation that prevailed betrayed the violent and vindictive passions that then agitated each dweller of the South, where unhappily, for five centuries religious strife had long given increased bitterness to the violence of party feeling.	false	79.4	95.95	20
7117_86710_000004_000000	The emperor, now king of the petty Island of Elba, after having held sovereign sway over one-half of the world, counting as his subjects a small population of five or six thousand souls,--after having been accustomed to hear the "Vive Napoleons" of a hundred and twenty millions of human beings, uttered in ten different languages,--was looked upon here as a ruined man, separated forever from any fresh connection with France or claim to her throne.	The emperor, now king of the petty Island of Elba, after having held sovereign sway over one half of the world, counting as his subjects a small population of five or six thousand souls,--after having been accustomed to hear the "Vive Napoleons" of a hundred and twenty millions of human beings, uttered in ten different languages,--was looked upon here as a ruined man, separated forever from any fresh connection with France or claim to her throne.	false	98.06	126.91	21.102379
7117_86710_000005_000000	The magistrates freely discussed their political views; the military part of the company talked unreservedly of Moscow and Leipsic, while the women commented on the divorce of Josephine.	The magistrates freely discussed their political views; the military part of the company talked unreservedly of Moscow and Leipsic, while the women commented on the divorce of Josephine.	true	127.16	137.8	21.63117
7117_86710_000005_000001	It was not over the downfall of the man, but over the defeat of the Napoleonic idea, that they rejoiced, and in this they foresaw for themselves the bright and cheering prospect of a revivified political existence.	It was not over the downfall of the man, but over the defeat of the Napoleonic idea, that they rejoiced, and in this they foresaw for themselves the bright and cheering prospect of a revivified political existence.	true	138.26	151.12	21.861507
