7117_86710_000001_000000	Chapter 6.	Chapter six.
7117_86710_000005_000000	The magistrates freely discussed their political views; the military part of the company talked unreservedly of Moscow and Leipsic, while the women commented on the divorce of Josephine.	The magistrates freely discussed their political views; the military part of the company talked unreservedly of Moscow and Leipsic, while the women commented on the divorce of Josephine.
7117_86710_000005_000001	It was not over the downfall of the man, but over the defeat of the Napoleonic idea, that they rejoiced, and in this they foresaw for themselves the bright and cheering prospect of a revivified political existence.	It was not over the downfall of the man, but over the defeat of the Napoleonic idea, that they rejoiced, and in this they foresaw for themselves the bright and cheering prospect of a revivified political existence.
7117_86710_000006_000002	This toast, recalling at once the patient exile of Hartwell and the peace-loving King of France, excited universal enthusiasm; glasses were elevated in the air a l'Anglais, and the ladies, snatching their bouquets from their fair bosoms, strewed the table with their floral treasures.	This toast, recalling at once the patient exile of Hartwell and the peace loving King of France, excited universal enthusiasm; glasses were elevated in the air a l'Anglais, and the ladies, snatching their bouquets from their fair bosoms, strewed the table with their floral treasures.
7117_86710_000006_000003	In a word, an almost poetical fervor prevailed.	In a word, an almost poetical fervor prevailed.
7117_86710_000008_000000	"I beg your pardon, madame.	"I beg your pardon, madame.
7117_86710_000008_000001	I really must pray you to excuse me, but--in truth--I was not attending to the conversation."	I really must pray you to excuse me, but-in truth-I was not attending to the conversation."
7117_86710_000009_000000	"Marquise, marquise!" interposed the old nobleman who had proposed the toast, "let the young people alone; let me tell you, on one's wedding day there are more agreeable subjects of conversation than dry politics."	"Marquise, marquise!" interposed the old nobleman who had proposed the toast, "let the young people alone; let me tell you, on one's wedding day there are more agreeable subjects of conversation than dry politics."
7117_86710_000012_000000	"Never mind, Renee," replied the marquise, with a look of tenderness that seemed out of keeping with her harsh dry features; but, however all other feelings may be withered in a woman's nature, there is always one bright smiling spot in the desert of her heart, and that is the shrine of maternal love.	"Never mind, Renee," replied the marquise, with a look of tenderness that seemed out of keeping with her harsh dry features; but, however all other feelings may be withered in a woman's nature, there is always one bright smiling spot in the desert of her heart, and that is the shrine of maternal love.
7117_86710_000012_000001	"I forgive you.	"I forgive you.
7117_86710_000013_000000	"They had, however, what supplied the place of those fine qualities," replied the young man, "and that was fanaticism.	"They had, however, what supplied the place of those fine qualities," replied the young man, "and that was fanaticism.
7117_86710_000013_000001	Napoleon is the Mahomet of the West, and is worshipped by his commonplace but ambitions followers, not only as a leader and lawgiver, but also as the personification of equality."	Napoleon is the Mahomet of the West, and is worshipped by his commonplace but ambitions followers, not only as a leader and lawgiver, but also as the personification of equality."
7117_86710_000014_000000	"He!" cried the marquise: "Napoleon the type of equality!	"He!" cried the marquise: "Napoleon the type of equality!
7117_86710_000014_000002	Come, come, do not strip the latter of his just rights to bestow them on the Corsican, who, to my mind, has usurped quite enough."	Come, come, do not strip the latter of his just rights to bestow them on the Corsican, who, to my mind, has usurped quite enough."
7117_86710_000015_000001	The only difference consists in the opposite character of the equality advocated by these two men; one is the equality that elevates, the other is the equality that degrades; one brings a king within reach of the guillotine, the other elevates the people to a level with the throne.	The only difference consists in the opposite character of the equality advocated by these two men; one is the equality that elevates, the other is the equality that degrades; one brings a king within reach of the guillotine, the other elevates the people to a level with the throne.
7117_86710_000017_000000	"'Tis true, madame," answered he, "that my father was a Girondin, but he was not among the number of those who voted for the king's death; he was an equal sufferer with yourself during the Reign of Terror, and had well-nigh lost his head on the same scaffold on which your father perished."	"'tis true, madame," answered he, "that my father was a Girondin, but he was not among the number of those who voted for the king's death; he was an equal sufferer with yourself during the Reign of Terror, and had well nigh lost his head on the same scaffold on which your father perished."
7117_86710_000019_000000	"Dear mother," interposed Renee, "you know very well it was agreed that all these disagreeable reminiscences should forever be laid aside."	"Dear mother," interposed Renee, "you know very well it was agreed that all these disagreeable reminiscences should forever be laid aside."
7117_86710_000020_000001	What avails recrimination over matters wholly past recall?	What avails recrimination over matters wholly past recall?
7117_86710_000021_000001	Come, now, I have hopes of obtaining what I have been for years endeavoring to persuade the marquise to promise; namely, a perfect amnesty and forgetfulness of the past."	Come, now, I have hopes of obtaining what I have been for years endeavoring to persuade the marquise to promise; namely, a perfect amnesty and forgetfulness of the past."
7117_86710_000022_000000	"With all my heart," replied the marquise; "let the past be forever forgotten.	"With all my heart," replied the marquise; "let the past be forever forgotten.
7117_86710_000022_000001	I promise you it affords me as little pleasure to revive it as it does you.	I promise you it affords me as little pleasure to revive it as it does you.
7117_86710_000023_000001	I have already successfully conducted several public prosecutions, and brought the offenders to merited punishment.	I have already successfully conducted several public prosecutions, and brought the offenders to merited punishment.
7117_86710_000023_000002	But we have not done with the thing yet."	But we have not done with the thing yet."
7117_86710_000024_000000	"Do you, indeed, think so?" inquired the marquise.	"Do you, indeed, think so?" inquired the marquise.
7117_86710_000025_000001	Napoleon, in the Island of Elba, is too near France, and his proximity keeps up the hopes of his partisans. Marseilles is filled with half-pay officers, who are daily, under one frivolous pretext or other, getting up quarrels with the royalists; from hence arise continual and fatal duels among the higher classes of persons, and assassinations in the lower."	Napoleon, in the Island of Elba, is too near France, and his proximity keeps up the hopes of his partisans. Marseilles is filled with half pay officers, who are daily, under one frivolous pretext or other, getting up quarrels with the royalists; from hence arise continual and fatal duels among the higher classes of persons, and assassinations in the lower."
7117_86710_000028_000000	"To Saint Helena."	"To Saint Helena."
7117_86710_000029_000000	"For heaven's sake, where is that?" asked the marquise.	"For heaven's sake, where is that?" asked the marquise.
7117_86710_000030_000000	"An island situated on the other side of the equator, at least two thousand leagues from here," replied the count.	"An island situated on the other side of the equator, at least two thousand leagues from here," replied the count.
7117_86710_000031_000000	"So much the better.	"So much the better.
7117_86710_000036_000000	"Then all he has got to do is to endeavor to repair it."	"Then all he has got to do is to endeavor to repair it."
7117_86710_000037_000000	"Nay, madame, the law is frequently powerless to effect this; all it can do is to avenge the wrong done."	"Nay, madame, the law is frequently powerless to effect this; all it can do is to avenge the wrong done."
7117_86710_000039_000000	"Amusing, certainly," replied the young man, "inasmuch as, instead of shedding tears as at the fictitious tale of woe produced at a theatre, you behold in a law-court a case of real and genuine distress--a drama of life.	"Amusing, certainly," replied the young man, "inasmuch as, instead of shedding tears as at the fictitious tale of woe produced at a theatre, you behold in a law court a case of real and genuine distress-a drama of life.
7117_86710_000039_000001	The prisoner whom you there see pale, agitated, and alarmed, instead of--as is the case when a curtain falls on a tragedy--going home to sup peacefully with his family, and then retiring to rest, that he may recommence his mimic woes on the morrow,--is removed from your sight merely to be reconducted to his prison and delivered up to the executioner.	The prisoner whom you there see pale, agitated, and alarmed, instead of-as is the case when a curtain falls on a tragedy-going home to sup peacefully with his family, and then retiring to rest, that he may recommence his mimic woes on the morrow,--is removed from your sight merely to be reconducted to his prison and delivered up to the executioner.
7117_86710_000039_000002	I leave you to judge how far your nerves are calculated to bear you through such a scene.	I leave you to judge how far your nerves are calculated to bear you through such a scene.
7117_86710_000039_000003	Of this, however, be assured, that should any favorable opportunity present itself, I will not fail to offer you the choice of being present."	Of this, however, be assured, that should any favorable opportunity present itself, I will not fail to offer you the choice of being present."
7117_86710_000041_000000	"What would you have?	"What would you have?
7117_86710_000041_000001	'Tis like a duel.	'tis like a duel.
7117_86710_000041_000002	I have already recorded sentence of death, five or six times, against the movers of political conspiracies, and who can say how many daggers may be ready sharpened, and only waiting a favorable opportunity to be buried in my heart?"	I have already recorded sentence of death, five or six times, against the movers of political conspiracies, and who can say how many daggers may be ready sharpened, and only waiting a favorable opportunity to be buried in my heart?"
7117_86710_000043_000002	Besides, one requires the excitement of being hateful in the eyes of the accused, in order to lash one's self into a state of sufficient vehemence and power. I would not choose to see the man against whom I pleaded smile, as though in mockery of my words.	Besides, one requires the excitement of being hateful in the eyes of the accused, in order to lash one's self into a state of sufficient vehemence and power. I would not choose to see the man against whom I pleaded smile, as though in mockery of my words.
7117_86710_000043_000003	No; my pride is to see the accused pale, agitated, and as though beaten out of all composure by the fire of my eloquence." Renee uttered a smothered exclamation.	No; my pride is to see the accused pale, agitated, and as though beaten out of all composure by the fire of my eloquence." Renee uttered a smothered exclamation.
7117_86710_000044_000000	"Bravo!" cried one of the guests; "that is what I call talking to some purpose."	"Bravo!" cried one of the guests; "that is what I call talking to some purpose."
