6014_32886_000000_000000	Lake collected himself.	Lake collected himself.	false	0	0.99	77
6014_32886_000000_000001	He was a man who could do it pretty quickly; but he had been violently agitated, and the traces of his fury could not disappear in a moment.	He was a man who could do it pretty quickly; but he had been violently agitated, and the traces of his fury could not disappear in a moment.	false	0.99	8.76	20.067808
6014_32886_000001_000000	Lord Chelford was, indeed, approaching, only a few hundred yards away.	Lord Chelford was, indeed, approaching, only a few hundred yards away.	false	8.76	11.07	20.884195
6014_32886_000002_000000	'Take my arm,' said Lake.	'Take my arm,' said Lake.	false	11.07	12.12	18
6014_32886_000003_000000	And Rachel mechanically, as story-tellers say, placed her slender gloved hand upon his arm--the miscreant arm that had been so nearly raised to strike her; and they walked along, brother and sister, in the Sabbath sunset light, to meet him.	And Rachel mechanically, as story tellers say, placed her slender gloved hand upon his arm-the miscreant arm that had been so nearly raised to strike her; and they walked along, brother and sister, in the Sabbath sunset light, to meet him.	false	12.12	22.65	19.496328
6014_32886_000004_000000	CHAPTER XXXI.	CHAPTER thirty one.	true	22.65	23.92	18.53473
6014_32886_000005_000000	IN REDMAN'S DELL.	IN REDMAN'S DELL.	true	24.17	25.72	19.616682
6014_32886_000006_000000	Lord Chelford raised his hat, smiling: 'I am so very glad I met you, I was beginning to feel so solitary!' he placed himself beside Miss Lake. 'I've had such a long walk across the park.	Lord Chelford raised his hat, smiling: 'I am so very glad I met you, I was beginning to feel so solitary!' he placed himself beside Miss Lake. 'I've had such a long walk across the park.	true	27.05	38.65	20.148483
6014_32886_000006_000001	How do you do, Lake? when did you come?'	How do you do, Lake? when did you come?'	false	38.66	40.9	20.658546
6014_32886_000007_000000	And so on--Lake answering and looking wonderfully as usual.	And so on-Lake answering and looking wonderfully as usual.	true	41.36	45.31	19.362286
6014_32886_000008_000000	I think Lord Chelford perceived there was something amiss between the young people, for his eye rested on Rachel with a momentary look of enquiry, unconscious, no doubt, and quickly averted, and he went on chatting pleasantly; but he looked, once or twice, a little hard at Stanley Lake.	I think Lord Chelford perceived there was something amiss between the young people, for his eye rested on Rachel with a momentary look of enquiry, unconscious, no doubt, and quickly averted, and he went on chatting pleasantly; but he looked, once or twice, a little hard at Stanley Lake.	true	45.71	61.84	20.23757
6014_32886_000008_000001	I don't think he had an extraordinarily good opinion of that young gentleman.	I don't think he had an extraordinarily good opinion of that young gentleman.	true	62.18	66.09	17
6014_32886_000008_000002	He seldom expressed an ill one of anybody, and then it was in very measured language.	He seldom expressed an ill one of anybody, and then it was in very measured language.	true	66.09	71.26	18.660225
6014_32886_000008_000003	But though he never hinted at an unfavourable estimate of the captain, his intimacies with him were a little reserved; and I think I have seen him, even when he smiled, look the least little bit in the world uncomfortable, as if he did not quite enter into the captain's pleasantries.	But though he never hinted at an unfavourable estimate of the captain, his intimacies with him were a little reserved; and I think I have seen him, even when he smiled, look the least little bit in the world uncomfortable, as if he did not quite enter into the captain's pleasantries.	true	71.72	86.83	20
6014_32886_000009_000000	They had not walked together very far, when Stanley recollected that he must take his leave, and walk back to Gylingden; and so the young lady and Lord Chelford were left to pursue their way towards Redman's Farm together.	They had not walked together very far, when Stanley recollected that he must take his leave, and walk back to Gylingden; and so the young lady and Lord Chelford were left to pursue their way towards Redman's Farm together.	true	87.05	98.74	20
6014_32886_000010_000000	It would have been a more unaccountable proceeding on the part of Stanley Lake, and a more romantic situation, if Rachel and his lordship had not had before two or three little accidental rambles together in the grounds and gardens of Brandon.	It would have been a more unaccountable proceeding on the part of Stanley Lake, and a more romantic situation, if Rachel and his lordship had not had before two or three little accidental rambles together in the grounds and gardens of Brandon.	false	99.11	113.08	16
6014_32886_000010_000001	There was nothing quite new in the situation, therefore; and Rachel was for a moment indescribably relieved by Stanley's departure.	There was nothing quite new in the situation, therefore; and Rachel was for a moment indescribably relieved by Stanley's departure.	true	113.39	121.51	19
