3493_46712_000000_000000	CHAPTER XL.	CHAPTER forty.	false	0.54	13.335	20.198671
3493_46712_000001_000000	"SO SHALL YE REAP."	"SO SHALL YE REAP."	true	13.335	15.01	18.329279
3493_46712_000002_000000	Little now remains to be told of this tale of crime and retribution, of suffering and compensation.	Little now remains to be told of this tale of crime and retribution, of suffering and compensation.	true	15.41	22.18	18
3493_46712_000002_000001	Miss Brewer told her dreadful story, as far as she knew it, with perfect truth; and her evidence, together with the evidence of the chemist who had supplied Madame Durski from time to time with the fatal consoler of all her pains and sorrows, made it clear that the luckless woman, lying quietly in the darkened room at Hilton House, had died from an over-dose of opium.	Miss Brewer told her dreadful story, as far as she knew it, with perfect truth; and her evidence, together with the evidence of the chemist who had supplied Madame Durski from time to time with the fatal consoler of all her pains and sorrows, made it clear that the luckless woman, lying quietly in the darkened room at Hilton House, had died from an over dose of opium.	true	22.46	44.65	18
3493_46712_000003_000000	Douglas Dale could not attend that inquest.	Douglas Dale could not attend that inquest.	true	44.96	47.59	22
3493_46712_000003_000001	He was stricken down with fever; the fate of the woman he had so loved, so unjustly suspected, nearly cost him his life, and when he recovered sufficiently, he left England, not to return for three years.	He was stricken down with fever; the fate of the woman he had so loved, so unjustly suspected, nearly cost him his life, and when he recovered sufficiently, he left England, not to return for three years.	true	47.63	61.99	22.248463
3493_46712_000003_000002	Before his departure he saw Lady Eversleigh and her mother, and established with them a bond of friendship as close as that of their kin.	Before his departure he saw Lady Eversleigh and her mother, and established with them a bond of friendship as close as that of their kin.	true	62.24	70.75	20
3493_46712_000003_000003	He provided liberally for Miss Brewer, but her rescue from poverty brought her no happiness: she was a broken-hearted woman.	He provided liberally for Miss Brewer, but her rescue from poverty brought her no happiness: she was a broken hearted woman.	false	71.06	78.64	23
3493_46712_000004_000000	Victor Carrington's mother retired into a convent, and was probably as happy as she had ever been.	Victor Carrington's mother retired into a convent, and was probably as happy as she had ever been.	true	79.07	85.15	20
3493_46712_000004_000001	She had loved him but little, whose only virtue was that he had loved her much.	She had loved him but little, whose only virtue was that he had loved her much.	true	85.34	90.61	23.011309
3493_46712_000005_000000	Captain Copplestone's rapture knew no bounds when he clasped little Gertrude in his arms once more.	Captain Copplestone's rapture knew no bounds when he clasped little Gertrude in his arms once more.	true	91.04	97.42	18
3493_46712_000005_000001	He was almost jealous of Rosamond Jernam, when he found how great a hold she had obtained on the heart of her charge; but his jealousy was mingled with gratitude, and he joined Lady Eversleigh in testifying his friendship for the tender-hearted woman who had protected and cherished the heiress of Raynham in the hour of her desolation.	He was almost jealous of Rosamond Jernam, when he found how great a hold she had obtained on the heart of her charge; but his jealousy was mingled with gratitude, and he joined Lady Eversleigh in testifying his friendship for the tender hearted woman who had protected and cherished the heiress of Raynham in the hour of her desolation.	true	97.64	116.59	20.471716
3493_46712_000006_000000	It is not to be supposed that the world remained long in ignorance of this romantic episode in the common-place story of every-day life.	It is not to be supposed that the world remained long in ignorance of this romantic episode in the common place story of every day life.	true	116.87	124.78	16
3493_46712_000007_000000	Paragraphs found their way into the newspapers, no one knew how, and society marvelled at the good fortune of Sir Oswald's widow.	Paragraphs found their way into the newspapers, no one knew how, and society marvelled at the good fortune of Sir Oswald's widow.	false	125.09	133.09	22
3493_46712_000008_000000	"That woman's wealth must be boundless," exclaimed aristocratic dowagers, for whom the grip of poverty's bony fingers had been tight and cruel.	"That woman's wealth must be boundless," exclaimed aristocratic dowagers, for whom the grip of poverty's bony fingers had been tight and cruel.	true	133.34	142	20
3493_46712_000008_000001	"Her husband left her magnificent estates, and an enormous amount of funded property; and now a mother drops down from the skies for her benefit--a mother who is reported to be almost as rich as herself."	"Her husband left her magnificent estates, and an enormous amount of funded property; and now a mother drops down from the skies for her benefit-a mother who is reported to be almost as rich as herself."	true	142.28	154.63	20.642235
3493_46712_000009_000000	Amongst those who envied Lady Eversleigh's good fortune, there was none whose envy was so bitter as that of her husband's disappointed nephew, Sir Reginald.	Amongst those who envied Lady Eversleigh's good fortune, there was none whose envy was so bitter as that of her husband's disappointed nephew, Sir Reginald.	true	155.06	164.74	20
3493_46712_000010_000000	This woman had stood between him and fortune, and it would have been happiness to him to see her grovelling in the dust, a beggar and an outcast.	This woman had stood between him and fortune, and it would have been happiness to him to see her grovelling in the dust, a beggar and an outcast.	true	165.11	173.74	19
3493_46712_000010_000001	Instead of this, he heard of her exaltation, and he hated her with an intense hatred which was almost childish in its purposeless fury.	Instead of this, he heard of her exaltation, and he hated her with an intense hatred which was almost childish in its purposeless fury.	true	173.87	182.95	23
3493_46712_000011_000000	He speedily found, however, that life was miserable without his evil counsellor.	He speedily found, however, that life was miserable without his evil counsellor.	true	183.26	188.05	18
3493_46712_000011_000001	The Frenchman's unabating confidence in ultimate success had sustained the penniless idler in the darkest day of misfortune.	The Frenchman's unabating confidence in ultimate success had sustained the penniless idler in the darkest day of misfortune.	true	188.12	196.45	19
3493_46712_000011_000002	But now he found himself quite alone; and there was no voice to promise future triumph.	But now he found himself quite alone; and there was no voice to promise future triumph.	true	196.67	202.44	21.170546
3493_46712_000011_000003	He knew that the game of life had been played to the last card, and that it was lost.	He knew that the game of life had been played to the last card, and that it was lost.	true	202.44	207.82	20
3493_46712_000012_000000	His feeble character was not equal to support the burden of poverty and despair.	His feeble character was not equal to support the burden of poverty and despair.	true	208.07	212.74	19
3493_46712_000013_000000	He dared not show his face at any of the clubs where he had once been so distinguished a member; for he knew that the voice of society was against him.	He dared not show his face at any of the clubs where he had once been so distinguished a member; for he knew that the voice of society was against him.	false	212.84	221.95	21
3493_46712_000014_000000	Thus hopeless, friendless, and abandoned by his kind, Sir Reginald Eversleigh had recourse to the commonest form of consolation.	Thus hopeless, friendless, and abandoned by his kind, Sir Reginald Eversleigh had recourse to the commonest form of consolation.	true	222.23	231.31	19
