8875_293959_000000_000000	Durham snatched the handkerchief.	Durham snatched the handkerchief.	false	0	2.655	20.68737
8875_293959_000000_000001	A faint smell of chloroform lingered about it still.	A faint smell of chloroform lingered about it still.	false	2.655	5.07	18.386436
8875_293959_000000_000002	Beryl's initials were in the corner.	Beryl's initials were in the corner.	false	5.07	6.51	12
8875_293959_000000_000003	Durham looked up very pale.	Durham looked up very pale.	false	6.51	8.31	22.515501
8875_293959_000001_000000	"Yes," said Tolomeo, "that man killed Sir Simon."	"Yes," said Tolomeo, "that man killed Sir Simon."	false	8.31	11.22	9
8875_293959_000002_000000	CHAPTER XIX	CHAPTER nineteen	false	11.22	11.94	21
8875_293959_000003_000000	PLOTS AND COUNTERPLOTS	PLOTS AND c o u n t e r p l o t s	false	11.94	21.18	19.735128
8875_293959_000004_000000	On hearing from Tolomeo that Beryl was the guilty person, Durham was not so surprised as he might have been.	On hearing from Tolomeo that Beryl was the guilty person, Durham was not so surprised as he might have been.	true	21.18	27.46	19
8875_293959_000004_000001	He had always suspected that Julius was in some way connected with the crime, although he had not thought him personally guilty.	He had always suspected that Julius was in some way connected with the crime, although he had not thought him personally guilty.	true	27.5	33.97	21.522253
8875_293959_000004_000002	But the story of Guiseppe, and the production of the handkerchief marked with Beryl's name seemed to put the matter beyond doubt.	But the story of Guiseppe, and the production of the handkerchief marked with Beryl's name seemed to put the matter beyond doubt.	false	34.1	40.72	18
8875_293959_000004_000003	Durham remembered how Conniston had always said that when the lost handkerchief was found the assassin would be identified. Apparently his prophecy had come true.	Durham remembered how Conniston had always said that when the lost handkerchief was found the assassin would be identified. Apparently his prophecy had come true.	true	40.76	50.145	18.498335
8875_293959_000004_000004	Here was the handkerchief, so fortunately picked up by Tolomeo, and it belonged to Julius.	Here was the handkerchief, so fortunately picked up by Tolomeo, and it belonged to Julius.	true	50.145	55.36	19
8875_293959_000004_000005	Also Julius, according to the Italian, had entered the house in Crimea Square about the time the murder was supposed to have been committed.	Also Julius, according to the Italian, had entered the house in Crimea Square about the time the murder was supposed to have been committed.	false	55.73	63.16	20
8875_293959_000005_000000	"And there's no doubt that Beryl sent Jerry for Bernard, so that he might be brought to the spot for accusation," thought the lawyer when Tolomeo had gone.	"And there's no doubt that Beryl sent Jerry for Bernard, so that he might be brought to the spot for accusation," thought the lawyer when Tolomeo had gone.	true	63.32	71.23	16
8875_293959_000005_000001	"The whole thing was a plant.	"The whole thing was a plant.	true	71.63	73.14	22.531893
8875_293959_000005_000002	I expect he arranged to go to the Curtain Theatre so as to have an _alibi_.	I expect he arranged to go to the Curtain Theatre so as to have an underscore alibi underscore.	false	73.14	77.58	19.468878
8875_293959_000005_000003	But the theatre is near Crimea Square and it would be easy for Beryl to slip round between the acts.	But the theatre is near Crimea Square and it would be easy for Beryl to slip round between the acts.	true	77.58	82.77	13
8875_293959_000005_000004	Humph!	Humph!	false	82.77	83.55	19.219082
8875_293959_000005_000005	Evidently he did kill the old man--this handkerchief is proof enough, to say nothing of Tolomeo's evidence.	Evidently he did kill the old man-this handkerchief is proof enough, to say nothing of Tolomeo's evidence.	false	83.55	90.07	19.537767
8875_293959_000005_000006	What's to be done next?"	What's to be done next?"	true	90.08	91.53	23.227768
8875_293959_000006_000000	The question was answered next day while Durham was still puzzling over the matter.	The question was answered next day while Durham was still puzzling over the matter.	false	91.53	95.91	14
8875_293959_000006_000001	Julius himself made his appearance, as meek-looking and mild as ever.	Julius himself made his appearance, as meek looking and mild as ever.	true	95.91	100.3	18.43904
8875_293959_000006_000002	The lawyer received him coldly and was on his guard.	The lawyer received him coldly and was on his guard.	true	100.43	103.39	19.07264
8875_293959_000006_000003	It was difficult to know why Beryl should pay a visit to an avowed enemy.	It was difficult to know why Beryl should pay a visit to an avowed enemy.	true	103.46	107.26	20
8875_293959_000006_000004	But Julius soon explained the reason for his call.	But Julius soon explained the reason for his call.	true	107.27	110.2	21.05735
8875_293959_000007_000000	"I have something extremely private to say to you, Mr. Durham," he remarked in a confidential way, and after assuring himself ostentatiously that the door was closed.	"I have something extremely private to say to you, mr Durham," he remarked in a confidential way, and after assuring himself ostentatiously that the door was closed.	false	110.42	119.65	18
8875_293959_000008_000000	"I am not your legal adviser," said Durham, quickly.	"I am not your legal adviser," said Durham, quickly.	true	120.11	123.22	20.476215
8875_293959_000009_000000	"You are Bernard's."	"You are Bernard's."	true	123.5	124.72	20.767004
8875_293959_000010_000000	"I _was_ Bernard's, you mean."	"I underscore was underscore Bernard's, you mean."	false	125.24	127.09	20.530836
8875_293959_000011_000000	"Does that intimate that you have quarrelled with Bernard?"	"Does that intimate that you have quarrelled with Bernard?"	false	127.19	129.91	19.631239
8875_293959_000012_000000	"You forget," said the solicitor, looking at him sharply.	"You forget," said the solicitor, looking at him sharply.	true	130.34	133.33	17
8875_293959_000012_000001	"Bernard is supposed to be dead."	"Bernard is supposed to be dead."	true	133.43	135.22	23.36634
8875_293959_000013_000000	"I don't think you ever believed that," said Beryl, smiling.	"I don't think you ever believed that," said Beryl, smiling.	true	135.32	138.49	15
8875_293959_000014_000000	"That has nothing to do with you."	"That has nothing to do with you."	true	138.86	140.62	17.749165
8875_293959_000015_000000	"Oh yes, it has.	"Oh yes, it has.	true	140.87	142.095	19.480152
8875_293959_000015_000001	See here, Durham, I wrote to Miss Malleson some time ago, stating that I had seen Bernard in London."	See here, Durham, I wrote to Miss Malleson some time ago, stating that I had seen Bernard in London."	true	142.095	147.66	11
8875_293959_000016_000000	"So I understand," said Durham, calmly.	"So I understand," said Durham, calmly.	true	147.66	150.31	19
8875_293959_000016_000001	"Why did you not stop him?"	"Why did you not stop him?"	true	150.38	151.87	20.354668
8875_293959_000017_000000	"I was not quick enough.	"I was not quick enough.	true	152.18	153.48	19.934095
