2012_139356_000001_000000	CHAPTER XV.	CHAPTER fifteen.
2012_139356_000001_000001	THE CONTINUED DESCENT	THE CONTINUED DESCENT
2012_139356_000002_000001	Large bats of ruddy color skimmed with their huge wings the current of the Amazon.	Large bats of ruddy color skimmed with their huge wings the current of the Amazon.
2012_139356_000003_000000	These were, in fact, the horrible vampires which suck the blood of the cattle, and even attack man if he is imprudent enough to sleep out in the fields.	These were, in fact, the horrible vampires which suck the blood of the cattle, and even attack man if he is imprudent enough to sleep out in the fields.
2012_139356_000004_000000	"Oh, the dreadful creatures!" cried Lina, hiding her eyes; "they fill me with horror!"	"Oh, the dreadful creatures!" cried Lina, hiding her eyes; "they fill me with horror!"
2012_139356_000006_000000	"To be sure--very formidable," answered he.	"To be sure-very formidable," answered he.
2012_139356_000006_000003	They tell of people, unconsciously submitted to this hemorrhage for many hours, who have never awoke!"	They tell of people, unconsciously submitted to this hemorrhage for many hours, who have never awoke!"
2012_139356_000008_000000	"Never fear!" replied Manoel; "if necessary we will watch over them as they sleep."	"Never fear!" replied Manoel; "if necessary we will watch over them as they sleep."
2012_139356_000012_000000	"Certainly," answered Yaquita.	"Certainly," answered Yaquita.
2012_139356_000013_000000	"What causes the noise?" asked Minha.	"What causes the noise?" asked Minha.
2012_139356_000014_000000	"Good!	"Good!
2012_139356_000014_000002	"Tomorrow, at daybreak, there will be a rare treat for those who like fresh turtle eggs and little turtles!"	"Tomorrow, at daybreak, there will be a rare treat for those who like fresh turtle eggs and little turtles!"
2012_139356_000016_000001	The operation commences with sunset and finishes with the dawn.	The operation commences with sunset and finishes with the dawn.
2012_139356_000018_000001	They watch for the arrival of the chelonians, and proceed to the extraction of the eggs to the sound of the drum; and the harvest is divided into three parts--one to the watchers, another to the Indians, a third to the state, represented by the captains of the shore, who, in their capacity of police, have to superintend the collection of the dues.	They watch for the arrival of the chelonians, and proceed to the extraction of the eggs to the sound of the drum; and the harvest is divided into three parts-one to the watchers, another to the Indians, a third to the state, represented by the captains of the shore, who, in their capacity of police, have to superintend the collection of the dues.
2012_139356_000019_000000	Turtles, or turtle eggs, are an object of very considerable trade throughout the Amazonian basin.	Turtles, or turtle eggs, are an object of very considerable trade throughout the Amazonian basin.
2012_139356_000019_000002	In this way they always have the meat of these animals fresh.	In this way they always have the meat of these animals fresh.
2012_139356_000020_000000	They proceed differently with the little turtles which are just hatched. There is no need to pack them or tie them up.	They proceed differently with the little turtles which are just hatched. There is no need to pack them or tie them up.
2012_139356_000020_000001	Their shell is still soft, their flesh extremely tender, and after they have cooked them they eat them just like oysters.	Their shell is still soft, their flesh extremely tender, and after they have cooked them they eat them just like oysters.
2012_139356_000020_000002	In this form large quantities are consumed.	In this form large quantities are consumed.
2012_139356_000022_000000	On the morrow, at daybreak, Benito, Fragoso, and a few Indians took a pirogue and landed on the beach of one of the large islands which they had passed during the night.	On the morrow, at daybreak, Benito, Fragoso, and a few Indians took a pirogue and landed on the beach of one of the large islands which they had passed during the night.
2012_139356_000022_000002	They knew they could catch her up.	They knew they could catch her up.
2012_139356_000023_000000	On the shore they saw the little hillocks which indicated the places where, that very night, each packet of eggs had been deposited in the trench in groups of from one hundred and sixty to one hundred and ninety.	On the shore they saw the little hillocks which indicated the places where, that very night, each packet of eggs had been deposited in the trench in groups of from one hundred and sixty to one hundred and ninety.
2012_139356_000023_000001	These there was no wish to get out.	These there was no wish to get out.
2012_139356_000023_000002	But an earlier laying had taken place two months before, the eggs had hatched under the action of the heat stored in the sand, and already several thousands of little turtles were running about the beach.	But an earlier laying had taken place two months before, the eggs had hatched under the action of the heat stored in the sand, and already several thousands of little turtles were running about the beach.
2012_139356_000024_000000	The hunters were therefore in luck.	The hunters were therefore in luck.
2012_139356_000024_000001	The pirogue was filled with these interesting amphibians, and they arrived just in time for breakfast.	The pirogue was filled with these interesting amphibians, and they arrived just in time for breakfast.
2012_139356_000024_000002	The booty was divided between the passengers and crew of the jangada, and if any lasted till the evening it did not last any longer.	The booty was divided between the passengers and crew of the jangada, and if any lasted till the evening it did not last any longer.
2012_139356_000027_000000	The Putumayo is one of the most important affluents of the Amazon.	The Putumayo is one of the most important affluents of the Amazon.
2012_139356_000027_000001	Here in the sixteenth century missions were founded by the Spaniards, which were afterward destroyed by the Portuguese, and not a trace of them now remains.	Here in the sixteenth century missions were founded by the Spaniards, which were afterward destroyed by the Portuguese, and not a trace of them now remains.
2012_139356_000028_000000	Representatives of different tribes of Indians are found in the neighborhood, which are easily recognizable by the differences in their tattoo marks.	Representatives of different tribes of Indians are found in the neighborhood, which are easily recognizable by the differences in their tattoo marks.
2012_139356_000030_000000	The bad weather was at last met with.	The bad weather was at last met with.
2012_139356_000030_000001	It did not show itself in continual rains, but in frequent storms.	It did not show itself in continual rains, but in frequent storms.
2012_139356_000030_000002	These could not hinder the progress of the raft, which offered little resistance to the wind.	These could not hinder the progress of the raft, which offered little resistance to the wind.
2012_139356_000030_000003	Its great length rendered it almost insensible to the swell of the Amazon, but during the torrential showers the Garral family had to keep indoors. They had to occupy profitably these hours of leisure.	Its great length rendered it almost insensible to the swell of the Amazon, but during the torrential showers the Garral family had to keep indoors. They had to occupy profitably these hours of leisure.
2012_139356_000030_000004	They chatted together, communicated their observations, and their tongues were seldom idle.	They chatted together, communicated their observations, and their tongues were seldom idle.
2012_139356_000031_000000	It was under these circumstances that little by little Torres had begun to take a more active part in the conversation.	It was under these circumstances that little by little Torres had begun to take a more active part in the conversation.
2012_139356_000031_000001	The details of his many voyages throughout the whole north of Brazil afforded him numerous subjects to talk about.	The details of his many voyages throughout the whole north of Brazil afforded him numerous subjects to talk about.
2012_139356_000031_000002	The man had certainly seen a great deal, but his observations were those of a skeptic, and he often shocked the straightforward people who were listening to him.	The man had certainly seen a great deal, but his observations were those of a skeptic, and he often shocked the straightforward people who were listening to him.
2012_139356_000031_000005	On the other hand, Minha felt for him an instinctive repulsion which she was at no pains to conceal.	On the other hand, Minha felt for him an instinctive repulsion which she was at no pains to conceal.
2012_139356_000032_000000	On the 5th of July the mouth of the Tunantins appeared on the left bank, forming an estuary of some four hundred feet across, in which it pours its blackish waters, coming from the west-northwest, after having watered the territories of the Cacena Indians.	On the fifth of July the mouth of the Tunantins appeared on the left bank, forming an estuary of some four hundred feet across, in which it pours its blackish waters, coming from the west northwest, after having watered the territories of the Cacena Indians.
2012_139356_000032_000001	At this spot the Amazon appears under a truly grandiose aspect, but its course is more than ever encumbered with islands and islets.	At this spot the Amazon appears under a truly grandiose aspect, but its course is more than ever encumbered with islands and islets.
2012_139356_000032_000002	It required all the address of the pilot to steer through the archipelago, going from one bank to another, avoiding the shallows, shirking the eddies, and maintaining the advance.	It required all the address of the pilot to steer through the archipelago, going from one bank to another, avoiding the shallows, shirking the eddies, and maintaining the advance.
2012_139356_000035_000000	At this place the jangada halted for twelve hours, so as to give a rest to the crew.	At this place the jangada halted for twelve hours, so as to give a rest to the crew.
2012_139356_000036_000001	Probably the hamlet has now finished with its nomadic existence, and has definitely become stationary.	Probably the hamlet has now finished with its nomadic existence, and has definitely become stationary.
2012_139356_000036_000003	Fonteboa has one thousand inhabitants, drawn from the Indians on both banks, who rear numerous cattle in the fields in the neighborhood.	Fonteboa has one thousand inhabitants, drawn from the Indians on both banks, who rear numerous cattle in the fields in the neighborhood.
2012_139356_000036_000004	These occupations do not end here, for they are intrepid hunters, or, if they prefer it, intrepid fishers for the manatee.	These occupations do not end here, for they are intrepid hunters, or, if they prefer it, intrepid fishers for the manatee.
2012_139356_000037_000002	Six brown points were seen moving along the surface, and these were the two pointed snouts and four pinions of the lamantins.	Six brown points were seen moving along the surface, and these were the two pointed snouts and four pinions of the lamantins.
2012_139356_000038_000000	Inexperienced fishermen would at first have taken these moving points for floating wreckage, but the natives of Fonteboa were not to be so deceived.	Inexperienced fishermen would at first have taken these moving points for floating wreckage, but the natives of Fonteboa were not to be so deceived.
2012_139356_000040_000000	The fishermen continued their cautious advance.	The fishermen continued their cautious advance.
2012_139356_000040_000001	One of them, armed with a very primitive harpoon--a long nail at the end of a stick--kept himself in the bow of the boat, while the other two noiselessly paddled on.	One of them, armed with a very primitive harpoon-a long nail at the end of a stick-kept himself in the bow of the boat, while the other two noiselessly paddled on.
2012_139356_000040_000002	They waited till the necessity of breathing would bring the manatees up again.	They waited till the necessity of breathing would bring the manatees up again.
2012_139356_000040_000003	In ten minutes or thereabouts the animals would certainly appear in a circle more or less confined.	In ten minutes or thereabouts the animals would certainly appear in a circle more or less confined.
2012_139356_000041_000000	In fact, this time had scarcely elapsed before the black points emerged at a little distance, and two jets of air mingled with vapor were noiselessly shot forth.	In fact, this time had scarcely elapsed before the black points emerged at a little distance, and two jets of air mingled with vapor were noiselessly shot forth.
2012_139356_000044_000000	It was not a manatee of any size, for it only measured about three feet long.	It was not a manatee of any size, for it only measured about three feet long.
2012_139356_000044_000001	These poor cetaceans have been so hunted that they have become very rare in the Amazon and its affluents, and so little time is left them to grow that the giants of the species do not now exceed seven feet.	These poor cetaceans have been so hunted that they have become very rare in the Amazon and its affluents, and so little time is left them to grow that the giants of the species do not now exceed seven feet.
2012_139356_000044_000002	What are these, after manatees twelve and fifteen feet long, which still abound in the rivers and lakes of Africa?	What are these, after manatees twelve and fifteen feet long, which still abound in the rivers and lakes of Africa?
2012_139356_000045_000000	But it would be difficult to hinder their destruction.	But it would be difficult to hinder their destruction.
2012_139356_000045_000001	The flesh of the manatee is excellent, superior even to that of pork, and the oil furnished by its lard, which is three inches thick, is a product of great value.	The flesh of the manatee is excellent, superior even to that of pork, and the oil furnished by its lard, which is three inches thick, is a product of great value.
2012_139356_000045_000002	When the meat is smoke-dried it keeps for a long time, and is capital food.	When the meat is smoke dried it keeps for a long time, and is capital food.
