192_123167_000000_000000	Rennet Wine for cold Custards or Curds.	Rennet Wine for cold Custards or Curds.	false	0	1.32	13.145086
192_123167_000001_000000	Rub the salt from a nicely dried rennet, and cut it up; put it in a bottle, and fill it up with good wine.	Rub the salt from a nicely dried rennet, and cut it up; put it in a bottle, and fill it up with good wine.	false	1.32	4.95	17
192_123167_000001_000001	If care is taken to keep it filled up, it will last for several years, to make cold custard and cheese curds.	If care is taken to keep it filled up, it will last for several years, to make cold custard and cheese curds.	false	4.95	6.72	20.982723
192_123167_000002_000000	To Preserve Milk to use at Sea.	To Preserve Milk to use at Sea.	false	6.72	7.95	10
192_123167_000003_000000	To every quart of new milk put a pound of loaf-sugar; let it boil very slowly in an iron pot, over clear coals, till it is as thick as thin cream--stirring it all the time, pour it out in a pitcher, and stir till it is cold; put in bottles, cork it tight, and put sealing wax over the corks; it must be shaken before it is used.	To every quart of new milk put a pound of loaf sugar; let it boil very slowly in an iron pot, over clear coals, till it is as thick as thin cream-stirring it all the time, pour it out in a pitcher, and stir till it is cold; put in bottles, cork it tight, and put sealing wax over the corks; it must be shaken before it is used.	false	7.95	18.09	23.483639
192_123167_000004_000000	SYRUPS, ICES, &c.	SYRUPS, ICES, and c.	false	18.09	20.385	22.863111
192_123167_000005_000000	Lemon Syrup.	Lemon Syrup.	true	20.385	21.405	22.273678
192_123167_000006_000000	Clarify a pound of loaf or Havana sugar, or if you wish to make a large quantity, allow half a pint of water to every pound of sugar, and boil it, skimming it when the scum arises, until it is of the consistency of honey; then to every pound of sugar, add an ounce of tartaric acid.	Clarify a pound of loaf or Havana sugar, or if you wish to make a large quantity, allow half a pint of water to every pound of sugar, and boil it, skimming it when the scum arises, until it is of the consistency of honey; then to every pound of sugar, add an ounce of tartaric acid.	false	21.405	36.945	19
192_123167_000006_000001	If you do not find it sour enough, after it has stood two or three days, add more of the acid.	If you do not find it sour enough, after it has stood two or three days, add more of the acid.	true	36.945	42.04	17
192_123167_000006_000002	If you like the taste of oil of lemon, add a few drops.	If you like the taste of oil of lemon, add a few drops.	true	42.14	45.22	20
192_123167_000006_000003	A small quantity of the syrup prepared in this way, poured into cold water, makes a refreshing drink in warm weather.	A small quantity of the syrup prepared in this way, poured into cold water, makes a refreshing drink in warm weather.	true	45.35	51.91	19
192_123167_000007_000000	Lemon Syrup for Seasoning.	Lemon Syrup for Seasoning.	true	52.16	53.98	18.870567
192_123167_000008_000000	Pare the lemons very thin, and put the peel to boil in a quart of water; cover it, to keep in the flavor; put two pounds of loaf sugar to the peel of a dozen lemons, and boil it till it becomes a rich syrup; keep it corked up in a bottle, to season ice cream.	Pare the lemons very thin, and put the peel to boil in a quart of water; cover it, to keep in the flavor; put two pounds of loaf sugar to the peel of a dozen lemons, and boil it till it becomes a rich syrup; keep it corked up in a bottle, to season ice cream.	true	54.11	68.95	22
192_123167_000009_000000	Syrup of Lemon Juice.	Syrup of Lemon Juice.	true	69.11	70.75	19
192_123167_000010_000000	Dissolve three pounds of loaf-sugar in three quarts of water, squeeze and strain lemons enough to make a quart of juice; boil it slowly with the water and sugar, and take off the scum as it rises; when it is quite clear, strain and bottle it.	Dissolve three pounds of loaf sugar in three quarts of water, squeeze and strain lemons enough to make a quart of juice; boil it slowly with the water and sugar, and take off the scum as it rises; when it is quite clear, strain and bottle it.	false	70.91	84.48	19
192_123167_000010_000001	It will supply the place of fresh lemons when they cannot be had.	It will supply the place of fresh lemons when they cannot be had.	true	84.48	88.33	18
192_123167_000011_000000	Pine Apple Syrup.	Pine Apple Syrup.	true	88.73	90.105	22.204752
192_123167_000012_000000	Pare the pine apples, cut them in pieces, and to three pounds of pine apple put a quart of water; cover it and let it boil till very soft, when mash and strain it; to a pint of this juice put a pound of sugar, boil it till it is a rich syrup, and keep it corked up in bottles to season ice cream.	Pare the pine apples, cut them in pieces, and to three pounds of pine apple put a quart of water; cover it and let it boil till very soft, when mash and strain it; to a pint of this juice put a pound of sugar, boil it till it is a rich syrup, and keep it corked up in bottles to season ice cream.	false	90.105	107.05	23
192_123167_000013_000000	Almond Cream.	Almond Cream.	true	107.15	108.39	20.213486
192_123167_000014_000000	Take a pound of blanched almonds, and roll them fine with a bottle; mix them with a few drops of rose-water, and stir them into a quart of cream; sweeten it with loaf-sugar, put it in a pot over the fire, and stir it till it thickens.	Take a pound of blanched almonds, and roll them fine with a bottle; mix them with a few drops of rose water, and stir them into a quart of cream; sweeten it with loaf sugar, put it in a pot over the fire, and stir it till it thickens.	false	108.39	120.28	18
192_123167_000015_000000	Tincture of Vanilla.	Tincture of Vanilla.	true	120.62	122.115	21.85352
