6696_73296_000000_000000	FAMILY DOCTORS	FAMILY DOCTORS
6696_73296_000002_000000	While they were thus comfortably occupied, Mr. Woodhouse was enjoying a full flow of happy regrets and tearful affection with his daughter.	While they were thus comfortably occupied, mr Woodhouse was enjoying a full flow of happy regrets and tearful affection with his daughter.
6696_73296_000003_000000	"My poor, dear Isabella," said he, fondly taking her hand, and interrupting for a few moments her busy labors for some one of her five children, "how long it is, how terribly long since you were here!	"My poor, dear Isabella," said he, fondly taking her hand, and interrupting for a few moments her busy labors for some one of her five children, "how long it is, how terribly long since you were here!
6696_73296_000003_000002	You must go to bed early, my dear,--and I recommend a little gruel to you before you go.	You must go to bed early, my dear,--and I recommend a little gruel to you before you go.
6696_73296_000003_000003	You and I will have a nice basin of gruel together.	You and I will have a nice basin of gruel together.
6696_73296_000003_000004	My dear Emma, suppose we all have a little gruel."	My dear Emma, suppose we all have a little gruel."
6696_73296_000004_000000	Emma could not suppose any such thing, knowing as she did that both the Mr. Knightleys were as unpersuadable on that article as herself, and two basins only were ordered.	Emma could not suppose any such thing, knowing as she did that both the mr Knightleys were as unpersuadable on that article as herself, and two basins only were ordered.
6696_73296_000004_000001	After a little more discourse in praise of gruel, with some wondering at its not being taken every evening by everybody, he proceeded to say, with an air of grave reflection:--	After a little more discourse in praise of gruel, with some wondering at its not being taken every evening by everybody, he proceeded to say, with an air of grave reflection:--
6696_73296_000005_000000	"It was an awkward business, my dear, your spending the autumn at South End instead of coming here.	"It was an awkward business, my dear, your spending the autumn at South End instead of coming here.
6696_73296_000005_000001	I never had much opinion of the sea air."	I never had much opinion of the sea air."
6696_73296_000006_000000	"Mr. Wingfield most strenuously recommended it, sir, or we should not have gone.	"mr Wingfield most strenuously recommended it, sir, or we should not have gone.
6696_73296_000006_000001	He recommended it for all the children, but particularly for the weakness in little Bella's throat,--both sea air and bathing."	He recommended it for all the children, but particularly for the weakness in little Bella's throat,--both sea air and bathing."
6696_73296_000008_000000	"Come, come," cried Emma, feeling this to be an unsafe subject, "I must beg you not to talk of the sea.	"Come, come," cried Emma, feeling this to be an unsafe subject, "I must beg you not to talk of the sea.
6696_73296_000008_000002	South End is prohibited, if you please.	South End is prohibited, if you please.
6696_73296_000008_000003	My dear Isabella, I have not heard you make one inquiry after Mr. Perry yet; and he never forgets you."	My dear Isabella, I have not heard you make one inquiry after mr Perry yet; and he never forgets you."
6696_73296_000010_000001	Poor Perry is bilious, and he has not time to take care of himself; he tells me he has not time to take care of himself--which is very sad--but he is always wanted all round the country.	Poor Perry is bilious, and he has not time to take care of himself; he tells me he has not time to take care of himself-which is very sad-but he is always wanted all round the country.
6696_73296_000010_000003	But then, there is not so clever a man anywhere."	But then, there is not so clever a man anywhere."
6696_73296_000011_000001	Do the children grow?	Do the children grow?
6696_73296_000011_000002	I have a great regard for Mr. Perry.	I have a great regard for mr Perry.
6696_73296_000011_000004	He will be so pleased to see my little ones."	He will be so pleased to see my little ones."
6696_73296_000012_000001	And, my dear, whenever he comes, you had better let him look at little Bella's throat."	And, my dear, whenever he comes, you had better let him look at little Bella's throat."
6696_73296_000013_000001	Either bathing has been of the greatest service to her, or else it is to be attributed to an excellent embrocation of Mr. Wingfield's, which we have been applying at times ever since August."	Either bathing has been of the greatest service to her, or else it is to be attributed to an excellent embrocation of mr Wingfield's, which we have been applying at times ever since August."
6696_73296_000016_000001	I hope they are quite well.	I hope they are quite well.
6696_73296_000016_000002	Good old Mrs. Bates.	Good old mrs Bates.
6696_73296_000016_000004	They are always so pleased to see my children.	They are always so pleased to see my children.
6696_73296_000016_000005	And that excellent Miss Bates!--such thorough worthy people!	And that excellent Miss Bates!--such thorough worthy people!
6696_73296_000016_000006	How are they, sir?"	How are they, sir?"
6696_73296_000017_000000	"Why, pretty well, my dear, upon the whole.	"Why, pretty well, my dear, upon the whole.
6696_73296_000017_000001	But poor Mrs. Bates had a bad cold about a month ago."	But poor mrs Bates had a bad cold about a month ago."
6696_73296_000018_000000	"How sorry I am! but colds were never so prevalent as they have been this autumn.	"How sorry I am! but colds were never so prevalent as they have been this autumn.
