7518_86741_000000_000000	Chapter 35.	Chapter thirty five.	false	0.63	22.35	16.969246
7518_86741_000000_000001	La Mazzolata.	La Mazzolata.	true	22.35	23.41	11
7518_86741_000001_000000	"Gentlemen," said the Count of Monte Cristo as he entered, "I pray you excuse me for suffering my visit to be anticipated; but I feared to disturb you by presenting myself earlier at your apartments; besides, you sent me word that you would come to me, and I have held myself at your disposal."	"Gentlemen," said the Count of Monte Cristo as he entered, "I pray you excuse me for suffering my visit to be anticipated; but I feared to disturb you by presenting myself earlier at your apartments; besides, you sent me word that you would come to me, and I have held myself at your disposal."	false	24.77	42.85	11
7518_86741_000002_000000	"Franz and I have to thank you a thousand times, count," returned Albert; "you extricated us from a great dilemma, and we were on the point of inventing a very fantastic vehicle when your friendly invitation reached us."	"Franz and I have to thank you a thousand times, count," returned Albert; "you extricated us from a great dilemma, and we were on the point of inventing a very fantastic vehicle when your friendly invitation reached us."	true	43.67	56.26	12
7518_86741_000003_000000	"Indeed," returned the count, motioning the two young men to sit down. "It was the fault of that blockhead Pastrini, that I did not sooner assist you in your distress.	"Indeed," returned the count, motioning the two young men to sit down. "It was the fault of that blockhead Pastrini, that I did not sooner assist you in your distress.	true	56.69	67.12	12
7518_86741_000003_000001	He did not mention a syllable of your embarrassment to me, when he knows that, alone and isolated as I am, I seek every opportunity of making the acquaintance of my neighbors.	He did not mention a syllable of your embarrassment to me, when he knows that, alone and isolated as I am, I seek every opportunity of making the acquaintance of my neighbors.	true	67.58	77.95	9
7518_86741_000003_000002	As soon as I learned I could in any way assist you, I most eagerly seized the opportunity of offering my services." The two young men bowed.	As soon as I learned I could in any way assist you, I most eagerly seized the opportunity of offering my services." The two young men bowed.	false	78.68	88.98	16.69426
7518_86741_000003_000003	Franz had, as yet, found nothing to say; he had come to no determination, and as nothing in the count's manner manifested the wish that he should recognize him, he did not know whether to make any allusion to the past, or wait until he had more proof; besides, although sure it was he who had been in the box the previous evening, he could not be equally positive that this was the man he had seen at the Colosseum.	Franz had, as yet, found nothing to say; he had come to no determination, and as nothing in the count's manner manifested the wish that he should recognize him, he did not know whether to make any allusion to the past, or wait until he had more proof; besides, although sure it was he who had been in the box the previous evening, he could not be equally positive that this was the man he had seen at the Colosseum.	false	88.98	113.35	10
7518_86741_000003_000004	He resolved, therefore, to let things take their course without making any direct overture to the count.	He resolved, therefore, to let things take their course without making any direct overture to the count.	true	114.14	119.98	13
7518_86741_000003_000005	Moreover, he had this advantage, he was master of the count's secret, while the count had no hold on Franz, who had nothing to conceal.	Moreover, he had this advantage, he was master of the count's secret, while the count had no hold on Franz, who had nothing to conceal.	true	120.32	128.35	11
7518_86741_000003_000006	However, he resolved to lead the conversation to a subject which might possibly clear up his doubts.	However, he resolved to lead the conversation to a subject which might possibly clear up his doubts.	true	128.75	134.65	13
7518_86741_000004_000000	"Count," said he, "you have offered us places in your carriage, and at your windows in the Rospoli Palace.	"Count," said he, "you have offered us places in your carriage, and at your windows in the Rospoli Palace.	true	135.59	142.12	11
