6286_69422_000000_000000	XV	fifteen	false	1.17	25.44	21.275078
6286_69422_000001_000000	THE PICTURE	THE PICTURE	false	25.44	28.11	21.685703
6286_69422_000002_000000	NIGHT! and Deborah Scoville waiting anxiously for Reuther to sleep, that she might brood undisturbed over a new and disturbing event which for the whole day had shaken her out of her wonted poise, and given, as it were, a new phase to her life in this house.	NIGHT! and Deborah Scoville waiting anxiously for Reuther to sleep, that she might brood undisturbed over a new and disturbing event which for the whole day had shaken her out of her wonted poise, and given, as it were, a new phase to her life in this house.	false	28.11	46.12	22.798397
6286_69422_000003_000000	Already had she stepped several times to her daughter's room and looked in, only to meet Reuther's unquiet eye turned towards hers in silent inquiry.	Already had she stepped several times to her daughter's room and looked in, only to meet Reuther's unquiet eye turned towards hers in silent inquiry.	false	46.46	56.44	20.78185
6286_69422_000003_000001	Was her own uneasiness infectious?	Was her own uneasiness infectious?	true	56.57	59.05	18.795227
6286_69422_000003_000002	Was the child determined to share her vigil?	Was the child determined to share her vigil?	true	59.42	62.23	21.145555
6286_69422_000003_000003	She would wait a little longer this time and see.	She would wait a little longer this time and see.	true	62.84	65.86	19.302864
6286_69422_000004_000000	Their rooms were over the parlour and thus as far removed as possible from the judge's den.	Their rooms were over the parlour and thus as far removed as possible from the judge's den.	true	66.77	72.55	22.795906
6286_69422_000004_000001	In her own, which was front, she felt at perfect ease, and it was without any fear of disturbing either him or Reuther that she finally raised her window and allowed the cool wind to soothe her heated cheeks.	In her own, which was front, she felt at perfect ease, and it was without any fear of disturbing either him or Reuther that she finally raised her window and allowed the cool wind to soothe her heated cheeks.	true	72.83	86.38	21
6286_69422_000005_000000	How calm the aspect of the lawn and its clustering shrubs.	How calm the aspect of the lawn and its clustering shrubs.	true	86.66	91.18	22.370358
6286_69422_000005_000001	Dimly seen though they were through the leaves of the vines she had but partially clipped, she felt the element of peace which comes with perfect quiet, and was fain to forget for awhile the terrors it so frequently conceals. The moon, which had been invisible up to this moment, emerged from skurrying clouds as she quietly watched the scene; and in an instant her peace was gone and all the thronging difficulties of her position came rushing back upon her in full force, as all the details of the scene, so mercifully hidden just now, flashed again upon her vision.	Dimly seen though they were through the leaves of the vines she had but partially clipped, she felt the element of peace which comes with perfect quiet, and was fain to forget for awhile the terrors it so frequently conceals. The moon, which had been invisible up to this moment, emerged from skurrying clouds as she quietly watched the scene; and in an instant her peace was gone and all the thronging difficulties of her position came rushing back upon her in full force, as all the details of the scene, so mercifully hidden just now, flashed again upon her vision.	false	91.64	130.18	20.999458
