1806_143948_000000_000000	CHAPTER 2	CHAPTER two	false	0.66	26.97	24.478342
1806_143948_000001_000000	"Sola, sola, wo ha, ho, sola!" --Shakespeare	"Sola, sola, wo ha, ho, sola!" --Shakespeare	false	26.97	34.12	24.794569
1806_143948_000002_000000	While one of the lovely beings we have so cursorily presented to the reader was thus lost in thought, the other quickly recovered from the alarm which induced the exclamation, and, laughing at her own weakness, she inquired of the youth who rode by her side:	While one of the lovely beings we have so cursorily presented to the reader was thus lost in thought, the other quickly recovered from the alarm which induced the exclamation, and, laughing at her own weakness, she inquired of the youth who rode by her side:	false	35.75	51.94	23.16261
1806_143948_000003_000000	"Are such specters frequent in the woods, Heyward, or is this sight an especial entertainment ordered on our behalf?	"Are such specters frequent in the woods, Heyward, or is this sight an especial entertainment ordered on our behalf?	true	52.7	60.76	27.110788
1806_143948_000003_000001	If the latter, gratitude must close our mouths; but if the former, both Cora and I shall have need to draw largely on that stock of hereditary courage which we boast, even before we are made to encounter the redoubtable Montcalm."	If the latter, gratitude must close our mouths; but if the former, both Cora and I shall have need to draw largely on that stock of hereditary courage which we boast, even before we are made to encounter the redoubtable Montcalm."	false	61.25	77.59	23.875923
1806_143948_000004_000000	"Yon Indian is a 'runner' of the army; and, after the fashion of his people, he may be accounted a hero," returned the officer.	"Yon Indian is a 'runner' of the army; and, after the fashion of his people, he may be accounted a hero," returned the officer.	true	78.14	86.2	23.526064
1806_143948_000004_000001	"He has volunteered to guide us to the lake, by a path but little known, sooner than if we followed the tardy movements of the column; and, by consequence, more agreeably."	"He has volunteered to guide us to the lake, by a path but little known, sooner than if we followed the tardy movements of the column; and, by consequence, more agreeably."	true	86.78	98.5	24.403137
1806_143948_000005_000000	"I like him not," said the lady, shuddering, partly in assumed, yet more in real terror.	"I like him not," said the lady, shuddering, partly in assumed, yet more in real terror.	false	99.74	106.18	23.491894
1806_143948_000005_000001	"You know him, Duncan, or you would not trust yourself so freely to his keeping?"	"You know him, Duncan, or you would not trust yourself so freely to his keeping?"	false	107.06	112.54	25.977983
1806_143948_000006_000000	"Say, rather, Alice, that I would not trust you.	"Say, rather, Alice, that I would not trust you.	true	113.42	116.17	28.122635
1806_143948_000006_000001	I do know him, or he would not have my confidence, and least of all at this moment.	I do know him, or he would not have my confidence, and least of all at this moment.	true	116.69	122.71	24.22673
1806_143948_000006_000002	He is said to be a Canadian too; and yet he served with our friends the Mohawks, who, as you know, are one of the six allied nations.	He is said to be a Canadian too; and yet he served with our friends the Mohawks, who, as you know, are one of the six allied nations.	true	123.29	131.98	25.400766
1806_143948_000006_000003	He was brought among us, as I have heard, by some strange accident in which your father was interested, and in which the savage was rigidly dealt by; but I forget the idle tale, it is enough, that he is now our friend."	He was brought among us, as I have heard, by some strange accident in which your father was interested, and in which the savage was rigidly dealt by; but I forget the idle tale, it is enough, that he is now our friend."	false	132.59	147.61	23.579529
1806_143948_000007_000000	"If he has been my father's enemy, I like him still less!" exclaimed the now really anxious girl.	"If he has been my father's enemy, I like him still less!" exclaimed the now really anxious girl.	true	148.64	155.62	28.273
1806_143948_000007_000001	"Will you not speak to him, Major Heyward, that I may hear his tones?	"Will you not speak to him, Major Heyward, that I may hear his tones?	true	156.32	161.17	22.925716
1806_143948_000007_000002	Foolish though it may be, you have often heard me avow my faith in the tones of the human voice!"	Foolish though it may be, you have often heard me avow my faith in the tones of the human voice!"	true	161.6	167.47	23.703651
1806_143948_000008_000000	"It would be in vain; and answered, most probably, by an ejaculation. Though he may understand it, he affects, like most of his people, to be ignorant of the English; and least of all will he condescend to speak it, now that the war demands the utmost exercise of his dignity.	"It would be in vain; and answered, most probably, by an ejaculation. Though he may understand it, he affects, like most of his people, to be ignorant of the English; and least of all will he condescend to speak it, now that the war demands the utmost exercise of his dignity.	false	168.65	187.24	24.347954
1806_143948_000008_000001	But he stops; the private path by which we are to journey is, doubtless, at hand."	But he stops; the private path by which we are to journey is, doubtless, at hand."	true	187.91	193.63	27.300964
1806_143948_000009_000000	The conjecture of Major Heyward was true.	The conjecture of Major Heyward was true.	true	194.96	197.38	23.390713
1806_143948_000009_000001	When they reached the spot where the Indian stood, pointing into the thicket that fringed the military road; a narrow and blind path, which might, with some little inconvenience, receive one person at a time, became visible.	When they reached the spot where the Indian stood, pointing into the thicket that fringed the military road; a narrow and blind path, which might, with some little inconvenience, receive one person at a time, became visible.	true	197.78	210.46	25.568653
1806_143948_000010_000000	"Here, then, lies our way," said the young man, in a low voice. "Manifest no distrust, or you may invite the danger you appear to apprehend."	"Here, then, lies our way," said the young man, in a low voice. "Manifest no distrust, or you may invite the danger you appear to apprehend."	true	211.28	220.54	21.262438
1806_143948_000011_000000	"Cora, what think you?" asked the reluctant fair one.	"Cora, what think you?" asked the reluctant fair one.	true	221.06	224.65	24.355673
1806_143948_000011_000001	"If we journey with the troops, though we may find their presence irksome, shall we not feel better assurance of our safety?"	"If we journey with the troops, though we may find their presence irksome, shall we not feel better assurance of our safety?"	true	224.84	232.09	23.076159
1806_143948_000012_000000	"Being little accustomed to the practices of the savages, Alice, you mistake the place of real danger," said Heyward.	"Being little accustomed to the practices of the savages, Alice, you mistake the place of real danger," said Heyward.	true	232.94	240.73	26.85787
1806_143948_000012_000001	"If enemies have reached the portage at all, a thing by no means probable, as our scouts are abroad, they will surely be found skirting the column, where scalps abound the most.	"If enemies have reached the portage at all, a thing by no means probable, as our scouts are abroad, they will surely be found skirting the column, where scalps abound the most.	false	241.07	253.33	23.157034
1806_143948_000012_000002	The route of the detachment is known, while ours, having been determined within the hour, must still be secret."	The route of the detachment is known, while ours, having been determined within the hour, must still be secret."	true	253.73	260.26	23.57545
1806_143948_000013_000000	"Should we distrust the man because his manners are not our manners, and that his skin is dark?" coldly asked Cora.	"Should we distrust the man because his manners are not our manners, and that his skin is dark?" coldly asked Cora.	true	260.9	268.24	23.768589
1806_143948_000014_000000	Alice hesitated no longer; but giving her Narrangansett* a smart cut of the whip, she was the first to dash aside the slight branches of the bushes, and to follow the runner along the dark and tangled pathway. The young man regarded the last speaker in open admiration, and even permitted her fairer, though certainly not more beautiful companion, to proceed unattended, while he sedulously opened the way himself for the passage of her who has been called Cora.	Alice hesitated no longer; but giving her Narrangansett asterisk a smart cut of the whip, she was the first to dash aside the slight branches of the bushes, and to follow the runner along the dark and tangled pathway. The young man regarded the last speaker in open admiration, and even permitted her fairer, though certainly not more beautiful companion, to proceed unattended, while he sedulously opened the way himself for the passage of her who has been called Cora.	false	269	342.34	23.969566
1806_143948_000014_000001	It would seem that the domestics had been previously instructed; for, instead of penetrating the thicket, they followed the route of the column; a measure which Heyward stated had been dictated by the sagacity of their guide, in order to diminish the marks of their trail, if, haply, the Canadian savages should be lurking so far in advance of their army.	It would seem that the domestics had been previously instructed; for, instead of penetrating the thicket, they followed the route of the column; a measure which Heyward stated had been dictated by the sagacity of their guide, in order to diminish the marks of their trail, if, haply, the Canadian savages should be lurking so far in advance of their army.	true	343.25	365.02	24.925608
1806_143948_000014_000002	For many minutes the intricacy of the route admitted of no further dialogue; after which they emerged from the broad border of underbrush which grew along the line of the highway, and entered under the high but dark arches of the forest.	For many minutes the intricacy of the route admitted of no further dialogue; after which they emerged from the broad border of underbrush which grew along the line of the highway, and entered under the high but dark arches of the forest.	true	366.14	380.26	23.90484
1806_143948_000014_000003	Here their progress was less interrupted; and the instant the guide perceived that the females could command their steeds, he moved on, at a pace between a trot and a walk, and at a rate which kept the sure-footed and peculiar animals they rode at a fast yet easy amble.	Here their progress was less interrupted; and the instant the guide perceived that the females could command their steeds, he moved on, at a pace between a trot and a walk, and at a rate which kept the sure footed and peculiar animals they rode at a fast yet easy amble.	true	380.84	397.6	26.47718
1806_143948_000014_000004	The youth had turned to speak to the dark-eyed Cora, when the distant sound of horses hoofs, clattering over the roots of the broken way in his rear, caused him to check his charger; and, as his companions drew their reins at the same instant, the whole party came to a halt, in order to obtain an explanation of the unlooked-for interruption.	The youth had turned to speak to the dark eyed Cora, when the distant sound of horses hoofs, clattering over the roots of the broken way in his rear, caused him to check his charger; and, as his companions drew their reins at the same instant, the whole party came to a halt, in order to obtain an explanation of the unlooked for interruption.	false	398.24	418.95	24.46068
1806_143948_000015_000000	* In the state of Rhode Island there is a bay called Narragansett, so named after a powerful tribe of Indians, which formerly dwelt on its banks.	asterisk In the state of Rhode Island there is a bay called Narragansett, so named after a powerful tribe of Indians, which formerly dwelt on its banks.	false	418.95	419.88	100
1806_143948_000015_000001	Accident, or one of those unaccountable freaks which nature sometimes plays in the animal world, gave rise to a breed of horses which were once well known in America, and distinguished by their habit of pacing.	Accident, or one of those unaccountable freaks which nature sometimes plays in the animal world, gave rise to a breed of horses which were once well known in America, and distinguished by their habit of pacing.	false	419.88	419.88	
1806_143948_000015_000002	Horses of this race were, and are still, in much request as saddle horses, on account of their hardiness and the ease of their movements.	Horses of this race were, and are still, in much request as saddle horses, on account of their hardiness and the ease of their movements.	false	419.88	419.88	
1806_143948_000015_000003	As they were also sure of foot, the Narragansetts were greatly sought for by females who were obliged to travel over the roots and holes in the "new countries."	As they were also sure of foot, the Narragansetts were greatly sought for by females who were obliged to travel over the roots and holes in the "new countries."	false	419.88	419.88	
