7832_114468_000000_000000	The regiment began its slow retreat.	The regiment began its slow retreat.	false	0	2.97	27.428677
7832_114468_000000_000001	It had not suffered much, owing to the shelter of the forest, and, full of courage and resolution, it was a formidable support on the flank of the slowly retreating cavalry.	It had not suffered much, owing to the shelter of the forest, and, full of courage and resolution, it was a formidable support on the flank of the slowly retreating cavalry.	false	2.97	31.44	23.320276
7832_114468_000001_000000	The evening was now at hand.	The evening was now at hand.	true	31.44	33.31	25.066296
7832_114468_000001_000001	The sun was setting once more over the Virginia hills destined to be scarred so deeply by battle, but attack and defense went on.	The sun was setting once more over the Virginia hills destined to be scarred so deeply by battle, but attack and defense went on.	true	33.59	43.24	20.562496
7832_114468_000001_000002	As night came the thudding of cannon added to the tumult, and then the three boys saw the Rappahannock, a deep and wide stream flowing between high banks crested with timber.	As night came the thudding of cannon added to the tumult, and then the three boys saw the Rappahannock, a deep and wide stream flowing between high banks crested with timber.	true	43.88	57.52	22.451073
7832_114468_000001_000003	Ahead of them Pope's army was crossing on the bridge and in boats, and masses of infantry supported by heavy batteries had turned to protect the crossing.	Ahead of them Pope's army was crossing on the bridge and in boats, and masses of infantry supported by heavy batteries had turned to protect the crossing.	true	57.92	69.49	22.11132
7832_114468_000001_000004	The Southern vanguard could not assail such a powerful force, and before the night was over the whole Union army passed to the Northern side of the Rappahannock.	The Southern vanguard could not assail such a powerful force, and before the night was over the whole Union army passed to the Northern side of the Rappahannock.	true	70.07	81.58	21.803606
7832_114468_000002_000000	Dick felt a mixture of chagrin and satisfaction as he crossed the river, chagrin that this great army should draw back, as McClellan's had been forced to draw back at the Seven Days, and satisfaction that they were safe for the time being and could prepare for a new start.	Dick felt a mixture of chagrin and satisfaction as he crossed the river, chagrin that this great army should draw back, as McClellan's had been forced to draw back at the Seven Days, and satisfaction that they were safe for the time being and could prepare for a new start.	true	82.13	100.93	22.955313
7832_114468_000003_000000	But the feeling of exultation soon passed and gave way wholly to chagrin.	But the feeling of exultation soon passed and gave way wholly to chagrin.	true	101.66	106.78	22.014559
7832_114468_000003_000001	They were retreating before an army not exceeding their own, in numbers, perhaps less.	They were retreating before an army not exceeding their own, in numbers, perhaps less.	true	107.36	113.53	24.583279
7832_114468_000003_000002	They had another great force, the Army of the Potomac, which should have been there, and then they could have bade defiance to Lee and Jackson.	They had another great force, the Army of the Potomac, which should have been there, and then they could have bade defiance to Lee and Jackson.	true	113.99	122.92	24.553839
7832_114468_000003_000003	The North with its great numbers, its fine courage and its splendid patriotism should never be retreating.	The North with its great numbers, its fine courage and its splendid patriotism should never be retreating.	true	123.71	130.72	26.498142
7832_114468_000003_000004	He felt once more as thousands of others felt that the hand on the reins was neither strong nor sure, and that the great trouble lay there.	He felt once more as thousands of others felt that the hand on the reins was neither strong nor sure, and that the great trouble lay there.	false	131.06	141.1	23.08688
7832_114468_000003_000005	They ought not to be hiding behind a river.	They ought not to be hiding behind a river.	true	141.53	144.22	25.741568
7832_114468_000003_000006	Lee and Jackson did not do it. Dick remembered that grim commander in the West, the silent Grant, and he did not believe he would be retreating.	Lee and Jackson did not do it. Dick remembered that grim commander in the West, the silent Grant, and he did not believe he would be retreating.	false	144.56	154.54	25.491392
7832_114468_000004_000000	Long after darkness came the firing continued between skirmishers across the stream, but finally it, too, waned and Dick was permitted to throw himself upon the ground and sleep with the sleeping thousands.	Long after darkness came the firing continued between skirmishers across the stream, but finally it, too, waned and Dick was permitted to throw himself upon the ground and sleep with the sleeping thousands.	true	155.09	169.84	24.149643
