7832_114468_000001_000000	The evening was now at hand.	The evening was now at hand.
7832_114468_000001_000001	The sun was setting once more over the Virginia hills destined to be scarred so deeply by battle, but attack and defense went on.	The sun was setting once more over the Virginia hills destined to be scarred so deeply by battle, but attack and defense went on.
7832_114468_000001_000002	As night came the thudding of cannon added to the tumult, and then the three boys saw the Rappahannock, a deep and wide stream flowing between high banks crested with timber.	As night came the thudding of cannon added to the tumult, and then the three boys saw the Rappahannock, a deep and wide stream flowing between high banks crested with timber.
7832_114468_000001_000003	Ahead of them Pope's army was crossing on the bridge and in boats, and masses of infantry supported by heavy batteries had turned to protect the crossing.	Ahead of them Pope's army was crossing on the bridge and in boats, and masses of infantry supported by heavy batteries had turned to protect the crossing.
7832_114468_000001_000004	The Southern vanguard could not assail such a powerful force, and before the night was over the whole Union army passed to the Northern side of the Rappahannock.	The Southern vanguard could not assail such a powerful force, and before the night was over the whole Union army passed to the Northern side of the Rappahannock.
7832_114468_000002_000000	Dick felt a mixture of chagrin and satisfaction as he crossed the river, chagrin that this great army should draw back, as McClellan's had been forced to draw back at the Seven Days, and satisfaction that they were safe for the time being and could prepare for a new start.	Dick felt a mixture of chagrin and satisfaction as he crossed the river, chagrin that this great army should draw back, as McClellan's had been forced to draw back at the Seven Days, and satisfaction that they were safe for the time being and could prepare for a new start.
7832_114468_000003_000000	But the feeling of exultation soon passed and gave way wholly to chagrin.	But the feeling of exultation soon passed and gave way wholly to chagrin.
7832_114468_000003_000001	They were retreating before an army not exceeding their own, in numbers, perhaps less.	They were retreating before an army not exceeding their own, in numbers, perhaps less.
7832_114468_000003_000002	They had another great force, the Army of the Potomac, which should have been there, and then they could have bade defiance to Lee and Jackson.	They had another great force, the Army of the Potomac, which should have been there, and then they could have bade defiance to Lee and Jackson.
7832_114468_000003_000003	The North with its great numbers, its fine courage and its splendid patriotism should never be retreating.	The North with its great numbers, its fine courage and its splendid patriotism should never be retreating.
7832_114468_000003_000005	They ought not to be hiding behind a river.	They ought not to be hiding behind a river.
7832_114468_000004_000000	Long after darkness came the firing continued between skirmishers across the stream, but finally it, too, waned and Dick was permitted to throw himself upon the ground and sleep with the sleeping thousands.	Long after darkness came the firing continued between skirmishers across the stream, but finally it, too, waned and Dick was permitted to throw himself upon the ground and sleep with the sleeping thousands.
7832_114468_000004_000001	Warner and Pennington slept near him and not far away was the brave sergeant. Even he was overpowered by fatigue and he slept like one dead, never stirring.	Warner and Pennington slept near him and not far away was the brave sergeant. Even he was overpowered by fatigue and he slept like one dead, never stirring.
7832_114468_000005_000000	Dick was awakened next morning by the booming of cannon.	Dick was awakened next morning by the booming of cannon.
7832_114468_000005_000001	He had become so much used to such sounds that he would have slept on had not the crashes been so irregular.	He had become so much used to such sounds that he would have slept on had not the crashes been so irregular.
7832_114468_000005_000002	He stood up, rubbed his eyes and then looked in the direction whence came the cannonade.	He stood up, rubbed his eyes and then looked in the direction whence came the cannonade.
7832_114468_000005_000003	He saw from the crest of a hill great numbers of Confederate troops on the other side of the river, the August sun glittering over thousands of bayonets and rifle barrels, and along the somber batteries of great guns.	He saw from the crest of a hill great numbers of Confederate troops on the other side of the river, the August sun glittering over thousands of bayonets and rifle barrels, and along the somber batteries of great guns.
7832_114468_000005_000004	The firing, so far as he could determine, was merely to feel out or annoy the Northern army.	The firing, so far as he could determine, was merely to feel out or annoy the Northern army.
7832_114468_000006_000000	It was a strange sight to Dick, one that is not looked upon often, two great armies gazing across a river at each other, and, sure to meet, sooner or later, in mortal combat.	It was a strange sight to Dick, one that is not looked upon often, two great armies gazing across a river at each other, and, sure to meet, sooner or later, in mortal combat.
