7085_2327_000000_000000	"Bertie!" came in an angry, imploring chorus of shouts and screams from the cow-house window.	"Bertie!" came in an angry, imploring chorus of shouts and screams from the cow house window.	false	0	3.03	26.666143
7085_2327_000001_000000	"Hullo," cried the owner of the name, turning his rather errant steps in the direction of the summons; "are you people still there?	"Hullo," cried the owner of the name, turning his rather errant steps in the direction of the summons; "are you people still there?	false	3.03	3.96	22
7085_2327_000001_000001	Must have heard everything cows got to say by this time.	Must have heard everything cows got to say by this time.	false	3.96	5.25	40.96041
7085_2327_000001_000002	If you haven't, no use waiting.	If you haven't, no use waiting.	false	5.25	5.37	100
7085_2327_000001_000003	After all, it's a Russian legend, and Russian Chrismush Eve not due for 'nother fortnight.	After all, it's a Russian legend, and Russian Chrismush Eve not due for 'nother fortnight.	false	5.37	6.72	11
7085_2327_000001_000004	Better come out."	Better come out."	false	6.72	7.05	22.403278
7085_2327_000002_000000	After one or two ineffectual attempts he managed to pitch the key of the cow-house door in through the window.	After one or two ineffectual attempts he managed to pitch the key of the cow house door in through the window.	false	7.05	9.39	21.264273
7085_2327_000002_000001	Then, lifting his voice in the strains of "I'm afraid to go home in the dark," with a lusty drum accompaniment, he led the way back to the house.	Then, lifting his voice in the strains of "I'm afraid to go home in the dark," with a lusty drum accompaniment, he led the way back to the house.	false	9.39	12.87	23.234722
7085_2327_000002_000002	The hurried procession of the released that followed in his steps came in for a good deal of the adverse comment that his exuberant display had evoked.	The hurried procession of the released that followed in his steps came in for a good deal of the adverse comment that his exuberant display had evoked.	false	12.87	19.98	20.498444
7085_2327_000003_000000	It was the happiest Christmas Eve he had ever spent.	It was the happiest Christmas Eve he had ever spent.	false	19.98	23.07	22.331755
7085_2327_000003_000001	To quote his own words, he had a rotten Christmas.	To quote his own words, he had a rotten Christmas.	false	23.07	26.055	22.54352
7085_2327_000004_000000	FOREWARNED	FOREWARNED	true	26.055	27.34	25.600664
7085_2327_000005_000000	Alethia Debchance sat in a corner of an otherwise empty railway carriage, more or less at ease as regarded body, but in some trepidation as to mind.	Alethia Debchance sat in a corner of an otherwise empty railway carriage, more or less at ease as regarded body, but in some trepidation as to mind.	false	28.52	39.46	21.304754
7085_2327_000005_000001	She had embarked on a social adventure of no little magnitude as compared with the accustomed seclusion and stagnation of her past life. At the age of twenty-eight she could look back on nothing more eventful than the daily round of her existence in her aunt's house at Webblehinton, a hamlet four and a half miles distant from a country town and about a quarter of a century removed from modern times.	She had embarked on a social adventure of no little magnitude as compared with the accustomed seclusion and stagnation of her past life. At the age of twenty eight she could look back on nothing more eventful than the daily round of her existence in her aunt's house at Webblehinton, a hamlet four and a half miles distant from a country town and about a quarter of a century removed from modern times.	true	40.04	65.77	22.181423
7085_2327_000005_000002	Their neighbours had been elderly and few, not much given to social intercourse, but helpful or politely sympathetic in times of illness. Newspapers of the ordinary kind were a rarity; those that Alethia saw regularly were devoted exclusively either to religion or to poultry, and the world of politics was to her an unheeded unexplored region.	Their neighbours had been elderly and few, not much given to social intercourse, but helpful or politely sympathetic in times of illness. Newspapers of the ordinary kind were a rarity; those that Alethia saw regularly were devoted exclusively either to religion or to poultry, and the world of politics was to her an unheeded unexplored region.	false	66.26	90.52	23.264585
