3513_163606_000000_000000	(14) From P. C. Asbjornsen.	(fourteen) From p c Asbjornsen.	false	0	1.83	18.121092
3513_163606_000001_000000	DRAKESTAIL	d r a k e s t a i l	false	1.83	6.54	14
3513_163606_000002_000000	DRAKESTAIL was very little, that is why he was called Drakestail; but tiny as he was he had brains, and he knew what he was about, for having begun with nothing he ended by amassing a hundred crowns.	d r a k e s t a i l was very little, that is why he was called Drakestail; but tiny as he was he had brains, and he knew what he was about, for having begun with nothing he ended by amassing a hundred crowns.	false	6.54	39.49	19.60938
3513_163606_000002_000001	Now the King of the country, who was very extravagant and never kept any money, having heard that Drakestail had some, went one day in his own person to borrow his hoard, and, my word, in those days Drakestail was not a little proud of having lent money to the King.	Now the King of the country, who was very extravagant and never kept any money, having heard that Drakestail had some, went one day in his own person to borrow his hoard, and, my word, in those days Drakestail was not a little proud of having lent money to the King.	true	40.04	57.16	19
3513_163606_000002_000002	But after the first and second year, seeing that they never even dreamed of paying the interest, he became uneasy, so much so that at last he resolved to go and see His Majesty himself, and get repaid.	But after the first and second year, seeing that they never even dreamed of paying the interest, he became uneasy, so much so that at last he resolved to go and see His Majesty himself, and get repaid.	false	57.68	72.34	20.902288
3513_163606_000002_000003	So one fine morning Drakestail, very spruce and fresh, takes the road, singing: 'Quack, quack, quack, when shall I get my money back?'	So one fine morning Drakestail, very spruce and fresh, takes the road, singing: 'Quack, quack, quack, when shall I get my money back?'	false	73.31	82.21	23.440454
3513_163606_000003_000000	He had not gone far when he met friend Fox, on his rounds that way.	He had not gone far when he met friend Fox, on his rounds that way.	true	82.82	87.07	21
3513_163606_000004_000000	'Good-morning, neighbour,' says the friend, 'where are you off to so early?'	'Good morning, neighbour,' says the friend, 'where are you off to so early?'	false	87.53	92.23	20.99878
3513_163606_000005_000000	'I am going to the King for what he owes me.'	'I am going to the King for what he owes me.'	true	93.14	96.07	21.25813
3513_163606_000006_000000	'Oh! take me with thee!'	'Oh! take me with thee!'	true	96.11	97.87	24.02052
3513_163606_000007_000000	Drakestail said to himself: 'One can't have too many friends.' ... 'I will,' says he, 'but going on all-fours you will soon be tired.	Drakestail said to himself: 'One can't have too many friends.' ... 'I will,' says he, 'but going on all fours you will soon be tired.	false	98.36	109.44	20.838295
3513_163606_000007_000001	Make yourself quite small, get into my throat--go into my gizzard and I will carry you.'	Make yourself quite small, get into my throat-go into my gizzard and I will carry you.'	true	109.44	115.54	19.904102
