5290_39475_000000_000000	LADY INTO FOX	LADY INTO FOX	true	2.43	3.75	15
5290_39475_000001_000000	By	By	false	3.75	4.98	57
5290_39475_000002_000000	DAVID GARNETT	DAVID GARNETT	false	4.98	5.61	16
5290_39475_000003_000000	ILLUSTRATED WITH WOOD ENGRAVINGS	ILLUSTRATED WITH WOOD ENGRAVINGS	false	5.61	8.1	19.167564
5290_39475_000004_000000	BY R. A. GARNETT	BY r a GARNETT	false	8.1	10.29	18.963383
5290_39475_000005_000000	1922	nineteen twenty two	false	10.29	12.06	16.58615
5290_39475_000006_000000	TO	TO	false	12.06	12.63	10
5290_39475_000007_000000	DUNCAN GRANT	DUNCAN GRANT	false	12.63	13.77	21
5290_39475_000008_000000	[Illustration: MR.	[Illustration: mr	false	13.77	15.48	27.416714
5290_39475_000008_000001	AND MRS.	AND mrs	false	15.48	17.19	19.175545
5290_39475_000008_000002	TEBRICK AT HOME]	t e b r i c k AT HOME]	false	17.19	26.31	20.53714
5290_39475_000009_000000	Wonderful or supernatural events are not so uncommon, rather they are irregular in their incidence.	Wonderful or supernatural events are not so uncommon, rather they are irregular in their incidence.	true	26.31	33.01	22
5290_39475_000009_000001	Thus there may be not one marvel to speak of in a century, and then often enough comes a plentiful crop of them; monsters of all sorts swarm suddenly upon the earth, comets blaze in the sky, eclipses frighten nature, meteors fall in rain, while mermaids and sirens beguile, and sea-serpents engulf every passing ship, and terrible cataclysms beset humanity.	Thus there may be not one marvel to speak of in a century, and then often enough comes a plentiful crop of them; monsters of all sorts swarm suddenly upon the earth, comets blaze in the sky, eclipses frighten nature, meteors fall in rain, while mermaids and sirens beguile, and sea serpents engulf every passing ship, and terrible cataclysms beset humanity.	true	33.35	60.97	21.595707
5290_39475_000010_000000	But the strange event which I shall here relate came alone, unsupported, without companions into a hostile world, and for that very reason claimed little of the general attention of mankind.	But the strange event which I shall here relate came alone, unsupported, without companions into a hostile world, and for that very reason claimed little of the general attention of mankind.	true	61.7	74.65	21.854702
5290_39475_000010_000001	For the sudden changing of Mrs. Tebrick into a vixen is an established fact which we may attempt to account for as we will.	For the sudden changing of mrs Tebrick into a vixen is an established fact which we may attempt to account for as we will.	true	75.14	84.07	22.640469
5290_39475_000010_000002	Certainly it is in the explanation of the fact, and the reconciling of it with our general notions that we shall find most difficulty, and not in accepting for true a story which is so fully proved, and that not by one witness but by a dozen, all respectable, and with no possibility of collusion between them.	Certainly it is in the explanation of the fact, and the reconciling of it with our general notions that we shall find most difficulty, and not in accepting for true a story which is so fully proved, and that not by one witness but by a dozen, all respectable, and with no possibility of collusion between them.	true	84.47	106.45	23.098206
5290_39475_000011_000000	But here I will confine myself to an exact narrative of the event and all that followed on it.	But here I will confine myself to an exact narrative of the event and all that followed on it.	true	106.61	112.87	22.442312
5290_39475_000011_000001	Yet I would not dissuade any of my readers from attempting an explanation of this seeming miracle because up till now none has been found which is entirely satisfactory.	Yet I would not dissuade any of my readers from attempting an explanation of this seeming miracle because up till now none has been found which is entirely satisfactory.	true	113.27	124.03	21.693558
5290_39475_000011_000002	What adds to the difficulty to my mind is that the metamorphosis occurred when Mrs. Tebrick was a full-grown woman, and that it happened suddenly in so short a space of time.	What adds to the difficulty to my mind is that the metamorphosis occurred when mrs Tebrick was a full grown woman, and that it happened suddenly in so short a space of time.	true	124.58	136	21
5290_39475_000011_000003	The sprouting of a tail, the gradual extension of hair all over the body, the slow change of the whole anatomy by a process of growth, though it would have been monstrous, would not have been so difficult to reconcile to our ordinary conceptions, particularly had it happened in a young child.	The sprouting of a tail, the gradual extension of hair all over the body, the slow change of the whole anatomy by a process of growth, though it would have been monstrous, would not have been so difficult to reconcile to our ordinary conceptions, particularly had it happened in a young child.	false	136.43	154.87	22.771101
5290_39475_000012_000000	But here we have something very different.	But here we have something very different.	true	155.48	158.41	23.579285
