5290_39475_000009_000000	Wonderful or supernatural events are not so uncommon, rather they are irregular in their incidence.	Wonderful or supernatural events are not so uncommon, rather they are irregular in their incidence.
5290_39475_000009_000001	Thus there may be not one marvel to speak of in a century, and then often enough comes a plentiful crop of them; monsters of all sorts swarm suddenly upon the earth, comets blaze in the sky, eclipses frighten nature, meteors fall in rain, while mermaids and sirens beguile, and sea-serpents engulf every passing ship, and terrible cataclysms beset humanity.	Thus there may be not one marvel to speak of in a century, and then often enough comes a plentiful crop of them; monsters of all sorts swarm suddenly upon the earth, comets blaze in the sky, eclipses frighten nature, meteors fall in rain, while mermaids and sirens beguile, and sea serpents engulf every passing ship, and terrible cataclysms beset humanity.
5290_39475_000010_000000	But the strange event which I shall here relate came alone, unsupported, without companions into a hostile world, and for that very reason claimed little of the general attention of mankind.	But the strange event which I shall here relate came alone, unsupported, without companions into a hostile world, and for that very reason claimed little of the general attention of mankind.
5290_39475_000010_000001	For the sudden changing of Mrs. Tebrick into a vixen is an established fact which we may attempt to account for as we will.	For the sudden changing of mrs Tebrick into a vixen is an established fact which we may attempt to account for as we will.
5290_39475_000010_000002	Certainly it is in the explanation of the fact, and the reconciling of it with our general notions that we shall find most difficulty, and not in accepting for true a story which is so fully proved, and that not by one witness but by a dozen, all respectable, and with no possibility of collusion between them.	Certainly it is in the explanation of the fact, and the reconciling of it with our general notions that we shall find most difficulty, and not in accepting for true a story which is so fully proved, and that not by one witness but by a dozen, all respectable, and with no possibility of collusion between them.
5290_39475_000011_000000	But here I will confine myself to an exact narrative of the event and all that followed on it.	But here I will confine myself to an exact narrative of the event and all that followed on it.
5290_39475_000011_000001	Yet I would not dissuade any of my readers from attempting an explanation of this seeming miracle because up till now none has been found which is entirely satisfactory.	Yet I would not dissuade any of my readers from attempting an explanation of this seeming miracle because up till now none has been found which is entirely satisfactory.
5290_39475_000011_000002	What adds to the difficulty to my mind is that the metamorphosis occurred when Mrs. Tebrick was a full-grown woman, and that it happened suddenly in so short a space of time.	What adds to the difficulty to my mind is that the metamorphosis occurred when mrs Tebrick was a full grown woman, and that it happened suddenly in so short a space of time.
5290_39475_000012_000000	But here we have something very different.	But here we have something very different.
5290_39475_000012_000001	A grown lady is changed straightway into a fox.	A grown lady is changed straightway into a fox.
5290_39475_000012_000002	There is no explaining that away by any natural philosophy.	There is no explaining that away by any natural philosophy.
5290_39475_000013_000000	The only things which go any way towards an explanation of it are but guesswork, and I give them more because I would not conceal anything, than because I think they are of any worth.	The only things which go any way towards an explanation of it are but guesswork, and I give them more because I would not conceal anything, than because I think they are of any worth.
5290_39475_000014_000001	They were an ancient family, and have had their seat at Tangley Hall time out of mind.	They were an ancient family, and have had their seat at Tangley Hall time out of mind.
5290_39475_000014_000003	It seems she took great fright or disgust at it, and vomited after it was done.	It seems she took great fright or disgust at it, and vomited after it was done.
5290_39475_000015_000000	She was married in the year 1879 to Mr. Richard Tebrick, after a short courtship, and went to live after their honeymoon at Rylands, near Stokoe, Oxon.	She was married in the year eighteen seventy nine to mr Richard Tebrick, after a short courtship, and went to live after their honeymoon at Rylands, near Stokoe, Oxon.
5290_39475_000015_000001	One point indeed I have not been able to ascertain and that is how they first became acquainted.	One point indeed I have not been able to ascertain and that is how they first became acquainted.
5290_39475_000015_000002	Tangley Hall is over thirty miles from Stokoe, and is extremely remote.	Tangley Hall is over thirty miles from Stokoe, and is extremely remote.
5290_39475_000015_000003	Indeed to this day there is no proper road to it, which is all the more remarkable as it is the principal, and indeed the only, manor house for several miles round.	Indeed to this day there is no proper road to it, which is all the more remarkable as it is the principal, and indeed the only, manor house for several miles round.
5290_39475_000016_000000	Whether it was from a chance meeting on the roads, or less romantic but more probable, by Mr. Tebrick becoming acquainted with her uncle, a minor canon at Oxford, and thence being invited by him to visit Tangley Hall, it is impossible to say.	Whether it was from a chance meeting on the roads, or less romantic but more probable, by mr Tebrick becoming acquainted with her uncle, a minor canon at Oxford, and thence being invited by him to visit Tangley Hall, it is impossible to say.
5290_39475_000016_000001	But however they became acquainted the marriage was a very happy one.	But however they became acquainted the marriage was a very happy one.
5290_39475_000016_000002	The bride was in her twenty-third year. She was small, with remarkably small hands and feet.	The bride was in her twenty third year. She was small, with remarkably small hands and feet.
5290_39475_000016_000003	It is perhaps worth noting that there was nothing at all foxy or vixenish in her appearance. On the contrary, she was a more than ordinarily beautiful and agreeable woman.	It is perhaps worth noting that there was nothing at all foxy or vixenish in her appearance. On the contrary, she was a more than ordinarily beautiful and agreeable woman.
5290_39475_000016_000004	Her eyes were of a clear hazel but exceptionally brilliant, her hair dark, with a shade of red in it, her skin brownish, with a few dark freckles and little moles.	Her eyes were of a clear hazel but exceptionally brilliant, her hair dark, with a shade of red in it, her skin brownish, with a few dark freckles and little moles.
5290_39475_000016_000005	In manner she was reserved almost to shyness, but perfectly self-possessed, and perfectly well-bred.	In manner she was reserved almost to shyness, but perfectly self possessed, and perfectly well bred.
5290_39475_000017_000000	She had been strictly brought up by a woman of excellent principles and considerable attainments, who died a year or so before the marriage.	She had been strictly brought up by a woman of excellent principles and considerable attainments, who died a year or so before the marriage.
5290_39475_000017_000001	And owing to the circumstance that her mother had been dead many years, and her father bedridden, and not altogether rational for a little while before his death, they had few visitors but her uncle.	And owing to the circumstance that her mother had been dead many years, and her father bedridden, and not altogether rational for a little while before his death, they had few visitors but her uncle.
5290_39475_000017_000003	That she did not grow up a country hoyden is to be explained by the strictness of her governess and the influence of her uncle.	That she did not grow up a country hoyden is to be explained by the strictness of her governess and the influence of her uncle.
5290_39475_000017_000004	But perhaps living in so wild a place gave her some disposition to wildness, even in spite of her religious upbringing.	But perhaps living in so wild a place gave her some disposition to wildness, even in spite of her religious upbringing.
5290_39475_000017_000005	Her old nurse said: "Miss Silvia was always a little wild at heart," though if this was true it was never seen by anyone else except her husband.	Her old nurse said: "Miss Silvia was always a little wild at heart," though if this was true it was never seen by anyone else except her husband.
5290_39475_000018_000000	On one of the first days of the year 1880, in the early afternoon, husband and wife went for a walk in the copse on the little hill above Rylands.	On one of the first days of the year eighteen eighty, in the early afternoon, husband and wife went for a walk in the copse on the little hill above Rylands.
5290_39475_000018_000001	They were still at this time like lovers in their behaviour and were always together.	They were still at this time like lovers in their behaviour and were always together.
5290_39475_000018_000002	While they were walking they heard the hounds and later the huntsman's horn in the distance.	While they were walking they heard the hounds and later the huntsman's horn in the distance.
5290_39475_000018_000003	Mr. Tebrick had persuaded her to hunt on Boxing Day, but with great difficulty, and she had not enjoyed it (though of hacking she was fond enough).	mr Tebrick had persuaded her to hunt on Boxing Day, but with great difficulty, and she had not enjoyed it (though of hacking she was fond enough).
5290_39475_000019_000000	Hearing the hunt, Mr. Tebrick quickened his pace so as to reach the edge of the copse, where they might get a good view of the hounds if they came that way.	Hearing the hunt, mr Tebrick quickened his pace so as to reach the edge of the copse, where they might get a good view of the hounds if they came that way.
5290_39475_000019_000001	His wife hung back, and he, holding her hand, began almost to drag her.	His wife hung back, and he, holding her hand, began almost to drag her.
5290_39475_000019_000002	Before they gained the edge of the copse she suddenly snatched her hand away from his very violently and cried out, so that he instantly turned his head.	Before they gained the edge of the copse she suddenly snatched her hand away from his very violently and cried out, so that he instantly turned his head.
5290_39475_000020_000001	You may well think if he were aghast: and so maybe was his lady at finding herself in that shape, so they did nothing for nearly half-an-hour but stare at each other, he bewildered, she asking him with her eyes as if indeed she spoke to him: "What am I now become? Have pity on me, husband, have pity on me for I am your wife."	You may well think if he were aghast: and so maybe was his lady at finding herself in that shape, so they did nothing for nearly half an hour but stare at each other, he bewildered, she asking him with her eyes as if indeed she spoke to him: "What am I now become? Have pity on me, husband, have pity on me for I am your wife."
5290_39475_000021_000000	So that with his gazing on her and knowing her well, even in such a shape, yet asking himself at every moment: "Can it be she?	So that with his gazing on her and knowing her well, even in such a shape, yet asking himself at every moment: "Can it be she?
5290_39475_000021_000001	Am I not dreaming?" and her beseeching and lastly fawning on him and seeming to tell him that it was she indeed, they came at last together and he took her in his arms.	Am I not dreaming?" and her beseeching and lastly fawning on him and seeming to tell him that it was she indeed, they came at last together and he took her in his arms.
