1425_139291_000000_000000	CHAPTER II	CHAPTER two	true	20.25	21.07	19
1425_139291_000001_000000	My master's family consisted of two sons, Andrew and Richard; one daughter, Lucretia, and her husband, Captain Thomas Auld.	My master's family consisted of two sons, Andrew and Richard; one daughter, Lucretia, and her husband, Captain Thomas Auld.	true	22.07	30.61	21.008633
1425_139291_000001_000001	They lived in one house, upon the home plantation of Colonel Edward Lloyd.	They lived in one house, upon the home plantation of Colonel Edward Lloyd.	true	31.13	35.2	14
1425_139291_000001_000002	My master was Colonel Lloyd's clerk and superintendent.	My master was Colonel Lloyd's clerk and superintendent.	true	35.54	38.62	18
1425_139291_000001_000003	He was what might be called the overseer of the overseers.	He was what might be called the overseer of the overseers.	false	38.93	42.04	17
1425_139291_000001_000004	I spent two years of childhood on this plantation in my old master's family.	I spent two years of childhood on this plantation in my old master's family.	true	42.5	46.45	17
1425_139291_000001_000005	It was here that I witnessed the bloody transaction recorded in the first chapter; and as I received my first impressions of slavery on this plantation, I will give some description of it, and of slavery as it there existed.	It was here that I witnessed the bloody transaction recorded in the first chapter; and as I received my first impressions of slavery on this plantation, I will give some description of it, and of slavery as it there existed.	false	46.79	58.84	17
1425_139291_000001_000006	The plantation is about twelve miles north of Easton, in Talbot county, and is situated on the border of Miles River.	The plantation is about twelve miles north of Easton, in Talbot county, and is situated on the border of Miles River.	false	59.51	65.65	16
1425_139291_000001_000007	The principal products raised upon it were tobacco, corn, and wheat.	The principal products raised upon it were tobacco, corn, and wheat.	true	66.44	70.24	21.923908
1425_139291_000001_000008	These were raised in great abundance; so that, with the products of this and the other farms belonging to him, he was able to keep in almost constant employment a large sloop, in carrying them to market at Baltimore.	These were raised in great abundance; so that, with the products of this and the other farms belonging to him, he was able to keep in almost constant employment a large sloop, in carrying them to market at Baltimore.	false	70.61	81.94	17
1425_139291_000001_000009	This sloop was named Sally Lloyd, in honor of one of the colonel's daughters.	This sloop was named Sally Lloyd, in honor of one of the colonel's daughters.	true	82.58	86.62	14
1425_139291_000001_000010	My master's son-in-law, Captain Auld, was master of the vessel; she was otherwise manned by the colonel's own slaves.	My master's son in law, Captain Auld, was master of the vessel; she was otherwise manned by the colonel's own slaves.	true	87.23	94.78	18.812235
1425_139291_000001_000011	Their names were Peter, Isaac, Rich, and Jake.	Their names were peter, Isaac, Rich, and Jake.	true	95.18	98.26	22.683916
1425_139291_000001_000012	These were esteemed very highly by the other slaves, and looked upon as the privileged ones of the plantation; for it was no small affair, in the eyes of the slaves, to be allowed to see Baltimore.	These were esteemed very highly by the other slaves, and looked upon as the privileged ones of the plantation; for it was no small affair, in the eyes of the slaves, to be allowed to see Baltimore.	true	98.45	108.79	16
1425_139291_000002_000000	Colonel Lloyd kept from three to four hundred slaves on his home plantation, and owned a large number more on the neighboring farms belonging to him.	Colonel Lloyd kept from three to four hundred slaves on his home plantation, and owned a large number more on the neighboring farms belonging to him.	true	110.03	117.7	12
1425_139291_000002_000001	The names of the farms nearest to the home plantation were Wye Town and New Design.	The names of the farms nearest to the home plantation were Wye Town and New Design.	true	118.25	122.83	13
1425_139291_000002_000002	"Wye Town" was under the overseership of a man named Noah Willis.	"Wye Town" was under the overseership of a man named Noah Willis.	false	123.62	127.78	14
1425_139291_000002_000003	New Design was under the overseership of a Mr. Townsend.	New Design was under the overseership of a mr Townsend.	true	128	131.59	14
1425_139291_000002_000004	The overseers of these, and all the rest of the farms, numbering over twenty, received advice and direction from the managers of the home plantation.	The overseers of these, and all the rest of the farms, numbering over twenty, received advice and direction from the managers of the home plantation.	true	132.05	140.35	18
1425_139291_000002_000005	This was the great business place.	This was the great business place.	true	140.93	142.98	19
1425_139291_000002_000006	It was the seat of government for the whole twenty farms.	It was the seat of government for the whole twenty farms.	true	142.98	145.9	15
1425_139291_000002_000007	All disputes among the overseers were settled here.	All disputes among the overseers were settled here.	true	146.09	148.78	14
1425_139291_000002_000008	If a slave was convicted of any high misdemeanor, became unmanageable, or evinced a determination to run away, he was brought immediately here, severely whipped, put on board the sloop, carried to Baltimore, and sold to Austin Woolfolk, or some other slave-trader, as a warning to the slaves remaining.	If a slave was convicted of any high misdemeanor, became unmanageable, or evinced a determination to run away, he was brought immediately here, severely whipped, put on board the sloop, carried to Baltimore, and sold to Austin Woolfolk, or some other slave trader, as a warning to the slaves remaining.	true	148.97	167.05	17
1425_139291_000003_000000	Here, too, the slaves of all the other farms received their monthly allowance of food, and their yearly clothing.	Here, too, the slaves of all the other farms received their monthly allowance of food, and their yearly clothing.	false	167.51	172.96	12
