2319_138656_000000_000000	XXXV.	thirty five.	false	1.77	23.79	19.97084
2319_138656_000000_000001	A SAILOR ENTERS	A SAILOR ENTERS	true	23.79	25.66	19
2319_138656_000001_000000	The remaining fortnight of the month of September passed away, with a general decline from the summer's excitements.	The remaining fortnight of the month of September passed away, with a general decline from the summer's excitements.	true	28.25	34.24	12
2319_138656_000001_000001	The royal family left the watering-place the first week in October, the German Legion with their artillery about the same time.	The royal family left the watering place the first week in October, the German Legion with their artillery about the same time.	true	34.52	41.71	14
2319_138656_000001_000002	The dragoons still remained at the barracks just out of the town, and John Loveday brought to Anne every newspaper that he could lay hands on, especially such as contained any fragment of shipping news.	The dragoons still remained at the barracks just out of the town, and john Loveday brought to Anne every newspaper that he could lay hands on, especially such as contained any fragment of shipping news.	true	42.17	54.13	16
2319_138656_000001_000003	This threw them much together; and at these times John was often awkward and confused, on account of the unwonted stress of concealing his great love for her.	This threw them much together; and at these times john was often awkward and confused, on account of the unwonted stress of concealing his great love for her.	false	54.68	65.17	15
2319_138656_000002_000000	Her interests had grandly developed from the limits of Overcombe and the town life hard by, to an extensiveness truly European.	Her interests had grandly developed from the limits of Overcombe and the town life hard by, to an extensiveness truly European.	false	66.17	74.11	15
2319_138656_000002_000001	During the whole month of October, however, not a single grain of information reached her, or anybody else, concerning Nelson and his blockading squadron off Cadiz. There were the customary bad jokes about Buonaparte, especially when it was found that the whole French army had turned its back upon Boulogne and set out for the Rhine.	During the whole month of October, however, not a single grain of information reached her, or anybody else, concerning Nelson and his blockading squadron off Cadiz. There were the customary bad jokes about Buonaparte, especially when it was found that the whole French army had turned its back upon Boulogne and set out for the Rhine.	true	74.57	94.24	16
2319_138656_000002_000002	Then came accounts of his march through Germany and into Austria; but not a word about the Victory.	Then came accounts of his march through Germany and into Austria; but not a word about the Victory.	true	94.76	101.53	19
2319_138656_000003_000000	At the beginning of autumn John brought news which fearfully depressed her.	At the beginning of autumn john brought news which fearfully depressed her.	true	102.14	106.15	15
2319_138656_000003_000001	The Austrian General Mack had capitulated with his whole army.	The Austrian General Mack had capitulated with his whole army.	true	106.49	110.74	12
2319_138656_000003_000002	Then were revived the old misgivings as to invasion.	Then were revived the old misgivings as to invasion.	true	111.2	114.67	15
2319_138656_000003_000003	'Instead of having to cope with him weary with waiting, we shall have to encounter This Man fresh from the fields of victory,' ran the newspaper article.	'Instead of having to cope with him weary with waiting, we shall have to encounter This Man fresh from the fields of victory,' ran the newspaper article.	true	115.28	124.9	15
2319_138656_000004_000000	But the week which had led off with such a dreary piping was to end in another key.	But the week which had led off with such a dreary piping was to end in another key.	true	126.02	130.96	13
2319_138656_000004_000001	On the very day when Mack's army was piling arms at the feet of its conqueror, a blow had been struck by Bob Loveday and his comrades which eternally shattered the enemy's force by sea.	On the very day when Mack's army was piling arms at the feet of its conqueror, a blow had been struck by Bob Loveday and his comrades which eternally shattered the enemy's force by sea.	false	131.33	142.57	16
