4434_73958_000008_000000	CHAPTER VII	CHAPTER seven
4434_73958_000009_000000	JUNE	JUNE
4434_73958_000011_000000	What is one to say about June--the time of perfect young summer, the fulfilment of the promise of the earlier months, and with as yet no sign to remind one that its fresh young beauty will ever fade?	What is one to say about June-the time of perfect young summer, the fulfilment of the promise of the earlier months, and with as yet no sign to remind one that its fresh young beauty will ever fade?
4434_73958_000011_000002	It is the offering of the Hymn of Praise!	It is the offering of the Hymn of Praise!
4434_73958_000011_000003	The lizards run in and out of the heathy tufts in the hot sunshine, and as the long day darkens the night-jar trolls out his strange song, so welcome because it is the prelude to the perfect summer night; here and there a glowworm shows its little lamp.	The lizards run in and out of the heathy tufts in the hot sunshine, and as the long day darkens the night jar trolls out his strange song, so welcome because it is the prelude to the perfect summer night; here and there a glowworm shows its little lamp.
4434_73958_000011_000004	June is here--June is here; thank God for lovely June!	June is here-June is here; thank God for lovely June!
4434_73958_000012_000000	And June is the time of Roses.	And June is the time of Roses.
4434_73958_000012_000002	I do not know the origin of this charming Rose, but by its appearance it should be related to the Damask.	I do not know the origin of this charming Rose, but by its appearance it should be related to the Damask.
4434_73958_000012_000004	The white is a creamy white, the outsides of the outer petals are stained with red, first showing clearly in the bud.	The white is a creamy white, the outsides of the outer petals are stained with red, first showing clearly in the bud.
4434_73958_000012_000005	The scent is delicate and delightful, with a faint suspicion of Magnolia.	The scent is delicate and delightful, with a faint suspicion of Magnolia.
4434_73958_000012_000006	A few years ago this pretty old Rose found its way to one of the meetings of the Royal Horticultural Society, where it gained much praise.	A few years ago this pretty old Rose found its way to one of the meetings of the Royal Horticultural Society, where it gained much praise.
4434_73958_000012_000007	It was there that I recognised my old friend, and learned its name.	It was there that I recognised my old friend, and learned its name.
4434_73958_000013_000001	How seldom one sees these Roses except in cottage gardens; but what good taste it shows on the cottager's part, for what Rose is so perfectly at home upon the modest little wayside porch?	How seldom one sees these Roses except in cottage gardens; but what good taste it shows on the cottager's part, for what Rose is so perfectly at home upon the modest little wayside porch?
4434_73958_000014_000000	I have also learnt from cottage gardens how pretty are some of the old Roses grown as standards.	I have also learnt from cottage gardens how pretty are some of the old Roses grown as standards.
4434_73958_000014_000001	The picture of my neighbour, Mrs. Edgeler, picking me a bunch from her bush, shows how freely they flower, and what fine standards they make.	The picture of my neighbour, mrs Edgeler, picking me a bunch from her bush, shows how freely they flower, and what fine standards they make.
4434_73958_000015_000000	What a fine thing, among the cluster Roses, is the old Dundee Rambler!	What a fine thing, among the cluster Roses, is the old Dundee Rambler!
