4434_73958_000000_000000	All Paeonies are strong feeders.	All Paeonies are strong feeders.	false	0	1.56	29.467669
4434_73958_000000_000001	Their beds should be deeply and richly prepared, and in later years they are grateful for liberal gifts of manure, both as surface dressings and waterings.	Their beds should be deeply and richly prepared, and in later years they are grateful for liberal gifts of manure, both as surface dressings and waterings.	false	1.56	8.76	23.294712
4434_73958_000001_000000	Friends often ask me vaguely about Paeonies, and when I say, "What kind of Paeonies?" they have not the least idea.	Friends often ask me vaguely about Paeonies, and when I say, "What kind of Paeonies?" they have not the least idea.	false	8.76	10.62	18
4434_73958_000002_000000	Broadly, and for garden purposes, one may put them into three classes--	Broadly, and for garden purposes, one may put them into three classes-	false	10.62	11.79	44.03822
4434_73958_000003_000000	1.	one.	false	11.79	11.79	
4434_73958_000003_000001	Tree Paeonies (_P. moutan_), shrubby, flowering in May.	Tree Paeonies (underscore P. moutan underscore), shrubby, flowering in May.	false	11.79	12.42	16
4434_73958_000004_000000	2.	two.	false	12.42	12.42	
4434_73958_000004_000001	Chinese Paeonies (_P. albiflora_), herbaceous, flowering in June.	Chinese Paeonies (underscore P. albiflora underscore), herbaceous, flowering in June.	false	12.42	12.75	8
4434_73958_000005_000000	3.	three.	false	12.75	12.75	
4434_73958_000005_000001	Old garden Paeonies (_P. officinalis_), herbaceous, including some other herbaceous species.	Old garden Paeonies (underscore P. officinalis underscore), herbaceous, including some other herbaceous species.	false	12.75	12.9	11
4434_73958_000006_000000	I find it convenient to grow Paeony species and Caulescent (Lent) Hellebores together.	I find it convenient to grow Paeony species and Caulescent (Lent) Hellebores together.	false	12.9	13.59	18
4434_73958_000006_000001	They are in a wide border on the north side of the high wall and partly shaded by it.	They are in a wide border on the north side of the high wall and partly shaded by it.	false	13.59	14.79	26.879795
4434_73958_000006_000002	They are agreed in their liking for deeply-worked ground with an admixture of loam and lime, for shelter, and for rich feeding; and the Paeony clumps, set, as it were, in picture frames of the lower-growing Hellebores, are seen to all the more advantage.	They are agreed in their liking for deeply worked ground with an admixture of loam and lime, for shelter, and for rich feeding; and the Paeony clumps, set, as it were, in picture frames of the lower growing Hellebores, are seen to all the more advantage.	false	14.79	27.3	26.422054
4434_73958_000007_000000	[Illustration: FREE CLUSTER-ROSE AS STANDARD IN A COTTAGE GARDEN.]	[Illustration: FREE CLUSTER ROSE AS STANDARD IN A COTTAGE GARDEN.]	false	27.3	29.055	32.568264
4434_73958_000008_000000	CHAPTER VII	CHAPTER seven	true	29.055	30.25	27.950535
4434_73958_000009_000000	JUNE	JUNE	true	30.89	31.96	21.924337
4434_73958_000010_000000	The gladness of June -- The time of Roses -- Garden Roses -- Reine Blanche -- The old white Rose -- Old garden Roses as standards -- Climbing and rambling Roses -- Scotch Briars -- Hybrid Perpetuals a difficulty -- Tea Roses -- Pruning -- Sweet Peas, autumn sown -- Elder-trees -- Virginian Cowslip -- Dividing spring-blooming plants -- Two best Mulleins -- White French Willow -- Bracken.	The gladness of June -- The time of Roses -- Garden Roses -- Reine Blanche -- The old white Rose -- Old garden Roses as standards -- Climbing and rambling Roses -- Scotch Briars -- Hybrid Perpetuals a difficulty -- Tea Roses -- Pruning -- Sweet Peas, autumn sown -- Elder trees -- Virginian Cowslip -- Dividing spring blooming plants -- Two best Mulleins -- White French Willow -- Bracken.	false	32.48	71.86	22.938887
4434_73958_000011_000000	What is one to say about June--the time of perfect young summer, the fulfilment of the promise of the earlier months, and with as yet no sign to remind one that its fresh young beauty will ever fade?	What is one to say about June-the time of perfect young summer, the fulfilment of the promise of the earlier months, and with as yet no sign to remind one that its fresh young beauty will ever fade?	true	73.22	86.89	23.581083
4434_73958_000011_000001	For my own part I wander up into the wood and say, "June is here--June is here; thank God for lovely June!" The soft cooing of the wood-dove, the glad song of many birds, the flitting of butterflies, the hum of all the little winged people among the branches, the sweet earth-scents--all seem to say the same, with an endless reiteration, never wearying because so gladsome.	For my own part one wander up into the wood and say, "June is here-June is here; thank God for lovely June!" The soft cooing of the wood dove, the glad song of many birds, the flitting of butterflies, the hum of all the little winged people among the branches, the sweet earth scents-all seem to say the same, with an endless reiteration, never wearying because so gladsome.	false	87.65	118.33	23.383652
4434_73958_000011_000002	It is the offering of the Hymn of Praise!	It is the offering of the Hymn of Praise!	true	118.91	122.17	24.285164
